Player,Skill,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
metalhead,701.11,14363.400000000034,2091,966,1125,1087,1004,0.40846366145354185,0.5199203187250996,1276.0,19618.0,102753.0,18210.0,23887.0,15215.0,18586.0,98162.0,3440.0,26257.0,152254.0,24104.0,64356.0,548658.0,369.0,5949.0,2528.0,1132.0,124.0,4189.0,640.0,5338.0,5677.0,3371.0,132.0,-494.0,-0.03439297102357372,0.08883690491109326,1.3658326023086422,7.153807594302168,1.2678056727515739,1.6630463539273392,1.059289583246304,1.2939833187128365,6.834175752259198,0.23949761198601946,0.4619799139167862,0.13101268233233043,0.06504230808441228,0.30324192068508515,0.4477848101265823,0.275320407492606,0.35083798882681566,0.7780801272658768,5.237689876643898,6.4516595465001645,0.17891291113954413,0.7106952392887461,10.926660818469138,57.230460754417344,10.14244538201259,13.304370831418714,8.474316665970433,10.351866549702692,54.673406018073585,1.9159808958881557,14.624392553295147,84.8010916635335,13.425233579793053,35.84443794644714,305.5866995279662,0.2055223693554446,3.313421613267046,1.4080231700015282,0.6304913878329629,0.06906442764248003,2.3331523176963618,0.3564615620257034,2.973112215770632,3.1619254494061217,1.8775498837322595,0.07352019716780132,-0.27514376818858977
BallsToYou.,1097.22,13413.900000000003,1838,934,904,910,928,0.4758241758241758,0.5398706896551724,2333.0,23369.0,147716.0,20887.0,25402.0,12000.0,14874.0,43236.0,3308.0,24518.0,161560.0,10048.0,65346.0,445384.0,1260.0,6939.0,2645.0,940.0,191.0,2899.0,584.0,3813.0,4515.0,2874.0,149.0,-79.0,-0.005889413220614436,0.17392406384422124,1.7421480702853007,11.012159029066861,1.5571161258097939,1.8937072737980747,0.894594413257889,1.1088497752331534,3.223223670968174,0.24660985992142473,0.5081610446137106,0.13492128232319112,0.09983311224271471,0.29693183276990887,0.3553875236294896,0.24158333333333334,0.31775,0.5855444453192662,6.3210235782446835,3.603,0.09707578179728055,1.39139251075377,13.937184562282406,88.09727223253489,12.45692900647835,15.149658190384597,7.156755306063112,8.870798201865227,25.78578936774539,1.9728788793713978,14.622443882837947,96.3537822706297,5.992589776276846,38.972111019166675,265.62535876963443,0.7514593071366268,4.138393755730995,1.5774681487114108,0.5606124989749438,0.11391168862150453,1.7289528026897467,0.3482954248950714,2.274058998501554,2.6927291839062457,1.7140428958021152,0.08886304505028364,-0.04711530576491549
bubblez,986.68,12667.999999999987,1717,833,884,890,827,0.45955056179775283,0.5126964933494559,1583.0,16371.0,115935.0,14667.0,18017.0,12569.0,15591.0,92040.0,3280.0,23161.0,132321.0,11259.0,54002.0,421452.0,1006.0,4064.0,1525.0,606.0,133.0,4624.0,681.0,5340.0,3350.0,3022.0,121.0,-132.0,-0.010419955794126945,0.12496053047047692,1.2923113356488805,9.151799810546267,1.1577991790337872,1.4222450268392814,0.9921850331544058,1.2307388695926758,7.265550994632151,0.25892011367224527,0.48514851485148514,0.14161737403393637,0.09669537596970253,0.24824384582493433,0.39737704918032785,0.36788925133264383,0.4248548014957435,0.8653493922406617,7.0817298882169695,7.322778263982815,0.21838785911562883,0.9996842437638154,10.338490685191044,73.21439848437014,9.262393432270297,11.377960214714252,7.937480265235246,9.845910956741406,58.12440795705721,2.071360909377962,14.626460372592373,83.56236185664676,7.110198926428804,34.10293653299656,266.15219450584175,0.635301547205558,2.566466687717085,0.9630565203662782,0.382696558257026,0.08399115882538688,2.9201136722450296,0.4300599936848757,3.372276602462902,2.1155667824439552,1.908430691506159,0.07641300915693093,-0.08335964635301556
Toidi,1041.95,11583.800000000007,1574,740,834,706,868,0.45892351274787535,0.4792626728110599,655.0,9292.0,51436.0,8554.0,13192.0,18290.0,21046.0,142391.0,2773.0,21132.0,100663.0,12558.0,41742.0,360086.0,330.0,2933.0,1223.0,462.0,59.0,7486.0,804.0,8811.0,4638.0,2756.0,83.0,-239.0,-0.02063226229734628,0.05654448453875236,0.802154733334484,4.440339094252315,0.7384450698389126,1.1388318168476659,1.5789291942195125,1.8168476665688278,12.292252973980897,0.2393860391236035,0.4701397712833545,0.13122279008139315,0.07049074472664658,0.3156478691347396,0.3777596075224857,0.40929469655549483,0.4817386550027337,1.5953608247422681,5.535514421007318,7.785183160196829,0.395436090267325,0.4523558763100189,6.417237866675872,35.52271275401852,5.9075605587113005,9.110654534781327,12.6314335537561,14.534781332550622,98.33802379184718,1.915088312988828,14.59417462318064,69.51984668243577,8.672801671299569,28.82784578463024,248.68247034651827,0.2279044873012309,2.0255874583470006,0.8446278423315315,0.3190662822217233,0.04074655985082613,5.169978763445498,0.5552582054248171,6.0850498109428655,3.203093976070027,1.9033477787945223,0.057321431654552016,-0.16505809837877025
LogisticMap,1023.91,10895.799999999996,1467,709,758,678,789,0.4690265486725664,0.4955640050697085,1060.0,12203.0,76954.0,11074.0,14399.0,12629.0,14413.0,83889.0,1796.0,19889.0,116764.0,8327.0,47315.0,361170.0,589.0,3474.0,1415.0,540.0,79.0,3621.0,569.0,4552.0,3325.0,1784.0,69.0,-217.0,-0.019915930909157664,0.09728519245947984,1.1199728335688985,7.062721415591332,1.0163549257512072,1.321518383230236,1.159070467519595,1.322803281998569,7.699205198333305,0.16483415628040168,0.4832992501704158,0.09030117150183518,0.08686388592968942,0.2846840940752274,0.38162544169611307,0.2867210388787711,0.36044025655237943,1.0009722897423432,6.306154224371056,6.642568691107768,0.23227012210316472,0.7782815396758387,8.959782668551188,56.501771324730655,8.130839406009658,10.572147065841888,9.27256374015676,10.582426255988551,61.59364158666644,1.3186732502432135,14.603058059068637,85.73138273463172,6.113915453661046,34.739991556379536,265.1810789478516,0.4324602140274236,2.5507076121074186,1.0389324326804827,0.3964830485141065,0.05800400154187855,2.6586391086473697,0.4177756566750493,3.3422052534003943,2.44130765983223,1.309862515831789,0.050661722865691386,-0.1593274472732613
rc,864.29,10296.800000000005,1397,659,738,639,758,0.4507042253521127,0.4894459102902375,988.0,13273.0,84795.0,12213.0,15854.0,9773.0,12967.0,63730.0,3166.0,19014.0,107823.0,9535.0,44078.0,343624.0,722.0,3962.0,1613.0,587.0,100.0,2888.0,514.0,3602.0,3641.0,3194.0,72.0,-473.0,-0.045936601662652454,0.09595214047082584,1.2890412555356998,8.23508274415352,1.186096651386838,1.5397016548830698,0.9491298267422884,1.2593232849040472,6.189301530572602,0.30747416673141154,0.47172512526843235,0.1665088881876512,0.07443682664054849,0.29850071573871767,0.36391816491010537,0.2955080323339814,0.3685664586104574,0.8179008452125647,6.388533112333308,6.521027320167809,0.1854643447489116,0.7676171237666067,10.312330044285599,65.88066195322816,9.488773211094705,12.317613239064558,7.593038613938307,10.074586279232378,49.51441224458082,2.4597933338512923,14.772744930463826,83.77204568409599,7.408126796674692,34.245979333385115,266.975370989045,0.5609509750602126,3.0782378991531334,1.253204879185766,0.45606401988967427,0.07769404086706547,2.2438039002408505,0.39934737005671644,2.798539352031698,2.8288400279698536,2.481547665294071,0.05593970942428713,-0.36749281330121963
xcv,1020.02,10030.799999999996,1352,636,716,612,740,0.4493464052287582,0.48783783783783785,1126.0,11950.0,85400.0,10742.0,13425.0,10477.0,13161.0,69308.0,3085.0,18412.0,100004.0,9476.0,40939.0,333240.0,709.0,2712.0,1161.0,430.0,96.0,3297.0,492.0,4023.0,2683.0,2684.0,82.0,-302.0,-0.030107269609602437,0.1122542568887826,1.1913307014395667,8.513777565099497,1.070901623001157,1.3383777963871282,1.0444829923834593,1.3120588587151578,6.909518682458033,0.3075527375682898,0.47041420118343197,0.16755376928090376,0.09422594142259415,0.22694560669456068,0.37037037037037035,0.31468931946167794,0.38398396487544145,0.9803351955307262,7.146443514644352,6.615252457764627,0.20798223502580723,0.8980340551102608,9.530645611516533,68.11022052079598,8.567212984009256,10.707022371097025,8.355863939067675,10.496470869721263,55.27614945966426,2.4604219005463186,14.684372133827816,79.75754675599158,7.557522829684575,32.65063604099375,265.7734178729514,0.5654583881644537,2.1629381504964718,0.9259480799138657,0.34294373330143174,0.07656418231845918,2.6295011364995826,0.3923914343821033,3.20851776528293,2.139809387087771,2.140606930653588,0.06539857239701721,-0.2408581568768195
Russ,1094.41,8759.800000000001,1210,584,626,619,591,0.4717285945072698,0.494077834179357,747.0,8350.0,57883.0,7528.0,10411.0,12969.0,15719.0,88154.0,2989.0,16073.0,82220.0,12342.0,34521.0,278110.0,528.0,2175.0,906.0,326.0,64.0,4483.0,546.0,5405.0,2883.0,2750.0,75.0,-101.0,-0.011529943606018401,0.08527591954154204,0.9532181100025113,6.607799264823397,0.8593803511495696,1.188497454279778,1.4805132537272538,1.7944473618119132,10.063471768761843,0.34121783602365346,0.4826446280991736,0.1859640390717352,0.08946107784431137,0.26047904191616766,0.3598233995584989,0.34567044490708615,0.4167630503508366,1.5098453558735951,6.932095808383234,6.797285835453774,0.3169752975441372,0.6822073563323363,7.625744880020091,52.862394118587176,6.8750428091965565,9.507979634238223,11.84410602981803,14.355578894495306,80.50777415009475,2.7297426881892277,14.678873946893763,75.08847233955112,11.271490216671612,31.52674718600881,253.98753396196258,0.4822027900180369,1.9863467202447542,0.8274161510536769,0.29772369232174245,0.05844882303248932,4.0941574008539,0.4986415214959245,4.936185757665699,2.6329368250416674,2.5114728646772755,0.06849471449119843,-0.09223954884814721
Chritt,880.31,8172.699999999983,1158,559,599,581,577,0.4629948364888124,0.5025996533795494,860.0,10171.0,58696.0,9261.0,12414.0,10730.0,12277.0,60926.0,1194.0,14914.0,94573.0,10965.0,39207.0,270063.0,351.0,3003.0,1140.0,403.0,83.0,3163.0,532.0,3939.0,3153.0,1547.0,50.0,-68.0,-0.00832038371651965,0.10522838229716026,1.2445091585400199,7.181959450365255,1.1331628470395363,1.5189594626011018,1.312907607033174,1.502196336583996,7.454819092833473,0.14609614937535972,0.48272884283246975,0.08005900496178088,0.08455412447153672,0.29525120440467995,0.35350877192982455,0.2947809878844362,0.36710158434296364,0.9889640728210085,5.770917313931767,5.678098788443616,0.22559921203571018,0.8418270583772821,9.956073268320159,57.45567560292204,9.06530277631629,12.151675700808815,10.503260856265392,12.017570692671969,59.638552742667784,1.1687691950028778,14.598847382138123,92.57454696734268,10.733294994310347,38.37850404395128,264.35621030993485,0.34358290405863495,2.9395426236127653,1.1159102866861648,0.39448407503028454,0.08124609982013305,3.096161611217841,0.5207581337868769,3.855763701102459,3.086372924492524,1.5143098364065761,0.04894343362658617,-0.0665630697321572
Light,1063.52,8142.0999999999985,1105,584,521,547,558,0.5338208409506399,0.5232974910394266,1105.0,11526.0,77491.0,10315.0,12884.0,8138.0,10195.0,34094.0,1849.0,14857.0,97243.0,11682.0,40443.0,272114.0,724.0,3213.0,1325.0,508.0,89.0,2118.0,391.0,2570.0,2569.0,2057.0,106.0,225.0,0.027634148438363572,0.1357143734417411,1.415605310669238,9.517323540609919,1.26687218285209,1.58239274879945,0.9994964444062344,1.2521339703516294,4.187371808255856,0.22709129094459665,0.5285067873303168,0.12445311974153597,0.09587020648967552,0.27876106194690264,0.38339622641509435,0.26026050626689606,0.31580240845416563,0.7912915243713132,6.7231476661461045,4.1894814450724995,0.12529307569621556,1.0857149875339287,11.324842485353903,76.13858832487935,10.13497746281672,12.6591419903956,7.995971555249875,10.017071762813035,33.498974466046846,1.8167303275567732,14.597708207956181,95.54586654548582,11.478119895358693,39.737168543741795,267.3649304233552,0.7113643900222303,3.1569251175986546,1.3018754375406838,0.49913413001559803,0.08744672750273273,2.0810356050650327,0.3841760725120056,2.525147075078911,2.5241645275788804,2.0211002075631597,0.1041500350032547,0.22107318750690858
