Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Red,66620.0999999997,9085,4097,4988,9085,0,0.45096312603192074,0.0,6728.0,90520.0,574161.0,83106.0,101331.0,82481.0,94151.0,399222.0,14776.0,119200.0,744458.0,0.0,291612.0,2304724.0,4298.0,24222.0,10545.0,3684.0,663.0,23905.0,3451.0,29430.0,18225.0,11670.0,686.0,-510.0,-0.007655347260061187,0.10099054189351307,1.3587490862367424,8.618434976831356,1.247461351754206,1.521027437665216,1.238079798739425,1.4132521566314133,5.992515772266955,0.22179492375424334,0.45096312603192074,0.12395973154362416,0.07432611577551922,0.26758727353071143,0.3493598862019915,0.28982432317745904,0.3568094470241631,0.9291431052688713,6.342918692001768,4.840169251100253,0.17321900583323643,0.8079243351481046,10.86999268989394,68.94747981465085,9.979690814033647,12.168219501321728,9.9046383899154,11.306017253051307,47.94012617813564,1.7743593900339467,14.313998327832055,89.397404086755,0.0,35.01790000315236,276.76019699760406,0.5161205101763605,2.9086717071874837,1.2662844997230622,0.44238900872259473,0.07961561150463635,2.8706051176747085,0.41440946501131226,3.5340685468800115,2.1885286872880805,1.4013788631359068,0.08237754071218784,-0.061242778080489495
Blue,66597.49999999968,9086,4992,4094,0,9086,0.0,0.5494166850099054,6865.0,90923.0,576080.0,83374.0,101190.0,82223.0,94143.0,412906.0,15016.0,119146.0,741328.0,0.0,290520.0,2295727.0,4146.0,24103.0,10201.0,3592.0,630.0,24023.0,3522.0,29319.0,17816.0,11920.0,684.0,589.0,0.008844175832426185,0.10308194752055307,1.3652614587634737,8.650174556101998,1.2519088554375224,1.5194264048950858,1.2346259243965674,1.4136116220578918,6.200022523368024,0.22547392920154768,0.5494166850099054,0.12603024860255485,0.07550344797246021,0.2650924408565489,0.352122340946966,0.29216885786215535,0.3565790593872761,0.9303587310999111,6.3359106056773316,5.021782226384345,0.17985849362750886,0.8246555801644245,10.92209167010779,69.20139644881598,10.01527084350018,12.155411239160687,9.877007395172539,11.308892976463135,49.60018018694419,1.8037914336123815,14.312369082923603,89.05175119186198,0.0,34.89860730507919,275.7733548556641,0.4980367130898331,2.8953639400878552,1.2253913435189068,0.4314876684560252,0.07567851646082847,2.885753969743623,0.423078944404822,3.5219340065317937,2.140140395660508,1.431885581290596,0.0821652464431852,0.07075340665940948
metalhead,1753.1000000000008,250,119,131,124,126,0.3467741935483871,0.6031746031746031,163.0,2578.0,13905.0,2398.0,2921.0,1937.0,2217.0,10825.0,439.0,3111.0,19808.0,0.0,7756.0,70067.0,45.0,722.0,370.0,162.0,16.0,523.0,80.0,636.0,523.0,280.0,17.0,-16.0,-0.009126689863670066,0.09297815298613879,1.4705379042838393,7.931663909645767,1.3678626433175511,1.6661913182362664,1.1048998916205575,1.2646169642347835,6.174776110889279,0.2504135531344474,0.476,0.14111218257794922,0.06322730799069046,0.2800620636152056,0.43783783783783786,0.27000516262261226,0.32834279814145584,0.7589866484080794,5.393716058960434,5.588538977800723,0.15449498337305723,0.7438252238891103,11.764303234270715,63.45331127716614,10.94290114654041,13.329530545890131,8.83919913296446,10.116935713878268,49.39820888711423,2.0033084250755793,14.196566082938787,90.39073640978833,0.0,35.39330329131251,319.73988933888523,0.2053505219325765,3.294735040784894,1.688437624778962,0.7392618789572754,0.07301351890936053,2.3866293993497223,0.36506759454680265,2.902287376647081,2.3866293993497223,1.2777365809138093,0.07757686384119555,-0.07301351890936053
bubblez,1398.0999999999992,181,85,96,107,74,0.4953271028037383,0.43243243243243246,142.0,1754.0,11958.0,1602.0,1904.0,1589.0,1913.0,11230.0,376.0,2519.0,14389.0,0.0,5630.0,45300.0,102.0,431.0,169.0,64.0,11.0,580.0,73.0,685.0,302.0,324.0,10.0,-40.0,-0.02861025677705459,0.10156641155854379,1.2545597596738438,8.55303626350047,1.1458407839210363,1.3618482225877986,1.1365424504684936,1.3682855303626358,8.032329590158076,0.26893641370431315,0.4696132596685083,0.14926558157999206,0.08095781071835804,0.24572405929304447,0.378698224852071,0.36500943989930773,0.43108873505349277,1.0047268907563025,6.8175598631698975,7.067337948395217,0.2479028697571744,0.8125312924683503,10.03647807739075,68.42429010800376,9.16672627136829,10.894785780702389,9.092339603747948,10.946284242901086,64.25863672126461,2.151491309634505,14.413847364280102,82.3345969530077,0.0,32.21514913096347,259.2089264001146,0.5836492382519136,2.4662041341821057,0.9670266790644452,0.36621128674629877,0.0629425649095201,3.3187897861383324,0.417709748944997,3.9196051784564787,1.7280595093340971,1.8539446391531373,0.05722051355410918,-0.22888205421643673
BallsToYou.,1306.3999999999994,176,93,83,82,94,0.5,0.5531914893617021,210.0,2387.0,13258.0,2161.0,2507.0,1259.0,1514.0,4183.0,317.0,2352.0,16988.0,0.0,6670.0,42130.0,87.0,734.0,308.0,99.0,17.0,330.0,56.0,430.0,346.0,255.0,16.0,12.0,0.009185548071034909,0.1607470912431109,1.827158603796694,10.148499693815069,1.6541641151255366,1.9190140845070431,0.9637170851194126,1.1589099816289044,3.2019289650949188,0.2426515615431722,0.5284090909090909,0.13477891156462585,0.08797653958944282,0.30749895266024296,0.32142857142857145,0.2621127879269261,0.3415409054805401,0.6039090546469884,5.55425219941349,3.322478157267673,0.09928791834797057,1.2859767299448872,14.617268830373552,81.18799755052055,13.233312921004293,15.352112676056345,7.7097366809553005,9.271279853031235,25.61543172075935,1.9412124923453775,14.402939375382738,104.02939375382736,0.0,40.84507042253523,257.9914268218005,0.5327617881200247,4.494794856093082,1.886099203919168,0.606246172688304,0.10410287813839564,2.0208205756276802,0.3429271279853033,2.633190447030007,2.1187997550520525,1.5615431720759345,0.09797917942437237,0.07348438456827927
xcv,1173.3999999999999,150,64,86,69,81,0.36231884057971014,0.48148148148148145,101.0,1453.0,9907.0,1343.0,1608.0,1335.0,1617.0,7526.0,367.0,2110.0,12448.0,0.0,4872.0,39460.0,76.0,344.0,151.0,63.0,9.0,431.0,50.0,499.0,265.0,282.0,9.0,-59.0,-0.05028123402079428,0.0860746548491563,1.2382819158002387,8.442986193966252,1.1445372422021478,1.3703766831430033,1.1377194477586503,1.378046701891938,6.413840122720301,0.31276632009544914,0.4266666666666667,0.17393364928909952,0.06951135581555402,0.23675154852030283,0.41721854304635764,0.32284644194756557,0.37378277153558054,1.0055970149253732,6.818306951135582,5.637453183520599,0.19072478459199188,0.6885972387932504,9.90625532640191,67.54388955173002,9.156297937617182,10.963013465144027,9.101755582069202,11.024373615135504,51.31072098176241,2.502130560763593,14.385546275779786,84.86790523265725,0.0,33.21629452871996,269.03016874041253,0.5181523777058122,2.34532128856315,1.029486960968127,0.42952104994034435,0.061360149991477764,2.938469405147435,0.34088972217487645,3.4020794273052672,1.8067155275268452,1.9226180330663032,0.061360149991477764,-0.4022498721663542
Toidi,1168.2000000000007,155,68,87,64,91,0.34375,0.5054945054945055,32.0,918.0,4834.0,880.0,1235.0,2003.0,2235.0,14206.0,263.0,2074.0,10224.0,0.0,3994.0,35693.0,29.0,320.0,134.0,46.0,2.0,795.0,81.0,940.0,355.0,232.0,6.0,-44.0,-0.03766478342749527,0.027392569765451104,0.7858243451463786,4.1379900701934575,0.7532956685499054,1.0571819893853787,1.714603663756205,1.9131997945557255,12.16058894024995,0.22513268275980125,0.43870967741935485,0.12680810028929604,0.034858387799564274,0.3485838779956427,0.34328358208955223,0.3969046430354468,0.46929605591612583,1.8097165991902835,5.265795206971678,7.09236145781328,0.39800521110581905,0.21914055812360883,6.2865947611710284,33.10392056154766,6.026365348399243,8.45745591508303,13.71682931004964,15.305598356445804,97.2847115219996,1.80106146207841,14.203047423386398,70.01540832049302,0.0,27.351480910802927,244.43074815956157,0.19859613079952051,2.191405581236088,0.917651087142612,0.3150145523026877,0.013696284882725552,5.444273240883407,0.5546995377503848,6.437253894881009,2.4310905666837854,1.5887690463961641,0.04108885464817666,-0.30131826741996215
LogisticMap,1091.4,141,60,81,63,78,0.42857142857142855,0.4230769230769231,90.0,1314.0,7911.0,1218.0,1492.0,1361.0,1457.0,8176.0,176.0,1970.0,12389.0,0.0,4860.0,36752.0,55.0,368.0,184.0,67.0,7.0,357.0,41.0,480.0,274.0,96.0,6.0,-86.0,-0.07879787428990287,0.08246289169873557,1.2039582188015392,7.248488180318856,1.1159978009895546,1.367051493494594,1.2470221733553233,1.3349825911673079,7.491295583654022,0.16126076598863842,0.425531914893617,0.08934010152284264,0.0684931506849315,0.2800608828006088,0.3641304347826087,0.2623071271124173,0.3526818515797208,0.9765415549597856,6.02054794520548,6.007347538574577,0.22246408358728775,0.6597031335898845,9.631665750412314,57.98790544255085,8.927982407916437,10.936411947956753,9.976177386842586,10.679860729338463,59.930364669232176,1.2900861279091074,14.440168590800806,90.81180135605643,0.0,35.62396921385376,269.39343961883816,0.4031519149715961,2.697452812900861,1.3487264064504305,0.4911123327835807,0.05131024372365768,2.616822429906542,0.3005314275242807,3.518416712479384,2.008429540040315,0.7036833424958768,0.0439802089059923,-0.630382994319223
rc,1012.7000000000002,134,60,74,67,67,0.3880597014925373,0.5074626865671642,77.0,1323.0,7953.0,1235.0,1518.0,1090.0,1383.0,5603.0,321.0,1811.0,11013.0,0.0,4314.0,34144.0,54.0,407.0,175.0,63.0,7.0,288.0,52.0,375.0,283.0,293.0,11.0,-84.0,-0.08294657845363877,0.0760343635825022,1.3064086106448107,7.853263552878443,1.219512195121951,1.4989631677693294,1.0763306013626937,1.3656561666831242,5.532734274711167,0.31697442480497673,0.44776119402985076,0.17725013804527884,0.0582010582010582,0.30763416477702193,0.36,0.26422018348623855,0.3440366972477064,0.9110671936758893,6.011337868480726,5.140366972477064,0.16409910965323338,0.6082749086600177,10.451268885158486,62.82610842302754,9.756097560975608,11.991705342154635,8.61064481090155,10.925249333464993,44.26187419768934,2.535795398439814,14.306309864718077,86.99911128665941,0.0,34.07919423323787,269.7264737829564,0.4265824034758566,3.215167374345808,1.382442974227313,0.49767947072183266,0.05529771896909252,2.2751061518712348,0.41078305519897296,2.9623778019156704,2.235607781179026,2.3146045225634437,0.08689641552285966,-0.6635726276291102
lizzey,919.2999999999998,121,60,61,67,54,0.43283582089552236,0.5740740740740741,63.0,979.0,6492.0,909.0,1140.0,1402.0,1567.0,7904.0,223.0,1652.0,9341.0,0.0,3654.0,30471.0,53.0,273.0,120.0,40.0,9.0,481.0,56.0,544.0,231.0,165.0,7.0,17.0,0.018492331121505497,0.06853040356793214,1.064940715761993,7.061894920047863,0.9887958229087351,1.2400739693244862,1.5250734254323945,1.7045578157293595,8.597846187316438,0.2425758729468074,0.49586776859504134,0.13498789346246973,0.06435137895812053,0.278855975485189,0.3333333333333333,0.34308131241084167,0.3880171184022825,1.3745614035087719,6.631256384065373,5.637660485021398,0.2593941780709527,0.5482432285434571,8.519525726095944,56.49515936038291,7.910366583269881,9.92059175459589,12.200587403459156,13.636462525834876,68.78276949853151,1.9406069835744593,14.376155770695096,81.28793647340369,0.0,31.79810725552051,265.1669748721854,0.4612204938540194,2.375720657021647,1.0442728162732515,0.34809093875775055,0.07832046122049387,4.18579353856195,0.48732731426085074,4.734036767105407,2.010225171326009,1.435875122375721,0.06091591428260634,0.14793864897204398
