Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Red,70931.89999999918,10358,5103,5255,10358,0,0.49266267619231513,0.0,10153.0,97904.0,576404.0,87085.0,119400.0,86473.0,110620.0,508362.0,15708.0,126188.0,788546.0,188392.0,345704.0,2326505.0,3866.0,28634.0,11229.0,4072.0,1044.0,27780.0,4670.0,32746.0,32315.0,24147.0,666.0,1899.0,0.026772157520100575,0.14313729083811538,1.3802534543696297,8.126160444031623,1.2277268760600097,1.6833046908372873,1.219098882167276,1.5595239941408772,7.166902338722153,0.2214518432468351,0.49266267619231513,0.1244809332107649,0.10370362804379801,0.29247017486517407,0.36263246949861966,0.3212563459114406,0.3786846761416858,0.9264656616415411,5.887440758293839,5.8788523585396595,0.21850887919862627,1.145098326704923,11.042027634957037,65.00928355225298,9.821815008480078,13.466437526698298,9.752791057338207,12.476191953127017,57.33521870977722,1.7716147459746807,14.232016906356826,88.9355564985581,21.247647391371405,38.989960793381144,262.3930840707808,0.4360238482262615,3.2294637532619688,1.2664541623726566,0.4592574004080023,0.11774674018319116,3.1331460175182473,0.5267023722753857,3.693232523025649,3.6446225182182204,2.723400895788809,0.07511429977203574,0.2141772601608046
Blue,70918.19999999923,10366,5263,5103,0,10366,0.0,0.5077175381053444,9683.0,98955.0,581770.0,88597.0,120357.0,85090.0,109668.0,531242.0,15843.0,126197.0,790721.0,189434.0,346824.0,2305175.0,3783.0,28073.0,11088.0,4215.0,973.0,28355.0,4396.0,31814.0,31760.0,24578.0,675.0,-1837.0,-0.02590308270655516,0.13653758837646904,1.395339983248321,8.203394897219702,1.249284386800581,1.6971242924947518,1.1998330470880667,1.5464013469039146,7.490912064886105,0.2233982249972528,0.5077175381053444,0.12554181161200345,0.09785255924410086,0.2836946086605022,0.38014069264069267,0.33323539781407924,0.37388647314608064,0.9111892120940203,5.8791369814562175,6.2432953343518625,0.23045625603262226,1.0923007070117523,11.162719865986569,65.62715917775762,9.994275094404648,13.576994339958015,9.598664376704534,12.371210775231317,59.92729651908884,1.7871857999780223,14.235781506016947,89.19809019405554,21.369295893015003,39.12383563034638,260.03762080820155,0.42674517965769476,3.1668034439678734,1.2507931673392862,0.47547738098260206,0.10976025900262676,3.198614742054966,0.4958952708895655,3.5888107707189802,3.582719245553367,2.7725463985267838,0.07614406457016759,-0.20722466165244127
metalhead,1350.2000000000003,209,81,128,113,96,0.3274336283185841,0.4583333333333333,117.0,1981.0,9236.0,1852.0,2517.0,1419.0,1940.0,9573.0,278.0,2370.0,15251.0,6229.0,7195.0,49651.0,31.0,637.0,296.0,129.0,15.0,370.0,59.0,459.0,665.0,521.0,12.0,-131.0,-0.09702266330913936,0.08665382906236112,1.4671900459191227,6.840468078803139,1.3716486446452374,1.8641682713672045,1.0509554140127386,1.436824174196415,7.090060731743444,0.20589542290031101,0.3875598086124402,0.11729957805907174,0.05906108026249369,0.3215547703180212,0.4358108108108108,0.2607470049330514,0.32346723044397463,0.7707588398887565,4.6622917718324075,6.74630021141649,0.19280578437493706,0.6932306324988889,11.737520367352982,54.72374463042511,10.9731891571619,14.913346170937636,8.407643312101909,11.49459339357132,56.72048585394755,1.6471633832024881,14.042364094208263,90.36290919863723,36.907124870389566,42.63072137461116,294.1845652495926,0.1836764923715005,3.774255665827284,1.7538142497407787,0.7643312101910826,0.08887572211524217,2.1922678121759733,0.34957784031995254,2.7195970967264103,3.9401570137757362,3.0869500814694115,0.07110057769219373,-0.7761813064731149
LogisticMap,1302.0000000000002,184,99,85,91,93,0.5494505494505495,0.5268817204301075,167.0,1608.0,8753.0,1432.0,2018.0,1564.0,1931.0,10106.0,225.0,2323.0,15329.0,2987.0,6582.0,40960.0,54.0,520.0,183.0,75.0,15.0,503.0,86.0,597.0,586.0,367.0,9.0,-8.0,-0.006144393241167434,0.12826420890937018,1.2350230414746541,6.722734254992318,1.0998463901689706,1.5499231950844852,1.2012288786482332,1.4831029185867892,7.761904761904761,0.17281105990783407,0.5380434782608695,0.09685751183814034,0.10385572139303482,0.32338308457711445,0.4098360655737705,0.32161125319693096,0.38171355498721227,0.9568880079286423,5.443407960199005,6.461636828644501,0.246728515625,1.0261136712749614,9.880184331797233,53.78187403993854,8.798771121351765,12.399385560675881,9.609831029185866,11.864823348694314,62.09523809523809,1.3824884792626726,14.273425499231948,94.1874039938556,18.353302611367123,40.44239631336405,251.67434715821807,0.3317972350230414,3.1950844854070657,1.1244239631336403,0.4608294930875575,0.09216589861751151,3.090629800307219,0.5284178187403993,3.6682027649769577,3.600614439324116,2.2549923195084483,0.0552995391705069,-0.04915514592933947
bubblez,1255.8,177,79,98,97,80,0.4536082474226804,0.4375,185.0,1824.0,10587.0,1629.0,2013.0,1359.0,1772.0,9449.0,313.0,2249.0,14525.0,2809.0,6235.0,40020.0,52.0,517.0,203.0,81.0,17.0,548.0,84.0,616.0,384.0,413.0,10.0,-24.0,-0.019111323459149548,0.14731645166427776,1.4524605828953656,8.430482560917344,1.2971810797897756,1.6029622551361682,1.0821786908743432,1.4110527154005414,7.524287306896003,0.24924351011307533,0.4463276836158192,0.13917296576256113,0.10142543859649122,0.28344298245614036,0.39901477832512317,0.4032376747608536,0.45327446651949965,0.8802781917536016,5.8042763157894735,6.952906548933039,0.23610694652673664,1.178531613314222,11.619684663162925,67.44386048733875,10.377448638318205,12.823698041089346,8.657429526994745,11.288421723204332,60.194298455168024,1.9939480809046026,14.32712215320911,92.53065774804905,17.894569198917026,39.719700589265805,254.94505494505495,0.33126293995859213,3.2935180761267717,1.2931995540691192,0.5160057333970378,0.10829749960184744,3.491001751871317,0.5351170568561873,3.924191750278707,2.446249402771142,2.6309921962095877,0.0637044115304985,-0.15289058767319638
BallsToYou.,1229.1000000000001,179,82,97,92,87,0.532608695652174,0.3793103448275862,284.0,2351.0,13351.0,2055.0,2666.0,1091.0,1442.0,4251.0,277.0,2177.0,15714.0,2100.0,6590.0,39810.0,100.0,727.0,279.0,105.0,23.0,297.0,61.0,368.0,611.0,351.0,12.0,-24.0,-0.019526482792287036,0.23106337970872995,1.912781710194451,10.862419656659343,1.6719550890895776,2.1690667968432185,0.8876413635993816,1.1732161744365794,3.4586282645838415,0.22536815556097956,0.4581005586592179,0.12723932016536518,0.1207996597192684,0.30923011484474694,0.3763440860215054,0.27222731439046743,0.3373052245646196,0.5408852213053263,5.678860059549128,3.8964252978918426,0.10678221552373776,1.8485070376698396,15.302253681555609,86.89935725327474,13.37564071271662,17.352534374745748,7.101130908795053,9.385729395492636,27.669026116670732,1.8029452444878364,14.16971767960296,102.2797168659995,13.668537954600925,42.89317386705719,259.116426653649,0.6508827597429012,4.731917663330892,1.8159628996826944,0.6834268977300463,0.1497030347408673,1.9331217964364167,0.3970384834431698,2.3952485558538767,3.9768936620291266,2.2845984866975835,0.07810593116914814,-0.1562118623382963
rc,1098.4999999999998,152,64,88,78,74,0.4230769230769231,0.4189189189189189,139.0,1565.0,8873.0,1419.0,1918.0,1110.0,1529.0,7444.0,328.0,1958.0,12625.0,3042.0,5554.0,36051.0,59.0,487.0,205.0,64.0,18.0,338.0,51.0,399.0,499.0,419.0,7.0,-92.0,-0.08375056895766957,0.12653618570778336,1.4246700045516616,8.077378243058718,1.2917614929449253,1.7460172963131546,1.0104688211197088,1.3918980427856171,6.776513427401003,0.2985889849795176,0.42105263157894735,0.1675178753830439,0.08881789137380192,0.3111821086261981,0.3121951219512195,0.3045045045045045,0.35945945945945945,0.7971845672575599,5.66964856230032,6.706306306306306,0.206485256997032,1.0122894856622668,11.397360036413293,64.61902594446974,10.334091943559402,13.968138370505237,8.08375056895767,11.135184342284937,54.212107419208024,2.3887118798361406,14.259444697314523,91.94355939918071,22.153846153846157,40.44788347746928,262.5471096950387,0.42967683204369606,3.5466545289030504,1.492944924897588,0.46609012289485674,0.13108784706417845,2.461538461538462,0.37141556668183895,2.905780609922622,3.634046426945836,3.051433773327265,0.050978607191624954,-0.6700045516613565
Light,1048.4,148,83,65,75,73,0.6,0.5205479452054794,197.0,1584.0,9551.0,1374.0,1820.0,1090.0,1437.0,5013.0,232.0,1871.0,12837.0,3091.0,5646.0,33027.0,78.0,444.0,192.0,66.0,14.0,291.0,58.0,345.0,446.0,347.0,13.0,56.0,0.05341472720335749,0.18790537962609688,1.5108737123235405,9.11007249141549,1.3105684853109498,1.7359786341091186,1.0396795116367799,1.370660053414727,4.781571919114842,0.22128958412819533,0.5608108108108109,0.12399786210582577,0.12436868686868686,0.2803030303030303,0.34375,0.26697247706422017,0.3165137614678899,0.7895604395604395,6.029671717171717,4.599082568807339,0.1517849032609683,1.503243037008775,12.086989698588324,72.88057993132392,10.484547882487599,13.887829072872949,8.317436093094239,10.965280427317817,38.25257535291873,1.7703166730255626,14.276993513925982,97.95497901564288,23.586417397939716,43.0827928271652,252.0183136207554,0.5951926745516978,3.388019839755818,1.4650896604349484,0.5036245707745135,0.10682945440671499,2.2205265165967187,0.44257916825639065,2.6325829835940477,3.4032811903853486,2.6478443342235787,0.09919877909194963,0.42731781762685994
Toidi,1041.8999999999999,144,68,76,63,81,0.49206349206349204,0.4567901234567901,93.0,903.0,4156.0,807.0,1400.0,1662.0,2035.0,13378.0,269.0,1856.0,10305.0,3714.0,4772.0,32062.0,21.0,314.0,147.0,50.0,10.0,734.0,82.0,829.0,593.0,373.0,3.0,-41.0,-0.03935118533448508,0.08926000575871006,0.86668586236683,3.9888664939053657,0.7745465015836454,1.3436990114214418,1.595162683558883,1.9531624916018815,12.840003839140035,0.25818216719454845,0.4722222222222222,0.14493534482758622,0.10299003322259136,0.3477297895902547,0.3401360544217687,0.4416365824308063,0.49879663056558365,1.4535714285714285,4.602436323366556,8.04933814681107,0.4172540702389121,0.7140800460696805,6.93348689893464,31.910931951242926,6.196372012669163,10.749592091371534,12.761301468471064,15.625299932815052,102.72003071312028,2.0654573375563876,14.250887801132547,79.12467607255975,28.517132162395626,36.6407524714464,246.18101545253867,0.16124388137057302,2.4109799404933296,1.1287071695940112,0.3839140032632691,0.07678280065265382,5.63585756790479,0.6296189653517613,6.365294174105001,4.553220078702371,2.8639984643439873,0.023034840195796144,-0.31480948267588066
Junoon,963.0000000000002,141,82,59,75,66,0.5733333333333334,0.5909090909090909,197.0,1514.0,8449.0,1307.0,1758.0,1456.0,1882.0,7315.0,291.0,1715.0,10816.0,2361.0,4705.0,29100.0,46.0,442.0,165.0,46.0,25.0,561.0,90.0,645.0,451.0,426.0,10.0,99.0,0.10280373831775698,0.2045690550363447,1.5721703011422634,8.773624091381098,1.3572170301142261,1.8255451713395634,1.511941848390446,1.954309449636552,7.596053997923155,0.3021806853582554,0.5815602836879432,0.16967930029154518,0.13011889035667107,0.2919418758256275,0.2787878787878788,0.3853021978021978,0.4429945054945055,1.0705346985210467,5.580581241743725,5.024038461538462,0.2513745704467354,1.6365524402907576,12.577362409138107,70.18899273104878,10.857736240913809,14.604361370716507,12.095534787123569,15.634475597092417,60.76843198338524,2.417445482866043,14.247144340602281,89.85254413291794,19.61370716510903,39.08618899273104,241.7445482866043,0.3821391484942886,3.671858774662512,1.3707165109034265,0.3821391484942886,0.2076843198338525,4.66043613707165,0.747663551401869,5.3582554517133945,3.746625129802699,3.5389408099688464,0.083073727933541,0.8224299065420558
