Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Blue,11193.699999999975,1555,768,787,0,1555,0.0,0.49389067524115754,1010.0,12413.0,95242.0,11284.0,14410.0,10828.0,12331.0,66727.0,2396.0,19906.0,97627.0,0.0,38148.0,388248.0,1032.0,3481.0,1197.0,470.0,83.0,3267.0,459.0,4099.0,3126.0,1503.0,119.0,-448.0,-0.040022512663373234,0.0902293254241227,1.1089273430590445,8.508536051529004,1.0080670377087133,1.2873312666946615,0.9673298373192085,1.101601793866195,5.96112098769845,0.21404897397643363,0.49389067524115754,0.12036571887873003,0.08136630951421897,0.2804318053653428,0.39264828738512947,0.3017177687476912,0.37855559660140375,0.8557251908396947,7.672762426488359,6.1624492057628375,0.1718669510209969,0.7218346033929816,8.871418744472356,68.06828841223204,8.064536301669706,10.298650133557292,7.738638698553668,8.81281435092956,47.6889679015876,1.712391791811469,14.226573876376921,69.77281863905606,0.0,27.263907376470755,277.47608029516664,0.7375577333678782,2.4878279746643255,0.8554812081796029,0.33590323128188254,0.05931908126892819,2.3348848012721493,0.3280416662944342,2.9295049894136946,2.2341138318875844,1.0741756523758923,0.08504783940966813,-0.3201801013069859
Red,11184.69999999997,1547,788,759,1547,0,0.5093729799612152,0.0,1124.0,12392.0,97157.0,11152.0,14098.0,10949.0,12636.0,69755.0,2584.0,19920.0,98422.0,0.0,38456.0,380925.0,997.0,3300.0,1157.0,484.0,89.0,3455.0,511.0,4453.0,2946.0,1687.0,116.0,456.0,0.040769980419680565,0.1004944254204407,1.107942099475179,8.68659865709409,0.997076363246223,1.2604718946417908,0.9789265693313213,1.1297576153137798,6.236644702137759,0.23102988904485655,0.5093729799612152,0.12971887550200803,0.0907036797934151,0.26630083925112974,0.41832324978392393,0.31555393186592384,0.4067038085669924,0.8962973471414385,7.840300193673338,6.3709014521874145,0.1831200367526416,0.8039554033635256,8.863536795801432,69.49278925675272,7.976610905969784,10.083775157134326,7.83141255465057,9.038060922510239,49.89315761710207,1.8482391123588524,14.248035262456787,70.39759671694387,0.0,27.506146789811154,272.46148756783896,0.7131170259372197,2.360367287455191,0.8275590762380775,0.34618720216009463,0.06365839047985211,2.4712330236841464,0.36549929814836435,3.185065312435747,2.107164251164543,1.2066483678596687,0.08297048646812186,0.3261598433574445
BallsToYou.,277.3,36,21,15,13,23,0.6153846153846154,0.5652173913043478,29.0,432.0,3053.0,399.0,485.0,202.0,244.0,622.0,57.0,500.0,2935.0,0.0,1150.0,9124.0,35.0,148.0,37.0,15.0,2.0,29.0,12.0,53.0,86.0,42.0,4.0,12.0,0.04327443202307969,0.10457987738910926,1.557879552830869,11.009736747205192,1.4388748647674,1.7490082942661376,0.7284529390551748,0.8799134511359538,2.2430580598629644,0.20555355210962856,0.5833333333333334,0.114,0.06712962962962964,0.3425925925925926,0.40540540540540543,0.14356435643564355,0.2623762376237624,0.5030927835051546,7.06712962962963,3.0792079207920793,0.06817185444980271,0.8366390191128741,12.463036422646953,88.07789397764154,11.5109989181392,13.9920663541291,5.827623512441399,7.03930760908763,17.944464478903715,1.6444284168770285,14.424810674359898,84.6736386584926,0.0,33.17706455102777,263.2239451857194,1.0097367472051928,4.26974395961053,1.0674359899026324,0.43274432023079695,0.0576992426974396,0.8366390191128741,0.34619545618463754,1.5290299314821492,2.4810674359899023,1.2116840966462314,0.1153984853948792,0.34619545618463754
Light,240.20000000000002,29,15,14,15,14,0.5333333333333333,0.5,28.0,302.0,2502.0,273.0,337.0,185.0,219.0,870.0,58.0,433.0,2505.0,0.0,980.0,8217.0,27.0,87.0,32.0,17.0,3.0,52.0,5.0,52.0,64.0,34.0,1.0,3.0,0.012489592006661115,0.11656952539550373,1.2572855953372188,10.416319733555369,1.1365528726061616,1.4029975020815986,0.7701915070774354,0.9117402164862614,3.6219816819317234,0.24146544546211487,0.5172413793103449,0.13394919168591224,0.09271523178807947,0.28807947019867547,0.53125,0.2810810810810811,0.2810810810810811,0.6498516320474778,8.28476821192053,4.702702702702703,0.1058780576852866,0.9325562031640299,10.05828476269775,83.33055786844295,9.092422980849292,11.223980016652789,6.1615320566194836,7.293921731890091,28.975853455453787,1.931723563696919,14.421315570358034,83.43047460449625,0.0,32.639467110741045,273.6719400499583,0.8992506244796002,2.897585345545379,1.0657785179017485,0.5661948376353039,0.09991673605328892,1.7318900915903412,0.1665278934221482,1.7318900915903412,2.131557035803497,1.1323896752706077,0.03330557868442964,0.09991673605328892
Helen Keller,230.50000000000003,32,18,14,16,16,0.5,0.625,18.0,232.0,2099.0,212.0,279.0,247.0,295.0,1232.0,78.0,414.0,1796.0,0.0,700.0,7534.0,24.0,58.0,25.0,6.0,2.0,69.0,13.0,96.0,67.0,48.0,2.0,1.0,0.0043383947939262466,0.07809110629067244,1.0065075921908893,9.106290672451191,0.9197396963123643,1.2104121475054228,1.071583514099783,1.2798264642082429,5.344902386117136,0.3383947939262473,0.5625,0.18840579710144928,0.07758620689655173,0.25,0.24,0.2793522267206478,0.38866396761133604,1.0573476702508962,9.047413793103448,4.987854251012146,0.16352535173878419,0.6247288503253795,8.052060737527114,72.85032537960953,7.357917570498914,9.683297180043382,8.572668112798263,10.238611713665943,42.75921908893709,2.707158351409978,14.36876355748373,62.334056399132315,0.0,24.295010845986983,261.48373101952274,0.8329718004338393,2.0130151843817785,0.8676789587852494,0.20824295010845983,0.06941431670281994,2.394793926247288,0.45119305856832964,3.3318872017353574,2.325379609544468,1.6659436008676787,0.06941431670281994,0.03470715835140997
Ceremony,213.30000000000004,27,15,12,16,11,0.5625,0.5454545454545454,40.0,288.0,2479.0,246.0,293.0,125.0,156.0,655.0,47.0,379.0,2006.0,0.0,788.0,7207.0,27.0,57.0,18.0,9.0,1.0,49.0,3.0,55.0,47.0,31.0,2.0,13.0,0.060947022972339414,0.18752930145335206,1.3502109704641347,11.622128457571494,1.153305203938115,1.3736521331458038,0.5860290670417252,0.731364275668073,3.0707923112986397,0.22034692920768867,0.5555555555555556,0.12401055408970976,0.1388888888888889,0.19791666666666666,0.5,0.392,0.44,0.5324232081911263,8.60763888888889,5.24,0.0908838629110587,1.5002344116268165,10.801687763713078,92.97702766057195,9.22644163150492,10.98921706516643,4.6882325363338015,5.850914205344584,24.566338490389118,1.7627754336615094,14.214721050164085,75.23675574308484,0.0,29.554617909048282,270.30473511486167,1.0126582278481011,2.1378340365682136,0.6751054852320674,0.3375527426160337,0.03750586029067041,1.83778715424285,0.11251758087201123,2.0628223159868724,1.7627754336615094,1.1626816690107826,0.07501172058134083,0.4875761837787153
Russ,213.10000000000002,29,16,13,21,8,0.5238095238095238,0.625,18.0,156.0,1246.0,137.0,188.0,247.0,280.0,2170.0,65.0,378.0,1577.0,0.0,616.0,6666.0,12.0,44.0,8.0,1.0,3.0,80.0,9.0,109.0,51.0,33.0,1.0,-1.0,-0.004692632566870014,0.08446738620366025,0.7320506804317222,5.847020178320037,0.6428906616611919,0.8822149225715625,1.1590802440168932,1.3139371187236037,10.18301267010793,0.30502111684655087,0.5517241379310345,0.17195767195767195,0.11538461538461539,0.28205128205128205,0.125,0.32388663967611336,0.44129554655870445,1.4893617021276595,7.987179487179487,8.785425101214575,0.32553255325532554,0.675739089629282,5.856405443453777,46.77616142656029,5.143125293289535,7.0577193805725,9.272641952135146,10.51149694978883,81.46410136086344,2.440168934772407,14.190520882214921,59.20225246363209,0.0,23.125293289535428,250.24870952604408,0.4504927264195213,1.6518066635382447,0.3003284842796809,0.03754106053496011,0.11262318160488033,3.0032848427968086,0.337869544814641,4.091975598310652,1.9145940872829654,1.2388549976536836,0.03754106053496011,-0.03754106053496011
metalhead,211.90000000000003,31,16,15,17,14,0.5882352941176471,0.42857142857142855,14.0,249.0,1402.0,235.0,310.0,178.0,204.0,1682.0,38.0,374.0,1893.0,0.0,738.0,7136.0,4.0,76.0,31.0,12.0,2.0,58.0,9.0,75.0,75.0,26.0,0.0,-6.0,-0.028315243039169415,0.06606890042472864,1.1750825861255307,6.616328456819253,1.1090136857008022,1.4629542236904198,0.8400188768286927,0.9627182633317601,7.937706465313826,0.17932987258140629,0.5161290322580645,0.10160427807486631,0.05622489959839357,0.30522088353413657,0.3870967741935484,0.3258426966292135,0.42134831460674155,0.6580645161290323,5.6305220883534135,9.44943820224719,0.23570627802690583,0.5285512033978291,9.400660689004246,52.93062765455402,8.872109485606417,11.703633789523359,6.720151014629542,7.701746106654081,63.50165172251061,1.4346389806512503,14.119867862199149,71.4676734308636,0.0,27.862199150542704,269.4100991033506,0.15101462954223688,2.8692779613025006,1.1703633789523358,0.45304388862671063,0.07550731477111844,2.1897121283624346,0.339782916470033,2.8315243039169413,2.8315243039169413,0.9815950920245398,0.0,-0.22652194431335532
TheG,189.20000000000002,23,12,11,15,8,0.5333333333333333,0.5,12.0,148.0,1067.0,135.0,193.0,255.0,283.0,2422.0,35.0,342.0,1449.0,0.0,560.0,5983.0,12.0,54.0,30.0,17.0,1.0,97.0,10.0,121.0,58.0,28.0,1.0,-2.0,-0.010570824524312895,0.06342494714587738,0.7822410147991543,5.63953488372093,0.7135306553911205,1.0200845665961944,1.3477801268498941,1.4957716701902748,12.801268498942916,0.18498942917547567,0.5217391304347826,0.1023391812865497,0.08108108108108109,0.36486486486486486,0.5666666666666667,0.3803921568627451,0.4745098039215686,1.4663212435233162,7.20945945945946,9.498039215686275,0.4048136386428213,0.507399577167019,6.2579281183932345,45.11627906976744,5.708245243128964,8.160676532769555,10.782241014799153,11.966173361522198,102.41014799154333,1.4799154334038054,14.46088794926004,61.26849894291754,0.0,23.678646934460886,252.98097251585622,0.507399577167019,2.2832980972515853,1.2684989429175475,0.7188160676532769,0.04228329809725158,4.101479915433403,0.4228329809725158,5.116279069767441,2.4524312896405918,1.1839323467230443,0.04228329809725158,-0.08456659619450316
bubblez,187.10000000000002,26,14,12,9,17,0.4444444444444444,0.5882352941176471,21.0,253.0,2181.0,230.0,266.0,124.0,140.0,1020.0,44.0,332.0,1903.0,0.0,738.0,6002.0,22.0,60.0,19.0,7.0,2.0,48.0,8.0,56.0,36.0,16.0,2.0,12.0,0.06413682522715125,0.11223944414751469,1.3522180652057723,11.65686798503474,1.2292891501870655,1.4216996258685193,0.6627471940138963,0.7482629609834313,5.451630144307856,0.23516835916622125,0.5384615384615384,0.13253012048192772,0.08300395256916997,0.23715415019762845,0.3684210526315789,0.3870967741935484,0.45161290322580644,0.5263157894736842,8.620553359683795,8.225806451612904,0.16994335221592802,0.8979155531801175,10.817744521646178,93.25494388027792,9.834313201496524,11.373597006948154,5.30197755211117,5.98610368786745,43.61304115446285,1.88134687332977,14.19561731694281,81.36825227151255,0.0,31.555318011758413,256.63281667557453,0.940673436664885,2.56547300908605,0.8123997862105825,0.2993051843933725,0.085515766969535,2.05237840726884,0.34206306787814,2.39444147514698,1.53928380545163,0.68412613575628,0.085515766969535,0.51309460181721
