Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Red,50178.29999999964,7149,3316,3833,7149,0,0.46384109665687506,0.0,5800.0,66291.0,415255.0,60021.0,76247.0,58371.0,71188.0,372257.0,11092.0,89544.0,540192.0,55144.0,222398.0,1649747.0,3223.0,19688.0,7514.0,2669.0,554.0,18905.0,2747.0,21709.0,16226.0,12817.0,470.0,141.0,0.002809979612701128,0.11558781385579109,1.321108925571422,8.275589248739056,1.196154513006627,1.5195213867349142,1.1632717728579969,1.4187009125458716,7.418684969399176,0.22105172953248875,0.46384109665687506,0.12387206289645314,0.08749302318565115,0.2969935587032931,0.3552036199095023,0.3238765825495537,0.37191413544397045,0.9336498485186302,6.264123334992684,6.377430573401175,0.22564490191526337,0.9247025108463287,10.568871404571375,66.20471398991245,9.569236104053015,12.156171093879314,9.306174182863975,11.349607300366973,59.34947975519341,1.76841383625991,14.276131315728216,86.12360323087931,8.791688837605163,35.45723948400031,263.0215850277928,0.5138476193892616,3.138886729921124,1.1979680459481574,0.4255225864566985,0.08832503293256312,3.0140518909568694,0.43795824091290775,3.4610977255108533,2.586934989826298,2.043433117502999,0.07493278967203008,0.022479836901609023
Blue,50142.1999999997,7136,3820,3316,0,7136,0.0,0.5353139013452914,5768.0,65915.0,412466.0,59672.0,75643.0,58710.0,71828.0,360485.0,11294.0,89558.0,535972.0,57117.0,221115.0,1661071.0,3168.0,19243.0,7407.0,2658.0,530.0,19322.0,2702.0,22195.0,15971.0,13118.0,475.0,-99.0,-0.001974384849488068,0.1150328465843149,1.314561387414202,8.225925467969144,1.1900554822086058,1.5085696279780396,1.170870045590348,1.432486009788171,7.189253762300062,0.2252394190921034,0.5353139013452914,0.12610822037115613,0.08750663733596298,0.291936584995828,0.35884973673552045,0.32910918071878725,0.3780446261284279,0.9495657231997673,6.257543806417356,6.140095384091296,0.21701962167782113,0.9202627726745192,10.516491099313615,65.80740374375316,9.520443857668846,12.068557023824317,9.366960364722784,11.459888078305369,57.5140300984005,1.8019153527368272,14.288643099026455,85.51232295352071,9.112803187734139,35.2780691712771,265.01764980395916,0.5054425214689454,3.0701484976726374,1.1817590771844944,0.42407393373246743,0.08455951274575159,3.0827526514592685,0.4310939687528694,3.5411290290414277,2.5481131661554692,2.0929277135825837,0.07578446897024907,-0.015795078795904544
Toidi,1010.1999999999999,140,73,67,54,86,0.42592592592592593,0.5813953488372093,70.0,833.0,4605.0,757.0,1141.0,1628.0,1895.0,14034.0,264.0,1809.0,8582.0,1175.0,3589.0,29855.0,31.0,262.0,113.0,38.0,4.0,715.0,56.0,795.0,384.0,267.0,6.0,11.0,0.010888932884577313,0.06929320926549198,0.8245891902593546,4.558503266679866,0.7493565630568205,1.1294793110275194,1.6115620669174422,1.8758661651158188,13.892298554741636,0.26133438922985547,0.5214285714285715,0.14593698175787728,0.08403361344537816,0.31452581032412963,0.336283185840708,0.4391891891891892,0.4883292383292383,1.6608238387379493,5.528211284513805,8.620393120393121,0.47007201473789983,0.5543456741239359,6.596713522074837,36.468026133438926,5.994852504454564,9.035834488220155,12.892496535339538,15.00692932092655,111.13838843793309,2.0906751138388437,14.325876064145715,67.96277964759454,9.305088101366067,28.4220946347258,236.42843001385864,0.24549594139774303,2.0748366660067314,0.8948723025143537,0.3009305088101366,0.03167689566422491,5.662245099980202,0.4434765392991487,6.295783013264701,3.040981983765591,2.1144327855870126,0.04751534349633736,0.0871114630766185
metalhead,995.0999999999995,145,58,87,83,62,0.40963855421686746,0.3870967741935484,79.0,1410.0,6774.0,1319.0,1721.0,1129.0,1413.0,7930.0,219.0,1768.0,10918.0,1638.0,4618.0,37073.0,21.0,478.0,194.0,81.0,4.0,343.0,41.0,410.0,402.0,284.0,12.0,-65.0,-0.06532006833484076,0.07938900613003723,1.4169430208019302,6.807356044618635,1.3254949251331531,1.7294744246809375,1.1345593407697725,1.4199577931866152,7.969048336850572,0.22007838408200192,0.4,0.12386877828054299,0.05602836879432624,0.33900709219858155,0.4175257731958763,0.3038086802480071,0.36315323294951285,0.821034282393957,4.804255319148936,7.023914968999114,0.21390230086585926,0.6351120490402978,11.335544166415442,54.45884835694908,10.603959401065225,13.8357953974475,9.07647472615818,11.359662345492922,63.75238669480458,1.7606270726560154,14.213646869661348,87.77409305597432,13.168525776303897,37.125916993267026,298.0444176464679,0.16882725354235764,3.842829866345093,1.5596422470103515,0.651190835091951,0.03215757210330622,2.757511807858508,0.3296151140588887,3.2961511405888873,3.2318359963822747,2.2831876193347416,0.09647271630991866,-0.5225605466787261
bubblez,980.3000000000001,134,60,74,72,62,0.5416666666666666,0.3387096774193548,131.0,1278.0,8604.0,1138.0,1392.0,997.0,1194.0,7705.0,233.0,1752.0,10334.0,799.0,4201.0,31733.0,61.0,352.0,115.0,47.0,16.0,372.0,46.0,427.0,254.0,197.0,9.0,-46.0,-0.04692441089462409,0.13363256146077732,1.3036825461593389,8.776905029072733,1.1608691216974394,1.4199734775068855,1.0170356013465265,1.2179944914821992,7.859838824849535,0.23768234214016115,0.44776119402985076,0.1329908675799087,0.10250391236306729,0.27543035993740217,0.40869565217391307,0.3731193580742227,0.4282848545636911,0.8577586206896551,6.732394366197183,7.728184553660983,0.2428071723442473,1.0690604916862185,10.429460369274711,70.21524023258186,9.286952973579515,11.359787820055084,8.136284810772212,9.743955931857593,62.87871059879628,1.9014587371212892,14.297663980414159,84.33336733652963,6.520452922574721,34.28338263796797,258.96562276854024,0.4978067938386208,2.8725900234622053,0.9384882178924818,0.3835560542691013,0.1305722737937366,3.035805365704376,0.3753952871569927,3.4846475568703457,2.0728348464755686,1.607671121085382,0.07344690400897684,-0.3753952871569927
BallsToYou.,957.3000000000004,132,75,57,61,71,0.4918032786885246,0.6338028169014085,194.0,1739.0,10789.0,1534.0,1836.0,841.0,1065.0,3530.0,210.0,1720.0,11566.0,769.0,4693.0,30070.0,89.0,529.0,183.0,66.0,15.0,231.0,45.0,276.0,302.0,224.0,11.0,10.0,0.010446046171524073,0.20265329572756702,1.8165674292280365,11.270239214457323,1.602423482711793,1.91789407709182,0.8785124830251746,1.112503917267314,3.687454298547998,0.21936696960200555,0.5681818181818182,0.12209302325581395,0.11155836687751582,0.3041978148361127,0.36065573770491804,0.2746730083234245,0.3281807372175981,0.5800653594771242,6.2041403105232895,4.197384066587396,0.11739275024941802,1.6212263658205361,14.532539433824292,90.16191371565859,12.819387861694343,15.34315261673456,7.028099864201397,8.900031338138511,29.499634388383985,1.7549357568160444,14.373759532017125,96.65517601587796,6.42640760472161,39.21863574636998,251.29008670218312,0.743758487412514,4.420766739788988,1.5293011595111243,0.5515512378564711,0.12535255405828888,1.930429332497649,0.37605766217486664,2.3064869946725155,2.523764755040216,1.871931473937114,0.09192520630941185,0.08356836937219259
rc,785.0999999999999,108,44,64,48,60,0.3333333333333333,0.4666666666666667,74.0,1063.0,6284.0,984.0,1236.0,722.0,936.0,5382.0,221.0,1413.0,8566.0,668.0,3479.0,25152.0,43.0,340.0,132.0,52.0,8.0,246.0,44.0,263.0,252.0,214.0,5.0,-69.0,-0.08788689338937716,0.0942555088523755,1.353967647433448,8.00407591389632,1.2533435231180743,1.5743217424531908,0.919628072856961,1.1922048146732902,6.8551776843714185,0.2814928034645268,0.4074074074074074,0.15640481245576787,0.06961429915333961,0.3198494825964252,0.3939393939393939,0.3407202216066482,0.36426592797783935,0.7572815533980582,5.9115710253998115,7.454293628808864,0.2139790076335878,0.754044070819004,10.831741179467585,64.03260731117057,10.026748184944594,12.594573939625526,7.357024582855688,9.537638517386322,54.84142147497135,2.2519424277162146,14.398165838746658,87.28569608967011,6.806776206852631,35.450261113233985,256.293465800535,0.4381607438542861,3.4645268118710995,1.3450515857852505,0.5298688065214623,0.08151827792637882,2.5066870462361486,0.4483505285950835,2.6799133868297034,2.567825754680933,2.1806139345306335,0.05094892370398676,-0.7030951471150173
LogisticMap,733.7,101,49,52,44,57,0.4772727272727273,0.49122807017543857,67.0,766.0,4375.0,696.0,919.0,902.0,1010.0,7061.0,99.0,1307.0,7715.0,490.0,3110.0,22854.0,30.0,238.0,90.0,36.0,4.0,297.0,42.0,353.0,223.0,108.0,3.0,-16.0,-0.02180727817909227,0.09131797737494889,1.0440234428240425,5.962927627095543,0.9486166007905138,1.2525555404116122,1.2293853073463268,1.3765844350551997,9.623824451410657,0.13493253373313344,0.48514851485148514,0.0757459831675593,0.08746736292428199,0.31070496083550914,0.4,0.32926829268292684,0.39135254988913526,1.0990206746463547,5.711488250652741,7.828159645232816,0.3089612321694233,0.7305438189995911,8.35218754259234,47.703421016764345,7.58893280632411,10.020444323292898,9.835082458770614,11.012675480441597,76.99059561128526,1.0794602698650675,14.251056290036798,84.12157557584844,5.3427831538776065,33.91031756848848,249.19176775248738,0.32710917268638406,2.5950661033119804,0.9813275180591522,0.39253100722366085,0.04361455635818454,3.2383808095952022,0.4579528417609377,3.848984598609786,2.431511516968788,1.1775930216709827,0.03271091726863841,-0.17445822543273817
xcv,724.0999999999999,96,46,50,41,55,0.5365853658536586,0.43636363636363634,91.0,870.0,5719.0,772.0,985.0,799.0,977.0,5632.0,222.0,1299.0,7289.0,660.0,2968.0,22794.0,43.0,220.0,88.0,23.0,10.0,260.0,38.0,312.0,213.0,178.0,7.0,-5.0,-0.0069051236017124715,0.125673249551167,1.2014915066979701,7.898080375638725,1.0661510841044055,1.3603093495373568,1.103438751553653,1.349261151774617,7.777931224968928,0.30658748791603374,0.4791666666666667,0.17090069284064666,0.10459770114942529,0.25287356321839083,0.26136363636363635,0.32540675844806005,0.3904881101376721,0.9918781725888325,6.573563218390805,7.048811013767209,0.2470825655874353,1.005385996409336,9.611932053583761,63.1846430051098,8.529208672835244,10.882474796298855,8.827510012429224,10.794089214196935,62.22344979975142,2.45269990332827,14.3516088937992,80.53031349261153,7.29181052340837,32.79105095981218,251.83261980389452,0.475072503797818,2.43060350780279,0.972241403121116,0.25410854854301895,0.11048197762739954,2.8725314183123882,0.41983151498411825,3.4470377019748657,2.35326612346361,1.966579201767712,0.07733738433917968,-0.05524098881369977
KING KRULE,668.1,92,43,49,44,48,0.45454545454545453,0.4791666666666667,88.0,932.0,6192.0,839.0,1016.0,768.0,972.0,4628.0,188.0,1196.0,7489.0,682.0,3076.0,19982.0,49.0,271.0,92.0,32.0,7.0,313.0,47.0,346.0,177.0,204.0,5.0,-16.0,-0.02394851070199072,0.13171680886094894,1.3950007483909594,9.268073641670409,1.2558000299356384,1.5207304295764106,1.1495285136955544,1.4548720251459362,6.927106720550816,0.28139500074839097,0.4673913043478261,0.15719063545150502,0.0944206008583691,0.2907725321888412,0.34782608695652173,0.4075520833333333,0.4505208333333333,0.9566929133858267,6.643776824034335,6.026041666666667,0.23160844760284255,1.0537344708875915,11.160005987127676,74.14458913336327,10.046400239485108,12.165843436611285,9.196228109564435,11.63897620116749,55.416853764406525,2.2511600059871277,14.32120939979045,89.67519832360425,8.166442149378835,36.832809459661725,239.26957042358927,0.5867385121987726,3.2450232001197423,1.101631492291573,0.3831761712318515,0.08381978745696751,3.7479419248615478,0.5627900014967819,4.143092351444395,2.1194431971261785,2.4427480916030535,0.0598712767549768,-0.19158808561592575
