Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Blue,7664.899999999987,1074,586,488,0,1074,0.0,0.5456238361266295,713.0,9006.0,71837.0,8225.0,11140.0,7754.0,8966.0,45716.0,1773.0,13628.0,69369.0,4392.0,27947.0,284728.0,796.0,2254.0,847.0,323.0,51.0,2292.0,285.0,3136.0,2915.0,1212.0,68.0,-63.0,-0.008219285313572272,0.09302143537423857,1.1749664053020934,9.372203159858593,1.0730733603830467,1.4533783871935733,1.0116244178006253,1.1697478114522062,5.964330911036032,0.2313141723962482,0.5456238361266295,0.1300997945406516,0.07916944259382634,0.2502775927159671,0.38134592680047225,0.2955893732267217,0.40443641991230334,0.8048473967684021,7.976571174772374,5.895795718338922,0.16056025399679694,0.7441714829939086,9.399731242416747,74.97762527886874,8.584586883064373,11.627027097548586,8.092995342405002,9.35798249161765,47.714647288288255,1.8505133791699857,14.223799397252435,72.40172735456444,4.584012837740879,29.168808464559273,297.1759579381341,0.8308001409020354,2.35254210752913,0.8840297981708843,0.3371211627027103,0.053229657268849,2.3922034207882725,0.29745984944356796,3.2731020626492247,3.0424402144842126,1.2649871492126468,0.07097287635846533,-0.06575428250857818
Red,7655.599999999986,1074,488,586,1074,0,0.4543761638733706,0.0,730.0,8930.0,71192.0,8112.0,11050.0,7827.0,9010.0,41654.0,1634.0,13628.0,68611.0,4863.0,27776.0,287310.0,791.0,2329.0,826.0,330.0,60.0,2226.0,354.0,3202.0,2938.0,1183.0,88.0,74.0,0.009666126756883867,0.09535503422331383,1.1664663775536883,9.29933643346049,1.0596164898897558,1.443387846804956,1.0223888395422978,1.176916244317887,5.4409843774491975,0.21343852865876,0.4543761638733706,0.1199002054593484,0.08174692049272117,0.26080627099664055,0.39951573849878935,0.28440015331544655,0.4090967164941868,0.8153846153846154,7.9722284434490485,5.32183467484349,0.14497929066165466,0.7628402737865106,9.331731020429507,74.39469146768393,8.476931919118046,11.547102774439647,8.179110716338382,9.415329954543097,43.52787501959358,1.70750822927008,14.241078426250091,71.69758085584422,5.081770207429865,29.02554992423852,300.23512200219506,0.8265844610481232,2.4337739693818947,0.8631589947228189,0.3448456032185596,0.06269920058519265,2.3261403417106474,0.36992528345263664,3.346047337896448,3.0701708553216003,1.2362192382047152,0.09195882752494923,0.07732901405507094
metalhead,252.8,36,14,22,13,23,0.38461538461538464,0.391304347826087,24.0,322.0,2038.0,296.0,403.0,269.0,308.0,1488.0,90.0,444.0,2362.0,166.0,954.0,10375.0,12.0,75.0,29.0,11.0,2.0,80.0,7.0,104.0,107.0,39.0,2.0,-20.0,-0.0791139240506329,0.09493670886075949,1.2737341772151898,8.061708860759493,1.1708860759493671,1.5941455696202531,1.0640822784810127,1.2183544303797469,5.886075949367088,0.3560126582278481,0.3888888888888889,0.20270270270270271,0.07453416149068323,0.2329192546583851,0.3793103448275862,0.29739776951672864,0.38661710037174724,0.7642679900744417,6.329192546583851,5.5315985130111525,0.14342168674698796,0.7594936708860759,10.189873417721518,64.49367088607595,9.367088607594937,12.753164556962025,8.512658227848101,9.746835443037975,47.088607594936704,2.848101265822785,14.050632911392404,74.74683544303797,5.253164556962025,30.189873417721518,328.32278481012656,0.37974683544303794,2.373417721518987,0.9177215189873418,0.3481012658227848,0.06329113924050632,2.531645569620253,0.22151898734177214,3.291139240506329,3.3860759493670884,1.2341772151898733,0.06329113924050632,-0.6329113924050632
PuyoPuyo,189.3,31,17,14,15,16,0.6,0.5,17.0,225.0,2253.0,204.0,263.0,178.0,194.0,987.0,10.0,330.0,1519.0,169.0,625.0,7490.0,29.0,43.0,15.0,6.0,1.0,44.0,9.0,65.0,59.0,16.0,4.0,27.0,0.14263074484944532,0.08980454305335446,1.1885895404120443,11.90174326465927,1.0776545166402536,1.3893291072371896,0.9403063919704173,1.0248283148441626,5.213946117274167,0.052826201796090856,0.5483870967741935,0.030303030303030304,0.07555555555555556,0.19111111111111112,0.4,0.24719101123595505,0.3651685393258427,0.7376425855513308,10.013333333333334,5.544943820224719,0.13177570093457944,0.7184363444268357,9.508716323296355,95.21394611727416,8.621236133122029,11.114632857897517,7.522451135763339,8.1986265187533,41.71156893819334,0.42260961436872685,13.946117274167987,64.1944004226096,7.142102482831484,26.41310089804543,316.53460116217644,1.2255678816693079,1.8172213417855254,0.6339144215530903,0.25356576862123614,0.042260961436872684,1.8594823032223982,0.38034865293185416,2.7469624933967247,2.4933967247754887,0.6761753829899629,0.16904384574749073,1.1410459587955626
rc,172.0,23,9,14,13,10,0.46153846153846156,0.3,18.0,219.0,1624.0,201.0,259.0,139.0,191.0,941.0,62.0,312.0,1649.0,45.0,653.0,5892.0,19.0,60.0,19.0,8.0,1.0,42.0,11.0,66.0,58.0,52.0,0.0,-3.0,-0.01744186046511628,0.10465116279069768,1.2732558139534884,9.44186046511628,1.1686046511627908,1.505813953488372,0.8081395348837209,1.1104651162790697,5.47093023255814,0.36046511627906974,0.391304347826087,0.1987179487179487,0.0821917808219178,0.273972602739726,0.42105263157894735,0.302158273381295,0.4748201438848921,0.7374517374517374,7.415525114155251,6.76978417266187,0.1597080787508486,0.8372093023255814,10.186046511627907,75.53488372093024,9.348837209302326,12.046511627906977,6.465116279069767,8.883720930232558,43.76744186046512,2.883720930232558,14.511627906976743,76.69767441860465,2.0930232558139537,30.372093023255815,274.04651162790697,0.8837209302325582,2.7906976744186047,0.8837209302325582,0.37209302325581395,0.046511627906976744,1.9534883720930232,0.5116279069767442,3.0697674418604652,2.697674418604651,2.4186046511627906,0.0,-0.13953488372093023
babyTron,149.0,19,15,4,6,13,0.5,0.9230769230769231,11.0,149.0,1517.0,138.0,188.0,184.0,212.0,881.0,46.0,267.0,1051.0,136.0,438.0,5280.0,22.0,32.0,10.0,6.0,0.0,55.0,8.0,79.0,50.0,28.0,0.0,24.0,0.1610738255033557,0.0738255033557047,1.0,10.181208053691275,0.9261744966442953,1.261744966442953,1.2348993288590604,1.4228187919463087,5.912751677852349,0.3087248322147651,0.7894736842105263,0.17228464419475656,0.0738255033557047,0.21476510067114093,0.6,0.29891304347826086,0.42934782608695654,1.127659574468085,10.181208053691275,4.788043478260869,0.16685606060606062,0.5906040268456376,8.0,81.4496644295302,7.409395973154362,10.093959731543624,9.879194630872483,11.38255033557047,47.30201342281879,2.469798657718121,14.335570469798657,56.42953020134228,7.302013422818792,23.516778523489933,283.48993288590606,1.1812080536912752,1.7181208053691275,0.5369127516778524,0.3221476510067114,0.0,2.953020134228188,0.42953020134228187,4.241610738255034,2.684563758389262,1.5033557046979866,0.0,1.2885906040268456
Mystic,140.2,20,12,8,8,12,0.5,0.6666666666666666,18.0,145.0,1188.0,125.0,181.0,167.0,179.0,963.0,28.0,248.0,1280.0,40.0,510.0,5143.0,11.0,31.0,12.0,5.0,3.0,59.0,7.0,73.0,56.0,12.0,2.0,9.0,0.06419400855920114,0.12838801711840228,1.0342368045649073,8.473609129814552,0.891583452211127,1.291012838801712,1.1911554921540657,1.2767475035663338,6.868758915834523,0.19971469329529246,0.6,0.11290322580645161,0.12413793103448276,0.21379310344827587,0.4166666666666667,0.3532934131736527,0.437125748502994,0.988950276243094,8.193103448275862,5.766467065868263,0.18724479875559014,1.0271041369472182,8.273894436519258,67.78887303851641,7.132667617689016,10.328102710413695,9.529243937232525,10.21398002853067,54.95007132667618,1.5977175463623396,14.151212553495009,73.03851640513552,2.282453637660485,29.101283880171188,293.4664764621969,0.6276747503566334,1.7689015691868761,0.6847360912981456,0.28530670470756064,0.1711840228245364,3.3666191155492156,0.3994293865905849,4.165477888730385,3.1954350927246793,0.6847360912981456,0.11412268188302425,0.5135520684736091
umad,136.70000000000002,20,12,8,10,10,0.5,0.7,18.0,235.0,1800.0,214.0,260.0,112.0,123.0,322.0,15.0,238.0,1364.0,85.0,551.0,5291.0,19.0,65.0,16.0,6.0,3.0,28.0,5.0,39.0,46.0,11.0,3.0,8.0,0.05852231163130943,0.1316752011704462,1.7190929041697145,13.16752011704462,1.5654718361375273,1.9019751280175565,0.819312362838332,0.8997805413313825,2.3555230431602046,0.10972933430870518,0.6,0.06302521008403361,0.07659574468085106,0.2765957446808511,0.375,0.25,0.3482142857142857,0.47307692307692306,7.659574468085107,2.875,0.06085806085806086,1.0534016093635696,13.752743233357716,105.34016093635697,12.523774689100218,15.215801024140452,6.554498902706656,7.19824433065106,18.844184345281636,0.8778346744696415,13.928310168251643,79.82443306510606,4.974396488661301,32.245793708851494,309.6415508412582,1.1119239209948792,3.803950256035113,0.9363569861009509,0.3511338697878566,0.1755669348939283,1.638624725676664,0.29261155815654716,2.2823701536210677,2.6920263350402336,0.6437454279444037,0.1755669348939283,0.46817849305047543
TERROR NUGS,133.5,20,14,6,9,11,0.5555555555555556,0.8181818181818182,17.0,147.0,1548.0,127.0,171.0,144.0,155.0,611.0,19.0,234.0,1086.0,80.0,442.0,5229.0,21.0,22.0,10.0,2.0,2.0,43.0,5.0,56.0,44.0,11.0,3.0,16.0,0.1198501872659176,0.12734082397003746,1.101123595505618,11.595505617977528,0.951310861423221,1.2808988764044944,1.0786516853932584,1.1610486891385767,4.5767790262172285,0.14232209737827714,0.7,0.0811965811965812,0.11564625850340136,0.14965986394557823,0.2,0.2986111111111111,0.3888888888888889,0.9064327485380117,10.53061224489796,4.243055555555555,0.11684834576400842,1.0187265917602997,8.808988764044944,92.76404494382022,7.610486891385768,10.247191011235955,8.629213483146067,9.288389513108614,36.61423220973783,1.1385767790262171,14.02247191011236,65.07865168539325,4.794007490636704,26.48689138576779,313.34831460674155,1.2584269662921348,1.3183520599250935,0.599250936329588,0.1198501872659176,0.1198501872659176,2.5767790262172285,0.299625468164794,3.355805243445693,2.636704119850187,0.6591760299625468,0.1797752808988764,0.9588014981273408
555555555555,132.2,17,8,9,12,5,0.5,0.4,6.0,159.0,1264.0,153.0,203.0,127.0,140.0,524.0,20.0,235.0,1196.0,37.0,477.0,5360.0,12.0,37.0,17.0,9.0,0.0,27.0,6.0,43.0,50.0,13.0,0.0,6.0,0.04538577912254161,0.04538577912254161,1.2027231467473527,9.561270801815432,1.157337367624811,1.535552193645991,0.9606656580937973,1.0590015128593042,3.9636913767019673,0.15128593040847202,0.47058823529411764,0.0851063829787234,0.03773584905660377,0.23270440251572327,0.5294117647058824,0.2125984251968504,0.33858267716535434,0.6896551724137931,7.949685534591195,4.125984251968504,0.09776119402985074,0.3630862329803329,9.621785173978822,76.49016641452346,9.258698940998489,12.284417549167928,7.685325264750379,8.472012102874434,31.709531013615738,1.2102874432677762,14.22087745839637,72.37518910741302,2.239031770045386,28.86535552193646,324.35703479576404,0.7261724659606658,2.239031770045386,1.0287443267776097,0.5446293494704992,0.0,1.633888048411498,0.3630862329803329,2.6021180030257187,3.0257186081694405,0.7866868381240545,0.0,0.3630862329803329
