Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Red,7539.399999999993,1060,528,532,1060,0,0.4981132075471698,0.0,864.0,9034.0,64827.0,8103.0,11063.0,7735.0,9455.0,48217.0,2544.0,20212.0,74980.0,0.0,29314.0,258404.0,583.0,2335.0,863.0,376.0,85.0,2312.0,369.0,2787.0,2960.0,1720.0,67.0,168.0,0.022282940287025512,0.11459797861898835,1.1982385866249314,8.59842958325597,1.0747539592009985,1.4673581452104956,1.0259437090484662,1.2540785738918228,6.39533649892565,0.33742738148924345,0.4981132075471698,0.1258658222837918,0.09563869825105158,0.2584680097409785,0.43568945538818077,0.2989010989010989,0.3603102779573368,0.8546506372593329,7.175891078149214,6.233613445378151,0.1865954087398028,0.9167838289519068,9.585908692999451,68.78743666604775,8.598031673607988,11.738865161683965,8.20754967238773,10.032628591134582,51.1626919914052,2.6994190519139476,21.446799480064747,79.56070774862728,0.0,31.104862455898374,274.1905191394543,0.618616866063613,2.477650741438313,0.9157227365572865,0.3989707403772187,0.09019285354272231,2.453245616362047,0.3915430936148769,2.9572645038066714,3.140833488075977,1.8250789187468515,0.07109319043955759,0.1782635222962041
Blue,7538.999999999992,1055,527,528,0,1055,0.0,0.4995260663507109,822.0,9125.0,64603.0,8244.0,11175.0,7591.0,9279.0,49429.0,2509.0,20212.0,74328.0,0.0,29078.0,259269.0,541.0,2368.0,835.0,366.0,71.0,2266.0,352.0,2582.0,2931.0,1688.0,59.0,-169.0,-0.022416766149356702,0.10903302825308409,1.2103727284785795,8.569173630454976,1.0935137286112229,1.4822920811778766,1.0068974665074955,1.2307998408276972,6.556439846133447,0.3328027589866034,0.4995260663507109,0.12413417771620819,0.09008219178082191,0.2595068493150685,0.43832335329341315,0.2985113950731129,0.34013963904623895,0.8303355704697987,7.079780821917808,6.511526808062179,0.19064755138485512,0.8722642260246727,9.682981827828636,68.55338904363981,8.748109828889783,11.858336649423013,8.055179732059964,9.846398726621578,52.451518769067576,2.662422071892827,21.44793739222711,78.87306008754486,0.0,30.85608170844943,275.12296060485505,0.5740814431622238,2.512800106114872,0.8860591590396614,0.3883804218066061,0.07534155723570773,2.4045629393818837,0.37352434009815666,2.739885926515456,3.1102268205332306,1.7912189945616148,0.06260777291417967,-0.17933412919485361
xcv,212.8,29,13,16,10,19,0.3,0.5263157894736842,16.0,200.0,1516.0,184.0,262.0,226.0,294.0,1634.0,98.0,571.0,1880.0,0.0,732.0,6903.0,16.0,55.0,15.0,6.0,0.0,73.0,17.0,78.0,78.0,68.0,0.0,-10.0,-0.046992481203007516,0.07518796992481203,0.9398496240601504,7.124060150375939,0.8646616541353384,1.231203007518797,1.0620300751879699,1.381578947368421,7.678571428571428,0.4605263157894737,0.4482758620689655,0.17162872154115585,0.08,0.275,0.4,0.3230088495575221,0.34513274336283184,1.1221374045801527,7.58,7.230088495575221,0.2367086773866435,0.6015037593984962,7.518796992481203,56.992481203007515,6.917293233082707,9.849624060150376,8.496240601503759,11.052631578947368,61.42857142857142,3.6842105263157894,21.466165413533833,70.67669172932331,0.0,27.518796992481203,259.5112781954887,0.6015037593984962,2.0676691729323307,0.5639097744360902,0.22556390977443608,0.0,2.744360902255639,0.6390977443609023,2.932330827067669,2.932330827067669,2.556390977443609,0.0,-0.37593984962406013
metalhead,201.1,29,15,14,13,16,0.38461538461538464,0.625,11.0,247.0,1565.0,236.0,354.0,245.0,266.0,1369.0,66.0,535.0,1992.0,0.0,784.0,8025.0,8.0,56.0,27.0,16.0,2.0,71.0,12.0,88.0,118.0,21.0,0.0,-17.0,-0.08453505718547986,0.05469915464942815,1.2282446544007957,7.782197911486823,1.1735454997513675,1.7603182496270513,1.2182993535554452,1.322725012431626,6.807558428642467,0.3281949278965689,0.5172413793103449,0.1233644859813084,0.044534412955465584,0.22672064777327935,0.5925925925925926,0.2897959183673469,0.35918367346938773,0.751412429378531,6.336032388663968,5.587755102040816,0.1705919003115265,0.4375932371954252,9.825957235206365,62.25758329189458,9.38836399801094,14.08254599701641,9.746394828443561,10.581800099453009,54.46046742913973,2.625559423172551,21.282943809050224,79.24415713575335,0.0,31.188463451019395,319.24415713575337,0.3182496270512183,2.227747389358528,1.0740924912978618,0.6364992541024366,0.07956240676280457,2.8244654400795626,0.4773744405768275,3.5007458975634016,4.69418199900547,0.8354052710094481,0.0,-0.6762804574838389
rc,192.79999999999998,25,17,8,15,10,0.7333333333333333,0.6,21.0,210.0,1584.0,187.0,257.0,160.0,222.0,1144.0,88.0,516.0,1741.0,0.0,680.0,6461.0,15.0,57.0,18.0,6.0,1.0,43.0,8.0,55.0,70.0,62.0,2.0,15.0,0.07780082987551867,0.10892116182572616,1.0892116182572615,8.215767634854773,0.9699170124481329,1.33298755186722,0.8298755186721992,1.1514522821576765,5.933609958506224,0.4564315352697096,0.68,0.17054263565891473,0.1,0.2714285714285714,0.3333333333333333,0.26875,0.34375,0.8638132295719845,7.542857142857143,7.15,0.17706237424547283,0.8713692946058093,8.713692946058092,65.72614107883818,7.759336099585063,10.66390041493776,6.639004149377594,9.211618257261412,47.468879668049794,3.6514522821576767,21.41078838174274,72.24066390041494,0.0,28.215767634854775,268.09128630705396,0.6224066390041494,2.3651452282157677,0.7468879668049793,0.24896265560165978,0.041493775933609964,1.7842323651452283,0.3319502074688797,2.282157676348548,2.9045643153526974,2.5726141078838176,0.08298755186721993,0.6224066390041494
LiddiLidd,155.0,22,7,15,8,14,0.5,0.21428571428571427,8.0,125.0,752.0,117.0,188.0,172.0,196.0,1622.0,49.0,414.0,1173.0,0.0,460.0,5122.0,4.0,41.0,14.0,5.0,1.0,63.0,6.0,69.0,71.0,24.0,0.0,-33.0,-0.2129032258064516,0.05161290322580645,0.8064516129032258,4.851612903225806,0.7548387096774194,1.2129032258064516,1.1096774193548387,1.264516129032258,10.464516129032258,0.3161290322580645,0.3181818181818182,0.11835748792270531,0.064,0.328,0.35714285714285715,0.36627906976744184,0.4011627906976744,1.0425531914893618,6.016,9.430232558139535,0.31667317454119487,0.4129032258064516,6.451612903225806,38.81290322580645,6.038709677419355,9.703225806451613,8.87741935483871,10.116129032258064,83.71612903225807,2.529032258064516,21.36774193548387,60.541935483870965,0.0,23.741935483870968,264.36129032258066,0.2064516129032258,2.1161290322580646,0.7225806451612903,0.25806451612903225,0.05161290322580645,3.2516129032258063,0.3096774193548387,3.5612903225806454,3.664516129032258,1.238709677419355,0.0,-1.7032258064516128
DEAD NAN,146.79999999999998,20,9,11,10,10,0.4,0.5,23.0,180.0,1557.0,156.0,210.0,154.0,193.0,980.0,61.0,398.0,1282.0,0.0,502.0,4867.0,19.0,37.0,13.0,5.0,1.0,40.0,5.0,44.0,54.0,39.0,1.0,5.0,0.0340599455040872,0.1566757493188011,1.226158038147139,10.606267029972754,1.0626702997275206,1.4305177111716623,1.0490463215258856,1.3147138964577658,6.675749318801091,0.4155313351498638,0.45,0.15326633165829145,0.12777777777777777,0.20555555555555555,0.38461538461538464,0.2597402597402597,0.2857142857142857,0.919047619047619,8.65,6.363636363636363,0.20135607150195192,1.2534059945504088,9.809264305177113,84.85013623978203,8.501362397820165,11.444141689373298,8.392370572207085,10.517711171662127,53.40599455040873,3.3242506811989103,21.689373297002728,69.86376021798365,0.0,27.356948228882835,265.2316076294278,1.0354223433242509,2.016348773841962,0.7084468664850138,0.2724795640326976,0.054495912806539516,2.1798365122615806,0.2724795640326976,2.3978201634877387,2.942779291553134,2.125340599455041,0.054495912806539516,0.2724795640326976
JukeOfEarl,146.70000000000002,20,9,11,9,11,0.3333333333333333,0.5454545454545454,16.0,187.0,1471.0,170.0,209.0,133.0,146.0,617.0,40.0,395.0,1538.0,0.0,598.0,5279.0,12.0,37.0,18.0,9.0,4.0,29.0,7.0,44.0,39.0,13.0,1.0,-9.0,-0.061349693251533735,0.10906612133605997,1.274710293115201,10.027266530334014,1.1588275391956373,1.4246762099522834,0.9066121336059986,0.9952283571915472,4.205862304021813,0.27266530334014993,0.45,0.10126582278481013,0.0855614973262032,0.19786096256684493,0.5,0.21804511278195488,0.3308270676691729,0.6985645933014354,7.866310160427807,4.639097744360902,0.11687819662814927,0.8725289706884798,10.197682344921608,80.21813224267211,9.270620313565098,11.397409679618267,7.252897068847989,7.961826857532378,33.6468984321745,2.1813224267211995,21.540558963871845,83.87184730743012,0.0,32.61077027948193,287.8800272665303,0.6543967280163598,2.0177232447171094,0.9815950920245398,0.4907975460122699,0.21813224267211995,1.5814587593728697,0.3817314246762099,2.3994546693933194,2.1267893660531696,0.7089297886843898,0.05453306066802999,-0.4907975460122699
tha king,137.4,18,8,10,9,9,0.5555555555555556,0.3333333333333333,12.0,123.0,909.0,110.0,175.0,165.0,187.0,1278.0,46.0,369.0,1350.0,0.0,528.0,4179.0,6.0,28.0,5.0,0.0,3.0,50.0,10.0,65.0,65.0,22.0,1.0,-9.0,-0.06550218340611354,0.08733624454148471,0.8951965065502183,6.615720524017467,0.8005822416302766,1.2736535662299855,1.2008733624454149,1.3609898107714702,9.301310043668122,0.3347889374090247,0.4444444444444444,0.12466124661246612,0.0975609756097561,0.22764227642276422,0.0,0.30303030303030304,0.3939393939393939,1.0685714285714285,7.390243902439025,7.745454545454545,0.30581478822684854,0.6986899563318777,7.1615720524017465,52.92576419213974,6.404657933042213,10.189228529839884,9.606986899563319,10.887918486171762,74.41048034934498,2.6783114992721977,21.484716157205238,78.60262008733625,0.0,30.742358078602617,243.3187772925764,0.34934497816593885,1.6302765647743813,0.29112081513828236,0.0,0.17467248908296942,2.911208151382824,0.5822416302765647,3.784570596797671,3.784570596797671,1.2809315866084425,0.05822416302765648,-0.5240174672489083
eee,130.6,17,11,6,5,12,0.6,0.6666666666666666,18.0,179.0,1520.0,159.0,191.0,137.0,160.0,570.0,37.0,350.0,1384.0,0.0,542.0,3850.0,20.0,46.0,17.0,7.0,0.0,35.0,9.0,40.0,32.0,23.0,2.0,12.0,0.09188361408882083,0.13782542113323124,1.3705972434915774,11.638591117917306,1.217457886676876,1.4624808575803983,1.0490045941807045,1.2251148545176112,4.3644716692189895,0.2833078101071976,0.6470588235294118,0.10571428571428572,0.1005586592178771,0.2569832402234637,0.4117647058823529,0.25547445255474455,0.291970802919708,0.837696335078534,8.491620111731844,4.160583941605839,0.14805194805194805,1.1026033690658499,10.96477794793262,93.10872894333845,9.739663093415007,11.699846860643186,8.392036753445636,9.80091883614089,34.915773353751916,2.2664624808575806,21.439509954058195,84.77794793261869,0.0,33.20061255742726,235.83460949464012,1.2251148545176112,2.8177641653905057,1.0413476263399695,0.4287901990811639,0.0,2.1439509954058193,0.5513016845329249,2.4502297090352223,1.9601837672281777,1.4088820826952528,0.1225114854517611,0.7350689127105666
