Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Red,11225.499999999996,1524,745,779,1524,0,0.48884514435695536,0.0,1102.0,11639.0,85908.0,10437.0,16467.0,9801.0,11881.0,57255.0,3728.0,29901.0,83482.0,0.0,32582.0,341404.0,835.0,3165.0,1028.0,433.0,87.0,3217.0,407.0,3860.0,6030.0,2080.0,100.0,288.0,0.02565587278963076,0.09816934657698992,1.0368357756892792,7.652933054206942,0.9297581399492231,1.466927976482117,0.8731014208721218,1.0583938354638995,5.100440960313573,0.3321010199991093,0.48884514435695536,0.1246781044112237,0.09468167368330613,0.27193057822837013,0.42120622568093385,0.3282318130802979,0.39383736353433324,0.7215036132871804,7.3810464816565,5.841750841750842,0.16770453773242258,0.7853547726159193,8.294686205514234,61.223464433655536,7.438065119593785,11.735423811856936,6.984811366976975,8.467150683711196,40.80352768250859,2.6568081599928743,21.309340341187482,59.494543672887644,0.0,23.219990200881927,243.3060442741972,0.5950737160928246,2.255578816088371,0.7326177007705672,0.3085831366086144,0.062001692574941,2.2926372990067265,0.29005389514943664,2.750879693554854,4.297358692263153,1.4823393167342216,0.07126631330452989,0.20524698231704608
Blue,11216.6,1527,784,743,0,1527,0.0,0.5134250163719711,1030.0,11874.0,85273.0,10739.0,16719.0,9503.0,11613.0,56576.0,3742.0,29856.0,84307.0,0.0,32942.0,343165.0,819.0,3269.0,1024.0,401.0,86.0,3113.0,330.0,3574.0,5980.0,2110.0,105.0,-286.0,-0.025497922721680367,0.09182818322842928,1.0586095608294848,7.602392881978496,0.9574202521263128,1.4905586363069023,0.8472264322521976,1.0353404775065527,5.043952712943316,0.3336126812046431,0.5134250163719711,0.12533494105037513,0.08674414687552635,0.275307394306889,0.3916015625,0.3275807639692729,0.37609176049668525,0.6945989592678988,7.181488967491999,5.953488372093023,0.16486529803447322,0.7346254658274343,8.468876486635878,60.819143055827965,7.659362017010502,11.924469090455219,6.777811458017581,8.282723820052421,40.35162170354653,2.668901449637145,21.294153308489204,60.1301642208869,0.0,23.49517679154111,244.75509512686554,0.5841342296239502,2.3315443182426048,0.7303460941818376,0.28600467164737975,0.06133766025355277,2.22028065545709,0.23536544050781877,2.549079043560437,4.265107073444716,1.5049123620348412,0.07488900379794233,-0.20398338177344294
metalhead,397.99999999999994,60,28,32,34,26,0.35294117647058826,0.6153846153846154,31.0,402.0,2375.0,370.0,610.0,321.0,383.0,2896.0,153.0,1047.0,2695.0,0.0,1050.0,13438.0,16.0,124.0,42.0,24.0,2.0,121.0,14.0,138.0,240.0,62.0,1.0,-9.0,-0.02261306532663317,0.07788944723618092,1.0100502512562815,5.967336683417086,0.9296482412060303,1.5326633165829149,0.806532663316583,0.9623115577889448,7.27638190954774,0.3844221105527639,0.4666666666666667,0.14613180515759314,0.07711442786069651,0.30845771144278605,0.5714285714285714,0.37694704049844235,0.42990654205607476,0.6278688524590164,5.907960199004975,9.021806853582554,0.21550826015776156,0.6231155778894474,8.080402010050252,47.73869346733669,7.437185929648242,12.261306532663319,6.452261306532664,7.698492462311559,58.21105527638192,3.075376884422111,21.04522613065327,54.170854271356795,0.0,21.105527638190956,270.11055276381916,0.3216080402010051,2.4924623115577895,0.8442211055276383,0.48241206030150763,0.040201005025125636,2.432160804020101,0.28140703517587945,2.773869346733669,4.824120603015076,1.2462311557788948,0.020100502512562818,-0.18090452261306536
babyTron,296.80000000000007,37,18,19,14,23,0.21428571428571427,0.6521739130434783,25.0,256.0,2332.0,230.0,373.0,294.0,349.0,1391.0,102.0,796.0,1756.0,0.0,680.0,9140.0,28.0,61.0,12.0,3.0,1.0,97.0,11.0,118.0,143.0,55.0,1.0,4.0,0.01347708894878706,0.08423180592991912,0.8625336927223718,7.857142857142855,0.7749326145552559,1.2567385444743933,0.9905660377358488,1.1758760107816708,4.6866576819407,0.34366576819407,0.4864864864864865,0.12814070351758794,0.09765625,0.23828125,0.25,0.3299319727891156,0.4013605442176871,0.935656836461126,9.109375,4.7312925170068025,0.15218818380743981,0.673854447439353,6.900269541778974,62.85714285714284,6.199460916442047,10.053908355795146,7.924528301886791,9.407008086253366,37.4932614555256,2.74932614555256,21.455525606469,47.33153638814015,0.0,18.3288409703504,246.36118598382743,0.7547169811320753,1.6442048517520211,0.3234501347708894,0.08086253369272235,0.02695417789757412,2.6145552560646896,0.2964959568733153,3.180592991913746,3.8544474393530987,1.4824797843665765,0.02695417789757412,0.10781671159029647
fl33t,293.09999999999997,42,16,26,20,22,0.3,0.45454545454545453,19.0,263.0,2305.0,243.0,381.0,230.0,303.0,1675.0,98.0,775.0,2174.0,0.0,848.0,9423.0,31.0,60.0,21.0,12.0,2.0,88.0,12.0,102.0,138.0,73.0,1.0,-25.0,-0.085295121119072,0.06482429205049473,0.8973046741726375,7.864210167178438,0.8290685772773798,1.2998976458546572,0.7847151142954624,1.0337768679631527,5.714773114977824,0.33435687478676224,0.38095238095238093,0.12645161290322582,0.07224334600760456,0.22813688212927757,0.5714285714285714,0.3826086956521739,0.4434782608695652,0.7952755905511811,8.76425855513308,7.282608695652174,0.1777565531147193,0.5185943364039578,7.1784373933811,62.913681337427505,6.6325486182190385,10.399181166837257,6.277720914363699,8.270214943705222,45.71818491982259,2.674854998294098,21.153190037529857,59.338109860116006,0.0,23.14568406687138,257.19549641760494,0.8461276015011943,1.6376663254861823,0.5731832139201638,0.32753326509723646,0.05458887751620608,2.4019106107130677,0.32753326509723646,2.78403275332651,3.7666325486182193,1.9924940293415219,0.02729443875810304,-0.682360968952576
Mystic,211.10000000000002,27,13,14,10,17,0.4,0.5294117647058824,17.0,178.0,1362.0,161.0,305.0,248.0,277.0,1222.0,66.0,559.0,1313.0,0.0,512.0,6513.0,12.0,47.0,13.0,7.0,1.0,84.0,12.0,97.0,144.0,29.0,0.0,-12.0,-0.05684509711037422,0.08053055423969682,0.8432022738038844,6.451918522027475,0.7626717195641876,1.444812884888678,1.1747986736144007,1.3121743249644717,5.788725722406442,0.3126480341070582,0.48148148148148145,0.11806797853309481,0.09550561797752809,0.2640449438202247,0.5384615384615384,0.3387096774193548,0.3911290322580645,0.9081967213114754,7.651685393258427,4.92741935483871,0.18762475049900199,0.6442444339175746,6.745618190431075,51.6153481762198,6.1013737565135004,11.558503079109425,9.398389388915206,10.497394599715774,46.30980577925153,2.5011842728564657,21.184272856466126,49.758408337280905,0.0,19.40312648034107,246.8214116532449,0.45476077688299377,1.781146376125059,0.49265750828990995,0.26527711984841307,0.03789673140691615,3.1833254381809564,0.45476077688299377,3.6759829464708664,5.457129322595925,1.0990052108005683,0.0,-0.45476077688299377
rc,198.29999999999998,25,8,17,12,13,0.16666666666666666,0.46153846153846156,17.0,196.0,1091.0,178.0,296.0,137.0,181.0,964.0,72.0,534.0,1432.0,0.0,556.0,5685.0,3.0,69.0,18.0,6.0,0.0,40.0,3.0,52.0,118.0,44.0,1.0,-20.0,-0.10085728693898136,0.08572869389813415,0.9884014120020173,5.501765002521433,0.897629853756934,1.492687846696924,0.6908724155320223,0.9127584467977812,4.861321230458901,0.3630862329803329,0.32,0.1348314606741573,0.08673469387755102,0.3520408163265306,0.3333333333333333,0.291970802919708,0.3795620437956204,0.6114864864864865,5.566326530612245,7.036496350364963,0.16956904133685136,0.6858295511850732,7.907211296016138,44.01412002017146,7.181038830055472,11.941502773575392,5.526979324256178,7.302067574382249,38.89056984367121,2.904689863842663,21.543116490166415,57.771053958648515,0.0,22.430660615229453,229.34947049924358,0.12102874432677763,2.783661119515885,0.7261724659606658,0.24205748865355525,0.0,1.6137165910237017,0.12102874432677763,2.097831568330812,4.76046394351992,1.7750882501260719,0.04034291477559254,-0.8068582955118508
PuyoPuyo,195.7,30,14,16,12,18,0.5,0.4444444444444444,17.0,220.0,1835.0,200.0,319.0,127.0,141.0,885.0,37.0,508.0,1369.0,0.0,534.0,6366.0,22.0,45.0,18.0,9.0,1.0,39.0,2.0,39.0,119.0,14.0,3.0,-10.0,-0.0510986203372509,0.08686765457332653,1.1241696474195197,9.37659683188554,1.021972406745018,1.6300459887583036,0.6489524782830864,0.7204905467552376,4.522227899846705,0.18906489524782832,0.4666666666666667,0.07283464566929133,0.07727272727272727,0.20454545454545456,0.5,0.30708661417322836,0.30708661417322836,0.44200626959247646,8.340909090909092,6.968503937007874,0.13901979264844486,0.6949412365866122,8.993357179356158,75.01277465508431,8.175779253960144,13.04036791006643,5.1916198262646915,5.763924374041901,36.17782319877364,1.5125191619826266,20.766479305058766,55.963208993357185,0.0,21.829330608073583,260.23505365355135,0.8993357179356158,1.8395503321410323,0.7358201328564129,0.36791006642820645,0.040878896269800714,1.594276954522228,0.08175779253960143,1.594276954522228,4.864588656106285,0.5723045477772101,0.12263668880940215,-0.4087889626980072
Kei Yonagi,195.10000000000002,24,14,10,11,13,0.6363636363636364,0.5384615384615384,15.0,237.0,1485.0,221.0,327.0,143.0,191.0,542.0,66.0,518.0,1720.0,0.0,678.0,5638.0,8.0,82.0,22.0,7.0,1.0,48.0,4.0,48.0,106.0,48.0,1.0,0.0,0.0,0.07688364941055868,1.2147616606868272,7.611481291645309,1.132752434648898,1.6760635571501792,0.7329574577139928,0.9789851358277805,2.7780625320348538,0.3382880574064582,0.5833333333333334,0.1274131274131274,0.06329113924050633,0.3459915611814346,0.3181818181818182,0.3356643356643357,0.3356643356643357,0.5840978593272171,6.265822784810126,3.7902097902097904,0.09613338063142958,0.6150691952844695,9.718093285494618,60.89185033316247,9.062019477191184,13.408508457201433,5.863659661711942,7.831881086622244,22.22450025627883,2.7063044592516654,21.240389543823678,70.52793439261916,0.0,27.80112762685802,231.1840082009226,0.32803690415171705,3.3623782675550995,0.9021014864172219,0.2870322911327524,0.04100461301896463,1.9682214249103023,0.16401845207585852,1.9682214249103023,4.346488980010251,1.9682214249103023,0.04100461301896463,0.0
Marijuana,180.59999999999997,27,17,10,13,14,0.6923076923076923,0.5714285714285714,20.0,222.0,1719.0,199.0,290.0,124.0,151.0,941.0,63.0,473.0,1418.0,0.0,554.0,6127.0,8.0,41.0,15.0,3.0,1.0,27.0,10.0,40.0,91.0,27.0,3.0,3.0,0.016611295681063128,0.11074197120708751,1.2292358803986714,9.51827242524917,1.1018826135105206,1.605758582502769,0.6866002214839425,0.8361018826135107,5.210409745293467,0.34883720930232565,0.6296296296296297,0.1331923890063425,0.09009009009009009,0.18468468468468469,0.2,0.21774193548387097,0.3225806451612903,0.5206896551724138,7.743243243243243,7.588709677419355,0.15358250367227028,0.8859357696567001,9.833887043189371,76.14617940199336,8.815060908084165,12.846068660022151,5.49280177187154,6.688815060908086,41.68327796234774,2.790697674418605,20.952380952380956,62.812846068660036,0.0,24.540420819490592,271.4064230343301,0.35437430786268004,1.816168327796235,0.664451827242525,0.13289036544850502,0.044296788482835005,1.1960132890365451,0.44296788482835003,1.7718715393134001,4.031007751937985,1.1960132890365451,0.13289036544850502,0.13289036544850502
