Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Blue,10805.399999999963,1511,899,612,0,1511,0.0,0.5949702183984117,1226.0,11764.0,93675.0,10441.0,14634.0,10481.0,13913.0,63201.0,3653.0,28836.0,89339.0,19108.0,38683.0,374923.0,1029.0,3000.0,1067.0,466.0,87.0,3048.0,533.0,3479.0,4193.0,3432.0,97.0,351.0,0.03248375812093964,0.11346178762470654,1.0887149018083588,8.669276472874703,0.9662761211986632,1.3543228385807142,0.9699779739759783,1.2875969422696103,5.849019934477226,0.33807170488829774,0.5949702183984117,0.12668192537106396,0.10421625297517852,0.2550153009180551,0.43673851921274603,0.29081194542505484,0.33193397576567124,0.9507311739784065,7.96285277116627,6.030054384123653,0.1685706131659034,0.9076943009976524,8.70971921446687,69.35421178299762,7.730208969589306,10.834582708645714,7.759823791807826,10.300775538156882,46.792159475817805,2.704573639106382,21.349325337331408,66.14396505451,14.147000573787228,28.639754196975684,277.5819497658588,0.7618413015714391,2.221111666389035,0.7899753826790336,0.3450126788457635,0.06441223832528202,2.25664945305126,0.39461750606178525,2.5757491624558178,3.1043737390564083,2.5409517463490565,0.07181594387991214,0.25987006496751713
Red,10796.799999999965,1508,612,896,1508,0,0.40583554376657827,0.0,1138.0,11937.0,93734.0,10697.0,15082.0,10240.0,13441.0,64463.0,3556.0,28836.0,92081.0,18821.0,39696.0,374679.0,1008.0,3078.0,1126.0,472.0,101.0,2968.0,501.0,3341.0,4385.0,3201.0,102.0,-347.0,-0.03213915234143461,0.10540160047421493,1.1056053645524635,8.68164641375225,0.9907565204505071,1.3968953764078291,0.9484291641968021,1.244905898043869,5.970565352697115,0.3293568464730301,0.40583554376657827,0.12331807462893606,0.09533383597218732,0.25785373209349083,0.4191829484902309,0.28984375,0.32626953125,0.891194801750431,7.852391723213538,6.29521484375,0.17204860694087473,0.8432128037937194,8.844842916419708,69.453171310018,7.926052163604057,11.175163011262633,7.587433313574417,9.959247184350952,47.76452282157692,2.6348547717842408,21.366330764671083,68.22836395969199,13.945613515115635,29.413159454653325,277.62225844694814,0.7468879668049817,2.2806757557794977,0.8343212803793744,0.3497332542975708,0.07483698873740392,2.199170124481335,0.3712211025489046,2.4755483106105594,3.249110847658576,2.371813870776534,0.07557794902193267,-0.25711321873147686
CRYCHIC,227.5,30,16,14,11,19,0.5454545454545454,0.5263157894736842,21.0,297.0,2490.0,271.0,334.0,190.0,284.0,1247.0,80.0,611.0,1954.0,277.0,813.0,7876.0,32.0,94.0,33.0,18.0,0.0,45.0,15.0,54.0,63.0,94.0,5.0,-15.0,-0.06593406593406594,0.09230769230769231,1.3054945054945055,10.945054945054945,1.1912087912087912,1.468131868131868,0.8351648351648352,1.2483516483516484,5.481318681318681,0.3516483516483517,0.5333333333333333,0.1309328968903437,0.0707070707070707,0.3164983164983165,0.5454545454545454,0.23684210526315788,0.28421052631578947,0.8502994011976048,8.383838383838384,6.563157894736842,0.15832910106653122,0.7384615384615385,10.443956043956044,87.56043956043956,9.52967032967033,11.745054945054944,6.681318681318682,9.986813186813187,43.85054945054945,2.8131868131868134,21.485714285714284,68.71208791208791,9.74065934065934,28.58901098901099,276.95824175824174,1.1252747252747253,3.3054945054945053,1.1604395604395605,0.6329670329670329,0.0,1.5824175824175823,0.5274725274725275,1.8989010989010988,2.2153846153846155,3.3054945054945053,0.17582417582417584,-0.5274725274725275
bubblez,203.60000000000005,29,15,14,13,16,0.46153846153846156,0.5625,32.0,258.0,2498.0,226.0,292.0,139.0,196.0,727.0,68.0,540.0,1871.0,245.0,777.0,7251.0,37.0,62.0,22.0,9.0,3.0,49.0,7.0,48.0,66.0,57.0,0.0,11.0,0.05402750491159134,0.15717092337917482,1.2671905697445969,12.269155206286834,1.1100196463654222,1.4341846758349701,0.6827111984282906,0.9626719056974458,3.570726915520628,0.3339882121807465,0.5172413793103449,0.1259259259259259,0.12403100775193798,0.24031007751937986,0.4090909090909091,0.35251798561151076,0.34532374100719426,0.6712328767123288,9.682170542635658,5.23021582733813,0.10026203282305889,1.2573673870333986,10.137524557956775,98.15324165029467,8.880157170923377,11.473477406679761,5.461689587426325,7.701375245579566,28.565815324165023,2.671905697445972,21.2180746561886,73.51669941060902,9.626719056974457,30.530451866404707,284.9115913555991,1.453831041257367,2.4361493123772098,0.8644400785854615,0.3536345776031433,0.11787819253438112,1.9253438113948915,0.2750491159135559,1.8860510805500978,2.5933202357563845,2.239685658153241,0.0,0.43222003929273073
Enervate,180.3,24,11,13,14,10,0.6428571428571429,0.2,20.0,236.0,1590.0,216.0,273.0,194.0,244.0,776.0,57.0,480.0,1715.0,165.0,705.0,6069.0,12.0,68.0,20.0,10.0,1.0,45.0,9.0,60.0,57.0,50.0,0.0,-24.0,-0.13311148086522462,0.11092623405435385,1.3089295618413754,8.81863560732113,1.1980033277870215,1.51414309484193,1.0759844703272323,1.353300055463117,4.303937881308929,0.3161397670549085,0.4583333333333333,0.11875,0.0847457627118644,0.288135593220339,0.5,0.23195876288659795,0.30927835051546393,0.8937728937728938,6.737288135593221,4.0,0.1278629098698303,0.8874098724348308,10.471436494731003,70.54908485856905,9.584026622296172,12.11314475873544,8.607875762617859,10.826400443704935,34.431503050471434,2.529118136439268,21.29783693843594,76.09539656128673,7.321131447587354,31.281198003327784,269.2845257903494,0.5324459234608985,3.017193566278425,0.8874098724348308,0.4437049362174154,0.04437049362174154,1.9966722129783692,0.39933444259567386,2.6622296173044924,2.529118136439268,2.218524681087077,0.0,-1.064891846921797
Ducky,175.90000000000003,24,8,16,12,12,0.16666666666666666,0.5,9.0,118.0,765.0,109.0,198.0,188.0,234.0,2075.0,61.0,466.0,1269.0,395.0,571.0,5927.0,6.0,31.0,17.0,6.0,1.0,70.0,9.0,83.0,89.0,46.0,0.0,-14.0,-0.07959067652075041,0.05116543490619669,0.6708357021034678,4.349061967026719,0.619670267197271,1.1256395679363271,1.06878908470722,1.330301307561114,11.796475270039792,0.3467879476975554,0.3333333333333333,0.13090128755364808,0.07627118644067797,0.2627118644067797,0.35294117647058826,0.3723404255319149,0.44148936170212766,1.1818181818181819,6.483050847457627,11.037234042553191,0.35009279568078283,0.4093234792495735,5.366685616827742,34.79249573621375,4.957362137578168,9.005116543490617,8.55031267765776,10.642410460488913,94.37180216031834,2.774303581580443,21.193860147811254,57.71461057418987,17.96475270039795,25.969300739056276,269.5622512791358,0.2728823194997157,1.4098919840818644,0.7731665719158611,0.2728823194997157,0.04548038658328595,3.1836270608300166,0.4093234792495735,3.7748720864127336,4.04775440591245,2.0920977828311536,0.0,-0.6367254121660033
Ceremony,173.70000000000002,23,10,13,14,9,0.42857142857142855,0.4444444444444444,37.0,236.0,2207.0,197.0,248.0,107.0,141.0,671.0,70.0,474.0,1659.0,175.0,687.0,6258.0,27.0,52.0,17.0,8.0,6.0,38.0,4.0,38.0,51.0,34.0,2.0,-7.0,-0.04029936672423719,0.2130109383995394,1.3586643638457108,12.705814622913067,1.1341393206678179,1.4277489925158318,0.6160046056419113,0.8117443868739205,3.862982153137593,0.40299366724237184,0.43478260869565216,0.14767932489451477,0.15677966101694915,0.22033898305084745,0.47058823529411764,0.35514018691588783,0.35514018691588783,0.5685483870967742,9.351694915254237,6.271028037383178,0.10722275487376158,1.7040875071963153,10.869314910765686,101.64651698330454,9.073114565342543,11.421991940126654,4.92803684513529,6.493955094991364,30.903857225100744,3.2239493379389748,21.8307426597582,76.40759930915371,8.059873344847437,31.64075993091537,288.22107081174437,1.2435233160621761,2.394933793897524,0.7829591249280368,0.3684513529073114,0.27633851468048354,1.7501439263097291,0.1842256764536557,1.7501439263097291,2.3488773747841103,1.5659182498560735,0.09211283822682785,-0.3223949337938975
Helen Keller,172.9,23,10,13,13,10,0.46153846153846156,0.4,25.0,184.0,1558.0,158.0,224.0,213.0,280.0,1039.0,67.0,460.0,1411.0,365.0,620.0,5504.0,19.0,37.0,14.0,4.0,2.0,65.0,11.0,71.0,66.0,67.0,1.0,-4.0,-0.02313475997686524,0.14459224985540775,1.064198958935801,9.010989010989011,0.9138230190861769,1.2955465587044535,1.231925968768074,1.6194331983805668,6.0092539039907455,0.38750722961249273,0.43478260869565216,0.14565217391304347,0.1358695652173913,0.20108695652173914,0.2857142857142857,0.3051643192488263,0.3333333333333333,1.25,8.467391304347826,4.877934272300469,0.18877180232558138,1.156737998843262,8.513591671486408,72.08791208791209,7.310584152689415,10.364372469635628,9.855407750144591,12.955465587044534,48.074031231925964,3.100057836899942,21.28397917871602,65.2862926547137,16.888374783111626,28.687102371312896,254.66743782533254,0.8791208791208791,1.7119722382880278,0.6477732793522267,0.18507807981492191,0.09253903990746096,3.007518796992481,0.5089647194910353,3.285135916714864,3.0537883169462114,3.100057836899942,0.04626951995373048,-0.18507807981492191
K O,168.60000000000002,22,13,9,10,12,0.5,0.6666666666666666,18.0,184.0,1085.0,166.0,230.0,178.0,245.0,1036.0,51.0,452.0,1555.0,206.0,642.0,5519.0,6.0,59.0,18.0,12.0,2.0,63.0,10.0,70.0,64.0,67.0,0.0,17.0,0.1008303677342823,0.10676156583629892,1.0913404507710556,6.435349940688018,0.9845788849347566,1.3641755634638195,1.055753262158956,1.4531435349940687,6.1447212336892045,0.30249110320284694,0.5909090909090909,0.11283185840707964,0.09782608695652174,0.32065217391304346,0.6666666666666666,0.3539325842696629,0.39325842696629215,1.065217391304348,5.896739130434782,5.820224719101123,0.18771516579090414,0.8540925266903914,8.730723606168445,51.48279952550414,7.876631079478053,10.913404507710556,8.446026097271648,11.62514827995255,49.157769869513636,2.4199288256227756,21.44721233689205,73.78410438908658,9.774614472123368,30.46263345195729,261.8742586002372,0.2846975088967971,2.799525504151838,0.8540925266903914,0.5693950177935942,0.0948991696322657,2.98932384341637,0.4744958481613285,3.3214709371292996,3.0367734282325025,3.179122182680901,0.0,0.8066429418742584
knight_,166.1,22,8,14,12,10,0.25,0.5,18.0,161.0,1107.0,142.0,212.0,133.0,161.0,732.0,48.0,441.0,1495.0,235.0,631.0,5966.0,10.0,49.0,14.0,4.0,1.0,29.0,2.0,32.0,70.0,28.0,1.0,-7.0,-0.04214328717639976,0.10836845273931367,0.9692956050571945,6.664659843467791,0.8549066827212523,1.2763395544852498,0.8007224563515954,0.9692956050571945,4.40698374473209,0.2889825406381698,0.36363636363636365,0.10884353741496598,0.11180124223602485,0.30434782608695654,0.2857142857142857,0.21804511278195488,0.24060150375939848,0.7594339622641509,6.875776397515528,5.503759398496241,0.12269527321488434,0.8669476219145094,7.754364840457556,53.31727874774233,6.839253461770018,10.210716435881999,6.405779650812764,7.754364840457556,35.25586995785672,2.3118603251053584,21.24021673690548,72.00481637567731,11.31848284166165,30.391330523780855,287.3449729078868,0.481637567730283,2.3600240818783864,0.6742925948223961,0.19265502709211318,0.048163756773028296,1.3967489464178207,0.09632751354605659,1.5412402167369055,3.371462974111981,1.3485851896447922,0.048163756773028296,-0.33714629741119806
