Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Blue,4769.199999999994,663,355,308,0,663,0.0,0.5354449472096531,426.0,5937.0,45999.0,5457.0,6659.0,5259.0,6312.0,26419.0,1600.0,12788.0,48950.0,0.0,19152.0,182520.0,434.0,1285.0,569.0,264.0,33.0,1239.0,223.0,1599.0,1202.0,1053.0,54.0,-171.0,-0.03585507003270993,0.08932315692359316,1.2448628700830342,9.645013838798972,1.144217059464901,1.396250943554476,1.1027006625849212,1.3234924096284508,5.539503480667624,0.33548603539377714,0.5354449472096531,0.12511729746637473,0.0717534108135422,0.21643927909718713,0.46397188049209137,0.23559612093553908,0.3040501996577296,0.9478900735846223,7.747852450732693,5.0235786271154215,0.1447457812842428,0.7145852553887453,9.958902960664274,77.16011071039178,9.153736475719208,11.170007548435809,8.82160530067937,10.587939277027607,44.31602784534099,2.683888283150217,21.45097710307811,82.11020716262695,0.0,32.1261427493081,306.164555900361,0.7280046968044964,2.155497777405018,0.9544577706952959,0.4428415667197858,0.055355195839973226,2.0783359892644495,0.3740669294640615,2.682210852973248,2.0162710727166004,1.7663339763482366,0.09058122955631982,-0.2868405602616794
Red,4762.499999999995,657,308,349,657,0,0.4687975646879756,0.0,469.0,5871.0,45630.0,5351.0,6524.0,5366.0,6443.0,24983.0,1597.0,12788.0,48824.0,0.0,19146.0,183980.0,416.0,1256.0,551.0,272.0,33.0,1262.0,223.0,1606.0,1173.0,1077.0,51.0,173.0,0.03632545931758534,0.098477690288714,1.2327559055118122,9.581102362204733,1.1235695538057753,1.3698687664042009,1.126719160104988,1.3528608923884526,5.245774278215228,0.33532808398950165,0.4687975646879756,0.12488270253362527,0.0798841764605689,0.21393289047862374,0.49364791288566245,0.23518449496831906,0.29929183749534105,0.9875843041079092,7.772100153295861,4.655795751024972,0.13579193390585934,0.787821522309712,9.862047244094498,76.64881889763787,8.988556430446202,10.958950131233607,9.013753280839904,10.822887139107621,41.96619422572182,2.682624671916013,21.481154855643066,82.0140682414699,0.0,32.16125984251972,309.0477690288717,0.6987926509186358,2.1098162729658814,0.9255643044619432,0.45690288713910804,0.055433070866141784,2.1198950131233616,0.3745931758530187,2.6977427821522335,1.9703937007874035,1.8091338582677183,0.08566929133858275,0.2906036745406827
metalhead,140.10000000000002,20,12,8,9,11,0.4444444444444444,0.7272727272727273,14.0,181.0,978.0,165.0,218.0,137.0,154.0,842.0,36.0,375.0,1463.0,0.0,574.0,6059.0,2.0,56.0,25.0,13.0,0.0,25.0,5.0,41.0,53.0,17.0,2.0,6.0,0.04282655246252676,0.09992862241256244,1.2919343326195571,6.9807280513918615,1.1777301927194859,1.5560314061384724,0.977872947894361,1.0992148465381868,6.009992862241255,0.25695931477516054,0.6,0.096,0.07734806629834254,0.30939226519337015,0.52,0.18248175182481752,0.29927007299270075,0.7064220183486238,5.403314917127072,6.145985401459854,0.13896682620894538,0.7994289793004995,10.335474660956457,55.84582441113489,9.421841541755887,12.448251249107779,7.822983583154888,8.793718772305494,48.07994289793004,2.0556745182012843,21.41327623126338,83.54032833690219,0.0,32.77658815132048,345.98144182726617,0.11420413990007136,3.197715917201998,1.427551748750892,0.7423269093504639,0.0,1.427551748750892,0.2855103497501784,2.341184867951463,3.026409707351891,0.9707351891506065,0.11420413990007136,0.34261241970021405
rc,115.89999999999999,15,7,8,9,6,0.4444444444444444,0.5,9.0,138.0,1206.0,129.0,163.0,105.0,156.0,648.0,50.0,316.0,1211.0,0.0,474.0,4311.0,13.0,31.0,10.0,4.0,2.0,24.0,2.0,30.0,34.0,51.0,0.0,-6.0,-0.051768766177739435,0.07765314926660916,1.190681622088007,10.405522001725627,1.113028472821398,1.4063848144952547,0.9059534081104401,1.3459879206212253,5.591026747195859,0.4314063848144953,0.4666666666666667,0.15822784810126583,0.06521739130434782,0.2246376811594203,0.4,0.22857142857142856,0.2857142857142857,0.9570552147239264,8.73913043478261,6.171428571428572,0.15031315240083507,0.6212251941328732,9.525452976704056,83.24417601380502,8.904227782571184,11.251078515962037,7.247627264883521,10.767903364969802,44.728213977566874,3.4512510785159622,21.811906816220883,83.5893011216566,0.0,32.717860224331325,297.56686798964625,0.8973252804141502,2.1397756686798965,0.6902502157031924,0.27610008628127697,0.13805004314063848,1.656600517687662,0.13805004314063848,2.0707506471095773,2.346850733390854,3.5202761000862814,0.0,-0.4141501294219155
xcv,114.4,16,11,5,8,8,0.75,0.625,16.0,130.0,1108.0,112.0,134.0,102.0,141.0,632.0,49.0,306.0,1060.0,0.0,410.0,4302.0,12.0,19.0,7.0,3.0,0.0,22.0,8.0,29.0,22.0,39.0,2.0,10.0,0.08741258741258741,0.13986013986013984,1.1363636363636362,9.685314685314685,0.979020979020979,1.1713286713286712,0.8916083916083916,1.2325174825174825,5.524475524475524,0.4283216783216783,0.6875,0.16013071895424835,0.12307692307692308,0.14615384615384616,0.42857142857142855,0.21568627450980393,0.28431372549019607,1.0522388059701493,8.523076923076923,6.196078431372549,0.14690841469084148,1.1188811188811187,9.09090909090909,77.48251748251748,7.832167832167832,9.37062937062937,7.1328671328671325,9.86013986013986,44.19580419580419,3.4265734265734262,21.398601398601397,74.12587412587412,0.0,28.67132867132867,300.8391608391608,0.8391608391608392,1.3286713286713285,0.4895104895104895,0.2097902097902098,0.0,1.5384615384615383,0.5594405594405594,2.027972027972028,1.5384615384615383,2.727272727272727,0.13986013986013984,0.6993006993006993
mc,113.60000000000001,16,11,5,8,8,0.625,0.75,19.0,155.0,1618.0,133.0,165.0,101.0,144.0,431.0,48.0,303.0,1174.0,0.0,458.0,4439.0,24.0,28.0,12.0,9.0,3.0,21.0,5.0,35.0,32.0,43.0,3.0,17.0,0.14964788732394366,0.16725352112676056,1.3644366197183098,14.242957746478872,1.1707746478873238,1.4524647887323943,0.8890845070422535,1.2676056338028168,3.794014084507042,0.4225352112676056,0.6875,0.15841584158415842,0.12258064516129032,0.18064516129032257,0.75,0.2079207920792079,0.3465346534653465,0.8727272727272727,10.438709677419356,4.267326732673268,0.09709394007659383,1.3380281690140845,10.915492957746478,113.94366197183098,9.36619718309859,11.619718309859154,7.112676056338028,10.140845070422534,30.352112676056336,3.380281690140845,21.338028169014084,82.67605633802816,0.0,32.25352112676056,312.6056338028169,1.6901408450704225,1.9718309859154928,0.8450704225352113,0.6338028169014084,0.2112676056338028,1.4788732394366195,0.352112676056338,2.464788732394366,2.253521126760563,3.028169014084507,0.2112676056338028,1.1971830985915493
BallsToYou.,110.3,14,7,7,8,6,0.5,0.5,17.0,195.0,1366.0,176.0,209.0,104.0,135.0,267.0,46.0,293.0,1372.0,0.0,534.0,4135.0,13.0,53.0,23.0,8.0,0.0,22.0,3.0,25.0,33.0,31.0,2.0,-3.0,-0.027198549410698096,0.1541251133272892,1.7679057116953762,12.384406165004533,1.5956482320942884,1.8948322756119673,0.942883046237534,1.2239347234814144,2.4206708975521307,0.4170444242973708,0.5,0.15699658703071673,0.08717948717948718,0.2717948717948718,0.34782608695652173,0.21153846153846154,0.2403846153846154,0.645933014354067,7.005128205128205,2.5673076923076925,0.0645707376058041,1.2330009066183136,14.14324569356301,99.07524932003626,12.765185856754307,15.158658204895739,7.543064369900272,9.791477787851315,19.365367180417046,3.3363553943789666,21.251133272892112,99.51042611060744,0.0,38.73073436083409,299.909338168631,0.942883046237534,3.844061650045331,1.6681776971894833,0.5802357207615594,0.0,1.5956482320942884,0.21758839528558477,1.813236627379873,2.3934723481414326,2.248413417951043,0.14505893019038985,-0.21758839528558477
umad,89.39999999999999,10,6,4,3,7,0.6666666666666666,0.5714285714285714,7.0,137.0,1028.0,129.0,155.0,81.0,88.0,227.0,28.0,251.0,999.0,0.0,392.0,3746.0,9.0,30.0,13.0,11.0,0.0,17.0,1.0,25.0,26.0,7.0,1.0,3.0,0.03355704697986577,0.07829977628635347,1.5324384787472036,11.49888143176734,1.4429530201342282,1.7337807606263984,0.906040268456376,0.9843400447427294,2.539149888143177,0.3131991051454139,0.6,0.11155378486055777,0.051094890510948905,0.21897810218978103,0.8461538461538461,0.20987654320987653,0.30864197530864196,0.567741935483871,7.5036496350364965,2.802469135802469,0.0605979711692472,0.6263982102908278,12.259507829977629,91.99105145413871,11.543624161073826,13.870246085011187,7.248322147651008,7.874720357941835,20.313199105145415,2.505592841163311,22.460850111856825,89.39597315436242,0.0,35.07829977628636,335.21252796420583,0.8053691275167786,2.684563758389262,1.1633109619686801,0.9843400447427294,0.0,1.5212527964205818,0.0894854586129754,2.237136465324385,2.3266219239373602,0.6263982102908278,0.0894854586129754,0.2684563758389262
Madoka,88.7,11,8,3,7,4,0.7142857142857143,0.75,6.0,85.0,666.0,78.0,112.0,133.0,166.0,579.0,32.0,240.0,908.0,0.0,354.0,3227.0,8.0,18.0,8.0,3.0,0.0,45.0,6.0,55.0,34.0,33.0,1.0,6.0,0.06764374295377677,0.06764374295377677,0.9582863585118376,7.508455467869222,0.8793686583990981,1.2626832018038332,1.4994363021420518,1.8714768883878241,6.527621195039458,0.36076662908680945,0.7272727272727273,0.13333333333333333,0.07058823529411765,0.21176470588235294,0.375,0.3383458646616541,0.41353383458646614,1.4821428571428572,7.8352941176470585,4.353383458646617,0.17942361326309267,0.5411499436302142,7.666290868094701,60.06764374295378,7.0349492671927845,10.101465614430666,11.995490417136415,14.971815107102593,52.220969560315666,2.8861330326944756,21.645997745208568,81.89402480270574,0.0,31.927846674182636,291.04847801578353,0.7215332581736189,1.6234498308906427,0.7215332581736189,0.2705749718151071,0.0,4.058624577226606,0.5411499436302142,4.96054114994363,3.0665163472378802,2.976324689966178,0.09019165727170236,0.5411499436302142
Chritt,86.3,12,9,3,3,9,1.0,0.6666666666666666,10.0,97.0,724.0,87.0,109.0,112.0,127.0,521.0,23.0,231.0,1071.0,0.0,418.0,3292.0,6.0,26.0,11.0,6.0,0.0,23.0,6.0,31.0,22.0,15.0,0.0,7.0,0.08111239860950174,0.11587485515643106,1.1239860950173812,8.38933951332561,1.0081112398609502,1.2630359212050986,1.2977983777520279,1.4716106604866745,6.037079953650058,0.26651216685979146,0.75,0.09956709956709957,0.10309278350515463,0.26804123711340205,0.5454545454545454,0.20535714285714285,0.2767857142857143,1.165137614678899,7.463917525773196,4.651785714285714,0.15826245443499393,0.9269988412514485,8.99188876013905,67.11471610660487,8.064889918887602,10.104287369640788,10.382387022016223,11.772885283893396,48.29663962920046,2.1320973348783316,21.413673232908458,99.28157589803013,0.0,38.748551564310546,305.16801853997686,0.5561993047508691,2.410196987253766,1.0196987253765932,0.5561993047508691,0.0,2.1320973348783316,0.5561993047508691,2.8736964078794904,2.0393974507531865,1.3904982618771726,0.0,0.6488991888760139
