Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Blue,34603.700000000055,4923,2702,2221,0,4923,0.0,0.5488523258175909,4463.0,48320.0,296353.0,43537.0,53684.0,43957.0,52961.0,237801.0,7830.0,62028.0,424442.0,58870.0,178048.0,1208902.0,2039.0,13028.0,5724.0,2189.0,496.0,12912.0,2269.0,16319.0,10147.0,9004.0,320.0,594.0,0.017165794409268346,0.12897464721980575,1.3963824677707852,8.564199782104213,1.2581602545392525,1.55139479304236,1.2702976849296441,1.5305010735846143,6.872126391108455,0.22627638084944637,0.5488523258175909,0.12623331398723156,0.09236341059602649,0.26961920529801325,0.38242487770789657,0.29374161111995817,0.37124917533043655,0.9865323001266671,6.133133278145696,5.409855085651887,0.19670825261270145,1.031797177758446,11.171059742166282,68.5135982568337,10.06528203631402,12.41115834433888,10.162381479437153,12.244008588676914,54.97701112886764,1.810211046795571,14.340200614385145,98.12638532873636,13.610105277759294,41.16276583139947,279.4850261677215,0.4713946774477866,3.011932250019502,1.3233266962781416,0.5060730499917631,0.11466981854541548,2.9851143085854934,0.5245681820152172,3.7727757436343454,2.345876308024861,2.08162710923976,0.07398052809381644,0.13732635527414677
Red,34573.70000000006,4936,2220,2716,4936,0,0.4497568881685575,0.0,4319.0,48985.0,302181.0,44321.0,54164.0,43199.0,52404.0,248898.0,7673.0,61992.0,431643.0,59411.0,180973.0,1184886.0,1988.0,13028.0,5935.0,2242.0,468.0,12934.0,2126.0,15432.0,9843.0,9205.0,345.0,-538.0,-0.015560961077350674,0.12492154441092485,1.4168283984647263,8.74019847456302,1.2819281708350543,1.5666243416238326,1.2494757575845201,1.5157185953484846,7.1990559297963355,0.2219316995288322,0.4497568881685575,0.12377403535940121,0.08816984791262632,0.2659589670307237,0.3777590564448189,0.299405078821269,0.35723049144656127,0.9675060926076361,6.168847606410125,5.761661149563647,0.2100607147016675,0.9993723552873988,11.33462718771781,69.92158779650416,10.255425366680434,12.53299473299066,9.995806060676161,12.125748762787877,57.592447438370684,1.7754535962306577,14.34431374136986,99.87776836150003,13.747096781657708,41.875298275857006,274.17048218732685,0.4600028345245077,3.0145457385237857,1.373298200655409,0.5187758324969548,0.10829040571301288,2.9927951014788645,0.4919346208244987,3.5708067114598605,2.277569366310226,2.129942702111717,0.07982946574997744,-0.1244876886188054
BallsToYou.,865.1999999999997,121,52,69,68,53,0.35294117647058826,0.5283018867924528,143.0,1605.0,9575.0,1456.0,1768.0,790.0,979.0,2895.0,182.0,1560.0,11863.0,1055.0,4863.0,28709.0,75.0,502.0,206.0,75.0,9.0,199.0,49.0,276.0,312.0,189.0,6.0,-32.0,-0.03698566805362923,0.16527970411465562,1.8550624133148412,11.06680536292187,1.68284789644013,2.043458159963015,0.9130836800739717,1.1315302820157194,3.3460471567267693,0.21035598705501626,0.4297520661157025,0.11666666666666667,0.08909657320872275,0.31277258566978194,0.3640776699029126,0.2518987341772152,0.3493670886075949,0.5537330316742082,5.965732087227415,3.6645569620253164,0.10083945800968337,1.322237632917245,14.84049930651873,88.53444290337497,13.46278317152104,16.34766527970412,7.304669440591773,9.052242256125755,26.768377253814155,1.68284789644013,14.4244105409154,109.69024503005089,9.75496994914471,44.96532593619974,265.4553860379104,0.6934812760055481,4.641701340730468,1.9047619047619053,0.6934812760055481,0.08321775312066577,1.8400369856680543,0.4530744336569581,2.552011095700417,2.88488210818308,1.7475728155339811,0.055478502080443845,-0.29588534442903386
metalhead,798.2000000000004,127,54,73,64,63,0.375,0.47619047619047616,67.0,1222.0,5403.0,1148.0,1421.0,948.0,1203.0,5539.0,196.0,1411.0,10200.0,2435.0,4477.0,30390.0,13.0,431.0,193.0,81.0,6.0,267.0,36.0,336.0,273.0,255.0,7.0,-76.0,-0.09521423202204957,0.08393886244049106,1.5309446254071655,6.768980205462287,1.4382360310699065,1.7802555750438478,1.1876722625908287,1.507141067401653,6.939363568028059,0.24555249310949626,0.4251968503937008,0.13890857547838412,0.05482815057283143,0.3527004909983633,0.41968911917098445,0.28164556962025317,0.35443037974683544,0.8465869106263195,4.4214402618657935,5.8428270042194095,0.1822639025995393,0.6715108995239285,12.247557003257324,54.1518416436983,11.505888248559252,14.242044600350782,9.50137810072663,12.057128539213224,55.514908544224475,1.96441994487597,14.141819092959151,102.23001753946374,24.40491104986218,44.87095965923325,304.585316963167,0.13029315960912047,4.319719368579301,1.9343522926584806,0.8118266098722121,0.06013530443497867,2.676021047356551,0.36081182660987204,3.3675770483588057,2.7361563517915295,2.5557504384865934,0.07015785517414179,-0.7617138561763965
bubblez,734.3000000000001,104,46,58,54,50,0.37037037037037035,0.52,80.0,944.0,6082.0,854.0,992.0,849.0,1020.0,6383.0,165.0,1316.0,8885.0,1256.0,3734.0,24371.0,47.0,235.0,104.0,41.0,8.0,311.0,44.0,369.0,138.0,171.0,10.0,-31.0,-0.042217077488764805,0.1089472967451995,1.285578101593354,8.282718235053792,1.1630123927550047,1.3509464796404738,1.1562031867084297,1.3890780335012936,8.692632439057604,0.22470379953697397,0.4423076923076923,0.12537993920972645,0.0847457627118644,0.2489406779661017,0.3942307692307692,0.3663133097762073,0.43462897526501765,1.028225806451613,6.442796610169491,7.518256772673734,0.26190964671125516,0.871578373961596,10.284624812746832,66.26174588043034,9.304099142040037,10.80757183712379,9.249625493667438,11.112624268010348,69.54105951246083,1.7976303962957918,14.337464251668255,96.79967315810975,13.683780471197057,40.680920604657494,265.5154568977257,0.5120522947024376,2.5602614735121882,1.133051886150075,0.4466839166553179,0.0871578373961596,3.3882609287757046,0.4793681056788778,4.020155249897861,1.5034726950837531,1.8629987743429115,0.1089472967451995,-0.33773661991011844
Toidi,679.5000000000001,93,55,38,43,50,0.5813953488372093,0.6,54.0,588.0,2885.0,531.0,786.0,1107.0,1308.0,8766.0,163.0,1224.0,7196.0,1019.0,3016.0,21884.0,14.0,176.0,93.0,39.0,7.0,395.0,69.0,499.0,255.0,201.0,3.0,20.0,0.029433406916850622,0.07947019867549668,0.8653421633554083,4.245768947755702,0.781456953642384,1.1567328918322295,1.6291390728476818,1.9249448123620305,12.900662251655627,0.23988226637233256,0.5913978494623656,0.13316993464052287,0.09183673469387756,0.29931972789115646,0.41935483870967744,0.3568202348690154,0.45076784101174344,1.6641221374045803,4.906462585034014,7.91869918699187,0.40056662401754706,0.6357615894039734,6.922737306843266,33.96615158204562,6.251655629139072,9.253863134657836,13.033112582781454,15.399558498896244,103.20529801324501,1.9190581309786605,14.410596026490063,84.72111846946282,11.997056659308313,35.508462104488586,257.6482707873436,0.16482707873436347,2.072111846946284,1.094922737306843,0.45916114790286966,0.08241353936718174,4.650478292862398,0.8123620309050771,5.8749080206033835,3.002207505518763,2.36644591611479,0.035320088300220744,0.23546725533480498
xcv,643.9,89,37,52,40,49,0.4,0.42857142857142855,91.0,868.0,5874.0,773.0,931.0,683.0,846.0,4560.0,162.0,1162.0,7693.0,1004.0,3205.0,21517.0,36.0,193.0,90.0,30.0,9.0,224.0,34.0,282.0,158.0,163.0,4.0,-46.0,-0.07143966454418388,0.14132629290262463,1.348035409225035,9.122534555055132,1.2004969715794378,1.445876688926852,1.0607237148625563,1.313868613138686,7.081845006988663,0.2515918620903867,0.4157303370786517,0.13941480206540446,0.10483870967741936,0.22235023041474655,0.3333333333333333,0.3279648609077599,0.4128843338213763,0.9087003222341569,6.767281105990784,6.6764275256222545,0.2119254542919552,1.130610343220997,10.78428327380028,72.98027644044106,9.603975772635502,11.567013511414816,8.48578971890045,10.510948905109489,56.65476005590931,2.0127348967230936,14.437024382668117,95.58005901537506,12.473986643888804,39.8198478024538,267.33343686907904,0.4472744214940208,2.3978878707873896,1.118186053735052,0.3727286845783507,0.1118186053735052,2.7830408448516852,0.4224258425221308,3.5036496350364965,1.9630377387793136,2.025159186209039,0.049697157943780094,-0.571517316353471
LogisticMap,615.8000000000001,82,33,49,37,45,0.43243243243243246,0.37777777777777777,67.0,793.0,4547.0,725.0,893.0,768.0,872.0,4865.0,94.0,1105.0,7762.0,929.0,3225.0,21096.0,27.0,233.0,90.0,29.0,5.0,208.0,36.0,253.0,168.0,104.0,1.0,-35.0,-0.05683663527119194,0.10880155894771028,1.2877557648587201,7.383890873660278,1.1773303020461188,1.45014615134784,1.2471581682364403,1.416044170185125,7.9002923026956795,0.15264696329977265,0.4024390243902439,0.08506787330316742,0.08448928121059268,0.2938209331651955,0.32222222222222224,0.2708333333333333,0.3294270833333333,0.9764837625979843,5.733921815889029,6.334635416666667,0.2306124383769435,0.8704124715816822,10.302046118869761,59.07112698928223,9.41864241636895,11.60116921078272,9.977265345891523,11.328353361481,63.202338421565436,1.2211757063981812,14.355310165638192,100.83793439428385,12.068853523871386,41.89671971419291,274.06300746995777,0.35076323481649885,3.0269568041571935,1.1692107827216627,0.376745696654758,0.06495615459564794,2.7021760311789538,0.4676843130886651,3.2867814225397853,2.1825267944137705,1.3510880155894769,0.012991230919129586,-0.4546930821695355
Russ,587.8999999999999,81,38,43,39,42,0.41025641025641024,0.5238095238095238,60.0,643.0,4198.0,577.0,740.0,947.0,1160.0,5810.0,201.0,1059.0,6789.0,1328.0,2924.0,19237.0,35.0,175.0,85.0,34.0,5.0,298.0,45.0,403.0,163.0,213.0,6.0,3.0,0.005102908657935024,0.10205817315870049,1.0937234223507402,7.140670182003744,0.9814594318761697,1.258717468957306,1.6108181663548227,1.9731246810682093,9.882633100867496,0.3418948800816466,0.4691358024691358,0.18980169971671387,0.09331259720062209,0.27216174183514774,0.4,0.3146779303062302,0.42555438225976766,1.5675675675675675,6.528771384136858,6.135163674762407,0.30202214482507667,0.8164653852696039,8.749787378805921,57.12536145602995,7.8516754550093575,10.069739751658448,12.886545330838581,15.784997448545674,79.06106480693997,2.7351590406531727,14.410614050008508,92.38305834325568,18.071100527300565,39.789079775472025,261.77241027385617,0.4762714747406023,2.381357373703011,1.1566592957986055,0.4626637183194422,0.06803878210580032,4.055111413505699,0.6123490389522029,5.483925837727506,2.2180642966490907,2.8984521177070937,0.08164653852696038,0.04082326926348019
rc,565.0999999999998,79,40,39,34,45,0.38235294117647056,0.6,72.0,800.0,4849.0,725.0,904.0,603.0,797.0,4053.0,154.0,1008.0,6907.0,750.0,2864.0,18756.0,40.0,252.0,99.0,30.0,8.0,195.0,35.0,238.0,179.0,194.0,3.0,1.0,0.0017695983011856316,0.12741107768536547,1.4156786409485052,8.580782162449127,1.282958768359583,1.599716864271811,1.0670677756149358,1.4103698460449483,7.172181914705364,0.27251813838258726,0.5063291139240507,0.1527777777777778,0.09,0.315,0.30303030303030304,0.32338308457711445,0.3946932006633499,0.8816371681415929,6.06125,6.721393034825871,0.21609085092770314,1.0192886214829238,11.325429127588041,68.64625729959302,10.263670146876663,12.797734914174487,8.536542204919487,11.282958768359586,57.37745531764291,2.180145107060698,14.270040700760932,97.78092373031325,10.61758980711379,40.54503627676519,265.52468589630166,0.5662714563794021,3.567510175190233,1.4015218545390202,0.42470359228455157,0.11325429127588042,2.7605733498495852,0.49548752433197685,3.3693151654574423,2.5340647672978243,2.7464165634401,0.04247035922845516,0.014156786409485053
