Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Blue,181.19999999999993,24,4,20,0,24,0.0,0.16666666666666666,14.0,204.0,1625.0,189.0,260.0,167.0,206.0,1283.0,54.0,484.0,1550.0,0.0,602.0,6272.0,18.0,51.0,13.0,5.0,2.0,58.0,4.0,63.0,71.0,39.0,1.0,-28.0,-0.15452538631346585,0.07726269315673293,1.1258278145695368,8.967991169977928,1.0430463576158944,1.4348785871964684,0.9216335540838856,1.1368653421633559,7.080573951434881,0.2980132450331127,0.16666666666666666,0.1115702479338843,0.06862745098039216,0.25,0.38461538461538464,0.3473053892215569,0.3772455089820359,0.7923076923076923,7.965686274509804,7.682634730538922,0.20455994897959184,0.6181015452538634,9.006622516556295,71.74392935982343,8.344370860927155,11.479028697571747,7.373068432671085,9.094922737306847,56.64459161147905,2.3841059602649017,21.368653421633564,68.43267108167773,0.0,26.578366445916124,276.9094922737308,0.7947019867549672,2.2516556291390737,0.5739514348785875,0.22075055187637976,0.08830022075055191,2.5607064017660055,0.17660044150110382,2.781456953642385,3.134657836644593,1.7218543046357622,0.044150110375275955,-1.2362030905077268
Red,181.19999999999993,24,20,4,24,0,0.8333333333333334,0.0,21.0,200.0,1568.0,178.0,256.0,176.0,208.0,998.0,67.0,484.0,1595.0,0.0,624.0,6500.0,19.0,59.0,28.0,10.0,2.0,50.0,8.0,67.0,78.0,32.0,1.0,28.0,0.15452538631346585,0.11589403973509937,1.1037527593818988,8.653421633554087,0.98233995584989,1.4128035320088306,0.971302428256071,1.147902869757175,5.507726269315675,0.3697571743929361,0.8333333333333334,0.1384297520661157,0.105,0.295,0.35714285714285715,0.2840909090909091,0.3806818181818182,0.8125,7.84,5.670454545454546,0.15353846153846154,0.927152317880795,8.83002207505519,69.2273730684327,7.85871964679912,11.302428256070645,7.770419426048568,9.1832229580574,44.0618101545254,2.9580573951434888,21.368653421633564,70.41942604856514,0.0,27.549668874172195,286.9757174392937,0.8388520971302431,2.604856512141281,1.2362030905077268,0.4415011037527595,0.08830022075055191,2.2075055187637975,0.35320088300220764,2.9580573951434888,3.4437086092715243,1.4128035320088306,0.044150110375275955,1.2362030905077268
Chritt,16.1,2,2,0,2,0,1.0,0.0,2.0,18.0,85.0,16.0,20.0,23.0,23.0,113.0,3.0,43.0,202.0,0.0,80.0,566.0,0.0,7.0,2.0,0.0,0.0,5.0,1.0,11.0,4.0,0.0,0.0,3.0,0.18633540372670807,0.12422360248447203,1.1180124223602483,5.279503105590062,0.9937888198757763,1.2422360248447204,1.4285714285714284,1.4285714285714284,7.0186335403726705,0.18633540372670807,1.0,0.06976744186046512,0.1111111111111111,0.3888888888888889,0.0,0.21739130434782608,0.4782608695652174,1.15,4.722222222222222,4.913043478260869,0.19964664310954064,0.9937888198757763,8.944099378881987,42.2360248447205,7.95031055900621,9.937888198757763,11.428571428571427,11.428571428571427,56.149068322981364,1.4906832298136645,21.366459627329192,100.3726708074534,0.0,39.75155279503105,281.2422360248447,0.0,3.4782608695652173,0.9937888198757763,0.0,0.0,2.484472049689441,0.49689440993788814,5.46583850931677,1.9875776397515525,0.0,0.0,1.4906832298136645
lmfao,16.1,2,2,0,1,1,1.0,1.0,1.0,15.0,120.0,14.0,18.0,19.0,19.0,113.0,4.0,43.0,146.0,0.0,58.0,539.0,1.0,4.0,2.0,0.0,0.0,7.0,1.0,9.0,4.0,0.0,0.0,4.0,0.24844720496894407,0.06211180124223602,0.9316770186335402,7.453416149068322,0.8695652173913043,1.1180124223602483,1.1801242236024843,1.1801242236024843,7.0186335403726705,0.24844720496894407,1.0,0.09302325581395349,0.06666666666666667,0.26666666666666666,0.0,0.3684210526315789,0.47368421052631576,1.0555555555555556,8.0,5.947368421052632,0.20964749536178107,0.49689440993788814,7.453416149068322,59.627329192546576,6.956521739130435,8.944099378881987,9.440993788819874,9.440993788819874,56.149068322981364,1.9875776397515525,21.366459627329192,72.54658385093167,0.0,28.819875776397513,267.8260869565217,0.49689440993788814,1.9875776397515525,0.9937888198757763,0.0,0.0,3.4782608695652173,0.49689440993788814,4.472049689440993,1.9875776397515525,0.0,0.0,1.9875776397515525
metalhead,16.1,2,2,0,2,0,1.0,0.0,2.0,18.0,69.0,16.0,29.0,14.0,20.0,75.0,8.0,43.0,151.0,0.0,58.0,640.0,0.0,10.0,5.0,3.0,1.0,1.0,0.0,3.0,13.0,6.0,0.0,2.0,0.12422360248447203,0.12422360248447203,1.1180124223602483,4.285714285714286,0.9937888198757763,1.8012422360248446,0.8695652173913043,1.2422360248447204,4.658385093167701,0.49689440993788814,1.0,0.18604651162790697,0.1111111111111111,0.5555555555555556,0.6,0.07142857142857142,0.21428571428571427,0.6896551724137931,3.8333333333333335,5.357142857142857,0.1171875,0.9937888198757763,8.944099378881987,34.285714285714285,7.95031055900621,14.409937888198757,6.956521739130435,9.937888198757763,37.26708074534161,3.975155279503105,21.366459627329192,75.03105590062111,0.0,28.819875776397513,318.0124223602484,0.0,4.968944099378882,2.484472049689441,1.4906832298136645,0.49689440993788814,0.49689440993788814,0.0,1.4906832298136645,6.459627329192546,2.981366459627329,0.0,0.9937888198757763
Korgmonkey,12.2,2,0,2,1,1,0.0,0.0,1.0,15.0,73.0,14.0,26.0,7.0,10.0,54.0,3.0,33.0,129.0,0.0,50.0,438.0,0.0,6.0,5.0,3.0,0.0,3.0,0.0,3.0,12.0,3.0,0.0,-8.0,-0.6557377049180328,0.0819672131147541,1.2295081967213115,5.983606557377049,1.1475409836065575,2.1311475409836067,0.5737704918032788,0.819672131147541,4.426229508196721,0.24590163934426232,0.0,0.09090909090909091,0.06666666666666667,0.4,0.6,0.42857142857142855,0.42857142857142855,0.38461538461538464,4.866666666666666,7.714285714285714,0.1232876712328767,0.6557377049180328,9.836065573770492,47.868852459016395,9.18032786885246,17.049180327868854,4.59016393442623,6.557377049180328,35.40983606557377,1.9672131147540985,21.639344262295083,84.59016393442623,0.0,32.786885245901644,287.2131147540984,0.0,3.934426229508197,3.278688524590164,1.9672131147540985,0.0,1.9672131147540985,0.0,1.9672131147540985,7.868852459016394,1.9672131147540985,0.0,-5.245901639344263
Dew1234,9.0,1,0,1,0,1,0.0,0.0,1.0,15.0,84.0,14.0,18.0,4.0,4.0,28.0,4.0,24.0,114.0,0.0,44.0,306.0,1.0,7.0,2.0,1.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,-1.0,-0.1111111111111111,0.1111111111111111,1.6666666666666667,9.333333333333334,1.5555555555555556,2.0,0.4444444444444444,0.4444444444444444,3.111111111111111,0.4444444444444444,0.0,0.16666666666666666,0.06666666666666667,0.4666666666666667,0.5,1.0,0.75,0.2222222222222222,5.6,7.0,0.0915032679738562,0.8888888888888888,13.333333333333334,74.66666666666667,12.444444444444445,16.0,3.5555555555555554,3.5555555555555554,24.88888888888889,3.5555555555555554,21.333333333333332,101.33333333333333,0.0,39.111111111111114,272.0,0.8888888888888888,6.222222222222222,1.7777777777777777,0.8888888888888888,0.0,3.5555555555555554,0.0,2.6666666666666665,3.5555555555555554,0.0,0.0,-0.8888888888888888
Marijuana,9.0,1,1,0,1,0,1.0,0.0,0.0,10.0,105.0,10.0,14.0,8.0,8.0,42.0,3.0,24.0,78.0,0.0,30.0,321.0,2.0,3.0,2.0,2.0,0.0,4.0,0.0,5.0,4.0,0.0,0.0,1.0,0.1111111111111111,0.0,1.1111111111111112,11.666666666666666,1.1111111111111112,1.5555555555555556,0.8888888888888888,0.8888888888888888,4.666666666666667,0.3333333333333333,1.0,0.125,0.0,0.3,1.0,0.5,0.625,0.5714285714285714,10.5,5.25,0.1308411214953271,0.0,8.88888888888889,93.33333333333333,8.88888888888889,12.444444444444445,7.111111111111111,7.111111111111111,37.333333333333336,2.6666666666666665,21.333333333333332,69.33333333333333,0.0,26.666666666666668,285.3333333333333,1.7777777777777777,2.6666666666666665,1.7777777777777777,1.7777777777777777,0.0,3.5555555555555554,0.0,4.444444444444445,3.5555555555555554,0.0,0.0,0.8888888888888888
josh61616,9.0,1,0,1,0,1,0.0,0.0,2.0,5.0,82.0,3.0,5.0,12.0,12.0,103.0,2.0,24.0,25.0,0.0,10.0,306.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,-1.0,-0.1111111111111111,0.2222222222222222,0.5555555555555556,9.11111111111111,0.3333333333333333,0.5555555555555556,1.3333333333333333,1.3333333333333333,11.444444444444445,0.2222222222222222,0.0,0.08333333333333333,0.4,0.2,0.0,0.16666666666666666,0.16666666666666666,2.4,16.4,8.583333333333334,0.3366013071895425,1.7777777777777777,4.444444444444445,72.88888888888889,2.6666666666666665,4.444444444444445,10.666666666666666,10.666666666666666,91.55555555555556,1.7777777777777777,21.333333333333332,22.22222222222222,0.0,8.88888888888889,272.0,1.7777777777777777,0.8888888888888888,0.0,0.0,0.0,1.7777777777777777,0.0,1.7777777777777777,1.7777777777777777,0.0,0.0,-0.8888888888888888
THESLIGHTEST,9.0,1,1,0,1,0,1.0,0.0,0.0,5.0,38.0,5.0,10.0,9.0,9.0,67.0,1.0,24.0,79.0,0.0,30.0,321.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,6.0,5.0,0.0,0.0,1.0,0.1111111111111111,0.0,0.5555555555555556,4.222222222222222,0.5555555555555556,1.1111111111111112,1.0,1.0,7.444444444444445,0.1111111111111111,1.0,0.041666666666666664,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.9,7.6,7.444444444444445,0.2087227414330218,0.0,4.444444444444445,33.77777777777778,4.444444444444445,8.88888888888889,8.0,8.0,59.55555555555556,0.8888888888888888,21.333333333333332,70.22222222222223,0.0,26.666666666666668,285.3333333333333,0.0,0.0,1.7777777777777777,0.0,0.0,5.333333333333333,0.0,5.333333333333333,4.444444444444445,0.0,0.0,0.8888888888888888
trippi,9.0,1,0,1,0,1,0.0,0.0,0.0,12.0,119.0,12.0,12.0,6.0,10.0,32.0,3.0,24.0,114.0,0.0,44.0,306.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,-1.0,-0.1111111111111111,0.0,1.3333333333333333,13.222222222222221,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.1111111111111112,3.5555555555555554,0.3333333333333333,0.0,0.125,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.8333333333333334,9.916666666666666,5.333333333333333,0.10457516339869281,0.0,10.666666666666666,105.77777777777777,10.666666666666666,10.666666666666666,5.333333333333333,8.88888888888889,28.444444444444443,2.6666666666666665,21.333333333333332,101.33333333333333,0.0,39.111111111111114,272.0,0.8888888888888888,3.5555555555555554,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,3.5555555555555554,0.0,-0.8888888888888888
oldAlt,9.0,1,0,1,0,1,0.0,0.0,0.0,9.0,36.0,9.0,13.0,7.0,7.0,92.0,2.0,24.0,92.0,0.0,36.0,306.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,-1.0,-0.1111111111111111,0.0,1.0,4.0,1.0,1.4444444444444444,0.7777777777777778,0.7777777777777778,10.222222222222221,0.2222222222222222,0.0,0.08333333333333333,0.0,0.5555555555555556,1.0,0.14285714285714285,0.2857142857142857,0.5384615384615384,4.0,13.142857142857142,0.3006535947712418,0.0,8.0,32.0,8.0,11.555555555555555,6.222222222222222,6.222222222222222,81.77777777777777,1.7777777777777777,21.333333333333332,81.77777777777777,0.0,32.0,272.0,0.0,4.444444444444445,0.8888888888888888,0.8888888888888888,0.0,0.8888888888888888,0.0,1.7777777777777777,3.5555555555555554,0.0,0.0,-0.8888888888888888
K O,9.0,1,1,0,1,0,1.0,0.0,1.0,5.0,38.0,4.0,7.0,12.0,15.0,103.0,3.0,24.0,66.0,0.0,26.0,321.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,3.0,0.0,1.0,0.1111111111111111,0.1111111111111111,0.5555555555555556,4.222222222222222,0.4444444444444444,0.7777777777777778,1.3333333333333333,1.6666666666666667,11.444444444444445,0.3333333333333333,1.0,0.125,0.2,0.2,0.0,0.4166666666666667,0.4166666666666667,2.142857142857143,7.6,8.583333333333334,0.32087227414330216,0.8888888888888888,4.444444444444445,33.77777777777778,3.5555555555555554,6.222222222222222,10.666666666666666,13.333333333333334,91.55555555555556,2.6666666666666665,21.333333333333332,58.666666666666664,0.0,23.11111111111111,285.3333333333333,0.0,0.8888888888888888,0.0,0.0,0.0,4.444444444444445,0.0,4.444444444444445,2.6666666666666665,2.6666666666666665,0.0,0.8888888888888888
Spheroid.,9.0,1,1,0,1,0,1.0,0.0,3.0,15.0,125.0,12.0,12.0,8.0,8.0,39.0,6.0,24.0,78.0,0.0,30.0,321.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.3333333333333333,1.6666666666666667,13.88888888888889,1.3333333333333333,1.3333333333333333,0.8888888888888888,0.8888888888888888,4.333333333333333,0.6666666666666666,1.0,0.25,0.2,0.2,0.0,0.25,0.25,0.6666666666666666,8.333333333333334,4.875,0.12149532710280374,2.6666666666666665,13.333333333333334,111.11111111111111,10.666666666666666,10.666666666666666,7.111111111111111,7.111111111111111,34.666666666666664,5.333333333333333,21.333333333333332,69.33333333333333,0.0,26.666666666666668,285.3333333333333,0.8888888888888888,2.6666666666666665,0.8888888888888888,0.0,0.8888888888888888,1.7777777777777777,0.0,1.7777777777777777,0.0,0.0,0.0,0.8888888888888888
ADVICE MAN,8.1,1,0,1,0,1,0.0,0.0,1.0,13.0,93.0,12.0,12.0,4.0,7.0,11.0,4.0,22.0,106.0,0.0,42.0,306.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,-1.0,-0.1234567901234568,0.1234567901234568,1.6049382716049383,11.481481481481483,1.4814814814814816,1.4814814814814816,0.4938271604938272,0.8641975308641976,1.3580246913580247,0.4938271604938272,0.0,0.18181818181818182,0.07692307692307693,0.07692307692307693,0.0,0.25,0.5,0.5833333333333334,7.153846153846154,2.75,0.03594771241830065,0.9876543209876544,12.839506172839506,91.85185185185186,11.851851851851853,11.851851851851853,3.9506172839506175,6.913580246913581,10.864197530864198,3.9506172839506175,21.728395061728396,104.69135802469137,0.0,41.48148148148148,302.22222222222223,0.0,0.9876543209876544,0.0,0.0,0.0,0.9876543209876544,0.0,1.9753086419753088,0.0,2.9629629629629632,0.0,-0.9876543209876544
G.O.A.T.,8.1,1,0,1,0,1,0.0,0.0,0.0,5.0,25.0,5.0,10.0,8.0,11.0,56.0,2.0,22.0,56.0,0.0,22.0,306.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,5.0,5.0,3.0,0.0,-1.0,-0.1234567901234568,0.0,0.617283950617284,3.0864197530864197,0.617283950617284,1.234567901234568,0.9876543209876544,1.3580246913580247,6.913580246913581,0.2469135802469136,0.0,0.09090909090909091,0.0,0.2,0.0,0.75,0.625,1.1,5.0,7.0,0.1830065359477124,0.0,4.938271604938272,24.691358024691358,4.938271604938272,9.876543209876544,7.901234567901235,10.864197530864198,55.308641975308646,1.9753086419753088,21.728395061728396,55.308641975308646,0.0,21.728395061728396,302.22222222222223,0.0,0.9876543209876544,0.9876543209876544,0.0,0.0,5.9259259259259265,0.9876543209876544,4.938271604938272,4.938271604938272,2.9629629629629632,0.0,-0.9876543209876544
GillyBall,8.1,1,0,1,0,1,0.0,0.0,1.0,11.0,106.0,10.0,12.0,11.0,12.0,59.0,2.0,22.0,74.0,0.0,28.0,306.0,2.0,2.0,1.0,0.0,0.0,5.0,0.0,4.0,2.0,1.0,0.0,-1.0,-0.1234567901234568,0.1234567901234568,1.3580246913580247,13.086419753086421,1.234567901234568,1.4814814814814816,1.3580246913580247,1.4814814814814816,7.283950617283951,0.2469135802469136,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.45454545454545453,0.36363636363636365,1.0,9.636363636363637,5.363636363636363,0.19281045751633988,0.9876543209876544,10.864197530864198,104.69135802469137,9.876543209876544,11.851851851851853,10.864197530864198,11.851851851851853,58.27160493827161,1.9753086419753088,21.728395061728396,73.08641975308642,0.0,27.654320987654323,302.22222222222223,1.9753086419753088,1.9753086419753088,0.9876543209876544,0.0,0.0,4.938271604938272,0.0,3.9506172839506175,1.9753086419753088,0.9876543209876544,0.0,-0.9876543209876544
o3,8.1,1,1,0,1,0,1.0,0.0,3.0,13.0,178.0,10.0,13.0,5.0,5.0,17.0,2.0,22.0,55.0,0.0,22.0,312.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.1234567901234568,0.3703703703703704,1.6049382716049383,21.97530864197531,1.234567901234568,1.6049382716049383,0.617283950617284,0.617283950617284,2.0987654320987654,0.2469135802469136,1.0,0.09090909090909091,0.23076923076923078,0.15384615384615385,0.0,0.2,0.6,0.38461538461538464,13.692307692307692,3.4,0.05448717948717949,2.9629629629629632,12.839506172839506,175.80246913580248,9.876543209876544,12.839506172839506,4.938271604938272,4.938271604938272,16.790123456790123,1.9753086419753088,21.728395061728396,54.32098765432099,0.0,21.728395061728396,308.14814814814815,4.938271604938272,1.9753086419753088,0.0,0.0,0.0,0.9876543209876544,0.0,2.9629629629629632,2.9629629629629632,0.0,0.0,0.9876543209876544
rc,8.1,1,0,1,0,1,0.0,0.0,0.0,7.0,88.0,7.0,12.0,7.0,7.0,75.0,2.0,22.0,65.0,0.0,26.0,306.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,-1.0,-0.1234567901234568,0.0,0.8641975308641976,10.864197530864198,0.8641975308641976,1.4814814814814816,0.8641975308641976,0.8641975308641976,9.25925925925926,0.2469135802469136,0.0,0.09090909090909091,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.5833333333333334,12.571428571428571,10.714285714285714,0.24509803921568626,0.0,6.913580246913581,86.91358024691358,6.913580246913581,11.851851851851853,6.913580246913581,6.913580246913581,74.07407407407408,1.9753086419753088,21.728395061728396,64.19753086419753,0.0,25.679012345679013,302.22222222222223,1.9753086419753088,2.9629629629629632,0.9876543209876544,0.0,0.0,0.0,0.9876543209876544,0.9876543209876544,4.938271604938272,0.0,0.0,-0.9876543209876544
LilB:BallGod,8.0,1,0,1,0,1,0.0,0.0,1.0,7.0,67.0,6.0,9.0,6.0,6.0,143.0,1.0,21.0,64.0,0.0,24.0,242.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,0.0,0.0,-1.0,-0.125,0.125,0.875,8.375,0.75,1.125,0.75,0.75,17.875,0.125,0.0,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,9.571428571428571,23.833333333333332,0.5909090909090909,1.0,7.0,67.0,6.0,9.0,6.0,6.0,143.0,1.0,21.0,64.0,0.0,24.0,242.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,0.0,0.0,-1.0
Sgt Ducky,8.0,1,0,1,0,1,0.0,0.0,0.0,12.0,103.0,12.0,14.0,4.0,4.0,18.0,2.0,21.0,89.0,0.0,34.0,300.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-0.25,0.0,1.5,12.875,1.5,1.75,0.5,0.5,2.25,0.25,0.0,0.09523809523809523,0.0,0.25,0.0,0.0,0.0,0.2857142857142857,8.583333333333334,4.5,0.06,0.0,12.0,103.0,12.0,14.0,4.0,4.0,18.0,2.0,21.0,89.0,0.0,34.0,300.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0
JKooter,8.0,1,0,1,1,0,0.0,0.0,1.0,7.0,53.0,6.0,13.0,11.0,13.0,68.0,2.0,21.0,35.0,0.0,14.0,251.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,4.0,7.0,2.0,0.0,-3.0,-0.375,0.125,0.875,6.625,0.75,1.625,1.375,1.625,8.5,0.25,0.0,0.09523809523809523,0.14285714285714285,0.2857142857142857,0.0,0.2727272727272727,0.36363636363636365,1.0,7.571428571428571,6.181818181818182,0.27091633466135456,1.0,7.0,53.0,6.0,13.0,11.0,13.0,68.0,2.0,21.0,35.0,0.0,14.0,251.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,4.0,7.0,2.0,0.0,-3.0
rai,8.0,1,0,1,1,0,0.0,0.0,0.0,7.0,73.0,7.0,10.0,9.0,9.0,63.0,0.0,21.0,51.0,0.0,20.0,251.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,-3.0,-0.375,0.0,0.875,9.125,0.875,1.25,1.125,1.125,7.875,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.2222222222222222,0.3333333333333333,0.9,10.428571428571429,7.0,0.250996015936255,0.0,7.0,73.0,7.0,10.0,9.0,9.0,63.0,0.0,21.0,51.0,0.0,20.0,251.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,-3.0
LogisticMap,8.0,1,1,0,0,1,0.0,1.0,1.0,6.0,36.0,5.0,7.0,10.0,12.0,93.0,3.0,21.0,65.0,0.0,26.0,227.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,3.0,0.375,0.125,0.75,4.5,0.625,0.875,1.25,1.5,11.625,0.375,1.0,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.5,0.3,0.3,1.7142857142857142,6.0,9.3,0.40969162995594716,1.0,6.0,36.0,5.0,7.0,10.0,12.0,93.0,3.0,21.0,65.0,0.0,26.0,227.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,3.0
xcv,8.0,1,1,0,0,1,0.0,1.0,0.0,9.0,89.0,9.0,11.0,7.0,14.0,84.0,5.0,21.0,83.0,0.0,32.0,227.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,7.0,0.0,3.0,0.375,0.0,1.125,11.125,1.125,1.375,0.875,1.75,10.5,0.625,1.0,0.23809523809523808,0.0,0.1111111111111111,0.0,0.2857142857142857,0.42857142857142855,1.2727272727272727,9.88888888888889,12.0,0.3700440528634361,0.0,9.0,89.0,9.0,11.0,7.0,14.0,84.0,5.0,21.0,83.0,0.0,32.0,227.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,7.0,0.0,3.0
Grommit,8.0,1,1,0,1,0,1.0,0.0,0.0,8.0,93.0,8.0,9.0,7.0,11.0,52.0,4.0,21.0,64.0,0.0,24.0,254.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0,0.25,0.0,1.0,11.625,1.0,1.125,0.875,1.375,6.5,0.5,1.0,0.19047619047619047,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,1.2222222222222223,11.625,7.428571428571429,0.2047244094488189,0.0,8.0,93.0,8.0,9.0,7.0,11.0,52.0,4.0,21.0,64.0,0.0,24.0,254.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0
