Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Blue,64.0,8,4,4,0,8,0.0,0.5,7.0,87.0,551.0,79.0,84.0,63.0,76.0,276.0,13.0,112.0,656.0,0.0,258.0,2404.0,5.0,32.0,12.0,1.0,0.0,17.0,5.0,18.0,5.0,13.0,1.0,-4.0,-0.0625,0.109375,1.359375,8.609375,1.234375,1.3125,0.984375,1.1875,4.3125,0.203125,0.5,0.11607142857142858,0.08045977011494253,0.367816091954023,0.08333333333333333,0.2698412698412698,0.2857142857142857,0.9047619047619048,6.333333333333333,4.380952380952381,0.11480865224625623,0.875,10.875,68.875,9.875,10.5,7.875,9.5,34.5,1.625,14.0,82.0,0.0,32.25,300.5,0.625,4.0,1.5,0.125,0.0,2.125,0.625,2.25,0.625,1.625,0.125,-0.5
Red,64.0,8,4,4,8,0,0.5,0.0,8.0,72.0,601.0,63.0,80.0,77.0,79.0,392.0,15.0,112.0,614.0,0.0,240.0,2204.0,10.0,18.0,6.0,2.0,0.0,32.0,5.0,35.0,17.0,2.0,1.0,4.0,0.0625,0.125,1.125,9.390625,0.984375,1.25,1.203125,1.234375,6.125,0.234375,0.5,0.13392857142857142,0.1111111111111111,0.25,0.3333333333333333,0.4155844155844156,0.45454545454545453,0.9875,8.347222222222221,5.090909090909091,0.17785843920145192,1.0,9.0,75.125,7.875,10.0,9.625,9.875,49.0,1.875,14.0,76.75,0.0,30.0,275.5,1.25,2.25,0.75,0.25,0.0,4.0,0.625,4.375,2.125,0.25,0.125,0.5
CT Crunch,8.0,1,0,1,1,0,0.0,0.0,3.0,12.0,80.0,9.0,10.0,4.0,4.0,26.0,2.0,14.0,61.0,0.0,24.0,287.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,-3.0,-0.375,0.375,1.5,10.0,1.125,1.25,0.5,0.5,3.25,0.25,0.0,0.14285714285714285,0.25,0.08333333333333333,0.0,0.5,0.5,0.4,6.666666666666667,6.5,0.09059233449477352,3.0,12.0,80.0,9.0,10.0,4.0,4.0,26.0,2.0,14.0,61.0,0.0,24.0,287.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,-3.0
Curry,8.0,1,1,0,1,0,1.0,0.0,1.0,6.0,78.0,5.0,6.0,20.0,20.0,108.0,1.0,14.0,54.0,0.0,20.0,264.0,2.0,3.0,1.0,1.0,0.0,13.0,2.0,13.0,1.0,0.0,0.0,4.0,0.5,0.125,0.75,9.75,0.625,0.75,2.5,2.5,13.5,0.125,1.0,0.07142857142857142,0.16666666666666666,0.5,1.0,0.65,0.65,3.3333333333333335,13.0,5.4,0.4090909090909091,1.0,6.0,78.0,5.0,6.0,20.0,20.0,108.0,1.0,14.0,54.0,0.0,20.0,264.0,2.0,3.0,1.0,1.0,0.0,13.0,2.0,13.0,1.0,0.0,0.0,4.0
SmallyBigs,8.0,1,1,0,1,0,1.0,0.0,2.0,13.0,122.0,11.0,15.0,5.0,5.0,10.0,2.0,14.0,93.0,0.0,36.0,264.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,4.0,0.5,0.25,1.625,15.25,1.375,1.875,0.625,0.625,1.25,0.25,1.0,0.14285714285714285,0.15384615384615385,0.15384615384615385,0.5,0.0,0.2,0.3333333333333333,9.384615384615385,2.0,0.03787878787878788,2.0,13.0,122.0,11.0,15.0,5.0,5.0,10.0,2.0,14.0,93.0,0.0,36.0,264.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,4.0
Pnaoxt,8.0,1,0,1,0,1,0.0,0.0,0.0,12.0,74.0,12.0,13.0,4.0,6.0,12.0,1.0,14.0,113.0,0.0,44.0,302.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,-4.0,-0.5,0.0,1.5,9.25,1.5,1.625,0.5,0.75,1.5,0.125,0.0,0.07142857142857142,0.0,0.4166666666666667,0.0,0.25,0.0,0.46153846153846156,6.166666666666667,3.0,0.039735099337748346,0.0,12.0,74.0,12.0,13.0,4.0,6.0,12.0,1.0,14.0,113.0,0.0,44.0,302.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,-4.0
Prime,8.0,1,0,1,0,1,0.0,0.0,0.0,15.0,38.0,15.0,16.0,10.0,15.0,17.0,4.0,14.0,126.0,0.0,50.0,302.0,0.0,9.0,3.0,0.0,0.0,3.0,0.0,4.0,1.0,5.0,0.0,-4.0,-0.5,0.0,1.875,4.75,1.875,2.0,1.25,1.875,2.125,0.5,0.0,0.2857142857142857,0.0,0.6,0.0,0.3,0.4,0.9375,2.533333333333333,1.7,0.056291390728476824,0.0,15.0,38.0,15.0,16.0,10.0,15.0,17.0,4.0,14.0,126.0,0.0,50.0,302.0,0.0,9.0,3.0,0.0,0.0,3.0,0.0,4.0,1.0,5.0,0.0,-4.0
~zion~,8.0,1,0,1,0,1,0.0,0.0,1.0,12.0,84.0,10.0,10.0,10.0,11.0,27.0,1.0,14.0,66.0,0.0,26.0,302.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,-4.0,-0.5,0.125,1.5,10.5,1.25,1.25,1.25,1.375,3.375,0.125,0.0,0.07142857142857142,0.08333333333333333,0.25,0.0,0.3,0.3,1.1,7.0,2.7,0.08940397350993377,1.0,12.0,84.0,10.0,10.0,10.0,11.0,27.0,1.0,14.0,66.0,0.0,26.0,302.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,-4.0
Hjalpa,8.0,1,0,1,0,1,0.0,0.0,0.0,12.0,68.0,12.0,13.0,7.0,7.0,36.0,0.0,14.0,86.0,0.0,34.0,302.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-4.0,-0.5,0.0,1.5,8.5,1.5,1.625,0.875,0.875,4.5,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.14285714285714285,0.14285714285714285,0.5384615384615384,5.666666666666667,5.142857142857143,0.11920529801324503,0.0,12.0,68.0,12.0,13.0,7.0,7.0,36.0,0.0,14.0,86.0,0.0,34.0,302.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-4.0
megapoop22,8.0,1,1,0,1,0,1.0,0.0,1.0,7.0,37.0,6.0,9.0,13.0,13.0,87.0,2.0,14.0,71.0,0.0,28.0,264.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,6.0,3.0,0.0,0.0,4.0,0.5,0.125,0.875,4.625,0.75,1.125,1.625,1.625,10.875,0.25,1.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.38461538461538464,0.46153846153846156,1.4444444444444444,5.285714285714286,6.6923076923076925,0.32954545454545453,1.0,7.0,37.0,6.0,9.0,13.0,13.0,87.0,2.0,14.0,71.0,0.0,28.0,264.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,6.0,3.0,0.0,0.0,4.0
