Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Red,15834.600000000035,2170,1044,1126,2170,0,0.48110599078341015,0.0,1702.0,21311.0,147679.0,19453.0,22169.0,19859.0,22512.0,93222.0,3475.0,28312.0,182497.0,0.0,71530.0,598632.0,1328.0,5649.0,2380.0,923.0,158.0,5414.0,905.0,6920.0,2716.0,2653.0,156.0,113.0,0.0071362712035668565,0.10748613795106894,1.3458502267187016,9.326348628951768,1.2285122453361599,1.4000353655918023,1.254152299394993,1.4216967905725406,5.887234284415128,0.2194561277203082,0.48110599078341015,0.12273947442780446,0.07986485852376707,0.2650743747360518,0.3878151260504202,0.2726219849942092,0.34845661916511406,1.0154720555730976,6.929707662709399,4.694194068180674,0.15572505312111615,0.8598891036085515,10.766801813749613,74.61078903161415,9.828097962689279,11.200282924734418,10.033218395159944,11.373574324580325,47.097874275321026,1.7556490217624656,14.303866217018397,92.20163439556394,0.0,36.138582597602635,302.4424993368945,0.6709357988203034,2.8540032586866673,1.2024301213797606,0.4663205890897139,0.07982519293193369,2.7352759147689176,0.45722657976835435,3.4961413613226653,1.3721849620451387,1.3403559294203802,0.07881474745178263,0.05709016962853485
Blue,15828.700000000037,2175,1131,1044,0,2175,0.0,0.52,1675.0,21698.0,149674.0,19855.0,22512.0,19454.0,22169.0,97941.0,3603.0,28312.0,184729.0,0.0,72438.0,590680.0,1277.0,5462.0,2454.0,978.0,173.0,5595.0,851.0,6725.0,2657.0,2715.0,168.0,-102.0,-0.006443990978412615,0.10582044008667775,1.3708011397019306,9.455861820616958,1.2543670674155145,1.422226714764949,1.229033338176853,1.400557215690483,6.1875580433010775,0.22762450485510444,0.52,0.12726052557219553,0.0771960549359388,0.2517282698866255,0.39853300733496333,0.28760152153798707,0.34568726225968954,0.9847636815920398,6.898055120287584,5.034491621260409,0.16581059118304328,0.846563520693422,10.966409117615445,75.64689456493566,10.034936539324116,11.377813718119592,9.832266705414824,11.204457725523865,49.50046434640862,1.8209960388408355,14.309197849475918,93.36407917264188,0.0,36.610966156412005,298.53620322578536,0.6454099199555223,2.760555194046251,1.2402787341980046,0.49429201387353233,0.0874361128835594,2.827774864644595,0.43010480961797143,3.398889359201948,1.3428771787954759,1.3721910201090393,0.0849090575979074,-0.05155192782730092
metalhead,421.3999999999999,62,32,30,29,33,0.5517241379310345,0.48484848484848486,37.0,636.0,3365.0,591.0,674.0,509.0,593.0,2739.0,114.0,746.0,4886.0,0.0,1918.0,17089.0,14.0,200.0,77.0,38.0,3.0,120.0,18.0,161.0,83.0,84.0,8.0,-5.0,-0.011865211200759375,0.08780256288561938,1.5092548647365926,7.98528713811106,1.4024679639297581,1.5994304698623638,1.2078785002373045,1.407214048410062,6.499762695775986,0.27052681537731377,0.5161290322580645,0.15281501340482573,0.05817610062893082,0.31446540880503143,0.4935064935064935,0.2357563850687623,0.3163064833005894,0.8798219584569733,5.290880503144654,5.381139489194499,0.1602785417520042,0.7024205030849551,12.074038917892741,63.88229710488848,11.219743711438065,12.79544375889891,9.663028001898436,11.257712387280495,51.998101566207886,2.16421452301851,14.16231608922639,92.75747508305649,0.0,36.41196013289037,324.42335073564317,0.26578073089701004,3.7968675842430004,1.461794019933555,0.7214048410061701,0.056953013763645005,2.2781205505458,0.34171808258187003,3.056478405315615,1.5757000474608451,1.59468438538206,0.15187470336972,-0.094921689606075
xcv,408.69999999999993,53,23,30,29,24,0.4482758620689655,0.4166666666666667,43.0,524.0,3685.0,477.0,516.0,419.0,553.0,2807.0,157.0,738.0,4655.0,0.0,1824.0,14680.0,33.0,113.0,58.0,26.0,2.0,120.0,21.0,156.0,39.0,134.0,4.0,-4.0,-0.009787129924149745,0.10521164668460975,1.2821140200636165,9.016393442622952,1.167115243454857,1.262539760215317,1.0252018595546857,1.3530707120137022,6.868118424272083,0.3841448495228775,0.4339622641509434,0.2127371273712737,0.08206106870229007,0.21564885496183206,0.4482758620689655,0.2863961813842482,0.3723150357995227,1.071705426356589,7.032442748091603,6.699284009546539,0.1912125340599455,0.841693173476878,10.256912160508932,72.13114754098362,9.336921947638857,10.100318081722536,8.201614876437485,10.824565696109618,54.944947394176666,3.07315879618302,14.445803768045023,91.11817959383413,0.0,35.70344996329827,287.3501345730365,0.6459505749938832,2.2118913628578425,1.1353070712013704,0.5089307560557867,0.03914851969659898,2.348911181795939,0.4110594568142893,3.0535845363347205,0.7633961340836801,2.6229508196721314,0.07829703939319796,-0.07829703939319796
ez,291.8,37,18,19,17,20,0.47058823529411764,0.5,30.0,345.0,2512.0,313.0,340.0,309.0,358.0,1706.0,90.0,524.0,3200.0,0.0,1256.0,10134.0,19.0,62.0,37.0,18.0,2.0,97.0,12.0,122.0,27.0,49.0,2.0,-3.0,-0.01028101439342015,0.1028101439342015,1.1823166552433173,8.608636052090473,1.0726525017135025,1.1651816312542838,1.0589444825222756,1.2268677176148046,5.8464701850582586,0.3084304318026045,0.4864864864864865,0.1717557251908397,0.08695652173913043,0.17971014492753623,0.4864864864864865,0.313915857605178,0.3948220064724919,1.0529411764705883,7.281159420289855,5.5210355987055015,0.16834418788237615,0.822481151473612,9.458533241946538,68.86908841672378,8.58122001370802,9.32145305003427,8.471555860178205,9.814941740918437,46.77176148046607,2.467443454420836,14.366004112405756,87.73132282385195,0.0,34.43454420836189,277.83413296778616,0.5209047292666209,1.6997943797121315,1.0143934201507883,0.4934886908841672,0.05483207676490747,2.6593557230980123,0.3289924605894448,3.3447566826593556,0.7402330363262508,1.343385880740233,0.05483207676490747,-0.0822481151473612
Toidi,276.09999999999997,36,19,17,19,17,0.6842105263157895,0.35294117647058826,18.0,233.0,1300.0,215.0,277.0,460.0,507.0,3167.0,60.0,497.0,2837.0,0.0,1102.0,9356.0,6.0,79.0,36.0,12.0,1.0,177.0,16.0,222.0,62.0,47.0,0.0,6.0,0.02173125679101775,0.06519377037305325,0.843897138717856,4.708438971387179,0.7787033683448027,1.0032596885186529,1.6660630206446942,1.8362911988409998,11.470481709525536,0.2173125679101775,0.5277777777777778,0.12072434607645875,0.07725321888412018,0.33905579399141633,0.3333333333333333,0.3847826086956522,0.4826086956521739,1.8303249097472925,5.579399141630901,6.8847826086956525,0.3384993587002993,0.521550162984426,6.751177109742848,37.66751177109743,6.2296269467584215,8.026077508149223,13.328504165157554,14.690329590727998,91.76385367620429,1.73850054328142,14.400579500181095,82.20210068815648,0.0,31.930459978268747,271.09018471568277,0.173850054328142,2.2890257153205362,1.043100325968852,0.347700108656284,0.02897500905469033,5.128576602680189,0.4636001448750453,6.432452010141254,1.7964505613908006,1.3618254255704456,0.0,0.173850054328142
bubblez,271.7,35,17,18,15,20,0.5333333333333333,0.45,34.0,405.0,2520.0,370.0,414.0,306.0,375.0,1841.0,68.0,491.0,3262.0,0.0,1278.0,9873.0,19.0,113.0,40.0,12.0,2.0,105.0,22.0,129.0,44.0,69.0,1.0,2.0,0.00736105999263894,0.12513801987486198,1.4906146485093854,9.274935590725065,1.361796098638204,1.5237394184762607,1.1262421788737578,1.3801987486198013,6.7758557232241445,0.25027603974972396,0.4857142857142857,0.1384928716904277,0.08395061728395062,0.27901234567901234,0.3,0.3431372549019608,0.4215686274509804,0.9057971014492754,6.222222222222222,6.016339869281046,0.18646814544717918,1.0011041589988958,11.924917188075083,74.19948472580052,10.894368789105632,12.189915347810086,9.009937430990062,11.04158998895841,54.206845785793156,2.0022083179977916,14.45712182554288,96.04711078395289,0.0,37.62973868237026,290.70298122929705,0.5594405594405595,3.327199116672801,1.1777695988222305,0.35333087964666915,0.05888847994111152,3.091645196908355,0.6477732793522267,3.798306956201693,1.2955465587044535,2.0316525579683473,0.02944423997055576,0.05888847994111152
BallsToYou.,259.6,33,18,15,17,16,0.47058823529411764,0.625,42.0,494.0,3258.0,450.0,485.0,247.0,279.0,929.0,70.0,471.0,3653.0,0.0,1440.0,8694.0,30.0,121.0,52.0,21.0,1.0,61.0,11.0,80.0,35.0,32.0,2.0,-7.0,-0.026964560862865944,0.16178736517719566,1.9029275808936825,12.550077041602464,1.7334360554699537,1.8682588597842833,0.9514637904468413,1.0747303543913713,3.5785824345146375,0.26964560862865944,0.5454545454545454,0.14861995753715498,0.08502024291497975,0.24493927125506074,0.40384615384615385,0.24696356275303644,0.32388663967611336,0.5752577319587628,6.5951417004048585,3.7611336032388665,0.10685530250747642,1.2942989214175653,15.22342064714946,100.40061633281971,13.86748844375963,14.946070878274266,7.61171032357473,8.59784283513097,28.6286594761171,2.1571648690292755,14.514637904468412,112.57318952234205,0.0,44.37596302003081,267.919876733436,0.9244992295839752,3.7288135593220337,1.6024653312788906,0.6471494607087827,0.03081664098613251,1.879815100154083,0.3389830508474576,2.4653312788906008,1.0785824345146378,0.9861325115562403,0.06163328197226502,-0.21571648690292755
LiddiLidd,259.5,36,14,22,20,16,0.35,0.4375,16.0,286.0,1791.0,270.0,334.0,297.0,316.0,2429.0,55.0,462.0,2761.0,0.0,1076.0,9462.0,17.0,82.0,44.0,16.0,2.0,98.0,15.0,119.0,64.0,19.0,0.0,-33.0,-0.12716763005780346,0.06165703275529865,1.1021194605009634,6.901734104046243,1.0404624277456647,1.2870905587668593,1.1445086705202312,1.2177263969171483,9.360308285163777,0.2119460500963391,0.3888888888888889,0.11904761904761904,0.055944055944055944,0.2867132867132867,0.36363636363636365,0.32996632996632996,0.4006734006734007,0.9461077844311377,6.2622377622377625,8.178451178451178,0.256711054745297,0.4932562620423892,8.816955684007707,55.213872832369944,8.323699421965317,10.296724470134874,9.15606936416185,9.741811175337187,74.88246628131022,1.6955684007707128,14.242774566473988,85.11753371868978,0.0,33.17148362235067,291.6994219653179,0.5240847784200385,2.5279383429672446,1.3564547206165702,0.4932562620423892,0.06165703275529865,3.021194605009634,0.4624277456647399,3.66859344894027,1.9730250481695568,0.5857418111753372,0.0,-1.0173410404624277
fl33t,252.49999999999994,37,17,20,19,18,0.5263157894736842,0.3888888888888889,22.0,270.0,2414.0,244.0,277.0,303.0,358.0,1616.0,58.0,444.0,2668.0,0.0,1050.0,10175.0,29.0,53.0,25.0,11.0,3.0,104.0,15.0,122.0,33.0,55.0,4.0,2.0,0.007920792079207923,0.08712871287128715,1.0693069306930696,9.560396039603962,0.9663366336633665,1.0970297029702973,1.2000000000000002,1.4178217821782182,6.400000000000001,0.22970297029702977,0.4594594594594595,0.13063063063063063,0.08148148148148149,0.1962962962962963,0.44,0.3432343234323432,0.40264026402640263,1.2924187725631768,8.940740740740742,5.333333333333333,0.15882063882063882,0.6970297029702972,8.554455445544557,76.4831683168317,7.730693069306932,8.776237623762379,9.600000000000001,11.342574257425746,51.20000000000001,1.8376237623762381,14.067326732673271,84.53069306930695,0.0,33.267326732673276,322.37623762376245,0.9188118811881191,1.6792079207920796,0.7920792079207922,0.3485148514851486,0.09504950495049506,3.2950495049504958,0.47524752475247534,3.865346534653466,1.0455445544554458,1.742574257425743,0.12673267326732676,0.06336633663366338
