Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Blue,8446.299999999974,1155,547,608,0,1155,0.0,0.47359307359307357,725.0,9886.0,67726.0,9091.0,11757.0,8593.0,10404.0,58077.0,1902.0,15128.0,79356.0,13261.0,33667.0,270675.0,593.0,2518.0,918.0,332.0,57.0,2359.0,311.0,3296.0,2666.0,1811.0,70.0,-388.0,-0.04593727430946109,0.08583640173803941,1.1704533345962174,8.018422267738561,1.076329280276574,1.3919704485987991,1.017368551910307,1.2317819637000855,6.8760285568829165,0.22518736014586338,0.47359307359307357,0.12572712850343734,0.07333603075055634,0.2547036212826219,0.3616557734204793,0.27452577679506573,0.3835680204817875,0.884919622352641,6.850697956706454,6.758640754102176,0.21456359102244388,0.6866912139043153,9.363626676769739,64.14737814190849,8.610634242212592,11.135763588790393,8.138948415282456,9.854255709600684,55.00822845506333,1.801498881166907,14.328640943371699,75.16285237322874,12.560292672531206,31.88804565312632,256.3726128600697,0.5616660549589778,2.384949622911815,0.8694931508471192,0.31445721795342435,0.053988136817304785,2.234351136000386,0.29456685175757524,3.121840332453273,2.525129346577799,1.7153072943182275,0.06630122065283044,-0.3674981944756887
Red,8433.999999999975,1161,607,554,1161,0,0.5228251507321274,0.0,824.0,9669.0,67674.0,8756.0,11407.0,8910.0,10751.0,55816.0,1880.0,15114.0,78101.0,13627.0,33222.0,270541.0,604.0,2411.0,850.0,314.0,71.0,2479.0,367.0,3546.0,2651.0,1841.0,89.0,394.0,0.04671567465022542,0.09769978657813641,1.1464311121650497,8.023950675835927,1.0381788000948573,1.3525017785155364,1.056438226227179,1.2747213658999328,6.617974863647163,0.22290728005691318,0.5228251507321274,0.12438798464999339,0.08522080877029682,0.24935360430240977,0.36941176470588233,0.2782267115600449,0.397979797979798,0.9424914526168142,6.9990691901954705,6.264421997755331,0.2063125367319556,0.7815982926250913,9.171448897320397,64.19160540668742,8.305430400758858,10.820014228124291,8.451505809817432,10.197770927199462,52.9437989091773,1.7832582404553055,14.336258003319939,74.08204884989351,12.925776618449174,31.512449608726676,256.6193976760738,0.57291913682713,2.2869338392222027,0.8062603746739413,0.29784206782072653,0.06734645482570568,2.351434669196118,0.3481147735356899,3.3635285748162302,2.514583827365433,1.7462651173820305,0.08442020393644796,0.37372539720180337
metalhead,228.79999999999998,34,15,19,14,20,0.42857142857142855,0.45,14.0,260.0,1215.0,245.0,343.0,248.0,307.0,1704.0,52.0,410.0,2287.0,550.0,1002.0,8422.0,3.0,82.0,33.0,12.0,1.0,54.0,7.0,84.0,98.0,59.0,1.0,-26.0,-0.11363636363636365,0.06118881118881119,1.1363636363636365,5.310314685314686,1.0708041958041958,1.4991258741258742,1.083916083916084,1.3417832167832169,7.447552447552448,0.2272727272727273,0.4411764705882353,0.12682926829268293,0.05384615384615385,0.3153846153846154,0.36363636363636365,0.21774193548387097,0.3387096774193548,0.8950437317784257,4.673076923076923,6.870967741935484,0.2023272381857041,0.48951048951048953,9.090909090909092,42.48251748251749,8.566433566433567,11.993006993006993,8.671328671328672,10.734265734265735,59.58041958041959,1.8181818181818183,14.335664335664337,79.96503496503497,19.230769230769234,35.03496503496504,294.4755244755245,0.10489510489510491,2.8671328671328675,1.153846153846154,0.41958041958041964,0.03496503496503497,1.8881118881118883,0.24475524475524477,2.937062937062937,3.4265734265734267,2.062937062937063,0.03496503496503497,-0.9090909090909092
BallsToYou.,186.70000000000002,24,11,13,8,16,0.5,0.4375,32.0,273.0,1901.0,240.0,296.0,147.0,175.0,623.0,44.0,338.0,1918.0,335.0,817.0,5579.0,17.0,69.0,17.0,8.0,4.0,31.0,6.0,45.0,56.0,28.0,1.0,14.0,0.07498660953401177,0.1713979646491698,1.4622388859132296,10.182110337439742,1.2854847348687732,1.5854311730048205,0.7873594001071237,0.9373326191751472,3.336904124263524,0.23567220139260844,0.4583333333333333,0.1301775147928994,0.11721611721611722,0.25274725274725274,0.47058823529411764,0.2108843537414966,0.30612244897959184,0.5912162162162162,6.9633699633699635,4.238095238095238,0.11166875784190715,1.3711837171933583,11.697911087305837,81.45688269951793,10.283877878950186,12.683449384038564,6.2988752008569895,7.498660953401178,26.695232994108192,1.8853776111408675,14.483128012854847,82.1853240492769,14.354579539367968,35.00803427959293,239.05731119442953,0.7284413497589716,2.956614890198179,0.7284413497589716,0.3427959292983396,0.1713979646491698,1.3283342260310658,0.2570969469737547,1.92822710230316,2.399571505088377,1.1997857525441884,0.04284949116229245,0.5998928762720942
fl33t,183.30000000000004,26,15,11,14,12,0.6428571428571429,0.5,19.0,156.0,1308.0,135.0,191.0,162.0,198.0,1348.0,43.0,324.0,1655.0,359.0,719.0,6057.0,19.0,35.0,6.0,3.0,0.0,48.0,1.0,60.0,56.0,36.0,2.0,15.0,0.08183306055646479,0.10365521003818874,0.8510638297872338,7.13584288052373,0.7364975450081831,1.0420076377523184,0.8837970540098198,1.0801963993453352,7.354064375340969,0.2345881069285324,0.5769230769230769,0.13271604938271606,0.12179487179487179,0.22435897435897437,0.5,0.2962962962962963,0.37037037037037035,1.036649214659686,8.384615384615385,8.320987654320987,0.22255241868912,0.8292416803055099,6.808510638297871,57.08674304418984,5.891980360065465,8.336061102018547,7.070376432078558,8.641571194762681,58.83251500272775,1.8767048554282593,14.140752864157117,72.23131478450625,15.668303327877792,31.380250954719035,264.35351882160387,0.8292416803055099,1.5275504637206763,0.26186579378068736,0.13093289689034368,0.0,2.094926350245499,0.04364429896344789,2.6186579378068733,2.4440807419530817,1.571194762684124,0.08728859792689578,0.6546644844517183
PuyoPuyo,177.0,24,14,10,11,13,0.6363636363636364,0.5384615384615384,12.0,224.0,2030.0,206.0,273.0,144.0,166.0,738.0,25.0,310.0,1405.0,225.0,599.0,6325.0,18.0,33.0,9.0,5.0,0.0,33.0,1.0,51.0,67.0,22.0,6.0,-4.0,-0.022598870056497175,0.06779661016949153,1.265536723163842,11.468926553672317,1.1638418079096045,1.5423728813559323,0.8135593220338984,0.9378531073446328,4.169491525423729,0.14124293785310735,0.5833333333333334,0.08064516129032258,0.05357142857142857,0.14732142857142858,0.5555555555555556,0.22916666666666666,0.3541666666666667,0.608058608058608,9.0625,5.125,0.1166798418972332,0.5423728813559322,10.124293785310735,91.75141242937853,9.310734463276836,12.338983050847459,6.508474576271187,7.502824858757062,33.355932203389834,1.1299435028248588,14.01129943502825,63.50282485875706,10.169491525423728,27.073446327683616,285.8757062146893,0.8135593220338984,1.4915254237288136,0.4067796610169492,0.22598870056497175,0.0,1.4915254237288136,0.04519774011299435,2.305084745762712,3.0282485875706215,0.9943502824858758,0.2711864406779661,-0.1807909604519774
rc,160.9,21,12,9,5,16,1.0,0.4375,15.0,180.0,1331.0,165.0,206.0,138.0,172.0,1116.0,48.0,288.0,1439.0,190.0,600.0,4871.0,16.0,47.0,21.0,6.0,1.0,37.0,11.0,49.0,41.0,34.0,0.0,8.0,0.04972032318210068,0.09322560596643878,1.1187072715972652,8.272218769422,1.0254816656308265,1.2802983219390927,0.8576755748912368,1.0689869484151646,6.935985083903045,0.29832193909260407,0.5714285714285714,0.16666666666666666,0.08333333333333333,0.2611111111111111,0.2857142857142857,0.26811594202898553,0.35507246376811596,0.8349514563106796,7.394444444444445,8.08695652173913,0.22911106548963253,0.7458048477315102,8.949658172778122,66.177750155376,8.203853325046612,10.242386575512741,6.861404599129894,8.551895587321317,55.48788067122436,2.3865755127408326,14.319453076444997,71.54754505904287,9.44686140459913,29.832193909260408,242.18769422001242,0.7955251709136109,2.336855189558732,1.0441267868241144,0.29832193909260407,0.04972032318210068,1.8396519577377253,0.5469235550031075,2.4362958359229334,2.038533250466128,1.6904909881914232,0.0,0.39776258545680543
Kei Yonagi,150.0,19,10,9,6,13,0.5,0.5384615384615384,21.0,243.0,1668.0,222.0,261.0,128.0,157.0,397.0,42.0,271.0,1764.0,270.0,744.0,4889.0,17.0,60.0,23.0,11.0,0.0,21.0,5.0,38.0,39.0,29.0,0.0,6.0,0.04,0.14,1.62,11.12,1.48,1.74,0.8533333333333334,1.0466666666666666,2.6466666666666665,0.28,0.5263157894736842,0.15498154981549817,0.08641975308641975,0.24691358024691357,0.4782608695652174,0.1640625,0.296875,0.6015325670498084,6.864197530864198,3.1015625,0.08120269993863775,1.12,12.96,88.96,11.84,13.92,6.826666666666667,8.373333333333333,21.173333333333332,2.24,14.453333333333333,94.08,14.4,39.68,260.74666666666667,0.9066666666666666,3.2,1.2266666666666666,0.5866666666666667,0.0,1.12,0.26666666666666666,2.026666666666667,2.08,1.5466666666666666,0.0,0.32
babyTron,146.3,20,13,7,11,9,0.7272727272727273,0.5555555555555556,19.0,145.0,1342.0,125.0,155.0,149.0,176.0,832.0,34.0,262.0,1114.0,331.0,498.0,4319.0,14.0,25.0,9.0,4.0,0.0,36.0,6.0,57.0,30.0,27.0,1.0,26.0,0.17771701982228297,0.12987012987012986,0.9911141490088857,9.172932330827066,0.8544087491455912,1.059466848940533,1.0184552289815447,1.2030075187969924,5.686944634313055,0.2323991797676008,0.65,0.1297709923664122,0.1310344827586207,0.1724137931034483,0.4444444444444444,0.24161073825503357,0.3825503355704698,1.135483870967742,9.255172413793103,5.583892617449664,0.19263718453345682,1.0389610389610389,7.928913192071086,73.38345864661653,6.835269993164729,8.475734791524264,8.147641831852358,9.62406015037594,45.49555707450444,1.8591934381408064,14.326725905673273,60.91592617908407,18.099794941900203,27.231715652768283,236.17224880382773,0.7655502392344496,1.367053998632946,0.49213943950786054,0.21872863978127136,0.0,1.9685577580314422,0.328092959671907,3.1168831168831166,1.640464798359535,1.4764183185235815,0.05468215994531784,1.4217361585782637
xcv,144.8,20,16,4,7,13,0.5714285714285714,0.9230769230769231,10.0,112.0,810.0,101.0,129.0,174.0,206.0,1601.0,31.0,262.0,1104.0,272.0,484.0,3993.0,5.0,20.0,10.0,6.0,0.0,59.0,5.0,77.0,28.0,32.0,1.0,32.0,0.22099447513812154,0.06906077348066297,0.7734806629834253,5.593922651933701,0.6975138121546961,0.8908839779005524,1.2016574585635358,1.4226519337016574,11.056629834254142,0.21408839779005523,0.8,0.1183206106870229,0.08928571428571429,0.17857142857142858,0.6,0.3390804597701149,0.4425287356321839,1.5968992248062015,7.232142857142857,9.201149425287356,0.40095166541447536,0.5524861878453038,6.187845303867403,44.75138121546961,5.580110497237569,7.127071823204419,9.613259668508286,11.38121546961326,88.45303867403314,1.7127071823204418,14.47513812154696,60.994475138121544,15.027624309392264,26.740331491712706,220.60773480662982,0.2762430939226519,1.1049723756906076,0.5524861878453038,0.3314917127071823,0.0,3.2596685082872927,0.2762430939226519,4.254143646408839,1.5469613259668507,1.7679558011049723,0.055248618784530384,1.7679558011049723
