Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Red,646.9,88,52,36,88,0,0.5909090909090909,0.0,76.0,738.0,5623.0,654.0,919.0,659.0,848.0,4739.0,156.0,1148.0,5957.0,691.0,2465.0,21800.0,57.0,204.0,61.0,24.0,8.0,208.0,24.0,214.0,265.0,189.0,8.0,72.0,0.11130004637501932,0.11748338228474263,1.1408254753439482,8.692224455093523,1.0109754212397588,1.4206214252589273,1.018704591126913,1.3108672128613388,7.325707219044675,0.24115010047920854,0.5909090909090909,0.13588850174216027,0.10298102981029811,0.2764227642276423,0.39344262295081966,0.3156297420333839,0.32473444613050073,0.9227421109902068,7.619241192411924,7.191198786039454,0.21738532110091743,0.939867058277941,9.126603802751585,69.53779564074819,8.08780336991807,11.364971402071419,8.149636729015304,10.48693770289071,58.6056577523574,1.9292008038336683,14.196939248724687,73.66826402844335,8.545370227237594,30.483846034935848,269.5934456639357,0.7049002937084557,2.5228010511671046,0.7543669809862421,0.2968001236667182,0.09893337455557273,2.572267738444891,0.2968001236667182,2.646467769361571,3.2771680321533467,2.337300973875406,0.09893337455557273,0.8904003710001546
Blue,646.0000000000001,88,36,52,0,88,0.0,0.4090909090909091,58.0,736.0,5450.0,670.0,932.0,642.0,833.0,3968.0,131.0,1148.0,6182.0,720.0,2562.0,22492.0,57.0,213.0,79.0,30.0,8.0,201.0,22.0,230.0,262.0,191.0,8.0,-69.0,-0.1068111455108359,0.08978328173374611,1.1393188854489162,8.436532507739937,1.0371517027863775,1.4427244582043341,0.9938080495356035,1.289473684210526,6.1424148606811135,0.20278637770897828,0.4090909090909091,0.11411149825783973,0.07880434782608696,0.28940217391304346,0.379746835443038,0.3130841121495327,0.3582554517133956,0.8937768240343348,7.404891304347826,6.1806853582554515,0.1764182820558421,0.7182662538699689,9.11455108359133,67.4922600619195,8.29721362229102,11.541795665634673,7.950464396284828,10.315789473684209,49.13931888544891,1.6222910216718263,14.216718266253867,76.55727554179565,8.916408668730648,31.727554179566557,278.53869969040244,0.7058823529411763,2.6377708978328167,0.9783281733746129,0.37151702786377705,0.09907120743034054,2.489164086687306,0.27244582043343646,2.8482972136222906,3.2445820433436525,2.3653250773993806,0.09907120743034054,-0.8544891640866872
bubblez,48.4,6,2,4,3,3,0.3333333333333333,0.3333333333333333,7.0,65.0,591.0,58.0,71.0,34.0,48.0,339.0,12.0,86.0,424.0,22.0,170.0,1642.0,8.0,18.0,8.0,3.0,0.0,13.0,0.0,10.0,13.0,14.0,0.0,-7.0,-0.14462809917355374,0.14462809917355374,1.3429752066115703,12.210743801652892,1.1983471074380165,1.4669421487603307,0.7024793388429752,0.9917355371900827,7.0041322314049586,0.24793388429752067,0.3333333333333333,0.13953488372093023,0.1076923076923077,0.27692307692307694,0.375,0.38235294117647056,0.29411764705882354,0.676056338028169,9.092307692307692,9.970588235294118,0.20645554202192448,1.15702479338843,10.743801652892563,97.68595041322314,9.586776859504132,11.735537190082646,5.619834710743802,7.933884297520661,56.03305785123967,1.9834710743801653,14.214876033057852,70.08264462809917,3.6363636363636367,28.09917355371901,271.40495867768595,1.322314049586777,2.9752066115702482,1.322314049586777,0.49586776859504134,0.0,2.1487603305785123,0.0,1.6528925619834711,2.1487603305785123,2.31404958677686,0.0,-1.15702479338843
Toidi,32.0,4,0,4,1,3,0.0,0.0,1.0,23.0,138.0,21.0,33.0,51.0,62.0,246.0,7.0,56.0,201.0,25.0,83.0,1128.0,1.0,9.0,3.0,0.0,0.0,20.0,5.0,24.0,12.0,11.0,1.0,-7.0,-0.21875,0.03125,0.71875,4.3125,0.65625,1.03125,1.59375,1.9375,7.6875,0.21875,0.0,0.125,0.043478260869565216,0.391304347826087,0.0,0.39215686274509803,0.47058823529411764,1.878787878787879,6.0,4.823529411764706,0.21808510638297873,0.25,5.75,34.5,5.25,8.25,12.75,15.5,61.5,1.75,14.0,50.25,6.25,20.75,282.0,0.25,2.25,0.75,0.0,0.0,5.0,1.25,6.0,3.0,2.75,0.25,-1.75
rc,29.8,4,2,2,1,3,0.0,0.6666666666666666,2.0,29.0,193.0,27.0,37.0,19.0,34.0,173.0,5.0,52.0,251.0,45.0,109.0,885.0,1.0,12.0,2.0,1.0,1.0,5.0,1.0,5.0,10.0,15.0,0.0,4.0,0.1342281879194631,0.06711409395973154,0.9731543624161073,6.476510067114094,0.9060402684563759,1.2416107382550334,0.6375838926174496,1.1409395973154361,5.805369127516778,0.16778523489932887,0.5,0.09615384615384616,0.06896551724137931,0.41379310344827586,0.5,0.2631578947368421,0.2631578947368421,0.918918918918919,6.655172413793103,9.105263157894736,0.19548022598870057,0.5369127516778524,7.7852348993288585,51.81208053691275,7.248322147651007,9.932885906040267,5.100671140939597,9.12751677852349,46.442953020134226,1.342281879194631,13.95973154362416,67.38255033557047,12.080536912751677,29.26174496644295,237.58389261744966,0.2684563758389262,3.221476510067114,0.5369127516778524,0.2684563758389262,0.2684563758389262,1.342281879194631,0.2684563758389262,1.342281879194631,2.684563758389262,4.026845637583892,0.0,1.0738255033557047
Porps,24.1,3,1,2,1,2,0.0,0.5,0.0,19.0,81.0,19.0,27.0,24.0,31.0,349.0,5.0,43.0,199.0,20.0,80.0,831.0,0.0,8.0,2.0,1.0,0.0,6.0,0.0,8.0,8.0,7.0,0.0,-3.0,-0.12448132780082986,0.0,0.7883817427385892,3.3609958506224062,0.7883817427385892,1.120331950207469,0.9958506224066389,1.2863070539419086,14.481327800829874,0.20746887966804978,0.3333333333333333,0.11627906976744186,0.0,0.42105263157894735,0.5,0.25,0.3333333333333333,1.1481481481481481,4.2631578947368425,14.541666666666666,0.41997593261131166,0.0,6.3070539419087135,26.88796680497925,6.3070539419087135,8.962655601659751,7.966804979253111,10.290456431535269,115.85062240663899,1.6597510373443982,14.273858921161825,66.05809128630705,6.639004149377593,26.55601659751037,275.850622406639,0.0,2.6556016597510372,0.6639004149377593,0.33195020746887965,0.0,1.9917012448132778,0.0,2.6556016597510372,2.6556016597510372,2.3236514522821574,0.0,-0.9958506224066389
BallSaget,22.200000000000003,3,1,2,3,0,0.3333333333333333,0.0,7.0,42.0,246.0,35.0,48.0,14.0,23.0,91.0,5.0,40.0,232.0,25.0,97.0,756.0,2.0,14.0,4.0,1.0,0.0,4.0,0.0,2.0,13.0,9.0,0.0,2.0,0.09009009009009007,0.31531531531531526,1.8918918918918917,11.081081081081079,1.5765765765765765,2.162162162162162,0.6306306306306305,1.036036036036036,4.0990990990990985,0.2252252252252252,0.3333333333333333,0.125,0.16666666666666666,0.3333333333333333,0.25,0.2857142857142857,0.14285714285714285,0.4791666666666667,5.857142857142857,6.5,0.12037037037037036,2.522522522522522,15.135135135135133,88.64864864864863,12.612612612612612,17.297297297297295,5.045045045045044,8.288288288288287,32.79279279279279,1.8018018018018016,14.414414414414413,83.60360360360359,9.009009009009008,34.95495495495495,272.4324324324324,0.7207207207207206,5.045045045045044,1.4414414414414412,0.3603603603603603,0.0,1.4414414414414412,0.0,0.7207207207207206,4.684684684684684,3.243243243243243,0.0,0.7207207207207206
xcv,21.5,3,0,3,1,2,0.0,0.0,1.0,21.0,185.0,20.0,26.0,25.0,27.0,221.0,6.0,38.0,113.0,15.0,47.0,596.0,3.0,4.0,1.0,0.0,1.0,8.0,0.0,7.0,6.0,2.0,0.0,-7.0,-0.32558139534883723,0.046511627906976744,0.9767441860465116,8.604651162790697,0.9302325581395349,1.2093023255813953,1.1627906976744187,1.255813953488372,10.279069767441861,0.27906976744186046,0.0,0.15789473684210525,0.047619047619047616,0.19047619047619047,0.0,0.32,0.28,1.0384615384615385,8.80952380952381,8.84,0.37080536912751677,0.37209302325581395,7.813953488372093,68.83720930232558,7.441860465116279,9.674418604651162,9.30232558139535,10.046511627906977,82.23255813953489,2.2325581395348837,14.13953488372093,42.04651162790697,5.5813953488372094,17.488372093023255,221.7674418604651,1.1162790697674418,1.4883720930232558,0.37209302325581395,0.0,0.37209302325581395,2.9767441860465116,0.0,2.604651162790698,2.2325581395348837,0.7441860465116279,0.0,-2.604651162790698
LogisticMap,21.4,3,1,2,1,2,1.0,0.0,1.0,28.0,128.0,25.0,32.0,20.0,23.0,110.0,5.0,38.0,232.0,0.0,90.0,660.0,0.0,11.0,4.0,2.0,0.0,7.0,0.0,8.0,7.0,3.0,2.0,-5.0,-0.23364485981308414,0.04672897196261683,1.3084112149532712,5.981308411214954,1.1682242990654206,1.4953271028037385,0.9345794392523366,1.074766355140187,5.140186915887851,0.23364485981308414,0.3333333333333333,0.13157894736842105,0.03571428571428571,0.39285714285714285,0.5,0.35,0.4,0.71875,4.571428571428571,5.5,0.16666666666666666,0.3738317757009346,10.46728971962617,47.85046728971963,9.345794392523365,11.962616822429908,7.476635514018692,8.598130841121495,41.12149532710281,1.869158878504673,14.205607476635516,86.72897196261682,0.0,33.64485981308412,246.72897196261684,0.0,4.112149532710281,1.4953271028037385,0.7476635514018692,0.0,2.6168224299065423,0.0,2.990654205607477,2.6168224299065423,1.1214953271028039,0.7476635514018692,-1.869158878504673
Taurus,21.4,3,1,2,2,1,0.5,0.0,1.0,21.0,142.0,18.0,25.0,20.0,31.0,262.0,8.0,38.0,174.0,17.0,71.0,647.0,2.0,7.0,2.0,1.0,0.0,9.0,1.0,9.0,7.0,11.0,2.0,-5.0,-0.23364485981308414,0.04672897196261683,0.9813084112149534,6.635514018691589,0.8411214953271029,1.1682242990654206,0.9345794392523366,1.4485981308411215,12.242990654205608,0.3738317757009346,0.3333333333333333,0.21052631578947367,0.047619047619047616,0.3333333333333333,0.5,0.45,0.45,1.24,6.761904761904762,13.1,0.40494590417310666,0.3738317757009346,7.850467289719627,53.084112149532714,6.728971962616823,9.345794392523365,7.476635514018692,11.588785046728972,97.94392523364486,2.990654205607477,14.205607476635516,65.04672897196262,6.355140186915889,26.542056074766357,241.8691588785047,0.7476635514018692,2.6168224299065423,0.7476635514018692,0.3738317757009346,0.0,3.3644859813084116,0.3738317757009346,3.3644859813084116,2.6168224299065423,4.112149532710281,0.7476635514018692,-1.869158878504673
