Player,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Blue,27460.50000000001,3804,2014,1790,0,3804,0.0,0.5294426919032598,2863.0,31867.0,220848.0,28752.0,38983.0,27907.0,33341.0,181935.0,6091.0,49112.0,265122.0,24145.0,108435.0,891055.0,1937.0,7956.0,2952.0,1179.0,246.0,7859.0,1318.0,9937.0,10231.0,5434.0,252.0,-438.0,-0.015950182990113065,0.10425884452213174,1.160466852387975,8.042388157535365,1.0470311902550933,1.4196027020629627,1.016259718504761,1.2141439522222823,6.625334571475389,0.22180950820269105,0.5294426919032598,0.12402264212412445,0.0898421564627985,0.24966266043242225,0.39939024390243905,0.28161393198839,0.3560755366037195,0.8552702460046687,6.930304076317193,6.519332067223277,0.2041793155304667,0.834070756177054,9.2837348191038,64.33910526028292,8.376249522040746,11.356821616503701,8.130077748038088,9.713151617778259,53.002676571803114,1.7744760656215284,14.307678301560417,77.23734090784943,7.034103530525662,31.590102146719822,259.58886400466116,0.5643014511753244,2.317801933686567,0.8599989075217127,0.3434751734309279,0.07166657562680939,2.289543161996321,0.3839697019355072,2.8949217967626217,2.980572094462955,1.5830738697401716,0.07341454088599986,-0.12760146392090452
Red,27456.300000000007,3811,1788,2023,3811,0,0.46916819732353715,0.0,2974.0,31928.0,222627.0,28699.0,38450.0,27969.0,33752.0,183602.0,6180.0,49084.0,264145.0,23475.0,107854.0,883348.0,2032.0,7962.0,3014.0,1126.0,246.0,7838.0,1355.0,9717.0,9751.0,5783.0,255.0,445.0,0.01620757348950878,0.10831758102876204,1.1628660817371603,8.108412276963755,1.0452610147762078,1.4004071925204777,1.0186733099507215,1.2292989222874164,6.687062714204025,0.2250849531801444,0.46916819732353715,0.12590660907831472,0.09314708093209721,0.24937359057880232,0.3735899137358991,0.2802388358539812,0.347420358253781,0.8778153446033811,6.97278251064896,6.564482105187887,0.20784786969574845,0.8665406482300964,9.302928653897283,64.86729821571004,8.362088118209662,11.203257540163822,8.149386479605772,9.834391378299332,53.4965017136322,1.8006796254411552,14.301708533196384,76.96448538222556,6.839960227707301,31.425647301347954,257.38296857187595,0.5920681227987746,2.319904721320789,0.8781955325371589,0.3280849932438092,0.07167753848843433,2.2837745799688953,0.39480920590174196,2.831262770293156,2.841169421954159,1.68500489869356,0.07429988745752339,0.12966058791607024
bubblez,736.7999999999997,100,43,57,44,56,0.3409090909090909,0.5,86.0,900.0,6229.0,808.0,998.0,647.0,821.0,5064.0,178.0,1319.0,7394.0,564.0,2996.0,23210.0,54.0,217.0,70.0,21.0,3.0,216.0,30.0,254.0,190.0,174.0,6.0,-36.0,-0.04885993485342021,0.1167209554831705,1.2214983713355054,8.454125950054292,1.0966340933767649,1.354505971769816,0.8781216069489688,1.1142779587404998,6.87296416938111,0.24158523344191105,0.43,0.13495072024260804,0.09555555555555556,0.2411111111111111,0.3,0.33384853168469864,0.39258114374034003,0.8226452905811623,6.921111111111111,7.8268933539412675,0.21818181818181817,0.933767643865364,9.771986970684043,67.63300760043434,8.773072747014119,10.836047774158528,7.02497285559175,8.914223669923999,54.98371335504888,1.9326818675352884,14.321389793702503,80.28230184581979,6.123778501628666,32.5298588490771,252.0086862106407,0.5863192182410426,2.3561346362649305,0.7600434310532033,0.22801302931596099,0.032573289902280145,2.3452768729641704,0.32573289902280145,2.7578718783930523,2.062975027144409,1.8892508143322482,0.06514657980456029,-0.3908794788273617
BallsToYou.,688.0999999999999,92,48,44,45,47,0.5333333333333333,0.5106382978723404,120.0,1092.0,7212.0,967.0,1234.0,489.0,611.0,1838.0,162.0,1246.0,7754.0,530.0,3142.0,21762.0,72.0,315.0,109.0,46.0,9.0,109.0,21.0,128.0,267.0,122.0,5.0,1.0,0.0014532771399505889,0.17439325679407064,1.586978636826043,10.481034733323646,1.4053189943322193,1.7933439906990265,0.7106525214358379,0.8879523325098098,2.6711233832291823,0.23543089667199538,0.5217391304347826,0.13001605136436598,0.10989010989010989,0.28846153846153844,0.42201834862385323,0.2229038854805726,0.261758691206544,0.49513776337115073,6.604395604395604,3.7586912065439675,0.08445914897527801,1.3951460543525651,12.695829094608344,83.84827786658917,11.242551954657754,14.346751925592212,5.685220171486703,7.103618660078478,21.36898706583346,1.883447173375963,14.48626653102747,90.14968754541492,6.161895073390497,36.529574189798,253.0097369568377,0.8370876326115392,3.6622583926754837,1.2672576660369135,0.5348059875018166,0.1046359540764424,1.2672576660369135,0.24415055951169892,1.488155791309403,3.1041999709344577,1.4183984885917746,0.05813108559802355,0.011626217119604711
LogisticMap,541.1999999999999,71,29,42,34,37,0.38235294117647056,0.43243243243243246,52.0,556.0,3747.0,499.0,671.0,536.0,620.0,4465.0,85.0,972.0,5198.0,335.0,2089.0,17012.0,33.0,143.0,59.0,22.0,4.0,137.0,20.0,175.0,172.0,84.0,5.0,-29.0,-0.05358462675535847,0.0960827790096083,1.0273466371027349,6.9235033259423515,0.9220251293422026,1.2398373983739839,0.9903917220990393,1.1456023651145604,8.25018477457502,0.15705838876570585,0.4084507042253521,0.0874485596707819,0.09352517985611511,0.25719424460431656,0.3728813559322034,0.2555970149253731,0.32649253731343286,0.9239940387481371,6.739208633093525,8.330223880597014,0.26246179167646366,0.7686622320768663,8.218773096821879,55.38802660753881,7.376201034737621,9.918699186991871,7.923133776792314,9.164818920916483,66.00147819660016,1.2564671101256468,14.368070953436808,76.83665927568367,4.951958610495197,30.879526977087956,251.4708056171471,0.48780487804878053,2.1138211382113825,0.8721359940872138,0.3252032520325204,0.05912786400591279,2.025129342202513,0.29563932002956395,2.586844050258685,2.5424981522542502,1.2416851441241687,0.07390983000739099,-0.42867701404286773
rc,523.5,69,30,39,35,34,0.4,0.47058823529411764,42.0,589.0,3770.0,542.0,715.0,471.0,637.0,3465.0,160.0,938.0,5101.0,375.0,2067.0,17263.0,34.0,161.0,60.0,24.0,8.0,138.0,21.0,172.0,173.0,166.0,5.0,-33.0,-0.06303724928366762,0.08022922636103152,1.125119388729704,7.2015281757402105,1.0353390639923592,1.3658070678127985,0.8997134670487106,1.2168099331423115,6.6189111747851,0.30563514804202485,0.43478260869565216,0.17057569296375266,0.07130730050933787,0.2733446519524618,0.4,0.2929936305732484,0.3651804670912951,0.8909090909090909,6.400679117147708,7.356687898089172,0.20071829925273707,0.6418338108882522,9.000955109837632,57.612225405921684,8.282712511938874,10.926456542502388,7.197707736389685,9.734479465138492,52.9512893982808,2.445081184336199,14.334288443170964,77.95224450811844,5.730659025787966,31.587392550143267,263.80897803247376,0.5195797516714422,2.4603629417382997,0.9169054441260746,0.3667621776504298,0.12225405921680993,2.108882521489971,0.3209169054441261,2.6284622731614133,2.6437440305635147,2.536771728748806,0.07640878701050621,-0.504297994269341
metalhead,456.59999999999997,67,33,34,34,33,0.35294117647058826,0.6363636363636364,46.0,584.0,3060.0,532.0,731.0,449.0,524.0,3286.0,87.0,811.0,4348.0,470.0,1792.0,16575.0,13.0,175.0,62.0,30.0,7.0,115.0,25.0,148.0,199.0,75.0,6.0,15.0,0.0328515111695138,0.10074463425317565,1.279018834866404,6.701708278580815,1.1651335961454228,1.6009636443276392,0.9833552343407798,1.1476127901883488,7.196671046868157,0.19053876478318005,0.4925373134328358,0.10727496917385944,0.07876712328767123,0.2996575342465753,0.4838709677419355,0.2561247216035635,0.32962138084632514,0.7168262653898769,5.239726027397261,7.3184855233853,0.1982503770739065,0.8059570740254052,10.232150678931232,53.61366622864652,9.321068769163382,12.807709154621113,7.866841874726238,9.18090232150679,57.573368374945254,1.5243101182654404,14.209373631187036,76.18046430135787,8.234778799824793,31.397284275076657,290.407358738502,0.22777047744196235,3.0661410424879545,1.0862899693385897,0.5256241787122208,0.12264564169951819,2.014892685063513,0.43802014892685065,2.593079281646956,3.4866403854577315,1.314060446780552,0.10512483574244416,0.2628120893561104
Toidi,445.90000000000003,61,32,29,27,34,0.5555555555555556,0.5,24.0,318.0,1901.0,292.0,484.0,649.0,713.0,5628.0,86.0,803.0,3556.0,245.0,1423.0,13179.0,9.0,83.0,25.0,7.0,2.0,236.0,23.0,302.0,192.0,64.0,2.0,-12.0,-0.02691186364655752,0.05382372729311504,0.7131643866337743,4.263287732675487,0.6548553487328997,1.08544516707782,1.455483292217986,1.5990132316662928,12.621664050235477,0.19286835613366224,0.5245901639344263,0.10709838107098381,0.07547169811320754,0.2610062893081761,0.28,0.36363636363636365,0.46533127889060094,1.4731404958677685,5.977987421383648,8.671802773497689,0.42704302299112223,0.4305898183449203,5.705315093070195,34.1063018614039,5.238842789863198,8.68356133662256,11.643866337743887,12.792105853330343,100.97331240188382,1.542946849069298,14.406817672123793,63.79905808477236,4.395604395604395,25.530387979367568,236.4476339986544,0.16147118187934514,1.489123121776183,0.4485310607759587,0.12558869701726844,0.035882484862076694,4.23413321372505,0.412648575913882,5.418255214173581,3.4447185467593626,1.1482395155864542,0.035882484862076694,-0.21529490917246016
Ceremony,410.90000000000003,55,20,35,29,26,0.41379310344827586,0.3076923076923077,62.0,620.0,3968.0,557.0,649.0,257.0,325.0,1577.0,75.0,738.0,4318.0,190.0,1730.0,12835.0,28.0,153.0,36.0,12.0,8.0,70.0,17.0,100.0,92.0,68.0,1.0,-57.0,-0.13871988318325626,0.15088829398880504,1.5088829398880506,9.656850815283523,1.3555609637381356,1.5794597225602336,0.6254563154052081,0.7909467023606717,3.8379167680700896,0.1825261620832319,0.36363636363636365,0.1016260162601626,0.1,0.2467741935483871,0.3333333333333333,0.2723735408560311,0.38910505836575876,0.5007704160246533,6.4,6.136186770428016,0.12286716010907674,1.2071063519104404,12.071063519104404,77.25480652226818,10.844487709905085,12.635677780481869,5.003650523241665,6.327573618885373,30.703334144560717,1.4602092966658553,14.368459479192015,84.06911657337551,3.6991968848868333,33.682161109759065,249.89048430275005,0.545144804088586,2.978826965198345,0.7009004623996106,0.23363348746653684,0.15575565831102456,1.362862010221465,0.33098077391092723,1.9469457288878071,1.7911900705767825,1.323923095643709,0.01946945728887807,-1.10975906546605
eee,407.3,55,24,31,26,29,0.5384615384615384,0.3448275862068966,58.0,515.0,4079.0,451.0,583.0,362.0,498.0,1604.0,109.0,735.0,4168.0,318.0,1695.0,12464.0,44.0,121.0,38.0,12.0,5.0,77.0,19.0,107.0,132.0,136.0,6.0,-29.0,-0.07120058924625583,0.14240117849251166,1.2644242573041984,10.014731156395777,1.1072919224159097,1.4313773631230051,0.8887797692118831,1.2226859808494968,3.9381291431377363,0.2676160078566167,0.43636363636363634,0.14829931972789115,0.11262135922330097,0.23495145631067962,0.3157894736842105,0.212707182320442,0.2955801104972376,0.8542024013722127,7.920388349514563,4.430939226519337,0.1286906290115533,1.1392094279400933,10.115394058433587,80.11784925116622,8.858335379327277,11.451018904984041,7.1102381536950645,9.781487846795974,31.50503314510189,2.1409280628529337,14.436533267861527,81.86594647679843,6.246010311809477,33.292413454456174,244.81217775595383,0.864227841885588,2.376626565185367,0.7463785907193714,0.23569850233243309,0.09820770930518045,1.512398723299779,0.3731892953596857,2.1016449791308616,2.592683525656764,2.671249693100908,0.11784925116621654,-0.5696047139700466
