Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,18679.80000000007,2548,1240,1308,0.48665620094191525,2548,0,1240,0,0.48665620094191525,0.0,1976.0,20799.0,145047.0,18671.0,30022.0,17803.0,25953.0,133946.0,4171.0,33308.0,154308.0,41223.0,68325.0,589938.0,1554.0,6576.0,2242.0,825.0,171.0,6120.0,834.0,6865.0,11351.0,8150.0,152.0,-526.0,-0.028158759729761458,0.10578271715971224,1.113448752127963,7.7649118298910835,0.9995289028790422,1.6071906551461947,0.9530615959485613,1.3893617704686294,7.1706335185601295,0.2232893285795343,0.12522517113005885,0.09500456752728496,0.3161690465887783,0.039665368527333045,0.34376228725495706,0.3856091669943268,0.864466058223969,6.973748737920093,7.523788125596809,0.22705097823839115
Blue,18690.200000000066,2548,1309,1239,0.5137362637362637,0,2548,0,1309,0.0,0.5137362637362637,2115.0,20575.0,147406.0,18299.0,29526.0,18081.0,26340.0,136465.0,4152.0,33300.0,153738.0,40872.0,68078.0,580290.0,1593.0,6271.0,2120.0,788.0,190.0,6394.0,842.0,7406.0,11227.0,8259.0,161.0,567.0,0.03033675402082364,0.11316090785545325,1.100844292730946,7.886806989759311,0.9790692448448886,1.5797583760473348,0.9674053782195983,1.4092947105969924,7.30141999550564,0.22214850563396782,0.12468468468468469,0.10279465370595382,0.3047873633049818,0.038298906439854195,0.353630883247608,0.40960123886953154,0.8920951026214184,7.1643256379100855,7.547425474254743,0.2351668993089662
tha king,260.70000000000005,36,12,24,0.3333333333333333,19,17,6,6,0.3157894736842105,0.35294117647058826,20.0,249.0,1814.0,229.0,369.0,262.0,396.0,2315.0,72.0,464.0,2026.0,572.0,900.0,7886.0,19.0,78.0,29.0,8.0,1.0,81.0,14.0,103.0,140.0,134.0,0.0,-43.0,-0.1649405446873801,0.07671653241273493,0.9551208285385498,6.958189489835058,0.8784042961258149,1.4154200230149594,1.0049865746068276,1.5189873417721516,8.879938626774068,0.2761795166858457,0.15517241379310345,0.08032128514056225,0.3132530120481928,0.0321285140562249,0.30916030534351147,0.3931297709923664,1.0731707317073171,7.285140562248996,8.835877862595419,0.2935582044128836
NameLEss,183.7,26,11,15,0.4230769230769231,16,10,7,4,0.4375,0.4,20.0,195.0,1443.0,172.0,247.0,197.0,310.0,1799.0,44.0,329.0,1520.0,578.0,705.0,5562.0,18.0,73.0,30.0,7.0,3.0,71.0,5.0,85.0,75.0,113.0,3.0,3.0,0.01633097441480675,0.10887316276537834,1.0615133369624388,7.8551986935220475,0.9363091997822537,1.3445835601524225,1.0724006532389767,1.6875340228633642,9.793140990745782,0.23952095808383236,0.1337386018237082,0.10256410256410256,0.37435897435897436,0.035897435897435895,0.3604060913705584,0.43147208121827413,1.2550607287449393,7.4,9.131979695431472,0.3234448040273283
Ty,95.9,13,8,5,0.6153846153846154,6,7,3,5,0.5,0.7142857142857143,12.0,81.0,750.0,69.0,118.0,103.0,186.0,743.0,45.0,171.0,767.0,227.0,342.0,2940.0,12.0,18.0,3.0,0.0,0.0,32.0,5.0,33.0,49.0,83.0,0.0,20.0,0.20855057351407716,0.12513034410844628,0.8446298227320125,7.820646506777893,0.7194994786235662,1.230448383733055,1.0740354535974974,1.9395203336809175,7.747653806047966,0.4692387904066736,0.2631578947368421,0.14814814814814814,0.2222222222222222,0.0,0.3106796116504854,0.32038834951456313,1.576271186440678,9.25925925925926,7.213592233009709,0.25272108843537416
Ducky,149.29999999999998,21,7,14,0.3333333333333333,9,12,2,5,0.2222222222222222,0.4166666666666667,7.0,138.0,809.0,131.0,249.0,143.0,176.0,1570.0,22.0,266.0,1237.0,376.0,556.0,4692.0,5.0,48.0,14.0,4.0,0.0,64.0,6.0,66.0,118.0,33.0,0.0,-26.0,-0.17414601473543204,0.04688546550569324,0.9243134628265239,5.418620227729405,0.8774279973208307,1.6677829872739454,0.9578030810448762,1.1788345612860014,10.515740120562628,0.14735432016075017,0.08270676691729323,0.050724637681159424,0.34782608695652173,0.028985507246376812,0.44755244755244755,0.46153846153846156,0.7068273092369478,5.86231884057971,10.979020979020978,0.33461210571184996
The Bhutan,58.1,9,5,4,0.5555555555555556,7,2,4,1,0.5714285714285714,0.5,11.0,83.0,529.0,70.0,104.0,35.0,46.0,312.0,8.0,102.0,507.0,150.0,226.0,1885.0,5.0,26.0,7.0,2.0,2.0,16.0,3.0,21.0,34.0,11.0,2.0,8.0,0.13769363166953527,0.18932874354561102,1.4285714285714286,9.104991394148021,1.2048192771084336,1.7900172117039586,0.6024096385542168,0.7917383820998278,5.370051635111876,0.13769363166953527,0.0784313725490196,0.13253012048192772,0.3132530120481928,0.024096385542168676,0.45714285714285713,0.6,0.4423076923076923,6.373493975903615,8.914285714285715,0.16551724137931034
Sugar,188.7,27,15,12,0.5555555555555556,15,12,5,10,0.3333333333333333,0.8333333333333334,36.0,260.0,2020.0,224.0,321.0,191.0,286.0,1103.0,60.0,338.0,1700.0,295.0,723.0,5648.0,23.0,75.0,21.0,9.0,5.0,68.0,16.0,82.0,97.0,95.0,0.0,14.0,0.07419183889772125,0.1907790143084261,1.377848436671966,10.704822469528352,1.18706942236354,1.7011128775834659,1.012188659247483,1.5156332803391628,5.84525702172761,0.3179650238473768,0.17751479289940827,0.13846153846153847,0.28846153846153844,0.03461538461538462,0.35602094240837695,0.4293193717277487,0.8909657320872274,7.769230769230769,5.774869109947644,0.19529036827195467
Carrrrrl,22.1,4,1,3,0.25,4,0,1,0,0.25,0.0,5.0,28.0,237.0,23.0,37.0,16.0,28.0,42.0,8.0,38.0,251.0,45.0,107.0,702.0,3.0,7.0,3.0,1.0,1.0,3.0,0.0,4.0,14.0,12.0,0.0,-7.0,-0.3167420814479638,0.2262443438914027,1.2669683257918551,10.723981900452488,1.0407239819004523,1.67420814479638,0.7239819004524887,1.2669683257918551,1.9004524886877827,0.36199095022624433,0.21052631578947367,0.17857142857142858,0.25,0.03571428571428571,0.1875,0.25,0.7567567567567568,8.464285714285714,2.625,0.05982905982905983
Ballski,10.7,2,1,1,0.5,1,1,0,1,0.0,1.0,0.0,7.0,41.0,7.0,14.0,7.0,14.0,31.0,0.0,18.0,100.0,33.0,46.0,452.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,7.0,7.0,0.0,4.0,0.3738317757009346,0.0,0.6542056074766356,3.8317757009345796,0.6542056074766356,1.3084112149532712,0.6542056074766356,1.3084112149532712,2.897196261682243,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,1.0,5.857142857142857,4.428571428571429,0.06858407079646017
