Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,9613.999999999975,1300,548,752,0.42153846153846153,1300,0,548,0,0.42153846153846153,0.0,1020.0,10643.0,83546.0,9529.0,13420.0,9069.0,11924.0,56847.0,3185.0,25748.0,82049.0,16465.0,35297.0,336772.0,895.0,2769.0,1023.0,432.0,93.0,2599.0,447.0,2923.0,3891.0,2855.0,94.0,-448.0,-0.04659871021427098,0.10609527771999196,1.1070314125234062,8.690035365092596,0.99115872685667,1.3958810068649923,0.9433118369045167,1.2402745995423374,5.912939463282728,0.33128770542958275,0.12369892807208327,0.09583763976322465,0.2601710044160481,0.04059005919383633,0.2865806593891278,0.3223067592898886,0.8885245901639345,7.849854364370948,6.26827654647701,0.16879966267979524
Blue,9624.099999999977,1300,752,548,0.5784615384615385,0,1300,0,752,0.0,0.5784615384615385,1133.0,10464.0,84193.0,9244.0,12969.0,9336.0,12376.0,56928.0,3252.0,25748.0,79830.0,16831.0,34525.0,334184.0,933.0,2629.0,942.0,409.0,85.0,2743.0,491.0,3140.0,3725.0,3040.0,87.0,457.0,0.047484959632589134,0.11772529379370567,1.0872704980205967,8.748142683471722,0.9605053979073391,1.3475545765318349,0.970064733325716,1.2859384254112103,5.915150507579944,0.33790172587566714,0.12630107192791673,0.10827599388379205,0.2512423547400612,0.03908639143730887,0.293808911739503,0.3363324764353042,0.9542755802297787,8.045967125382264,6.097686375321337,0.17034926866636343
Light,108.39999999999999,13,9,4,0.6923076923076923,6,7,4,5,0.6666666666666666,0.7142857142857143,6.0,115.0,863.0,108.0,140.0,88.0,139.0,408.0,49.0,295.0,1207.0,270.0,530.0,3903.0,7.0,24.0,13.0,5.0,0.0,17.0,4.0,26.0,32.0,51.0,1.0,7.0,0.06457564575645756,0.05535055350553506,1.0608856088560887,7.961254612546126,0.996309963099631,1.2915129151291513,0.8118081180811809,1.2822878228782288,3.763837638376384,0.452029520295203,0.16610169491525423,0.05217391304347826,0.20869565217391303,0.043478260869565216,0.19318181818181818,0.29545454545454547,0.9928571428571429,7.504347826086956,4.636363636363637,0.10453497309761722
TaylorWhiff,3.1,1,1,0,1.0,1,0,1,0,1.0,0.0,3.0,7.0,68.0,4.0,4.0,1.0,4.0,3.0,2.0,9.0,33.0,0.0,12.0,124.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,1.6129032258064515,0.9677419354838709,2.258064516129032,21.93548387096774,1.2903225806451613,1.2903225806451613,0.3225806451612903,1.2903225806451613,0.9677419354838709,0.6451612903225806,0.2222222222222222,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,1.0,9.714285714285714,3.0,0.024193548387096774
gl hf :),56.6,7,4,3,0.5714285714285714,2,5,1,3,0.5,0.6,7.0,75.0,571.0,68.0,95.0,48.0,63.0,288.0,23.0,156.0,590.0,90.0,248.0,1836.0,6.0,19.0,6.0,4.0,0.0,15.0,4.0,21.0,27.0,15.0,0.0,-2.0,-0.0353356890459364,0.12367491166077738,1.3250883392226147,10.088339222614842,1.2014134275618373,1.6784452296819787,0.8480565371024735,1.1130742049469964,5.088339222614841,0.40636042402826855,0.14743589743589744,0.09333333333333334,0.25333333333333335,0.05333333333333334,0.3125,0.4375,0.6631578947368421,7.613333333333333,6.0,0.1568627450980392
jerm,55.5,10,8,2,0.8,6,4,4,4,0.6666666666666666,1.0,13.0,50.0,409.0,37.0,53.0,50.0,71.0,300.0,22.0,150.0,385.0,155.0,181.0,1627.0,4.0,10.0,2.0,0.0,0.0,18.0,5.0,18.0,16.0,21.0,0.0,23.0,0.4144144144144144,0.23423423423423423,0.9009009009009009,7.36936936936937,0.6666666666666666,0.954954954954955,0.9009009009009009,1.2792792792792793,5.405405405405405,0.3963963963963964,0.14666666666666667,0.26,0.2,0.0,0.36,0.36,1.3396226415094339,8.18,6.0,0.18438844499078058
DrPoopBoots,3.1,1,0,1,0.0,0,1,0,0,0.0,0.0,0.0,2.0,23.0,2.0,4.0,5.0,5.0,13.0,1.0,9.0,10.0,5.0,5.0,134.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,-5.0,-1.6129032258064515,0.0,0.6451612903225806,7.419354838709677,0.6451612903225806,1.2903225806451613,1.6129032258064515,1.6129032258064515,4.193548387096774,0.3225806451612903,0.1111111111111111,0.0,0.5,0.0,0.4,0.4,1.25,11.5,2.6,0.09701492537313433
frieren,67.7,10,7,3,0.7,6,4,4,3,0.6666666666666666,0.75,12.0,45.0,378.0,33.0,55.0,104.0,135.0,598.0,24.0,180.0,439.0,79.0,187.0,2283.0,3.0,8.0,4.0,2.0,1.0,23.0,8.0,24.0,22.0,31.0,0.0,13.0,0.19202363367799113,0.17725258493353027,0.6646971935007385,5.583456425406204,0.4874446085672082,0.8124076809453471,1.536189069423929,1.9940915805022155,8.833087149187591,0.35450516986706054,0.13333333333333333,0.26666666666666666,0.17777777777777778,0.044444444444444446,0.22115384615384615,0.23076923076923078,2.4545454545454546,8.4,5.75,0.2619360490582567
jig,86.8,12,5,7,0.4166666666666667,6,6,1,4,0.16666666666666666,0.6666666666666666,20.0,117.0,1127.0,96.0,122.0,81.0,103.0,314.0,36.0,237.0,766.0,87.0,315.0,3051.0,17.0,31.0,10.0,6.0,0.0,18.0,4.0,18.0,26.0,22.0,1.0,-5.0,-0.0576036866359447,0.2304147465437788,1.347926267281106,12.983870967741936,1.1059907834101383,1.4055299539170507,0.9331797235023042,1.1866359447004609,3.6175115207373274,0.4147465437788019,0.1518987341772152,0.17094017094017094,0.26495726495726496,0.05128205128205128,0.2222222222222222,0.2222222222222222,0.8442622950819673,9.632478632478632,3.876543209876543,0.1029170763684038
Enervate,172.3,25,11,14,0.44,13,12,8,3,0.6153846153846154,0.25,19.0,220.0,1473.0,201.0,259.0,182.0,232.0,729.0,55.0,453.0,1615.0,155.0,663.0,5800.0,12.0,64.0,18.0,8.0,1.0,41.0,9.0,56.0,58.0,50.0,0.0,-25.0,-0.14509576320371445,0.11027278003482298,1.2768427161926872,8.549042367962855,1.166569936157864,1.5031921067904817,1.0562971561230412,1.34648868253047,4.2309924550203135,0.3192106790481718,0.12141280353200883,0.08636363636363636,0.2909090909090909,0.03636363636363636,0.22527472527472528,0.3076923076923077,0.8957528957528957,6.695454545454545,4.0054945054945055,0.1256896551724138
jimbo_,16.2,2,1,1,0.5,1,1,1,0,1.0,0.0,3.0,22.0,133.0,19.0,19.0,14.0,16.0,97.0,4.0,42.0,164.0,25.0,69.0,379.0,0.0,6.0,2.0,1.0,1.0,5.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.1851851851851852,1.3580246913580247,8.209876543209877,1.1728395061728396,1.1728395061728396,0.8641975308641976,0.9876543209876544,5.987654320987654,0.2469135802469136,0.09523809523809523,0.13636363636363635,0.2727272727272727,0.045454545454545456,0.35714285714285715,0.42857142857142855,0.8421052631578947,6.045454545454546,6.928571428571429,0.2559366754617414
Ducky,155.20000000000002,21,6,15,0.2857142857142857,9,12,2,4,0.2222222222222222,0.3333333333333333,9.0,107.0,693.0,97.0,179.0,162.0,202.0,1739.0,55.0,409.0,1126.0,360.0,508.0,5233.0,6.0,30.0,16.0,5.0,1.0,59.0,7.0,71.0,82.0,40.0,1.0,-18.0,-0.11597938144329896,0.05798969072164948,0.6894329896907215,4.46520618556701,0.6249999999999999,1.1533505154639174,1.0438144329896906,1.3015463917525771,11.204896907216494,0.35438144329896903,0.13447432762836187,0.08411214953271028,0.2803738317757009,0.04672897196261682,0.36419753086419754,0.4382716049382716,1.1284916201117319,6.4766355140186915,10.734567901234568,0.33231416013758835
Sugar,88.4,11,8,3,0.7272727272727273,7,4,5,3,0.7142857142857143,0.75,13.0,111.0,932.0,97.0,146.0,96.0,121.0,369.0,27.0,234.0,758.0,125.0,321.0,2862.0,11.0,20.0,7.0,2.0,1.0,28.0,8.0,31.0,49.0,25.0,1.0,9.0,0.10180995475113122,0.14705882352941174,1.255656108597285,10.542986425339366,1.097285067873303,1.6515837104072397,1.085972850678733,1.3687782805429864,4.1742081447963795,0.30542986425339363,0.11538461538461539,0.11711711711711711,0.18018018018018017,0.018018018018018018,0.2916666666666667,0.3229166666666667,0.8287671232876712,8.396396396396396,3.84375,0.1289308176100629
