Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Blue,2953.900000000008,395,156,239,0.3949367088607595,0,395,0,156,0.0,0.3949367088607595,241.0,3470.0,23849.0,3204.0,4130.0,2968.0,3619.0,20007.0,653.0,5312.0,27983.0,4795.0,11904.0,95857.0,202.0,872.0,320.0,114.0,18.0,800.0,111.0,1090.0,926.0,651.0,25.0,-241.0,-0.0815870544026539,0.0815870544026539,1.1747181692000375,8.073733030908269,1.0846677274112162,1.3981515961948574,1.0047733504857959,1.2251599580215953,6.773079657402061,0.12292921686746988,0.12292921686746988,0.06945244956772334,0.2512968299711816,0.032853025936599424,0.2695417789757412,0.36725067385444743,0.8762711864406779,6.872910662824207,6.740902964959568,0.20871715159038984,0.6526964352212312,9.3977453536003,64.58986424726615,8.67734181928973,11.18521276955886,8.038186803886367,9.801279664172762,54.18463725921649,1.7685094282135434,14.386404414502822,75.7859101526793,12.986221605335285,32.23941230237982,259.607975896272,0.5470733606418618,2.361623616236156,0.8666508683435435,0.3087443718473874,0.048749111344324324,2.1666271708588587,0.30061951995666664,2.952029520295195,2.507870950269129,1.7630928602863964,0.06770709908933933,-0.6526964352212312
Red,2947.4000000000074,395,239,156,0.6050632911392405,395,0,239,0,0.6050632911392405,0.0,303.0,3365.0,23966.0,3034.0,3953.0,3148.0,3797.0,19695.0,675.0,5298.0,27312.0,4942.0,11660.0,95033.0,212.0,816.0,289.0,112.0,28.0,862.0,130.0,1226.0,919.0,649.0,28.0,250.0,0.084820519780145,0.10280246997353575,1.1416841962407518,8.13123430820382,1.0293818280518396,1.3411820587636527,1.068059985071586,1.2882540544208423,6.682160548279823,0.1274065685164213,0.1274065685164213,0.0900445765230312,0.2424962852897474,0.03328380386329866,0.2738246505717916,0.38945362134688694,0.9605363015431319,7.122139673105497,6.256353240152478,0.2072437995222712,0.822419759788286,9.133473569926014,65.04987446563057,8.235054624414717,10.729456470109222,8.544479880572688,10.306032435366738,53.457284386238584,1.832123227251132,14.380131641446663,74.13177715953024,13.41385628011125,31.648232340367702,257.94395060052864,0.5754224061885037,2.2148334124991464,0.784420166926781,0.3039967428920397,0.07599918572300993,2.3396892176155197,0.3528533622854032,3.3276786320146488,2.494401845694504,1.7615525547940514,0.07599918572300993,0.67856415824116
TERROR NUGS,83.8,11,4,7,0.36363636363636365,5,6,2,2,0.4,0.3333333333333333,11.0,90.0,943.0,77.0,96.0,98.0,105.0,504.0,20.0,150.0,691.0,122.0,293.0,3084.0,11.0,19.0,8.0,3.0,1.0,21.0,0.0,30.0,19.0,7.0,2.0,-3.0,-0.03579952267303103,0.13126491646778043,1.0739856801909309,11.252983293556087,0.918854415274463,1.1455847255369929,1.1694510739856803,1.252983293556086,6.014319809069213,0.13333333333333333,0.13333333333333333,0.12222222222222222,0.2111111111111111,0.03333333333333333,0.21428571428571427,0.30612244897959184,1.09375,10.477777777777778,5.142857142857143,0.16342412451361868,1.0501193317422435,8.591885441527447,90.02386634844869,7.350835322195704,9.164677804295943,9.355608591885442,10.023866348448689,48.1145584725537,1.9093078758949882,14.319809069212411,65.96658711217184,11.646778042959427,27.971360381861576,294.41527446300717,1.0501193317422435,1.8138424821002388,0.7637231503579952,0.2863961813842482,0.0954653937947494,2.0047732696897373,0.0,2.863961813842482,1.8138424821002388,0.6682577565632458,0.1909307875894988,-0.2863961813842482
BallsToYou.,83.30000000000001,11,7,4,0.6363636363636364,6,5,3,4,0.5,0.8,17.0,116.0,790.0,99.0,122.0,70.0,91.0,274.0,22.0,149.0,802.0,170.0,348.0,2445.0,6.0,22.0,4.0,1.0,2.0,17.0,3.0,26.0,23.0,21.0,0.0,18.0,0.2160864345738295,0.2040816326530612,1.3925570228091235,9.483793517406962,1.1884753901560623,1.4645858343337332,0.8403361344537814,1.0924369747899159,3.289315726290516,0.1476510067114094,0.1476510067114094,0.14655172413793102,0.1896551724137931,0.008620689655172414,0.24285714285714285,0.37142857142857144,0.7459016393442623,6.810344827586207,3.914285714285714,0.11206543967280164,1.6326530612244896,11.140456182472988,75.8703481392557,9.507803121248498,11.716686674669866,6.722689075630251,8.739495798319327,26.314525810324128,2.112845138055222,14.309723889555821,77.02280912364945,16.326530612244895,33.421368547418965,234.81392557022806,0.5762304921968787,2.112845138055222,0.3841536614645858,0.09603841536614645,0.1920768307322929,1.6326530612244896,0.28811524609843936,2.4969987995198077,2.2088835534213684,2.0168067226890756,0.0,1.728691476590636
bubblez,82.3,10,4,6,0.4,9,1,4,0,0.4444444444444444,0.0,4.0,72.0,652.0,68.0,85.0,77.0,95.0,928.0,21.0,150.0,744.0,125.0,313.0,2631.0,7.0,9.0,6.0,4.0,1.0,21.0,4.0,29.0,17.0,18.0,0.0,-5.0,-0.06075334143377886,0.04860267314702309,0.8748481166464156,7.922235722964763,0.8262454434993924,1.0328068043742407,0.9356014580801945,1.1543134872417984,11.275820170109357,0.14,0.14,0.05555555555555555,0.125,0.05555555555555555,0.2727272727272727,0.37662337662337664,1.1176470588235294,9.055555555555555,12.051948051948052,0.35271759787153173,0.3888213851761847,6.998784933171325,63.377885783718106,6.6099635479951395,8.262454434993925,7.484811664641556,9.234507897934387,90.20656136087486,2.0413122721749697,14.580801944106927,72.32077764277035,12.150668286755772,30.425273390036452,255.74726609963548,0.6804374240583232,0.8748481166464156,0.5832320777642771,0.3888213851761847,0.09720534629404617,2.0413122721749697,0.3888213851761847,2.8189550425273393,1.6524908869987849,1.7496962332928312,0.0,-0.4860267314702309
fl33t,77.19999999999999,10,3,7,0.3,5,5,2,1,0.4,0.2,8.0,68.0,536.0,59.0,82.0,64.0,76.0,486.0,15.0,138.0,723.0,175.0,319.0,2564.0,5.0,14.0,4.0,1.0,0.0,18.0,0.0,21.0,23.0,12.0,1.0,2.0,0.025906735751295342,0.10362694300518137,0.8808290155440416,6.943005181347151,0.7642487046632126,1.062176165803109,0.829015544041451,0.984455958549223,6.295336787564768,0.10869565217391304,0.10869565217391304,0.11764705882352941,0.20588235294117646,0.014705882352941176,0.28125,0.328125,0.926829268292683,7.882352941176471,7.59375,0.18954758190327614,0.829015544041451,7.046632124352333,55.54404145077721,6.113989637305701,8.497409326424872,6.632124352331608,7.875647668393784,50.36269430051814,1.5544041450777204,14.300518134715029,74.92227979274612,18.13471502590674,33.05699481865285,265.699481865285,0.5181347150259068,1.4507772020725391,0.4145077720207255,0.10362694300518137,0.0,1.8652849740932644,0.0,2.1761658031088085,2.3834196891191715,1.2435233160621764,0.10362694300518137,0.20725388601036274
Kei Yonagi,73.4,9,4,5,0.4444444444444444,2,7,1,3,0.5,0.42857142857142855,14.0,117.0,788.0,103.0,120.0,63.0,72.0,208.0,18.0,133.0,846.0,125.0,355.0,2349.0,6.0,27.0,7.0,2.0,0.0,10.0,2.0,19.0,17.0,9.0,0.0,0.0,0.0,0.19073569482288827,1.5940054495912805,10.735694822888282,1.4032697547683923,1.6348773841961852,0.8583106267029972,0.9809264305177111,2.833787465940054,0.13533834586466165,0.13533834586466165,0.11965811965811966,0.23076923076923078,0.017094017094017096,0.15873015873015872,0.30158730158730157,0.6,6.735042735042735,3.3015873015873014,0.0885483184333759,1.5258855585831061,12.752043596730244,85.88555858310626,11.226158038147139,13.079019073569482,6.8664850136239775,7.847411444141689,22.670299727520433,1.9618528610354222,14.495912806539508,92.20708446866485,13.623978201634877,38.69209809264305,256.0217983651226,0.6539509536784741,2.9427792915531334,0.7629427792915531,0.217983651226158,0.0,1.08991825613079,0.217983651226158,2.0708446866485013,1.8528610354223432,0.9809264305177111,0.0,0.0
xcv,71.1,8,7,1,0.875,4,4,3,4,0.75,1.0,8.0,78.0,559.0,70.0,83.0,64.0,76.0,461.0,11.0,130.0,617.0,137.0,267.0,2030.0,4.0,17.0,8.0,5.0,0.0,15.0,1.0,19.0,13.0,12.0,0.0,12.0,0.1687763713080169,0.11251758087201126,1.0970464135021099,7.862165963431787,0.9845288326300985,1.1673699015471168,0.9001406469760901,1.068917018284107,6.483825597749649,0.08461538461538462,0.08461538461538462,0.10256410256410256,0.21794871794871795,0.0641025641025641,0.234375,0.296875,0.9156626506024096,7.166666666666667,7.203125,0.2270935960591133,0.9001406469760901,8.776371308016879,62.897327707454295,7.876230661040788,9.338959212376935,7.201125175808721,8.551336146272856,51.870604781997194,1.2376933895921238,14.627285513361464,69.42334739803094,15.414908579465543,30.042194092827007,228.41068917018285,0.45007032348804504,1.9127988748241915,0.9001406469760901,0.5625879043600563,0.0,1.6877637130801688,0.11251758087201126,2.137834036568214,1.4627285513361463,1.3502109704641352,0.0,1.3502109704641352
Mystic,68.9,10,3,7,0.3,3,7,2,1,0.6666666666666666,0.14285714285714285,3.0,68.0,437.0,65.0,96.0,75.0,95.0,541.0,18.0,124.0,570.0,95.0,241.0,2466.0,3.0,18.0,13.0,5.0,0.0,19.0,4.0,25.0,31.0,20.0,0.0,-20.0,-0.29027576197387517,0.04354136429608128,0.9869375907111755,6.342525399129173,0.9433962264150942,1.3933236574746009,1.0885341074020318,1.378809869375907,7.851959361393323,0.14516129032258066,0.14516129032258066,0.04411764705882353,0.2647058823529412,0.07352941176470588,0.25333333333333335,0.3333333333333333,0.9895833333333334,6.426470588235294,7.213333333333333,0.21938361719383617,0.3483309143686502,7.895500725689404,50.74020319303338,7.547169811320754,11.146589259796807,8.708272859216255,11.030478955007256,62.815674891146585,2.089985486211901,14.397677793904208,66.18287373004354,11.030478955007256,27.982583454281563,286.32801161103043,0.3483309143686502,2.089985486211901,1.5094339622641508,0.5805515239477503,0.0,2.2060957910014514,0.46444121915820025,2.9027576197387517,3.599419448476052,2.3222060957910013,0.0,-2.3222060957910013
ipopu,64.5,9,3,6,0.3333333333333333,3,6,2,1,0.6666666666666666,0.16666666666666666,0.0,62.0,535.0,62.0,88.0,58.0,69.0,501.0,16.0,112.0,459.0,201.0,219.0,2353.0,5.0,10.0,4.0,3.0,0.0,16.0,1.0,27.0,26.0,11.0,0.0,-5.0,-0.07751937984496124,0.0,0.9612403100775194,8.294573643410853,0.9612403100775194,1.3643410852713178,0.8992248062015504,1.069767441860465,7.767441860465116,0.14285714285714285,0.14285714285714285,0.0,0.16129032258064516,0.04838709677419355,0.27586206896551724,0.46551724137931033,0.7840909090909091,8.629032258064516,8.637931034482758,0.2129196770080748,0.0,7.689922480620155,66.35658914728683,7.689922480620155,10.914728682170542,7.1937984496124034,8.55813953488372,62.13953488372093,1.9844961240310077,13.891472868217054,56.93023255813954,24.930232558139537,27.162790697674417,291.84496124031006,0.6201550387596899,1.2403100775193798,0.49612403100775193,0.37209302325581395,0.0,1.9844961240310077,0.12403100775193798,3.3488372093023258,3.2248062015503876,1.3643410852713178,0.0,-0.6201550387596899
