Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,29326.9,3875,1955,1920,0.5045161290322581,3875,0,1955,0,0.5045161290322581,0.0,3031.0,39678.0,248471.0,36353.0,44315.0,36294.0,41420.0,181010.0,6521.0,52506.0,327354.0,0.0,128244.0,991339.0,1823.0,10660.0,4628.0,1620.0,335.0,10681.0,1506.0,13058.0,7962.0,5126.0,294.0,189.0,0.006444595235091332,0.10335221247387211,1.3529558187193327,8.472460437345918,1.2395786803242075,1.5110700414977376,1.2375668754624594,1.4123552097221321,6.172149119068159,0.2223555848043946,0.12419533005751723,0.07638993900902263,0.2686627350168859,0.040828670799939515,0.29429106739405964,0.3597839863338293,0.934672232878258,6.2621855940319575,4.987325728770596,0.18259142432608824
Blue,29305.999999999993,3875,1924,1951,0.49651612903225806,0,3875,0,1924,0.0,0.49651612903225806,2991.0,39971.0,247754.0,36676.0,44415.0,35969.0,41181.0,186451.0,6602.0,52476.0,325943.0,0.0,127776.0,993396.0,1693.0,10776.0,4525.0,1544.0,271.0,10573.0,1533.0,12980.0,7739.0,5212.0,304.0,-112.0,-0.0038217429877840724,0.10206101139698358,1.363918651470689,8.45403671603085,1.2514843376782914,1.5155599535931212,1.2273595850679044,1.4052071248208562,6.362212516208286,0.22527810004777185,0.12580989404680235,0.07482925120712516,0.26959545670611196,0.03862800530384529,0.29394756595957633,0.360866301537435,0.9271867612293144,6.198343799254459,5.183658150073675,0.1876905081155954
mex,79.2,11,5,6,0.45454545454545453,7,4,3,2,0.42857142857142855,0.5,12.0,124.0,631.0,111.0,146.0,131.0,137.0,401.0,20.0,140.0,1007.0,0.0,396.0,2440.0,4.0,40.0,15.0,3.0,4.0,41.0,8.0,53.0,35.0,6.0,1.0,4.0,0.050505050505050504,0.15151515151515152,1.5656565656565655,7.967171717171717,1.4015151515151514,1.8434343434343434,1.654040404040404,1.7297979797979797,5.063131313131313,0.25252525252525254,0.14285714285714285,0.0967741935483871,0.3225806451612903,0.024193548387096774,0.31297709923664124,0.40458015267175573,0.9383561643835616,5.088709677419355,3.0610687022900764,0.16434426229508198
Witcher,65.8,8,5,3,0.625,2,6,2,3,1.0,0.5,6.0,63.0,460.0,57.0,74.0,87.0,99.0,672.0,16.0,118.0,625.0,0.0,244.0,2080.0,3.0,16.0,5.0,2.0,0.0,30.0,2.0,38.0,17.0,12.0,0.0,8.0,0.12158054711246201,0.0911854103343465,0.9574468085106383,6.990881458966566,0.8662613981762919,1.1246200607902737,1.3221884498480243,1.5045592705167175,10.212765957446809,0.24316109422492402,0.13559322033898305,0.09523809523809523,0.25396825396825395,0.031746031746031744,0.3448275862068966,0.4367816091954023,1.337837837837838,7.301587301587301,7.724137931034483,0.3230769230769231
Phiip,95.49999999999999,12,9,3,0.75,5,7,3,6,0.6,0.8571428571428571,15.0,134.0,711.0,116.0,136.0,88.0,110.0,412.0,30.0,173.0,1107.0,0.0,438.0,3060.0,2.0,31.0,15.0,6.0,4.0,17.0,3.0,23.0,20.0,22.0,3.0,20.0,0.20942408376963353,0.15706806282722516,1.4031413612565447,7.4450261780104725,1.2146596858638745,1.424083769633508,0.9214659685863875,1.1518324607329844,4.314136125654451,0.3141361256544503,0.17341040462427745,0.11194029850746269,0.23134328358208955,0.04477611940298507,0.19318181818181818,0.26136363636363635,0.8088235294117647,5.3059701492537314,4.681818181818182,0.134640522875817
perl,137.8,17,6,11,0.35294117647058826,9,8,2,4,0.2222222222222222,0.5,8.0,173.0,970.0,165.0,200.0,158.0,171.0,1067.0,18.0,247.0,1415.0,0.0,554.0,4656.0,4.0,55.0,26.0,7.0,3.0,42.0,6.0,53.0,35.0,13.0,0.0,-17.0,-0.12336719883889694,0.05805515239477503,1.25544267053701,7.039187227866472,1.197387518142235,1.4513788098693758,1.1465892597968068,1.2409288824383162,7.74310595065312,0.1306240928882438,0.0728744939271255,0.046242774566473986,0.3179190751445087,0.04046242774566474,0.26582278481012656,0.33544303797468356,0.855,5.606936416184971,6.753164556962025,0.22916666666666666
Ragnar,131.70000000000002,16,7,9,0.4375,13,3,5,2,0.38461538461538464,0.6666666666666666,20.0,215.0,1209.0,194.0,235.0,151.0,174.0,357.0,31.0,242.0,1346.0,0.0,528.0,4762.0,6.0,60.0,22.0,8.0,2.0,30.0,10.0,46.0,41.0,23.0,1.0,1.0,0.00759301442672741,0.1518602885345482,1.632498101746393,9.179954441913438,1.4730447987851174,1.7843583902809412,1.146545178435839,1.3211845102505693,2.7107061503416854,0.2353834472285497,0.128099173553719,0.09302325581395349,0.27906976744186046,0.037209302325581395,0.1986754966887417,0.304635761589404,0.7404255319148936,5.623255813953488,2.3642384105960264,0.0749685006299874
cantstop,149.2,19,12,7,0.631578947368421,10,9,6,6,0.6,0.6666666666666666,19.0,222.0,1660.0,202.0,222.0,186.0,215.0,861.0,30.0,271.0,1523.0,0.0,600.0,4993.0,15.0,50.0,19.0,7.0,1.0,61.0,8.0,82.0,20.0,29.0,1.0,19.0,0.12734584450402145,0.12734584450402145,1.4879356568364612,11.126005361930297,1.353887399463807,1.4879356568364612,1.2466487935656838,1.4410187667560324,5.770777479892762,0.20107238605898126,0.11070110701107011,0.08558558558558559,0.22522522522522523,0.03153153153153153,0.3279569892473118,0.44086021505376344,0.9684684684684685,7.4774774774774775,4.629032258064516,0.17244141798517926
DT,87.3,11,8,3,0.7272727272727273,3,8,2,6,0.6666666666666666,0.75,16.0,150.0,866.0,133.0,156.0,91.0,111.0,492.0,21.0,160.0,1091.0,0.0,428.0,2248.0,5.0,46.0,20.0,3.0,1.0,30.0,2.0,37.0,23.0,20.0,1.0,9.0,0.10309278350515465,0.18327605956471937,1.718213058419244,9.919816723940436,1.5234822451317298,1.7869415807560138,1.0423825887743414,1.2714776632302407,5.635738831615121,0.24054982817869416,0.13125,0.10666666666666667,0.30666666666666664,0.02,0.32967032967032966,0.4065934065934066,0.7115384615384616,5.773333333333333,5.406593406593407,0.2188612099644128
Guaderno,163.2,22,11,11,0.5,13,9,7,4,0.5384615384615384,0.4444444444444444,9.0,111.0,624.0,102.0,169.0,268.0,288.0,1843.0,34.0,305.0,1455.0,0.0,574.0,5641.0,4.0,37.0,10.0,5.0,0.0,101.0,13.0,132.0,67.0,20.0,0.0,1.0,0.006127450980392158,0.05514705882352942,0.6801470588235294,3.823529411764706,0.625,1.0355392156862746,1.6421568627450982,1.7647058823529413,11.292892156862745,0.20833333333333334,0.11147540983606558,0.08108108108108109,0.3333333333333333,0.04504504504504504,0.376865671641791,0.4925373134328358,1.7041420118343196,5.621621621621622,6.876865671641791,0.32671512143237014
