Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,37990.60000000003,5124,2629,2495,0.5130757220921155,5124,0,2629,0,0.5130757220921155,0.0,3887.0,45551.0,323470.0,41290.0,49952.0,41092.0,47143.0,227315.0,8516.0,68052.0,369719.0,0.0,144608.0,1295643.0,2810.0,11438.0,4067.0,1579.0,301.0,11500.0,1759.0,14309.0,8662.0,6051.0,374.0,503.0,0.013240117292172265,0.1023147831305638,1.1990071228145902,8.514474633198732,1.086847799192431,1.3148515685459026,1.0816359836380571,1.2409122256558192,5.9834538017298975,0.22416071343964017,0.125139599130077,0.08533292353625606,0.25110315909639747,0.03466444205396149,0.27985982673026377,0.3482186313637691,0.9437660153747598,7.101271102720028,5.531855348973036,0.17544570533704115
Blue,38011.50000000006,5126,2499,2627,0.48751463129145534,0,5126,0,2499,0.0,0.48751463129145534,3777.0,46222.0,323990.0,42066.0,50866.0,40305.0,46231.0,232521.0,8500.0,68086.0,374159.0,0.0,146414.0,1294267.0,2710.0,11654.0,4294.0,1717.0,321.0,11287.0,1675.0,13259.0,8800.0,5926.0,379.0,-390.0,-0.010260052878734051,0.09936466595635517,1.2160004209252444,8.523473159438577,1.1066650881969913,1.3381739736658622,1.060337003275323,1.2162371913762922,6.117122449784924,0.22361653710061394,0.12484211144728725,0.08171433516507291,0.25213101986067243,0.03714681320583272,0.2800396973080263,0.3289666294504404,0.908878229072465,7.009432737657392,5.769036099739487,0.1796545844095538
Alphachurro,266.7,38,19,19,0.5,25,13,13,6,0.52,0.46153846153846156,30.0,296.0,2242.0,265.0,316.0,355.0,388.0,2098.0,67.0,476.0,2681.0,0.0,1040.0,8216.0,19.0,55.0,23.0,8.0,8.0,116.0,21.0,127.0,51.0,33.0,1.0,5.0,0.018747656542932135,0.1124859392575928,1.1098612673415824,8.406449193850769,0.9936257967754031,1.184851893513311,1.3310836145481815,1.4548181477315336,7.866516685414323,0.2512185976752906,0.1407563025210084,0.10135135135135136,0.1858108108108108,0.02702702702702703,0.3267605633802817,0.35774647887323946,1.2278481012658229,7.574324324324325,5.909859154929578,0.2553554040895813
TaylorWhiff,4.3,1,0,1,0.0,1,0,0,0,0.0,0.0,0.0,14.0,18.0,14.0,14.0,1.0,1.0,0.0,0.0,8.0,92.0,0.0,36.0,156.0,0.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-1.1627906976744187,0.0,3.255813953488372,4.186046511627907,3.255813953488372,3.255813953488372,0.23255813953488372,0.23255813953488372,0.0,0.0,0.0,0.0,0.7142857142857143,0.07142857142857142,0.0,0.0,0.07142857142857142,1.2857142857142858,0.0,0.0
gl hf :),180.39999999999998,25,11,14,0.44,12,13,5,6,0.4166666666666667,0.46153846153846156,18.0,301.0,1790.0,279.0,334.0,153.0,187.0,731.0,33.0,320.0,1986.0,0.0,774.0,6222.0,15.0,101.0,30.0,14.0,2.0,45.0,6.0,52.0,55.0,34.0,4.0,-10.0,-0.05543237250554325,0.09977827050997784,1.6685144124168516,9.92239467849224,1.5465631929046566,1.8514412416851445,0.8481152993348117,1.0365853658536586,4.052106430155211,0.1829268292682927,0.103125,0.059800664451827246,0.33554817275747506,0.046511627906976744,0.29411764705882354,0.33986928104575165,0.5598802395209581,5.946843853820598,4.777777777777778,0.11748633879781421
DrPoopBoots,13.399999999999999,2,1,1,0.5,1,1,0,1,0.0,1.0,1.0,14.0,62.0,13.0,19.0,10.0,12.0,65.0,1.0,25.0,134.0,0.0,52.0,508.0,0.0,7.0,4.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,0.0,-4.0,-0.2985074626865672,0.0746268656716418,1.0447761194029852,4.6268656716417915,0.9701492537313434,1.4179104477611941,0.746268656716418,0.8955223880597016,4.850746268656717,0.0746268656716418,0.04,0.07142857142857142,0.5,0.0,0.1,0.1,0.631578947368421,4.428571428571429,6.5,0.1279527559055118
Ty,193.39999999999998,27,17,10,0.6296296296296297,11,16,8,9,0.7272727272727273,0.5625,19.0,168.0,1426.0,149.0,195.0,247.0,290.0,1647.0,71.0,348.0,1730.0,0.0,676.0,5864.0,16.0,41.0,17.0,5.0,4.0,78.0,12.0,91.0,46.0,43.0,0.0,13.0,0.0672182006204757,0.09824198552223372,0.8686659772492245,7.373319544984489,0.7704239917269908,1.0082730093071355,1.2771458117890384,1.4994829369183043,8.516028955532576,0.36711478800413655,0.20402298850574713,0.1130952380952381,0.24404761904761904,0.02976190476190476,0.3157894736842105,0.3684210526315789,1.4871794871794872,8.488095238095237,6.668016194331984,0.28086630286493863
jerm,445.59999999999997,59,32,27,0.5423728813559322,28,31,15,17,0.5357142857142857,0.5483870967741935,48.0,509.0,3324.0,456.0,549.0,438.0,545.0,2849.0,111.0,808.0,4199.0,0.0,1638.0,14982.0,26.0,133.0,49.0,20.0,4.0,110.0,14.0,140.0,93.0,107.0,5.0,26.0,0.05834829443447038,0.10771992818671455,1.1422800718132855,7.4596050269299825,1.0233393177737882,1.2320466786355477,0.9829443447037702,1.2230700179533214,6.39362657091562,0.2491023339317774,0.1373762376237624,0.09430255402750491,0.26129666011787817,0.03929273084479371,0.2511415525114155,0.319634703196347,0.9927140255009107,6.530451866404715,6.504566210045662,0.19016152716593246
frieren,334.50000000000006,45,29,16,0.6444444444444445,24,21,15,14,0.625,0.6666666666666666,51.0,392.0,2645.0,340.0,403.0,424.0,543.0,2286.0,109.0,602.0,3157.0,0.0,1232.0,10004.0,21.0,90.0,25.0,10.0,6.0,131.0,21.0,157.0,63.0,119.0,1.0,53.0,0.1584454409566517,0.15246636771300445,1.171898355754858,7.907324364723467,1.0164424514200296,1.2047832585949176,1.2675635276532136,1.623318385650224,6.834080717488788,0.3258594917787742,0.18106312292358803,0.13010204081632654,0.22959183673469388,0.025510204081632654,0.3089622641509434,0.37028301886792453,1.347394540942928,6.747448979591836,5.3915094339622645,0.22850859656137545
Enervate,601.9,80,51,29,0.6375,38,42,24,27,0.631578947368421,0.6428571428571429,85.0,840.0,6222.0,748.0,872.0,720.0,834.0,2279.0,140.0,1088.0,6452.0,0.0,2528.0,18924.0,70.0,214.0,81.0,33.0,6.0,147.0,38.0,200.0,124.0,114.0,7.0,85.0,0.1412194716730354,0.1412194716730354,1.3955806612394086,10.337265326466191,1.2427313507227116,1.4487456388104336,1.1962119953480645,1.3856122279448413,3.7863432463864433,0.23259677687323477,0.12867647058823528,0.10119047619047619,0.25476190476190474,0.039285714285714285,0.20416666666666666,0.2777777777777778,0.9564220183486238,7.4071428571428575,3.165277777777778,0.12042908476009301
tha king,402.5,51,32,19,0.6274509803921569,29,22,20,12,0.6896551724137931,0.5454545454545454,41.0,420.0,3385.0,371.0,460.0,463.0,535.0,2641.0,99.0,725.0,3919.0,0.0,1530.0,13286.0,33.0,101.0,35.0,11.0,3.0,117.0,23.0,147.0,89.0,72.0,8.0,21.0,0.05217391304347826,0.10186335403726708,1.0434782608695652,8.409937888198758,0.9217391304347826,1.1428571428571428,1.1503105590062113,1.329192546583851,6.561490683229814,0.24596273291925466,0.13655172413793104,0.09761904761904762,0.24047619047619048,0.02619047619047619,0.2526997840172786,0.3174946004319654,1.1630434782608696,8.05952380952381,5.704103671706264,0.1987806713834111
Shiyo,49.7,7,5,2,0.7142857142857143,5,2,3,2,0.6,1.0,5.0,51.0,443.0,46.0,56.0,43.0,50.0,197.0,12.0,88.0,544.0,0.0,212.0,1803.0,4.0,11.0,6.0,3.0,0.0,5.0,1.0,8.0,10.0,7.0,0.0,10.0,0.20120724346076457,0.10060362173038229,1.0261569416498992,8.91348088531187,0.9255533199195171,1.1267605633802815,0.8651911468812877,1.0060362173038229,3.9637826961770624,0.2414486921529175,0.13636363636363635,0.09803921568627451,0.21568627450980393,0.058823529411764705,0.11627906976744186,0.18604651162790697,0.8928571428571429,8.686274509803921,4.5813953488372094,0.10926234054353855
NameLEss,385.59999999999997,48,26,22,0.5416666666666666,19,29,9,17,0.47368421052631576,0.5862068965517241,37.0,439.0,3161.0,395.0,454.0,436.0,526.0,3168.0,103.0,693.0,3587.0,0.0,1400.0,12442.0,26.0,104.0,43.0,17.0,4.0,164.0,9.0,181.0,59.0,90.0,7.0,13.0,0.033713692946058096,0.09595435684647304,1.1384854771784234,8.197614107883819,1.024377593360996,1.1773858921161826,1.1307053941908716,1.3641078838174274,8.215767634854773,0.26711618257261416,0.14862914862914864,0.08428246013667426,0.23690205011389523,0.0387243735763098,0.3761467889908257,0.4151376146788991,1.158590308370044,7.2004555808656034,7.26605504587156,0.25462144349782995
Sugar,283.5,36,22,14,0.6111111111111112,23,13,16,6,0.6956521739130435,0.46153846153846156,36.0,372.0,2918.0,331.0,368.0,355.0,423.0,2048.0,90.0,510.0,2692.0,0.0,1058.0,8723.0,37.0,85.0,24.0,10.0,1.0,127.0,15.0,160.0,37.0,68.0,5.0,8.0,0.02821869488536155,0.12698412698412698,1.312169312169312,10.292768959435627,1.1675485008818343,1.2980599647266313,1.252204585537919,1.492063492063492,7.223985890652557,0.31746031746031744,0.17647058823529413,0.0967741935483871,0.22849462365591397,0.026881720430107527,0.35774647887323946,0.4507042253521127,1.1494565217391304,7.844086021505376,5.769014084507043,0.23478161183079216
Ducky,339.4,46,19,27,0.41304347826086957,20,26,8,11,0.4,0.4230769230769231,17.0,303.0,1688.0,284.0,366.0,338.0,394.0,3870.0,65.0,605.0,3243.0,0.0,1264.0,11053.0,7.0,93.0,38.0,9.0,3.0,139.0,16.0,157.0,82.0,56.0,2.0,-32.0,-0.09428403064230996,0.05008839127872717,0.8927519151443725,4.973482616381851,0.836770771950501,1.0783736004714202,0.995875073659399,1.1608721272834415,11.402474955804362,0.1915144372421921,0.10743801652892562,0.056105610561056105,0.3069306930693069,0.0297029702970297,0.41124260355029585,0.46449704142011833,1.0765027322404372,5.570957095709571,11.449704142011834,0.3501311861033204
Carrrrrl,93.2,12,6,6,0.5,6,6,1,5,0.16666666666666666,0.8333333333333334,7.0,100.0,675.0,91.0,120.0,103.0,130.0,485.0,34.0,168.0,843.0,0.0,328.0,3137.0,6.0,19.0,7.0,2.0,0.0,25.0,6.0,35.0,29.0,27.0,2.0,-1.0,-0.01072961373390558,0.07510729613733905,1.0729613733905579,7.242489270386266,0.9763948497854077,1.2875536480686696,1.1051502145922747,1.3948497854077253,5.203862660944206,0.3648068669527897,0.20238095238095238,0.07,0.19,0.02,0.24271844660194175,0.33980582524271846,1.0833333333333333,6.75,4.70873786407767,0.15460631176283074
Ballski,10.6,2,0,2,0.0,1,1,0,0,0.0,0.0,0.0,13.0,50.0,13.0,18.0,7.0,11.0,85.0,1.0,18.0,85.0,0.0,34.0,358.0,0.0,4.0,5.0,1.0,0.0,1.0,0.0,3.0,5.0,4.0,0.0,-7.0,-0.6603773584905661,0.0,1.2264150943396226,4.716981132075472,1.2264150943396226,1.6981132075471699,0.6603773584905661,1.0377358490566038,8.018867924528303,0.09433962264150944,0.05555555555555555,0.0,0.3076923076923077,0.07692307692307693,0.14285714285714285,0.42857142857142855,0.6111111111111112,3.8461538461538463,12.142857142857142,0.23743016759776536
The Bhutan,180.39999999999998,23,11,12,0.4782608695652174,9,14,3,8,0.3333333333333333,0.5714285714285714,17.0,290.0,1788.0,271.0,302.0,143.0,163.0,702.0,19.0,324.0,1968.0,0.0,778.0,6276.0,10.0,71.0,31.0,15.0,2.0,36.0,5.0,45.0,31.0,20.0,2.0,-9.0,-0.04988913525498892,0.09423503325942352,1.607538802660754,9.911308203991132,1.502217294900222,1.674057649667406,0.7926829268292684,0.9035476718403549,3.891352549889136,0.10532150776053216,0.05864197530864197,0.05862068965517241,0.24482758620689654,0.05172413793103448,0.2517482517482518,0.3146853146853147,0.5397350993377483,6.165517241379311,4.909090909090909,0.1118546845124283
