Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,17153.299999999977,2435,1116,1319,0.45831622176591374,2435,0,1116,0,0.45831622176591374,0.0,2136.0,24332.0,147496.0,22035.0,26965.0,21276.0,25925.0,125641.0,3826.0,30772.0,213608.0,29611.0,89555.0,578758.0,940.0,6603.0,2973.0,1089.0,245.0,6403.0,1057.0,7611.0,4930.0,4649.0,161.0,-580.0,-0.03381273574181066,0.12452414404225443,1.4185025621892016,8.598695294782939,1.2845924690875825,1.572000722892973,1.2403444235220062,1.511370989838692,7.324596433339367,0.22304746025546135,0.12433380995710386,0.08778563208942956,0.2713710340292619,0.044755877034358044,0.30094942658394436,0.357727016356458,0.9614314852586686,6.061811606115404,5.905292348185749,0.217087280003041
Blue,17148.999999999975,2435,1320,1115,0.5420944558521561,0,2435,0,1320,0.0,0.5420944558521561,2286.0,23883.0,144691.0,21434.0,26530.0,21849.0,26354.0,121112.0,3867.0,30772.0,208455.0,29480.0,87520.0,589978.0,940.0,6452.0,2742.0,1008.0,227.0,6558.0,1175.0,8291.0,5096.0,4505.0,163.0,625.0,0.036445273776896665,0.13330223336637725,1.3926759577817969,8.43728497288473,1.2498687970144051,1.5470289812817097,1.2740684588022644,1.5367659921861356,7.062335996268015,0.22549419791241504,0.12566619004289614,0.0957166185152619,0.27015031612443996,0.042205753046099734,0.30015103666071674,0.3794681678795368,0.9933660007538635,6.058326005945652,5.543136985674401,0.20528223086284572
knight_,243.29999999999998,33,15,18,0.45454545454545453,18,15,8,7,0.4444444444444444,0.4666666666666667,32.0,321.0,1960.0,288.0,341.0,276.0,343.0,1502.0,45.0,436.0,3020.0,288.0,1245.0,8205.0,12.0,94.0,44.0,17.0,4.0,65.0,11.0,79.0,53.0,67.0,1.0,-7.0,-0.02877106452938759,0.13152486642005756,1.3193588162762022,8.055898068228524,1.183723797780518,1.4015618577887383,1.1344019728729964,1.409782161939992,6.173448417591452,0.18495684340320592,0.10321100917431193,0.09968847352024922,0.29283489096573206,0.0529595015576324,0.23550724637681159,0.286231884057971,1.0058651026392962,6.105919003115265,5.442028985507246,0.18305911029859842
ish,74.5,10,3,7,0.3,6,4,2,1,0.3333333333333333,0.25,6.0,101.0,559.0,94.0,125.0,97.0,119.0,547.0,15.0,134.0,860.0,140.0,362.0,2610.0,3.0,24.0,9.0,5.0,0.0,26.0,4.0,39.0,31.0,22.0,1.0,-14.0,-0.18791946308724833,0.08053691275167785,1.3557046979865772,7.503355704697986,1.261744966442953,1.6778523489932886,1.3020134228187918,1.5973154362416107,7.342281879194631,0.20134228187919462,0.11194029850746269,0.0594059405940594,0.2376237623762376,0.04950495049504951,0.26804123711340205,0.4020618556701031,0.952,5.534653465346534,5.639175257731959,0.2095785440613027
Korgmonkey,131.1,20,13,7,0.65,11,9,8,5,0.7272727272727273,0.5555555555555556,15.0,190.0,1144.0,173.0,208.0,142.0,169.0,561.0,14.0,236.0,1761.0,333.0,756.0,4495.0,10.0,59.0,15.0,8.0,2.0,37.0,4.0,43.0,35.0,27.0,2.0,17.0,0.12967200610221205,0.11441647597254005,1.4492753623188406,8.726163234172388,1.3196033562166285,1.5865751334858886,1.0831426392067125,1.2890922959572846,4.279176201372998,0.10678871090770405,0.059322033898305086,0.07894736842105263,0.3105263157894737,0.042105263157894736,0.2605633802816901,0.3028169014084507,0.8125,6.021052631578947,3.9507042253521125,0.12480533926585094
Atticus,16.2,2,1,1,0.5,0,2,0,1,0.0,0.5,1.0,30.0,183.0,29.0,32.0,21.0,22.0,71.0,3.0,32.0,197.0,40.0,86.0,607.0,1.0,7.0,7.0,4.0,1.0,4.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0617283950617284,1.8518518518518519,11.296296296296298,1.7901234567901236,1.9753086419753088,1.2962962962962963,1.3580246913580247,4.382716049382716,0.1851851851851852,0.09375,0.03333333333333333,0.23333333333333334,0.13333333333333333,0.19047619047619047,0.2857142857142857,0.6875,6.1,3.380952380952381,0.11696869851729819
lizzey,169.5,23,12,11,0.5217391304347826,13,10,8,4,0.6153846153846154,0.4,20.0,173.0,1075.0,151.0,195.0,231.0,270.0,1770.0,39.0,309.0,1868.0,400.0,814.0,5424.0,8.0,50.0,24.0,11.0,6.0,103.0,11.0,105.0,44.0,39.0,2.0,30.0,0.17699115044247787,0.11799410029498525,1.0206489675516224,6.342182890855457,0.8908554572271387,1.1504424778761062,1.3628318584070795,1.592920353982301,10.442477876106194,0.23008849557522124,0.1262135922330097,0.11560693641618497,0.28901734104046245,0.06358381502890173,0.4458874458874459,0.45454545454545453,1.3846153846153846,6.213872832369942,7.662337662337662,0.32632743362831856
PotatoPotato,45.400000000000006,6,4,2,0.6666666666666666,3,3,2,2,0.6666666666666666,0.6666666666666666,6.0,83.0,670.0,76.0,83.0,36.0,39.0,85.0,6.0,82.0,565.0,40.0,230.0,1886.0,6.0,17.0,7.0,1.0,0.0,7.0,2.0,6.0,7.0,3.0,1.0,14.0,0.3083700440528634,0.13215859030837002,1.8281938325991187,14.75770925110132,1.674008810572687,1.8281938325991187,0.7929515418502202,0.8590308370044052,1.872246696035242,0.13215859030837002,0.07317073170731707,0.07228915662650602,0.20481927710843373,0.012048192771084338,0.19444444444444445,0.16666666666666666,0.46987951807228917,8.072289156626505,2.361111111111111,0.045068928950159064
skibbity,126.60000000000001,17,9,8,0.5294117647058824,8,9,3,6,0.375,0.6666666666666666,18.0,178.0,1131.0,158.0,196.0,151.0,179.0,937.0,38.0,227.0,1695.0,245.0,717.0,4345.0,10.0,48.0,19.0,5.0,2.0,54.0,6.0,61.0,38.0,28.0,2.0,-9.0,-0.07109004739336493,0.14218009478672985,1.4060031595576619,8.933649289099526,1.2480252764612954,1.5481832543443916,1.192733017377567,1.4139020537124802,7.40126382306477,0.30015797788309634,0.16740088105726872,0.10112359550561797,0.2696629213483146,0.028089887640449437,0.3576158940397351,0.40397350993377484,0.9132653061224489,6.353932584269663,6.2052980132450335,0.21565017261219793
Yo YoYo,64.9,9,2,7,0.2222222222222222,6,3,1,1,0.16666666666666666,0.3333333333333333,8.0,117.0,666.0,108.0,119.0,72.0,86.0,411.0,14.0,116.0,802.0,150.0,344.0,2518.0,2.0,31.0,15.0,6.0,0.0,21.0,3.0,27.0,11.0,14.0,1.0,-2.0,-0.03081664098613251,0.12326656394453003,1.8027734976887517,10.261941448382126,1.6640986132511555,1.8335901386748843,1.1093990755007703,1.3251155624036979,6.332819722650231,0.21571648690292755,0.1206896551724138,0.06837606837606838,0.26495726495726496,0.05128205128205128,0.2916666666666667,0.375,0.7226890756302521,5.6923076923076925,5.708333333333333,0.16322478157267672
