Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,17443.699999999993,2364,1208,1156,0.5109983079526227,2364,0,1208,0,0.5109983079526227,0.0,1918.0,20216.0,139301.0,18140.0,24416.0,17698.0,21361.0,118937.0,3939.0,31264.0,167104.0,15099.0,68277.0,553713.0,1258.0,5099.0,1943.0,705.0,151.0,5022.0,859.0,6197.0,6276.0,3663.0,158.0,261.0,0.014962421963230284,0.10995373687921718,1.1589284383473695,7.985748436398244,1.0399169900881124,1.3997030446522245,1.0145783291388872,1.2245681822090502,6.818335559542989,0.22581218434162487,0.12599155578300922,0.09487534626038781,0.2522259596359319,0.03487336762960032,0.28376087693524693,0.3501525596112555,0.874877129750983,6.890631183221211,6.720363882924624,0.21479900237126454
Blue,17447.1,2369,1160,1209,0.4896580835795694,0,2369,0,1160,0.0,0.4896580835795694,1857.0,20206.0,138435.0,18200.0,24629.0,17643.0,21175.0,118044.0,3877.0,31292.0,168162.0,15407.0,68776.0,557815.0,1203.0,5105.0,1864.0,748.0,158.0,5034.0,833.0,6327.0,6429.0,3532.0,149.0,-233.0,-0.0133546549283262,0.10643602661760408,1.1581294312521853,7.934556459239645,1.043153303414321,1.4116386104280942,1.011228227040597,1.213668747241662,6.7658235466066,0.22221458007347927,0.12389748178448165,0.09190339503117886,0.2526477283975057,0.03701870731465901,0.28532562489372554,0.3586124808706002,0.8597588209021885,6.851182816985054,6.69069886073797,0.21161854736785493
knight_,266.59999999999997,35,14,21,0.4,13,22,4,10,0.3076923076923077,0.45454545454545453,17.0,282.0,1775.0,265.0,377.0,243.0,289.0,1403.0,60.0,479.0,2619.0,238.0,1067.0,8262.0,14.0,60.0,23.0,7.0,1.0,63.0,13.0,69.0,112.0,46.0,0.0,-28.0,-0.10502625656414105,0.06376594148537135,1.0577644411102778,6.657914478619656,0.9939984996249064,1.4141035258814705,0.911477869467367,1.084021005251313,5.262565641410354,0.22505626406601653,0.12526096033402923,0.06028368794326241,0.2127659574468085,0.024822695035460994,0.25925925925925924,0.2839506172839506,0.76657824933687,6.294326241134752,5.773662551440329,0.16981360445412733
Crippy,177.6,22,10,12,0.45454545454545453,10,12,7,3,0.7,0.25,17.0,237.0,1558.0,218.0,262.0,184.0,242.0,1050.0,52.0,319.0,2088.0,170.0,852.0,5118.0,16.0,71.0,27.0,10.0,1.0,46.0,7.0,65.0,44.0,58.0,2.0,1.0,0.005630630630630631,0.09572072072072073,1.3344594594594594,8.772522522522523,1.2274774774774775,1.4752252252252254,1.0360360360360361,1.3626126126126126,5.912162162162162,0.2927927927927928,0.16300940438871472,0.07172995780590717,0.29957805907172996,0.04219409282700422,0.25,0.3532608695652174,0.9236641221374046,6.5738396624472575,5.706521739130435,0.205158264947245
cannibal,112.7,15,7,8,0.4666666666666667,10,5,5,2,0.5,0.4,8.0,129.0,702.0,120.0,172.0,132.0,147.0,945.0,22.0,202.0,1083.0,150.0,454.0,3765.0,3.0,44.0,21.0,10.0,0.0,34.0,2.0,41.0,52.0,15.0,1.0,-5.0,-0.044365572315882874,0.0709849157054126,1.1446317657497782,6.228926353149956,1.064773735581189,1.5261756876663708,1.1712511091393079,1.3043478260869565,8.385093167701863,0.19520851818988463,0.10891089108910891,0.06201550387596899,0.34108527131782945,0.07751937984496124,0.25757575757575757,0.3106060606060606,0.8546511627906976,5.441860465116279,7.159090909090909,0.250996015936255
Sugar,163.29999999999998,20,10,10,0.5,11,9,5,5,0.45454545454545453,0.5555555555555556,18.0,177.0,1540.0,159.0,218.0,215.0,267.0,1378.0,60.0,291.0,1379.0,80.0,550.0,4758.0,20.0,41.0,8.0,2.0,1.0,86.0,4.0,98.0,59.0,52.0,0.0,-2.0,-0.012247397428046541,0.11022657685241888,1.083894672382119,9.430496019595838,0.9736680955297,1.334966319657073,1.3165952235150031,1.6350275566442132,8.438456827924067,0.36742192284139624,0.20618556701030927,0.1016949152542373,0.23163841807909605,0.011299435028248588,0.4,0.4558139534883721,1.224770642201835,8.700564971751412,6.409302325581395,0.2896174863387978
Irony,189.89999999999998,24,15,9,0.625,14,10,7,8,0.5,0.8,22.0,216.0,1698.0,193.0,252.0,206.0,234.0,1328.0,53.0,340.0,1832.0,100.0,736.0,5762.0,29.0,52.0,15.0,5.0,2.0,52.0,5.0,58.0,59.0,28.0,1.0,1.0,0.0052659294365455505,0.11585044760400212,1.137440758293839,8.941548183254346,1.0163243812532914,1.3270142180094788,1.0847814639283835,1.2322274881516588,6.993154291732492,0.2790942601369142,0.15588235294117647,0.10185185185185185,0.24074074074074073,0.023148148148148147,0.2524271844660194,0.2815533980582524,0.9285714285714286,7.861111111111111,6.446601941747573,0.23047552933009371
McDavid,67.4,9,4,5,0.4444444444444444,6,3,2,2,0.3333333333333333,0.6666666666666666,6.0,61.0,358.0,55.0,84.0,77.0,104.0,451.0,17.0,120.0,584.0,75.0,241.0,2250.0,3.0,21.0,3.0,0.0,0.0,18.0,1.0,19.0,29.0,27.0,0.0,-5.0,-0.07418397626112759,0.08902077151335311,0.9050445103857566,5.311572700296735,0.8160237388724035,1.2462908011869436,1.1424332344213648,1.5430267062314538,6.691394658753708,0.2522255192878338,0.14166666666666666,0.09836065573770492,0.3442622950819672,0.0,0.23376623376623376,0.24675324675324675,1.2380952380952381,5.868852459016393,5.857142857142857,0.20044444444444445
Spheroid.,63.4,8,6,2,0.75,3,5,2,4,0.6666666666666666,0.8,2.0,72.0,582.0,69.0,89.0,55.0,67.0,410.0,17.0,116.0,627.0,40.0,254.0,1989.0,6.0,14.0,4.0,1.0,2.0,22.0,4.0,23.0,20.0,12.0,1.0,6.0,0.09463722397476342,0.031545741324921134,1.135646687697161,9.17981072555205,1.0883280757097793,1.4037854889589905,0.8675078864353313,1.0567823343848581,6.466876971608833,0.26813880126182965,0.14655172413793102,0.027777777777777776,0.19444444444444445,0.013888888888888888,0.4,0.41818181818181815,0.7528089887640449,8.083333333333334,7.454545454545454,0.20613373554550024
rc,229.09999999999997,29,11,18,0.3793103448275862,16,13,6,5,0.375,0.38461538461538464,16.0,265.0,1513.0,246.0,327.0,222.0,284.0,1411.0,68.0,411.0,2389.0,155.0,967.0,7036.0,12.0,74.0,29.0,11.0,4.0,69.0,11.0,83.0,81.0,62.0,3.0,-14.0,-0.0611086861632475,0.06983849847228285,1.1567001309471847,6.604103011785248,1.0737669140113488,1.427324312527281,0.9690091663029247,1.2396333478830206,6.158882584024444,0.2968136185072021,0.1654501216545012,0.06037735849056604,0.2792452830188679,0.04150943396226415,0.3108108108108108,0.3738738738738739,0.8685015290519877,5.709433962264151,6.3558558558558556,0.20054007959067652
