Map,Games,RedWins,BlueWins,Red Win %,Blue Win %
Audacity 2,1413,725,688,0.5130927105449399,0.4869072894550602
Moon Base 2024,1350,717,633,0.5311111111111111,0.4688888888888889
Pine,325,137,188,0.42153846153846153,0.5784615384615385
Asida,1632,844,788,0.5171568627450981,0.48284313725490197
Oak,738,388,350,0.5257452574525745,0.4742547425474255
Combine,1102,542,560,0.49183303085299457,0.5081669691470054
OTI MERALD,731,356,375,0.48700410396716826,0.5129958960328317
Centenaria,1139,587,552,0.5153643546971027,0.48463564530289727
GFY,133,70,63,0.5263157894736842,0.47368421052631576
Milano 2,1071,565,506,0.5275443510737629,0.47245564892623715
Catch-24,388,216,172,0.5567010309278351,0.44329896907216493
Willow 2,627,319,308,0.5087719298245614,0.49122807017543857
Sardonica,676,308,368,0.4556213017751479,0.5443786982248521
A Flaccid Type Map,1084,551,533,0.5083025830258303,0.49169741697416974
Crawfish Boil,1,1,0,1.0,0.0
OTI Jardim,248,140,108,0.5645161290322581,0.43548387096774194
Sugar Free Hill,143,66,77,0.46153846153846156,0.5384615384615384
Nuke,96,51,45,0.53125,0.46875
Thicket 2,267,118,149,0.4419475655430712,0.5580524344569289
Apparition 2023,88,42,46,0.4772727272727273,0.5227272727272727
Pilot 3,34,19,15,0.5588235294117647,0.4411764705882353
Haste,22,10,12,0.45454545454545453,0.5454545454545454
