Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Alphachurro,2158.7999999999997,290,139,151,0.4793103448275862,153,137,72,67,0.47058823529411764,0.48905109489051096,227.0,2385.0,17597.0,2147.0,2831.0,2957.0,3484.0,20562.0,538.0,3919.0,20798.0,2366.0,8591.0,67575.0,169.0,550.0,216.0,79.0,22.0,1024.0,161.0,1188.0,684.0,527.0,11.0,-31.0,-0.014359829534926812,0.10515100982027054,1.104780433574208,8.151287752455069,0.9945340003705764,1.3113766907541229,1.3697424495089867,1.6138595516027425,9.524735964424682,0.24921252547711695,0.13727991834651695,0.09517819706498952,0.23060796645702306,0.03312368972746331,0.34629692255664524,0.401758539059858,1.2306605439773932,7.378197064989518,6.953669259384512,0.30428412874583793
TaylorWhiff,13.3,3,2,1,0.6666666666666666,3,0,2,0,0.6666666666666666,0.0,6.0,36.0,177.0,30.0,33.0,6.0,12.0,20.0,2.0,27.0,215.0,15.0,87.0,426.0,2.0,14.0,7.0,2.0,0.0,2.0,0.0,2.0,3.0,6.0,0.0,5.0,0.37593984962406013,0.45112781954887216,2.706766917293233,13.308270676691729,2.255639097744361,2.481203007518797,0.45112781954887216,0.9022556390977443,1.5037593984962405,0.15037593984962405,0.07407407407407407,0.16666666666666666,0.3888888888888889,0.05555555555555555,0.3333333333333333,0.3333333333333333,0.36363636363636365,4.916666666666667,3.3333333333333335,0.046948356807511735
gl hf :),2188.8999999999996,300,158,142,0.5266666666666666,150,150,79,79,0.5266666666666666,0.5266666666666666,290.0,3456.0,20354.0,3142.0,3992.0,2389.0,2951.0,10976.0,452.0,4015.0,25761.0,3096.0,10702.0,74590.0,146.0,1098.0,401.0,153.0,26.0,676.0,134.0,841.0,850.0,562.0,24.0,14.0,0.006395906619763352,0.13248663712366945,1.5788752341358676,9.298734524190234,1.4354241856640324,1.823747087578236,1.091415779615332,1.3481657453515468,5.014390789894469,0.20649641372378824,0.11257783312577833,0.08391203703703703,0.3177083333333333,0.044270833333333336,0.28296358308915864,0.35203013813311007,0.7392284569138277,5.889467592592593,4.594390958560067,0.14715109263976403
DrPoopBoots,75.4,15,6,9,0.4,8,7,3,3,0.375,0.42857142857142855,8.0,106.0,567.0,98.0,119.0,61.0,68.0,501.0,6.0,134.0,781.0,65.0,319.0,2698.0,4.0,37.0,10.0,5.0,2.0,11.0,1.0,13.0,21.0,7.0,0.0,-21.0,-0.27851458885941643,0.10610079575596816,1.4058355437665782,7.519893899204243,1.29973474801061,1.5782493368700263,0.8090185676392573,0.9018567639257293,6.644562334217506,0.07957559681697612,0.04477611940298507,0.07547169811320754,0.3490566037735849,0.04716981132075472,0.18032786885245902,0.21311475409836064,0.5714285714285714,5.349056603773585,8.21311475409836,0.18569310600444774
Ty,1692.3999999999996,224,127,97,0.5669642857142857,110,114,61,66,0.5545454545454546,0.5789473684210527,220.0,1808.0,12904.0,1575.0,2096.0,2199.0,2901.0,13157.0,601.0,3083.0,16717.0,1890.0,6900.0,52736.0,128.0,469.0,189.0,49.0,21.0,751.0,107.0,868.0,521.0,702.0,13.0,94.0,0.055542424958638634,0.12999290947766487,1.0683053651619006,7.624675017726307,0.9306310564878282,1.238477901205389,1.2993382179153867,1.71413377452139,7.774166863625622,0.35511699361853,0.1949399935128122,0.12168141592920353,0.2594026548672566,0.027101769911504425,0.341518872214643,0.394724874943156,1.3840648854961832,7.1371681415929205,5.983174170077308,0.24948801577669902
jerm,3548.800000000002,491,245,246,0.4989816700610998,231,260,120,125,0.5194805194805194,0.4807692307692308,412.0,4353.0,26958.0,3910.0,5089.0,3835.0,4887.0,23834.0,847.0,6391.0,37333.0,4025.0,15382.0,118222.0,182.0,1159.0,424.0,171.0,39.0,1053.0,179.0,1296.0,1179.0,1052.0,31.0,8.0,0.0022542831379621267,0.11609558160504953,1.2266118124436423,7.596370604147877,1.1017808836789895,1.434005861136158,1.0806469792605946,1.3770852119026142,6.716073038773666,0.23867222723174017,0.13253012048192772,0.09464736963014013,0.2662531587410981,0.039283252929014474,0.2745762711864407,0.3379400260756193,0.9603065435252506,6.192970365265334,6.214863102998696,0.20160376241308725
frieren,2643.2000000000025,357,200,157,0.5602240896358543,173,184,101,99,0.5838150289017341,0.5380434782608695,382.0,3264.0,22609.0,2858.0,3531.0,3771.0,4856.0,19156.0,845.0,4791.0,26311.0,2087.0,10702.0,82385.0,208.0,844.0,351.0,108.0,38.0,1139.0,193.0,1395.0,673.0,1085.0,24.0,183.0,0.06923426150121059,0.14452179176755434,1.234866828087166,8.553647094430984,1.0812651331719119,1.3358807506053256,1.4266797820823232,1.837167070217916,7.2472760290556835,0.31968825665859535,0.17637236485076185,0.1170343137254902,0.25857843137254904,0.03308823529411765,0.30204189870060993,0.36992840095465396,1.3752478051543473,6.926776960784314,5.079819676478388,0.23251805547126297
Enervate,6240.600000000007,841,438,403,0.5208085612366231,420,421,221,217,0.5261904761904762,0.5154394299287411,941.0,9651.0,62910.0,8638.0,10582.0,7709.0,8933.0,25998.0,1239.0,11357.0,75559.0,5251.0,30668.0,197440.0,552.0,2664.0,1054.0,386.0,75.0,1791.0,385.0,2432.0,1944.0,1224.0,72.0,84.0,0.013460244207287746,0.1507867833221163,1.5464859148158814,10.080761465243716,1.3841617793160899,1.6956702881133205,1.235297888023586,1.4314328750440648,4.165945582155557,0.19853860205749427,0.10909571189574711,0.0975028494456533,0.27603357165060616,0.03999585535177702,0.2323258528992087,0.31547541834219744,0.8441693441693442,6.518495492695058,3.372421844597224,0.13167544570502432
perl,1828.2,244,126,118,0.5163934426229508,135,109,75,51,0.5555555555555556,0.46788990825688076,176.0,2028.0,12890.0,1839.0,2456.0,2016.0,2403.0,14139.0,292.0,3352.0,18560.0,3108.0,7884.0,61962.0,65.0,446.0,201.0,75.0,13.0,621.0,79.0,729.0,617.0,387.0,13.0,15.0,0.008204791598293404,0.09626955475330927,1.109287824089268,7.050650913466797,1.0059074499507712,1.3433978776939066,1.1027239908106334,1.3144076140466032,7.733836560551362,0.15971994311344492,0.08711217183770883,0.08678500986193294,0.21992110453648916,0.03698224852071006,0.3080357142857143,0.36160714285714285,0.9784201954397395,6.3560157790927025,7.013392857142857,0.2281882444078629
NameLEss,3963.7999999999993,533,264,269,0.49530956848030017,261,272,121,143,0.46360153256704983,0.5257352941176471,506.0,5022.0,34624.0,4481.0,5449.0,5054.0,6066.0,33033.0,880.0,7213.0,40906.0,4960.0,16971.0,129459.0,304.0,1356.0,571.0,199.0,54.0,1770.0,214.0,2057.0,968.0,1012.0,35.0,-18.0,-0.0045410969271910805,0.1276552802865937,1.2669660426863114,8.735052222614664,1.1304808517079572,1.3746909531257887,1.2750391038902067,1.530349664463394,8.333669710883497,0.22200918310711948,0.1220019409399695,0.10075667064914377,0.27001194743130225,0.03962564715252887,0.3502176493866245,0.40700435298773247,1.1132317856487428,6.894464356829948,6.53601108033241,0.2551618659189396
