Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,2669.5999999999985,352,168,184,0.4772727272727273,352,0,168,0,0.4772727272727273,0.0,279.0,2943.0,21712.0,2641.0,3438.0,2610.0,3101.0,17439.0,611.0,4800.0,24137.0,4562.0,10337.0,85832.0,215.0,852.0,283.0,130.0,25.0,827.0,124.0,1004.0,797.0,491.0,23.0,-5.0,-0.0018729397662571182,0.1045100389571472,1.1024123464189397,8.13305364099491,0.9892867845370098,1.2878333832783944,0.9776745579862157,1.1615972430326647,6.532439316751577,0.22887323943661983,0.12729166666666666,0.09480122324159021,0.28950050968399593,0.04417261297995243,0.3168582375478927,0.3846743295019157,0.901977894124491,7.377505946313286,6.681609195402299,0.20317597166557927
Blue,2664.199999999999,352,184,168,0.5227272727272727,0,352,0,184,0.0,0.5227272727272727,281.0,3002.0,21458.0,2696.0,3464.0,2563.0,3048.0,16900.0,589.0,4800.0,23795.0,5037.0,10315.0,86848.0,190.0,838.0,277.0,107.0,24.0,838.0,106.0,963.0,768.0,485.0,25.0,12.0,0.0045041663538773384,0.105472562119961,1.1267922828616475,8.054200135124994,1.0119360408377753,1.300202687485925,0.9620148637489682,1.144058253884844,6.343367615043919,0.22107949853614603,0.12270833333333334,0.09360426382411725,0.279147235176549,0.03564290473017988,0.3269605930550137,0.3757315645727663,0.8799076212471132,7.147901399067289,6.593835349200156,0.19459285187914518
LogisticMap,46.9,5,4,1,0.8,1,4,1,3,1.0,0.75,8.0,41.0,307.0,33.0,40.0,53.0,58.0,332.0,10.0,87.0,382.0,70.0,162.0,1578.0,3.0,14.0,7.0,4.0,0.0,17.0,1.0,22.0,7.0,5.0,0.0,8.0,0.17057569296375266,0.17057569296375266,0.8742004264392325,6.545842217484009,0.7036247334754797,0.8528784648187634,1.1300639658848615,1.236673773987207,7.0788912579957355,0.21321961620469085,0.11494252873563218,0.1951219512195122,0.34146341463414637,0.0975609756097561,0.32075471698113206,0.41509433962264153,1.45,7.487804878048781,6.264150943396227,0.21039290240811154
Funky Spud,8.0,1,0,1,0.0,0,1,0,0,0.0,0.0,0.0,7.0,65.0,7.0,8.0,9.0,9.0,140.0,1.0,14.0,50.0,10.0,22.0,214.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,-1.0,-0.125,0.0,0.875,8.125,0.875,1.0,1.125,1.125,17.5,0.125,0.07142857142857142,0.0,0.42857142857142855,0.0,0.2222222222222222,0.3333333333333333,1.125,9.285714285714286,15.555555555555555,0.6542056074766355
Cupid,8.0,1,1,0,1.0,1,0,1,0,1.0,0.0,0.0,14.0,50.0,13.0,13.0,2.0,4.0,16.0,1.0,14.0,88.0,5.0,35.0,209.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.125,0.0,1.75,6.25,1.625,1.625,0.25,0.5,2.0,0.125,0.07142857142857142,0.0,0.42857142857142855,0.0,0.0,0.0,0.3076923076923077,3.5714285714285716,8.0,0.07655502392344497
Old Cob,48.7,6,1,5,0.16666666666666666,2,4,0,1,0.0,0.25,5.0,53.0,361.0,47.0,68.0,55.0,59.0,276.0,14.0,86.0,413.0,60.0,170.0,1733.0,4.0,16.0,4.0,2.0,0.0,17.0,0.0,17.0,21.0,4.0,1.0,-9.0,-0.18480492813141683,0.1026694045174538,1.0882956878850103,7.412731006160164,0.9650924024640657,1.3963039014373715,1.1293634496919918,1.2114989733059547,5.66735112936345,0.2874743326488706,0.16279069767441862,0.09433962264150944,0.3018867924528302,0.03773584905660377,0.3090909090909091,0.3090909090909091,0.8676470588235294,6.811320754716981,5.0181818181818185,0.15926139642238893
Jarek,48.1,7,5,2,0.7142857142857143,4,3,3,2,0.75,0.6666666666666666,1.0,45.0,344.0,43.0,54.0,33.0,37.0,386.0,7.0,84.0,485.0,140.0,220.0,1544.0,3.0,20.0,9.0,6.0,0.0,13.0,3.0,15.0,11.0,4.0,1.0,0.0,0.0,0.020790020790020788,0.9355509355509355,7.151767151767151,0.8939708939708939,1.1226611226611227,0.686070686070686,0.7692307692307692,8.024948024948024,0.14553014553014554,0.08333333333333333,0.022222222222222223,0.4444444444444444,0.13333333333333333,0.3939393939393939,0.45454545454545453,0.6851851851851852,7.644444444444445,11.696969696969697,0.25
jerm,23.0,3,0,3,0.0,1,2,0,0,0.0,0.0,2.0,29.0,183.0,27.0,36.0,21.0,22.0,79.0,3.0,40.0,169.0,25.0,71.0,733.0,2.0,10.0,2.0,0.0,0.0,5.0,1.0,8.0,9.0,1.0,0.0,-8.0,-0.34782608695652173,0.08695652173913043,1.2608695652173914,7.956521739130435,1.173913043478261,1.565217391304348,0.9130434782608695,0.9565217391304348,3.4347826086956523,0.13043478260869565,0.075,0.06896551724137931,0.3448275862068966,0.0,0.23809523809523808,0.38095238095238093,0.6111111111111112,6.310344827586207,3.761904761904762,0.1077762619372442
JukeBerallta,16.0,2,1,1,0.5,2,0,1,0,0.5,0.0,2.0,16.0,107.0,14.0,19.0,16.0,21.0,77.0,4.0,28.0,107.0,30.0,48.0,466.0,2.0,4.0,2.0,0.0,1.0,2.0,0.0,4.0,5.0,5.0,0.0,-1.0,-0.0625,0.125,1.0,6.6875,0.875,1.1875,1.0,1.3125,4.8125,0.25,0.14285714285714285,0.125,0.25,0.0,0.125,0.25,1.105263157894737,6.6875,4.8125,0.16523605150214593
Ragnar,8.0,1,0,1,0.0,0,1,0,0,0.0,0.0,0.0,14.0,65.0,14.0,15.0,2.0,3.0,23.0,0.0,14.0,88.0,15.0,37.0,214.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.0,-0.125,0.0,1.75,8.125,1.75,1.875,0.25,0.375,2.875,0.0,0.0,0.0,0.35714285714285715,0.07142857142857142,0.5,0.5,0.2,4.642857142857143,11.5,0.10747663551401869
