Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,31779.10000000006,4406,2168,2238,0.4920562868815252,4406,0,2168,0,0.4920562868815252,0.0,3838.0,42730.0,287231.0,38572.0,48758.0,38046.0,46135.0,183417.0,7106.0,56682.0,330297.0,59644.0,141002.0,1133856.0,2286.0,11181.0,4531.0,1807.0,365.0,11457.0,1970.0,13938.0,10186.0,8089.0,320.0,-123.0,-0.0038704683266675196,0.12077119868089382,1.3445944032398627,9.038361690545026,1.2137536934651996,1.534278818468739,1.1972019346048166,1.4517402947220002,5.771623488393304,0.22360608072601132,0.12536607741434672,0.08981979873625087,0.26166627662064124,0.04228879007722911,0.3011354675918625,0.3663460022078536,0.9462036999056566,6.721998595834308,4.820927298533355,0.16176392769452205
Blue,31765.700000000066,4406,2239,2167,0.5081706763504312,0,4406,0,2239,0.0,0.5081706763504312,3880.0,42730.0,283359.0,38524.0,49111.0,38099.0,45823.0,175184.0,7060.0,56650.0,330312.0,61962.0,141618.0,1148577.0,2301.0,11563.0,4780.0,1928.0,403.0,11100.0,1993.0,14416.0,10587.0,7724.0,326.0,193.0,0.00607573577789879,0.12214432548314666,1.3451616051275403,8.920281939324473,1.2127546378641088,1.546038651753303,1.199375426954228,1.4425307800552138,5.514879256556589,0.22225230358531325,0.12462488967343337,0.090802714720337,0.27060613152351976,0.04512052422185818,0.29134622955983097,0.3783826347148219,0.9330496222842133,6.631383103206178,4.598125935063912,0.15252264323593456
Helen Keller,433.6,59,32,27,0.5423728813559322,31,28,18,14,0.5806451612903226,0.5,80.0,597.0,4314.0,512.0,653.0,627.0,749.0,2110.0,121.0,774.0,4383.0,660.0,1848.0,14958.0,39.0,146.0,49.0,21.0,14.0,166.0,33.0,205.0,141.0,122.0,5.0,14.0,0.03228782287822878,0.18450184501845018,1.3768450184501844,9.949261992619926,1.1808118081180812,1.5059963099630995,1.4460332103321032,1.7273985239852399,4.8662361623616235,0.27905904059040587,0.15633074935400518,0.13400335008375208,0.24455611390284757,0.035175879396984924,0.2647527910685805,0.3269537480063796,1.1470137825421134,7.226130653266332,3.3652312599681022,0.1410616392565851
Klox,200.19999999999996,26,10,16,0.38461538461538464,16,10,6,4,0.375,0.4,28.0,286.0,1677.0,255.0,321.0,230.0,290.0,705.0,44.0,366.0,2038.0,619.0,923.0,7177.0,12.0,92.0,33.0,16.0,1.0,39.0,12.0,59.0,66.0,60.0,3.0,-15.0,-0.07492507492507494,0.1398601398601399,1.4285714285714288,8.376623376623378,1.273726273726274,1.6033966033966036,1.148851148851149,1.4485514485514488,3.5214785214785223,0.21978021978021983,0.12021857923497267,0.0979020979020979,0.32167832167832167,0.055944055944055944,0.16956521739130434,0.2565217391304348,0.9034267912772586,5.863636363636363,3.0652173913043477,0.09823045840880591
Hurri,59.5,8,6,2,0.75,4,4,2,4,0.5,1.0,3.0,76.0,427.0,73.0,102.0,89.0,93.0,433.0,5.0,107.0,683.0,55.0,277.0,2151.0,1.0,24.0,8.0,4.0,1.0,22.0,5.0,33.0,29.0,4.0,0.0,15.0,0.25210084033613445,0.05042016806722689,1.2773109243697478,7.176470588235294,1.226890756302521,1.7142857142857142,1.495798319327731,1.5630252100840336,7.277310924369748,0.08403361344537816,0.04672897196261682,0.039473684210526314,0.3157894736842105,0.05263157894736842,0.24719101123595505,0.3707865168539326,0.9117647058823529,5.618421052631579,4.865168539325842,0.201301720130172
Penis Wings,158.0,21,12,9,0.5714285714285714,10,11,4,8,0.4,0.7272727272727273,17.0,218.0,1946.0,199.0,243.0,150.0,183.0,733.0,43.0,280.0,1533.0,120.0,624.0,5781.0,24.0,54.0,19.0,6.0,2.0,33.0,5.0,43.0,44.0,33.0,2.0,9.0,0.056962025316455694,0.10759493670886076,1.379746835443038,12.316455696202532,1.259493670886076,1.5379746835443038,0.9493670886075949,1.1582278481012658,4.639240506329114,0.2721518987341772,0.15357142857142858,0.0779816513761468,0.24770642201834864,0.027522935779816515,0.22,0.2866666666666667,0.7530864197530864,8.926605504587156,4.886666666666667,0.12679467220204116
yippie,68.4,9,6,3,0.6666666666666666,4,5,3,3,0.75,0.6,16.0,119.0,768.0,103.0,122.0,72.0,83.0,222.0,13.0,120.0,889.0,80.0,364.0,2388.0,6.0,30.0,9.0,2.0,1.0,14.0,5.0,20.0,19.0,11.0,0.0,8.0,0.11695906432748537,0.23391812865497075,1.739766081871345,11.228070175438596,1.5058479532163742,1.783625730994152,1.0526315789473684,1.2134502923976607,3.245614035087719,0.19005847953216373,0.10833333333333334,0.13445378151260504,0.25210084033613445,0.01680672268907563,0.19444444444444445,0.2777777777777778,0.680327868852459,6.453781512605042,3.0833333333333335,0.09296482412060302
meowza,306.90000000000003,42,27,15,0.6428571428571429,18,24,15,12,0.8333333333333334,0.5,38.0,393.0,2803.0,355.0,449.0,482.0,587.0,2426.0,104.0,548.0,3353.0,477.0,1401.0,9999.0,32.0,118.0,31.0,19.0,5.0,157.0,22.0,204.0,94.0,105.0,0.0,38.0,0.12381883349625283,0.12381883349625283,1.2805474095796674,9.133268165526228,1.1567285760834147,1.463017269468882,1.5705441511893123,1.9126751384815899,7.904855001629194,0.338872596937113,0.1897810218978102,0.09669211195928754,0.30025445292620867,0.04834605597964377,0.3257261410788382,0.42323651452282157,1.3073496659242763,7.132315521628499,5.033195020746888,0.24262426242624263
karma,126.10000000000001,18,10,8,0.5555555555555556,13,5,6,4,0.46153846153846156,0.8,17.0,184.0,992.0,167.0,209.0,187.0,218.0,899.0,43.0,228.0,1417.0,125.0,577.0,4102.0,8.0,61.0,21.0,6.0,1.0,59.0,12.0,76.0,42.0,31.0,0.0,0.0,0.0,0.13481363996827914,1.4591593973037271,7.866772402854877,1.324345757335448,1.6574147501982552,1.4829500396510704,1.7287866772402853,7.129262490087232,0.3409992069785884,0.18859649122807018,0.09239130434782608,0.33152173913043476,0.03260869565217391,0.3155080213903743,0.40641711229946526,1.0430622009569377,5.391304347826087,4.807486631016043,0.21916138469039492
Optical Juke,119.0,17,7,10,0.4117647058823529,6,11,3,4,0.5,0.36363636363636365,15.0,159.0,1098.0,144.0,177.0,146.0,171.0,602.0,24.0,208.0,1276.0,225.0,544.0,4107.0,7.0,32.0,11.0,3.0,0.0,36.0,10.0,53.0,33.0,25.0,0.0,13.0,0.1092436974789916,0.12605042016806722,1.3361344537815125,9.22689075630252,1.2100840336134453,1.4873949579831933,1.226890756302521,1.4369747899159664,5.0588235294117645,0.20168067226890757,0.11538461538461539,0.09433962264150944,0.20125786163522014,0.018867924528301886,0.2465753424657534,0.363013698630137,0.9661016949152542,6.90566037735849,4.123287671232877,0.1465790114438763
