Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,38352.79999999993,5392,2864,2528,0.5311572700296736,5392,0,2864,0,0.5311572700296736,0.0,4800.0,51255.0,346919.0,46105.0,56398.0,46655.0,55953.0,238257.0,8512.0,68428.0,426922.0,24816.0,172085.0,1395136.0,2631.0,12922.0,5332.0,2138.0,422.0,12638.0,2465.0,16855.0,10293.0,9298.0,350.0,1762.0,0.04594188690265126,0.12515383492209198,1.3364082935274633,9.045467345278588,1.202128658142302,1.470505412903363,1.216469201727125,1.4589026094574609,6.212245259798514,0.22193946726184308,0.12439352311919097,0.09364940005853087,0.25211198907423665,0.04171300360940396,0.2708820062158397,0.3612688886507341,0.9921096492783432,6.76849087893864,5.106783838816847,0.1707768991696867
Blue,38344.899999999936,5397,2532,2865,0.46914952751528627,0,5397,0,2532,0.0,0.46914952751528627,4367.0,51700.0,348797.0,46976.0,57144.0,45854.0,55254.0,245859.0,8595.0,68428.0,426291.0,24370.0,171752.0,1387653.0,2635.0,12780.0,5488.0,2185.0,427.0,12797.0,2183.0,17893.0,10168.0,9400.0,357.0,-1679.0,-0.04378678781272093,0.11388737485297934,1.3482888206775892,9.096307462009305,1.2250912116083255,1.4902633727040648,1.1958304755000033,1.440973897441383,6.411778359051671,0.22414975655171912,0.12560647688080903,0.08446808510638298,0.2471953578336557,0.042263056092843324,0.27908143237231214,0.3902167749814629,0.9669256614867703,6.746557059961315,5.361778688882104,0.1771761384150072
perl,165.9,23,14,9,0.6086956521739131,15,8,10,4,0.6666666666666666,0.5,15.0,189.0,1330.0,174.0,215.0,195.0,236.0,1341.0,35.0,297.0,2056.0,95.0,827.0,5937.0,6.0,34.0,16.0,6.0,2.0,57.0,10.0,79.0,41.0,41.0,0.0,21.0,0.12658227848101267,0.09041591320072333,1.1392405063291138,8.0168776371308,1.0488245931283906,1.295961422543701,1.1754068716094033,1.4225437010247137,8.083182640144665,0.2109704641350211,0.11784511784511785,0.07936507936507936,0.17989417989417988,0.031746031746031744,0.2923076923076923,0.40512820512820513,1.0976744186046512,7.037037037037037,6.876923076923077,0.22587165234967155
NameLEss,326.9,45,20,25,0.4444444444444444,24,21,8,12,0.3333333333333333,0.5714285714285714,54.0,469.0,3399.0,410.0,478.0,413.0,500.0,2295.0,68.0,583.0,3759.0,170.0,1512.0,12066.0,29.0,125.0,54.0,22.0,6.0,106.0,17.0,141.0,68.0,87.0,5.0,-15.0,-0.04588559192413583,0.16518813092688897,1.4346895074946469,10.397675130009178,1.2542061792597126,1.4622208626491282,1.2633832976445396,1.5295197308045274,7.020495564392781,0.20801468338941573,0.11663807890222985,0.11513859275053305,0.26652452025586354,0.046908315565031986,0.2566585956416465,0.3414043583535109,1.0460251046025104,7.247334754797441,5.556900726392252,0.19020387866732968
joy.,378.8,51,20,31,0.39215686274509803,25,26,10,10,0.4,0.38461538461538464,44.0,449.0,3154.0,401.0,509.0,508.0,640.0,2676.0,102.0,675.0,4107.0,273.0,1666.0,13185.0,31.0,104.0,51.0,20.0,1.0,151.0,25.0,198.0,108.0,132.0,4.0,-1.0,-0.0026399155227032735,0.11615628299894402,1.1853220696937699,8.326293558606125,1.0586061246040126,1.3437170010559663,1.341077085533263,1.689545934530095,7.06441393875396,0.2692713833157339,0.1511111111111111,0.09799554565701558,0.23162583518930957,0.044543429844097995,0.297244094488189,0.38976377952755903,1.2573673870333988,7.0244988864142535,5.267716535433071,0.20295790671217293
TheG,436.2,59,29,30,0.4915254237288136,32,27,16,13,0.5,0.48148148148148145,35.0,462.0,3119.0,423.0,535.0,701.0,793.0,4706.0,72.0,777.0,4517.0,80.0,1784.0,14830.0,20.0,110.0,43.0,17.0,4.0,237.0,40.0,322.0,112.0,92.0,4.0,0.0,0.0,0.08023842274186153,1.0591471801925723,7.15038972948189,0.9697386519944979,1.226501604768455,1.607060981201284,1.817973406694177,10.788629069234297,0.16506189821182943,0.09266409266409266,0.07575757575757576,0.23809523809523808,0.0367965367965368,0.33808844507845937,0.4593437945791726,1.4822429906542056,6.751082251082251,6.713266761768901,0.31732973701955497
Ceremony,669.9999999999999,95,44,51,0.4631578947368421,42,53,18,26,0.42857142857142855,0.49056603773584906,134.0,1216.0,8133.0,1076.0,1216.0,520.0,641.0,2217.0,134.0,1192.0,8309.0,363.0,3319.0,23701.0,49.0,283.0,113.0,36.0,13.0,132.0,35.0,203.0,140.0,121.0,6.0,-46.0,-0.06865671641791046,0.20000000000000004,1.8149253731343287,12.138805970149257,1.6059701492537317,1.8149253731343287,0.7761194029850748,0.9567164179104479,3.3089552238805977,0.20000000000000004,0.11241610738255034,0.11019736842105263,0.23273026315789475,0.029605263157894735,0.25384615384615383,0.3903846153846154,0.5271381578947368,6.688322368421052,4.263461538461539,0.09354035694696426
Ducky,319.59999999999997,44,28,16,0.6363636363636364,20,24,12,16,0.6,0.6666666666666666,17.0,305.0,1566.0,286.0,388.0,418.0,477.0,3822.0,48.0,565.0,3378.0,179.0,1359.0,11154.0,6.0,92.0,40.0,14.0,2.0,156.0,19.0,214.0,102.0,59.0,2.0,7.0,0.021902377972465584,0.053191489361702135,0.9543178973717148,4.899874843554444,0.8948685857321653,1.214017521902378,1.3078848560700878,1.4924906132665834,11.958698372966209,0.15018773466833543,0.08495575221238938,0.05573770491803279,0.3016393442622951,0.04590163934426229,0.37320574162679426,0.5119617224880383,1.2293814432989691,5.134426229508197,9.14354066985646,0.34265734265734266
trippi,250.60000000000002,33,21,12,0.6363636363636364,20,13,10,11,0.5,0.8461538461538461,19.0,267.0,1624.0,248.0,307.0,323.0,387.0,1904.0,66.0,452.0,2627.0,184.0,1064.0,8872.0,11.0,73.0,35.0,15.0,2.0,96.0,20.0,121.0,59.0,64.0,0.0,20.0,0.07980845969672784,0.07581803671189145,1.0654429369513168,6.4804469273743015,0.9896249002394253,1.2250598563447723,1.2889066241021547,1.544293695131684,7.597765363128491,0.26336791699920187,0.14601769911504425,0.07116104868913857,0.27340823970037453,0.056179775280898875,0.29721362229102166,0.3746130030959752,1.260586319218241,6.082397003745318,5.894736842105263,0.2146077547339946
BallsToYou.,645.0999999999998,88,41,47,0.4659090909090909,40,48,20,21,0.5,0.4375,111.0,1215.0,7034.0,1097.0,1273.0,569.0,698.0,1931.0,141.0,1153.0,8692.0,347.0,3487.0,23210.0,40.0,328.0,166.0,50.0,10.0,103.0,18.0,170.0,176.0,129.0,7.0,-44.0,-0.0682064796155635,0.17206634630289883,1.8834289257479466,10.90373585490622,1.7005115485971172,1.9733374670593713,0.8820337932103552,1.0820027902650755,2.9933343667648438,0.21857076422260122,0.1222896790980052,0.09135802469135802,0.26995884773662554,0.0411522633744856,0.18101933216168717,0.29876977152899825,0.5483110761979576,5.789300411522634,3.393673110720562,0.08319689788884102
