Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,2691.599999999999,384,204,180,0.53125,384,0,204,0,0.53125,0.0,326.0,3270.0,22774.0,2920.0,3949.0,2708.0,3286.0,18193.0,902.0,7160.0,26693.0,0.0,10422.0,89976.0,195.0,881.0,326.0,131.0,34.0,824.0,133.0,971.0,1029.0,578.0,24.0,48.0,0.01783325902808739,0.12111755089909353,1.2148907712884534,8.461138356367963,1.0848565908753163,1.4671570812899397,1.0060930301679303,1.2208351909644826,6.759176697874873,0.3351166592361422,0.1259776536312849,0.09969418960244648,0.26941896024464834,0.0400611620795107,0.30428360413589367,0.3585672082717873,0.8321093947834894,6.964525993883792,6.718242245199409,0.20219836400817995
Blue,2691.8999999999996,384,180,204,0.46875,0,384,0,180,0.0,0.46875,314.0,3243.0,22494.0,2903.0,3929.0,2732.0,3337.0,17814.0,888.0,7160.0,26189.0,0.0,10228.0,91096.0,174.0,844.0,302.0,129.0,26.0,858.0,133.0,951.0,1026.0,605.0,26.0,-46.0,-0.017088301942865636,0.11664623500130021,1.2047252869720273,8.356179650061296,1.0784204465247595,1.4595638768156323,1.0148965414762807,1.2396448605074484,6.61763066978714,0.3298785244622758,0.12402234636871508,0.09682392846130126,0.26025285229725564,0.039777983348751156,0.3140556368960469,0.3480966325036603,0.8493255281242046,6.9361702127659575,6.520497803806735,0.19555194520066743
Iodized Salt,24.2,3,2,1,0.6666666666666666,2,1,2,0,1.0,0.0,6.0,28.0,199.0,22.0,32.0,22.0,23.0,176.0,9.0,66.0,228.0,0.0,90.0,958.0,2.0,7.0,3.0,2.0,2.0,5.0,2.0,5.0,10.0,1.0,0.0,3.0,0.12396694214876033,0.24793388429752067,1.15702479338843,8.223140495867769,0.9090909090909092,1.322314049586777,0.9090909090909092,0.9504132231404959,7.272727272727273,0.37190082644628103,0.13636363636363635,0.21428571428571427,0.25,0.07142857142857142,0.22727272727272727,0.22727272727272727,0.71875,7.107142857142857,8.0,0.1837160751565762
meowza,32.5,4,1,3,0.25,0,4,0,1,0.0,0.25,5.0,34.0,196.0,29.0,38.0,30.0,52.0,282.0,20.0,87.0,289.0,0.0,112.0,1027.0,1.0,13.0,4.0,2.0,1.0,11.0,0.0,12.0,9.0,22.0,0.0,-4.0,-0.12307692307692308,0.15384615384615385,1.0461538461538462,6.030769230769231,0.8923076923076924,1.1692307692307693,0.9230769230769231,1.6,8.676923076923076,0.6153846153846154,0.22988505747126436,0.14705882352941177,0.38235294117647056,0.058823529411764705,0.36666666666666664,0.4,1.368421052631579,5.764705882352941,9.4,0.2745861733203505
Light,32.7,5,3,2,0.6,3,2,3,0,1.0,0.0,4.0,49.0,322.0,44.0,54.0,16.0,17.0,80.0,11.0,89.0,386.0,0.0,152.0,1123.0,3.0,14.0,4.0,2.0,0.0,3.0,0.0,6.0,10.0,1.0,1.0,2.0,0.061162079510703356,0.12232415902140671,1.4984709480122322,9.84709480122324,1.3455657492354738,1.6513761467889907,0.48929663608562685,0.5198776758409785,2.4464831804281344,0.33639143730886845,0.12359550561797752,0.08163265306122448,0.2857142857142857,0.04081632653061224,0.1875,0.375,0.3148148148148148,6.571428571428571,5.0,0.07123775601068566
helprefugees,8.0,1,1,0,1.0,1,0,1,0,1.0,0.0,1.0,6.0,37.0,5.0,10.0,5.0,8.0,37.0,4.0,21.0,79.0,0.0,30.0,312.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,0.375,0.125,0.75,4.625,0.625,1.25,0.625,1.0,4.625,0.5,0.19047619047619047,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.8,6.166666666666667,7.4,0.11858974358974358
JKooter,18.3,3,2,1,0.6666666666666666,0,3,0,2,0.0,0.6666666666666666,3.0,27.0,195.0,24.0,25.0,14.0,17.0,75.0,3.0,48.0,194.0,0.0,76.0,661.0,3.0,9.0,1.0,0.0,0.0,4.0,2.0,6.0,1.0,3.0,0.0,4.0,0.2185792349726776,0.16393442622950818,1.4754098360655736,10.655737704918032,1.3114754098360655,1.366120218579235,0.7650273224043715,0.9289617486338797,4.098360655737705,0.16393442622950818,0.0625,0.1111111111111111,0.3333333333333333,0.0,0.2857142857142857,0.42857142857142855,0.68,7.222222222222222,5.357142857142857,0.11346444780635401
360broscope,29.5,4,2,2,0.5,3,1,1,1,0.3333333333333333,1.0,3.0,32.0,264.0,29.0,38.0,46.0,56.0,253.0,11.0,78.0,229.0,0.0,90.0,875.0,3.0,13.0,4.0,1.0,1.0,20.0,3.0,19.0,9.0,10.0,0.0,3.0,0.1016949152542373,0.1016949152542373,1.0847457627118644,8.94915254237288,0.9830508474576272,1.2881355932203389,1.5593220338983051,1.8983050847457628,8.576271186440678,0.3728813559322034,0.14102564102564102,0.09375,0.40625,0.03125,0.43478260869565216,0.41304347826086957,1.4736842105263157,8.25,5.5,0.28914285714285715
Matt,11.4,2,1,1,0.5,1,1,1,0,1.0,0.0,2.0,10.0,71.0,8.0,13.0,13.0,13.0,79.0,2.0,30.0,101.0,0.0,40.0,403.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,5.0,5.0,0.0,0.0,2.0,0.17543859649122806,0.17543859649122806,0.8771929824561403,6.228070175438596,0.7017543859649122,1.1403508771929824,1.1403508771929824,1.1403508771929824,6.9298245614035086,0.17543859649122806,0.06666666666666667,0.2,0.3,0.1,0.3076923076923077,0.38461538461538464,1.0,7.1,6.076923076923077,0.19602977667493796
T.Bomballdil,8.0,1,0,1,0.0,0,1,0,0,0.0,0.0,1.0,11.0,81.0,10.0,15.0,4.0,4.0,26.0,1.0,21.0,95.0,0.0,38.0,299.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,-3.0,-0.375,0.125,1.375,10.125,1.25,1.875,0.5,0.5,3.25,0.125,0.047619047619047616,0.09090909090909091,0.45454545454545453,0.0,0.25,0.25,0.26666666666666666,7.363636363636363,6.5,0.08695652173913043
