Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,1073.2000000000005,136,76,60,0.5588235294117647,136,0,76,0,0.5588235294117647,0.0,112.0,1128.0,8418.0,1004.0,1621.0,990.0,1176.0,5367.0,356.0,2840.0,7994.0,0.0,3118.0,33576.0,82.0,297.0,115.0,52.0,10.0,340.0,40.0,411.0,617.0,186.0,12.0,60.0,0.05590756615728659,0.10436079016026831,1.0510622437569879,7.843831531867309,0.9355199403652623,1.510436079016026,0.9224748415952287,1.0957882966828172,5.000931792769285,0.33171822586656713,0.12535211267605634,0.09929078014184398,0.2632978723404255,0.04609929078014184,0.3434343434343434,0.41515151515151516,0.7254780999383097,7.462765957446808,5.421212121212121,0.15984631879914224
Blue,1072.2000000000005,136,60,76,0.4411764705882353,0,136,0,60,0.0,0.4411764705882353,97.0,1185.0,8394.0,1075.0,1635.0,915.0,1126.0,5312.0,354.0,2840.0,8339.0,0.0,3258.0,33672.0,75.0,348.0,124.0,46.0,8.0,292.0,37.0,337.0,560.0,211.0,13.0,-60.0,-0.05595970900951312,0.09046819623204622,1.1052042529378843,7.828763290430886,1.0026114530871102,1.5249020705092327,0.8533855623950751,1.0501772057451964,4.954299570975562,0.33016228315612745,0.12464788732394366,0.08185654008438818,0.2936708860759494,0.038818565400843885,0.3191256830601093,0.36830601092896176,0.6886850152905198,7.083544303797468,5.805464480874317,0.15775718698028035
Chritt,8.0,1,1,0,1.0,1,0,1,0,1.0,0.0,2.0,9.0,48.0,6.0,13.0,9.0,9.0,25.0,4.0,21.0,69.0,0.0,26.0,225.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,5.0,7.0,0.0,1.0,4.0,0.5,0.25,1.125,6.0,0.75,1.625,1.125,1.125,3.125,0.5,0.19047619047619047,0.2222222222222222,0.4444444444444444,0.0,0.3333333333333333,0.5555555555555556,0.6923076923076923,5.333333333333333,2.7777777777777777,0.1111111111111111
sieh,32.0,4,2,2,0.5,2,2,1,1,0.5,0.5,2.0,44.0,188.0,42.0,74.0,23.0,25.0,68.0,7.0,84.0,333.0,0.0,130.0,906.0,0.0,22.0,7.0,2.0,0.0,8.0,0.0,9.0,32.0,2.0,0.0,-3.0,-0.09375,0.0625,1.375,5.875,1.3125,2.3125,0.71875,0.78125,2.125,0.21875,0.08333333333333333,0.045454545454545456,0.5,0.045454545454545456,0.34782608695652173,0.391304347826087,0.33783783783783783,4.2727272727272725,2.9565217391304346,0.07505518763796909
Sir Cle Jerk,32.0,4,2,2,0.5,1,3,1,1,1.0,0.3333333333333333,1.0,37.0,257.0,35.0,49.0,29.0,34.0,91.0,12.0,84.0,266.0,0.0,104.0,908.0,2.0,16.0,2.0,1.0,0.0,5.0,2.0,9.0,14.0,5.0,1.0,4.0,0.125,0.03125,1.15625,8.03125,1.09375,1.53125,0.90625,1.0625,2.84375,0.375,0.14285714285714285,0.02702702702702703,0.43243243243243246,0.02702702702702703,0.1724137931034483,0.3103448275862069,0.6938775510204082,6.945945945945946,3.1379310344827585,0.10022026431718062
metalhead,32.1,4,2,2,0.5,1,3,1,1,1.0,0.3333333333333333,3.0,39.0,246.0,36.0,51.0,24.0,31.0,200.0,16.0,84.0,263.0,0.0,102.0,1085.0,1.0,13.0,4.0,1.0,1.0,6.0,2.0,8.0,15.0,7.0,0.0,2.0,0.06230529595015576,0.09345794392523364,1.2149532710280373,7.663551401869158,1.1214953271028036,1.588785046728972,0.7476635514018691,0.9657320872274143,6.230529595015576,0.4984423676012461,0.19047619047619047,0.07692307692307693,0.3333333333333333,0.02564102564102564,0.25,0.3333333333333333,0.6078431372549019,6.3076923076923075,8.333333333333334,0.18433179723502305
kwib,16.0,2,1,1,0.5,2,0,1,0,0.5,0.0,1.0,13.0,94.0,12.0,19.0,25.0,27.0,139.0,5.0,42.0,75.0,0.0,30.0,505.0,1.0,3.0,1.0,1.0,0.0,15.0,1.0,15.0,7.0,2.0,0.0,1.0,0.0625,0.0625,0.8125,5.875,0.75,1.1875,1.5625,1.6875,8.6875,0.3125,0.11904761904761904,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.6,0.6,1.4210526315789473,7.230769230769231,5.56,0.27524752475247527
Therapist,15.9,2,1,1,0.5,1,1,1,0,1.0,0.0,0.0,15.0,98.0,14.0,21.0,16.0,17.0,69.0,2.0,42.0,112.0,0.0,44.0,594.0,1.0,5.0,2.0,1.0,0.0,5.0,2.0,5.0,7.0,1.0,1.0,1.0,0.06289308176100629,0.0,0.9433962264150944,6.163522012578616,0.8805031446540881,1.320754716981132,1.0062893081761006,1.069182389937107,4.339622641509433,0.12578616352201258,0.047619047619047616,0.0,0.3333333333333333,0.06666666666666667,0.3125,0.3125,0.8095238095238095,6.533333333333333,4.3125,0.11616161616161616
kutrebar,8.0,1,0,1,0.0,0,1,0,0,0.0,0.0,0.0,11.0,80.0,11.0,13.0,7.0,7.0,43.0,3.0,21.0,90.0,0.0,36.0,264.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,-4.0,-0.5,0.0,1.375,10.0,1.375,1.625,0.875,0.875,5.375,0.375,0.14285714285714285,0.0,0.18181818181818182,0.0,0.2857142857142857,0.2857142857142857,0.5384615384615384,7.2727272727272725,6.142857142857143,0.16287878787878787
solongloser,24.0,3,1,2,0.3333333333333333,1,2,0,1,0.0,0.5,3.0,34.0,229.0,31.0,41.0,17.0,28.0,63.0,8.0,63.0,182.0,0.0,70.0,712.0,2.0,10.0,3.0,1.0,0.0,4.0,0.0,4.0,10.0,11.0,0.0,-4.0,-0.16666666666666666,0.125,1.4166666666666667,9.541666666666666,1.2916666666666667,1.7083333333333333,0.7083333333333334,1.1666666666666667,2.625,0.3333333333333333,0.12698412698412698,0.08823529411764706,0.29411764705882354,0.029411764705882353,0.23529411764705882,0.23529411764705882,0.6829268292682927,6.735294117647059,3.7058823529411766,0.08848314606741572
