Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,3885.4999999999995,531,280,251,0.527306967984934,531,0,280,0,0.527306967984934,0.0,409.0,4318.0,33837.0,3871.0,5675.0,3741.0,4725.0,22125.0,864.0,6938.0,31283.0,6775.0,13603.0,133105.0,374.0,1129.0,421.0,173.0,39.0,1097.0,174.0,1307.0,1804.0,984.0,38.0,26.0,0.006691545489640974,0.10526315789473685,1.1113112855488356,8.708531720499293,0.9962681765538541,1.4605584866812509,0.9628104491056493,1.2160597091751384,5.694247844550252,0.22236520396345388,0.12453156529259153,0.09471977767484947,0.26146364057433996,0.040064844835572024,0.29323710237904305,0.34937182571504943,0.8325991189427313,7.836266790180639,5.914194065757819,0.16622215544119304
Blue,3898.8999999999996,532,252,280,0.47368421052631576,0,532,0,252,0.0,0.47368421052631576,406.0,4317.0,33370.0,3874.0,5407.0,3763.0,4971.0,22122.0,874.0,6952.0,30919.0,7328.0,13549.0,135348.0,348.0,1143.0,371.0,155.0,21.0,1089.0,184.0,1301.0,1533.0,1208.0,37.0,-7.0,-0.0017953781835902435,0.10413193464823413,1.1072353740798688,8.558824283772347,0.9936135833183719,1.3868014055246354,0.9651440149785838,1.2749749929467287,5.673908025340481,0.2241657903511247,0.12571921749136938,0.09404679175353255,0.26476719944405835,0.03590456335418114,0.2893967579059261,0.3457347860749402,0.9193637876826336,7.729905026638869,5.878820090353441,0.16344534089901588
Witcher,8.8,1,1,0,1.0,0,1,0,1,0.0,1.0,1.0,8.0,77.0,7.0,9.0,9.0,10.0,50.0,1.0,16.0,53.0,0.0,20.0,316.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.11363636363636363,0.11363636363636363,0.9090909090909091,8.75,0.7954545454545454,1.0227272727272727,1.0227272727272727,1.1363636363636362,5.681818181818182,0.11363636363636363,0.0625,0.125,0.125,0.0,0.1111111111111111,0.1111111111111111,1.1111111111111112,9.625,5.555555555555555,0.15822784810126583
Stronk,16.9,2,0,2,0.0,2,0,0,0,0.0,0.0,0.0,14.0,175.0,14.0,20.0,19.0,19.0,154.0,4.0,30.0,122.0,5.0,49.0,624.0,4.0,2.0,1.0,0.0,0.0,4.0,0.0,7.0,6.0,0.0,0.0,-2.0,-0.1183431952662722,0.0,0.8284023668639054,10.355029585798817,0.8284023668639054,1.183431952662722,1.124260355029586,1.124260355029586,9.11242603550296,0.2366863905325444,0.13333333333333333,0.0,0.14285714285714285,0.0,0.21052631578947367,0.3684210526315789,0.95,12.5,8.105263157894736,0.2467948717948718
Prime,25.0,3,2,1,0.6666666666666666,1,2,0,2,0.0,1.0,5.0,37.0,250.0,32.0,41.0,18.0,24.0,75.0,12.0,46.0,276.0,35.0,113.0,741.0,3.0,10.0,5.0,1.0,0.0,7.0,0.0,8.0,9.0,6.0,0.0,5.0,0.2,0.2,1.48,10.0,1.28,1.64,0.72,0.96,3.0,0.48,0.2608695652173913,0.13513513513513514,0.2702702702702703,0.02702702702702703,0.3888888888888889,0.4444444444444444,0.5853658536585366,6.756756756756757,4.166666666666667,0.10121457489878542
SleepyBoi,32.9,4,3,1,0.75,4,0,3,0,0.75,0.0,5.0,42.0,504.0,37.0,45.0,26.0,27.0,88.0,12.0,58.0,312.0,30.0,128.0,1145.0,7.0,5.0,2.0,2.0,0.0,9.0,2.0,9.0,8.0,1.0,0.0,6.0,0.182370820668693,0.1519756838905775,1.2765957446808511,15.319148936170214,1.1246200607902737,1.3677811550151977,0.790273556231003,0.8206686930091186,2.674772036474164,0.364741641337386,0.20689655172413793,0.11904761904761904,0.11904761904761904,0.047619047619047616,0.34615384615384615,0.34615384615384615,0.6,12.0,3.3846153846153846,0.07685589519650655
TheWorst,16.4,3,1,2,0.3333333333333333,1,2,0,1,0.0,0.5,0.0,23.0,135.0,22.0,31.0,13.0,15.0,71.0,0.0,28.0,140.0,70.0,70.0,633.0,2.0,5.0,3.0,1.0,0.0,1.0,0.0,1.0,9.0,2.0,1.0,-4.0,-0.24390243902439027,0.0,1.402439024390244,8.231707317073171,1.3414634146341464,1.8902439024390245,0.7926829268292683,0.9146341463414634,4.329268292682928,0.0,0.0,0.0,0.21739130434782608,0.043478260869565216,0.07692307692307693,0.07692307692307693,0.4838709677419355,5.869565217391305,5.461538461538462,0.11216429699842022
LOWTIERBALL,44.4,5,2,3,0.4,3,2,1,1,0.3333333333333333,0.5,6.0,46.0,452.0,40.0,49.0,32.0,36.0,380.0,10.0,80.0,285.0,40.0,120.0,1596.0,6.0,8.0,1.0,0.0,0.0,13.0,0.0,13.0,9.0,4.0,0.0,-1.0,-0.022522522522522525,0.13513513513513514,1.0360360360360361,10.18018018018018,0.9009009009009009,1.1036036036036037,0.7207207207207208,0.8108108108108109,8.558558558558559,0.22522522522522523,0.125,0.13043478260869565,0.17391304347826086,0.0,0.40625,0.40625,0.7346938775510204,9.826086956521738,11.875,0.23809523809523808
Carrrrrl,16.3,2,2,0,1.0,1,1,1,1,1.0,1.0,3.0,17.0,138.0,14.0,16.0,20.0,24.0,72.0,5.0,30.0,124.0,35.0,55.0,499.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,5.0,2.0,4.0,0.0,6.0,0.36809815950920244,0.18404907975460122,1.0429447852760736,8.466257668711656,0.8588957055214723,0.9815950920245399,1.2269938650306749,1.4723926380368098,4.417177914110429,0.3067484662576687,0.16666666666666666,0.17647058823529413,0.23529411764705882,0.0,0.05,0.25,1.5,8.117647058823529,3.6,0.14428857715430862
Rayn,78.1,11,4,7,0.36363636363636365,6,5,2,2,0.3333333333333333,0.4,6.0,84.0,511.0,77.0,113.0,60.0,77.0,364.0,7.0,138.0,621.0,170.0,278.0,2513.0,4.0,25.0,11.0,6.0,1.0,12.0,4.0,17.0,36.0,17.0,1.0,0.0,0.0,0.0768245838668374,1.0755441741357235,6.542893725992318,0.9859154929577465,1.446862996158771,0.7682458386683739,0.9859154929577465,4.660691421254802,0.08962868117797695,0.050724637681159424,0.07142857142857142,0.2976190476190476,0.07142857142857142,0.2,0.2833333333333333,0.6814159292035398,6.083333333333333,6.066666666666666,0.14484679665738162
