Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,34228.90000000003,4757,2424,2333,0.5095648517973512,4757,0,2424,0,0.5095648517973512,0.0,4027.0,45223.0,281845.0,40878.0,51961.0,39904.0,48658.0,256178.0,7556.0,61172.0,367234.0,38027.0,151271.0,1117877.0,2174.0,13509.0,5161.0,1830.0,381.0,13021.0,1902.0,14888.0,11083.0,8754.0,318.0,460.0,0.01343893610370183,0.11764912106436363,1.3211934943863215,8.23412379597357,1.1942539783633117,1.518044693227067,1.1657984919176474,1.4215472889867906,7.484260376465495,0.22074913304254573,0.12352056496436278,0.08904760851778962,0.29871967803993543,0.04046613448908741,0.32630813953488375,0.3730954290296712,0.9364330940513077,6.232337527364394,6.419857658380113,0.2291647471054508
Blue,34202.50000000005,4755,2336,2419,0.49127234490010513,0,4755,0,2336,0.0,0.49127234490010513,3920.0,45043.0,279474.0,40802.0,51790.0,39975.0,48936.0,247401.0,7737.0,61186.0,365355.0,38931.0,150747.0,1127542.0,2091.0,13263.0,5140.0,1834.0,355.0,13268.0,1825.0,15159.0,10988.0,8961.0,321.0,-384.0,-0.01122724947006796,0.11461150500694377,1.3169505153132062,8.171157079160867,1.1929537314523775,1.5142167970177596,1.1687742124113718,1.4307726043417857,7.233418609750738,0.22621153424457244,0.12645049521132284,0.08702795106897854,0.2944519681193526,0.04071664853584353,0.3319074421513446,0.3792120075046904,0.9448928364549141,6.204604489043803,6.188893058161351,0.21941621686819648
Toidi,804.0999999999997,108,55,53,0.5092592592592593,39,69,15,40,0.38461538461538464,0.5797101449275363,46.0,642.0,3630.0,591.0,893.0,1288.0,1519.0,11303.0,216.0,1442.0,6726.0,975.0,2827.0,23698.0,25.0,199.0,87.0,28.0,3.0,560.0,48.0,631.0,302.0,231.0,5.0,10.0,0.01243626414625047,0.05720681507275217,0.7984081581892802,4.514363885088921,0.7349832110434028,1.110558388260167,1.6017908220370607,1.8890685238154465,14.056709364506908,0.2686233055590102,0.14979195561719832,0.07165109034267912,0.3099688473520249,0.04361370716510903,0.43478260869565216,0.48990683229813664,1.7010078387458007,5.654205607476635,8.775621118012422,0.47696008101949533
bubblez,691.9999999999999,92,48,44,0.5217391304347826,52,40,33,15,0.6346153846153846,0.375,100.0,957.0,6471.0,850.0,1032.0,658.0,788.0,4675.0,154.0,1231.0,7620.0,575.0,3101.0,22275.0,45.0,263.0,82.0,36.0,11.0,236.0,36.0,274.0,182.0,130.0,7.0,18.0,0.026011560693641623,0.14450867052023122,1.382947976878613,9.351156069364164,1.2283236994219655,1.4913294797687864,0.9508670520231215,1.1387283236994221,6.75578034682081,0.2225433526011561,0.12510154346060115,0.1044932079414838,0.27481713688610243,0.03761755485893417,0.3586626139817629,0.41641337386018235,0.7635658914728682,6.761755485893417,7.104863221884498,0.20987654320987653
metalhead,668.6999999999998,93,42,51,0.45161290322580644,54,39,29,13,0.5370370370370371,0.3333333333333333,64.0,944.0,4462.0,877.0,1130.0,747.0,924.0,5399.0,145.0,1198.0,7129.0,1026.0,3002.0,24464.0,14.0,325.0,131.0,52.0,2.0,232.0,27.0,280.0,253.0,177.0,3.0,-15.0,-0.022431583669807093,0.09570809032451028,1.4116943322865265,6.67264842231195,1.3114999252280548,1.6898459697921344,1.1170928667563933,1.381785554060117,8.073874682219234,0.21683864214146858,0.12103505843071787,0.06779661016949153,0.3442796610169492,0.05508474576271186,0.31057563587684067,0.3748326639892905,0.8176991150442477,4.726694915254237,7.2275769745649265,0.22069162851536953
BallsToYou.,608.0000000000001,82,44,38,0.5365853658536586,39,43,18,26,0.46153846153846156,0.6046511627906976,117.0,1131.0,6921.0,1007.0,1191.0,500.0,625.0,1925.0,122.0,1100.0,7367.0,464.0,2986.0,19056.0,54.0,346.0,110.0,38.0,8.0,129.0,25.0,157.0,184.0,125.0,7.0,-15.0,-0.024671052631578944,0.19243421052631576,1.8601973684210522,11.383223684210524,1.6562499999999998,1.9588815789473681,0.8223684210526314,1.0279605263157894,3.166118421052631,0.20065789473684206,0.11090909090909092,0.10344827586206896,0.3059239610963749,0.03359858532272325,0.258,0.314,0.5247691015952981,6.119363395225464,3.85,0.10101805205709488
KING KRULE,501.90000000000003,69,35,34,0.5072463768115942,33,36,18,17,0.5454545454545454,0.4722222222222222,69.0,681.0,4442.0,608.0,743.0,631.0,780.0,3687.0,137.0,897.0,5512.0,490.0,2260.0,14844.0,34.0,199.0,70.0,24.0,7.0,258.0,42.0,285.0,135.0,149.0,4.0,-7.0,-0.013947001394700138,0.13747758517632994,1.3568439928272564,8.850368599322573,1.2113966925682407,1.480374576608886,1.257222554293684,1.5540944411237296,7.34608487746563,0.2729627415819884,0.1527313266443701,0.1013215859030837,0.2922173274596182,0.03524229074889868,0.40887480190174325,0.45166402535657685,1.0497981157469718,6.522760646108663,5.84310618066561,0.24838318512530316
Light,495.0999999999998,68,36,32,0.5294117647058824,32,36,20,16,0.625,0.4444444444444444,74.0,685.0,4468.0,603.0,753.0,457.0,627.0,2356.0,124.0,895.0,5740.0,953.0,2440.0,15544.0,42.0,216.0,86.0,27.0,6.0,130.0,21.0,128.0,150.0,170.0,8.0,30.0,0.060593819430418125,0.14946475459503136,1.383558876994547,9.024439507170273,1.2179357705514042,1.5209048677034949,0.9230458493233694,1.2664108260957387,4.758634619268837,0.2504544536457282,0.13854748603351955,0.10802919708029197,0.31532846715328466,0.03941605839416058,0.2844638949671772,0.2800875273522976,0.8326693227091634,6.522627737226277,5.155361050328228,0.15156973751930006
Helen Keller,493.59999999999997,66,35,31,0.5303030303030303,28,38,16,19,0.5714285714285714,0.5,73.0,661.0,4454.0,586.0,747.0,681.0,888.0,2938.0,136.0,895.0,5135.0,608.0,2129.0,15379.0,36.0,192.0,71.0,26.0,6.0,206.0,28.0,249.0,161.0,207.0,2.0,-13.0,-0.026337115072933553,0.14789303079416533,1.3391410048622368,9.023500810372772,1.187196110210697,1.5133711507293357,1.3796596434359807,1.7990275526742303,5.952188006482983,0.2755267423014587,0.15195530726256984,0.11043872919818457,0.29046898638426627,0.039334341906202726,0.302496328928047,0.3656387665198238,1.1887550200803212,6.7382753403933435,4.31424375917768,0.19103972950126796
LogisticMap,475.2,65,33,32,0.5076923076923077,32,33,18,15,0.5625,0.45454545454545453,37.0,482.0,2717.0,444.0,595.0,585.0,653.0,4786.0,63.0,851.0,4981.0,295.0,2003.0,14582.0,21.0,146.0,54.0,26.0,1.0,195.0,26.0,229.0,151.0,68.0,1.0,-3.0,-0.006313131313131313,0.07786195286195287,1.0143097643097643,5.717592592592593,0.9343434343434344,1.2521043771043772,1.2310606060606062,1.3741582491582491,10.071548821548822,0.13257575757575757,0.07403055229142186,0.07676348547717843,0.3029045643153527,0.05394190871369295,0.3333333333333333,0.39145299145299145,1.0974789915966388,5.636929460580913,8.18119658119658,0.3282128651762447
Russ,456.09999999999985,63,32,31,0.5079365079365079,28,35,15,17,0.5357142857142857,0.4857142857142857,42.0,458.0,3464.0,413.0,553.0,668.0,844.0,4807.0,177.0,825.0,4207.0,495.0,1737.0,14329.0,33.0,104.0,42.0,15.0,1.0,283.0,37.0,308.0,140.0,176.0,3.0,10.0,0.02192501644376234,0.09208506906380183,1.004165753124315,7.594825696119274,0.9055031791273846,1.2124534093400574,1.4645910984433244,1.8504713878535415,10.539355404516558,0.3880727910545934,0.21454545454545454,0.09170305676855896,0.22707423580786026,0.03275109170305677,0.4236526946107784,0.46107784431137727,1.5262206148282098,7.563318777292577,7.196107784431137,0.33547351524879615
knight_,446.3,58,35,23,0.603448275862069,31,27,18,17,0.5806451612903226,0.6296296296296297,48.0,526.0,3326.0,472.0,600.0,465.0,568.0,2465.0,88.0,800.0,5012.0,393.0,2042.0,14471.0,22.0,153.0,71.0,18.0,4.0,125.0,27.0,147.0,128.0,103.0,6.0,29.0,0.06497871386959445,0.10755097468070804,1.1785794308760922,7.452386287250728,1.0575845843602958,1.3443871835088506,1.0419000672193592,1.272686533721712,5.523190678915528,0.19717678691463142,0.11,0.09125475285171103,0.2908745247148289,0.034220532319391636,0.26881720430107525,0.3161290322580645,0.9466666666666667,6.32319391634981,5.301075268817204,0.17034068136272545
meowza,442.59999999999997,59,29,30,0.4915254237288136,31,28,14,15,0.45161290322580644,0.5357142857142857,56.0,571.0,4347.0,512.0,609.0,673.0,832.0,4608.0,134.0,796.0,4620.0,345.0,1871.0,13274.0,51.0,171.0,68.0,17.0,10.0,277.0,21.0,307.0,97.0,159.0,3.0,-11.0,-0.024853140533212834,0.12652507907817442,1.2901039313149572,9.821509263443291,1.156800723000452,1.375960234975147,1.5205603253502034,1.8798011748757344,10.411206507004067,0.30275643922277456,0.16834170854271358,0.09807355516637478,0.29947460595446584,0.0297723292469352,0.4115898959881129,0.4561664190193165,1.3661740558292284,7.612959719789842,6.846953937592867,0.34714479433478984
Enervate,436.79999999999995,59,34,25,0.576271186440678,23,36,15,19,0.6521739130434783,0.5277777777777778,75.0,701.0,4156.0,619.0,751.0,538.0,640.0,2120.0,80.0,776.0,5339.0,425.0,2177.0,13153.0,31.0,194.0,62.0,32.0,5.0,113.0,22.0,165.0,132.0,102.0,7.0,15.0,0.034340659340659344,0.17170329670329673,1.60485347985348,9.514652014652016,1.4171245421245422,1.7193223443223444,1.2316849816849818,1.4652014652014653,4.853479853479854,0.18315018315018317,0.10309278350515463,0.10699001426533523,0.2767475035663338,0.0456490727532097,0.2100371747211896,0.3066914498141264,0.8521970705725699,5.9286733238231095,3.940520446096654,0.16117995894472745
rc,425.9999999999999,62,28,34,0.45161290322580644,28,34,11,17,0.39285714285714285,0.5,44.0,562.0,3179.0,517.0,667.0,417.0,528.0,2864.0,118.0,763.0,4564.0,468.0,1877.0,13611.0,18.0,184.0,69.0,29.0,3.0,138.0,22.0,147.0,150.0,111.0,1.0,-9.0,-0.021126760563380288,0.10328638497652586,1.3192488262910802,7.462441314553993,1.2136150234741787,1.565727699530517,0.97887323943662,1.2394366197183102,6.723004694835683,0.2769953051643193,0.15465268676277852,0.07829181494661921,0.3274021352313167,0.051601423487544484,0.33093525179856115,0.35251798561151076,0.7916041979010495,5.656583629893238,6.86810551558753,0.21041804422893248
Ceremony,423.2,59,28,31,0.4745762711864407,27,32,12,16,0.4444444444444444,0.5,67.0,664.0,4294.0,595.0,689.0,325.0,435.0,1894.0,92.0,753.0,4715.0,410.0,1926.0,13642.0,31.0,202.0,70.0,21.0,10.0,106.0,20.0,123.0,94.0,110.0,2.0,-18.0,-0.04253308128544424,0.15831758034026466,1.5689981096408319,10.146502835538753,1.4059546313799622,1.6280718336483933,0.7679584120982987,1.027882797731569,4.475425330812855,0.21739130434782608,0.12217795484727756,0.10090361445783133,0.3042168674698795,0.03162650602409638,0.3261538461538461,0.37846153846153846,0.6313497822931785,6.466867469879518,5.827692307692308,0.13883594780823927
ez,420.6999999999999,58,28,30,0.4827586206896552,25,33,13,15,0.52,0.45454545454545453,53.0,520.0,3398.0,466.0,576.0,406.0,522.0,2409.0,117.0,754.0,4409.0,360.0,1800.0,13573.0,25.0,134.0,61.0,17.0,7.0,129.0,22.0,146.0,110.0,116.0,1.0,0.0,0.0,0.1259805086760162,1.2360351794628004,8.077014499643454,1.107677680057048,1.3691466603280251,0.9650582362728788,1.2407891609222728,5.726170667934396,0.2781079153791301,0.15517241379310345,0.10192307692307692,0.25769230769230766,0.032692307692307694,0.31773399014778325,0.35960591133004927,0.90625,6.5346153846153845,5.933497536945813,0.17748471229647095
Doris,405.79999999999995,53,25,28,0.4716981132075472,34,19,12,13,0.35294117647058826,0.6842105263157895,40.0,450.0,3669.0,405.0,491.0,506.0,638.0,2894.0,122.0,731.0,3694.0,269.0,1491.0,12995.0,44.0,119.0,50.0,13.0,5.0,165.0,28.0,190.0,86.0,132.0,5.0,-9.0,-0.022178413011335635,0.09857072449482505,1.1089206505667817,9.041399704287828,0.9980285855101036,1.2099556431739775,1.2469196648595369,1.5722030556924596,7.131591917200592,0.3006407097092164,0.16689466484268126,0.08888888888888889,0.2644444444444444,0.028888888888888888,0.32608695652173914,0.37549407114624506,1.2993890020366599,8.153333333333334,5.719367588932807,0.22270103886110043
NameLEss,402.6,54,32,22,0.5925925925925926,32,22,21,11,0.65625,0.5,57.0,526.0,3676.0,466.0,561.0,494.0,585.0,3440.0,80.0,716.0,4428.0,525.0,1839.0,12811.0,40.0,148.0,58.0,22.0,3.0,172.0,18.0,195.0,95.0,91.0,3.0,20.0,0.04967709885742672,0.14157973174366617,1.306507699950323,9.130650769995032,1.1574764033780427,1.3934426229508197,1.22702434177844,1.4530551415797317,8.544461003477396,0.1987083954297069,0.11173184357541899,0.10836501901140684,0.2813688212927757,0.04182509505703422,0.3481781376518219,0.39473684210526316,1.0427807486631016,6.988593155893536,6.963562753036437,0.26851924127702753
xcv,401.6999999999998,52,26,26,0.5,21,31,12,14,0.5714285714285714,0.45161290322580644,55.0,512.0,3137.0,452.0,577.0,433.0,533.0,2868.0,131.0,710.0,4127.0,350.0,1680.0,12408.0,18.0,134.0,53.0,14.0,4.0,144.0,22.0,163.0,125.0,100.0,5.0,7.0,0.017425939756036853,0.1369180980831467,1.2745830221558383,7.809310430669657,1.125217824246951,1.4363953198904662,1.0779188449091366,1.326860841423949,7.1396564600448125,0.32611401543440394,0.18450704225352113,0.107421875,0.26171875,0.02734375,0.3325635103926097,0.37644341801385683,0.9237435008665511,6.126953125,6.6235565819861435,0.2311411992263056
Junoon,382.99999999999994,56,31,25,0.5535714285714286,30,26,13,18,0.43333333333333335,0.6923076923076923,62.0,585.0,3695.0,519.0,633.0,500.0,652.0,2633.0,120.0,688.0,4412.0,620.0,1856.0,11621.0,24.0,163.0,58.0,22.0,6.0,192.0,27.0,231.0,114.0,152.0,4.0,21.0,0.05483028720626633,0.16187989556135773,1.5274151436031334,9.647519582245431,1.3550913838120107,1.6527415143603135,1.3054830287206267,1.7023498694516974,6.874673629242821,0.31331592689295046,0.1744186046511628,0.10598290598290598,0.27863247863247864,0.037606837606837605,0.384,0.462,1.0300157977883095,6.316239316239316,5.266,0.22657258411496428
tha king,379.4,51,32,19,0.6274509803921569,24,27,14,18,0.5833333333333334,0.6666666666666666,36.0,434.0,2871.0,392.0,504.0,538.0,625.0,3433.0,88.0,678.0,4088.0,340.0,1666.0,11103.0,24.0,134.0,45.0,14.0,4.0,167.0,25.0,205.0,112.0,87.0,6.0,29.0,0.0764364786505008,0.09488666315234581,1.1439114391143912,7.5672113863995785,1.033210332103321,1.3284132841328413,1.4180284659989457,1.6473379019504482,9.048497627833422,0.2319451765946231,0.12979351032448377,0.08294930875576037,0.3087557603686636,0.03225806451612903,0.3104089219330855,0.38104089219330856,1.2400793650793651,6.61520737327189,6.381040892193308,0.3091957128703954
Chritt,373.0999999999999,54,28,26,0.5185185185185185,30,24,17,11,0.5666666666666667,0.4583333333333333,36.0,428.0,2334.0,388.0,540.0,513.0,618.0,3365.0,71.0,662.0,4305.0,564.0,1796.0,12055.0,15.0,152.0,62.0,24.0,1.0,156.0,17.0,192.0,152.0,105.0,4.0,2.0,0.005360493165371216,0.09648887697668188,1.1471455373894401,6.255695523988209,1.0399356740820158,1.4473331546502282,1.3749664969177167,1.6563923880997056,9.01902975073707,0.19029750737067816,0.10725075528700906,0.08411214953271028,0.35514018691588783,0.056074766355140186,0.30409356725146197,0.3742690058479532,1.1444444444444444,5.453271028037383,6.559454191033138,0.2791372874326006
Irony,367.5,46,26,20,0.5652173913043478,28,18,18,8,0.6428571428571429,0.4444444444444444,61.0,488.0,3744.0,420.0,518.0,353.0,462.0,2440.0,124.0,666.0,3886.0,280.0,1582.0,11221.0,41.0,143.0,60.0,15.0,3.0,119.0,11.0,119.0,98.0,109.0,7.0,11.0,0.029931972789115645,0.16598639455782313,1.327891156462585,10.187755102040816,1.1428571428571428,1.4095238095238096,0.9605442176870749,1.2571428571428571,6.639455782312925,0.33741496598639453,0.18618618618618618,0.125,0.2930327868852459,0.030737704918032786,0.3371104815864023,0.3371104815864023,0.8918918918918919,7.672131147540983,6.912181303116148,0.21744942518492114
Iodized Salt,362.99999999999994,47,26,21,0.5531914893617021,22,25,12,14,0.5454545454545454,0.56,44.0,452.0,2391.0,407.0,522.0,405.0,496.0,3546.0,62.0,659.0,4100.0,340.0,1676.0,11014.0,12.0,150.0,69.0,21.0,5.0,158.0,26.0,176.0,115.0,91.0,1.0,22.0,0.060606060606060615,0.12121212121212123,1.2451790633608817,6.586776859504133,1.1212121212121213,1.4380165289256202,1.1157024793388433,1.366391184573003,9.768595041322316,0.17079889807162538,0.09408194233687406,0.09734513274336283,0.33185840707964603,0.046460176991150445,0.39012345679012345,0.4345679012345679,0.9501915708812261,5.289823008849558,8.755555555555556,0.3219538768839659
