Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Blue,1614.300000000001,220,116,104,0.5272727272727272,0,220,0,116,0.0,0.5272727272727272,156.0,1882.0,15222.0,1707.0,2284.0,1613.0,1894.0,9215.0,379.0,2848.0,14479.0,963.0,5837.0,60884.0,179.0,490.0,190.0,60.0,17.0,479.0,56.0,658.0,577.0,281.0,19.0,14.0,0.008672489623985622,0.09663631295298265,1.1658303908814958,9.429474075450653,1.0574242705816757,1.4148547357987973,0.9991946973920578,1.1732639534163407,5.708356563216251,0.23477668339218222,0.13307584269662923,0.08289054197662062,0.2603613177470776,0.031880977683315624,0.29696218226906385,0.4079355238685679,0.829246935201401,8.088204038257173,5.712957222566646,0.15135339333815123
Red,1610.5000000000007,220,104,116,0.4727272727272727,220,0,104,0,0.4727272727272727,0.0,153.0,1866.0,15221.0,1693.0,2360.0,1614.0,1801.0,8472.0,333.0,2848.0,14841.0,1051.0,6030.0,60888.0,179.0,489.0,175.0,83.0,16.0,482.0,68.0,688.0,667.0,187.0,20.0,-11.0,-0.006830176963675874,0.09500155231294626,1.1586463831108347,9.451102142191862,1.0512263272275686,1.465383421297733,1.0021732381248056,1.1182862465072954,5.260478112387455,0.2067680844458242,0.11692415730337079,0.0819935691318328,0.2620578778135048,0.04448017148981779,0.298636926889715,0.42627013630731103,0.763135593220339,8.157020364415862,5.24907063197026,0.1391407173827355
metalhead,72.1,9,3,6,0.3333333333333333,2,7,1,2,0.5,0.2857142857142857,4.0,93.0,588.0,87.0,110.0,73.0,79.0,402.0,23.0,126.0,685.0,42.0,276.0,3120.0,3.0,21.0,12.0,6.0,1.0,21.0,2.0,30.0,23.0,6.0,2.0,-7.0,-0.09708737864077671,0.05547850208044383,1.289875173370319,8.155339805825243,1.2066574202496534,1.5256588072122055,1.0124826629680999,1.0957004160887658,5.575589459084605,0.31900138696255204,0.18253968253968253,0.043010752688172046,0.22580645161290322,0.06451612903225806,0.2876712328767123,0.410958904109589,0.7181818181818181,6.32258064516129,5.506849315068493,0.12884615384615383
JukeOfEarl,60.9,8,5,3,0.625,4,4,3,2,0.75,0.5,3.0,62.0,643.0,58.0,84.0,60.0,62.0,210.0,10.0,114.0,533.0,45.0,215.0,2689.0,9.0,15.0,3.0,0.0,0.0,12.0,1.0,18.0,26.0,2.0,1.0,-4.0,-0.06568144499178982,0.04926108374384237,1.0180623973727423,10.558292282430214,0.9523809523809524,1.3793103448275863,0.9852216748768473,1.0180623973727423,3.4482758620689657,0.16420361247947454,0.08771929824561403,0.04838709677419355,0.24193548387096775,0.0,0.2,0.3,0.7380952380952381,10.370967741935484,3.5,0.07809594644849387
Mystic,43.8,5,3,2,0.6,3,2,1,2,0.3333333333333333,1.0,6.0,41.0,360.0,35.0,55.0,47.0,51.0,265.0,6.0,78.0,423.0,15.0,169.0,1719.0,5.0,8.0,2.0,1.0,2.0,15.0,2.0,22.0,20.0,4.0,0.0,2.0,0.04566210045662101,0.13698630136986303,0.9360730593607307,8.219178082191782,0.7990867579908676,1.2557077625570776,1.0730593607305936,1.1643835616438356,6.050228310502283,0.13698630136986303,0.07692307692307693,0.14634146341463414,0.1951219512195122,0.024390243902439025,0.3191489361702128,0.46808510638297873,0.9272727272727272,8.78048780487805,5.638297872340425,0.15415939499709133
Gvendolino,43.199999999999996,6,4,2,0.6666666666666666,3,3,2,2,0.6666666666666666,0.6666666666666666,3.0,42.0,234.0,39.0,58.0,50.0,57.0,442.0,5.0,76.0,387.0,20.0,154.0,1468.0,2.0,14.0,7.0,4.0,0.0,17.0,2.0,25.0,19.0,7.0,0.0,9.0,0.20833333333333334,0.06944444444444445,0.9722222222222223,5.416666666666667,0.9027777777777779,1.3425925925925928,1.1574074074074074,1.3194444444444446,10.231481481481483,0.11574074074074076,0.06578947368421052,0.07142857142857142,0.3333333333333333,0.09523809523809523,0.34,0.5,0.9827586206896551,5.571428571428571,8.84,0.3010899182561308
o3,40.2,5,3,2,0.6,1,4,1,2,1.0,0.5,5.0,55.0,525.0,50.0,61.0,22.0,33.0,58.0,14.0,72.0,419.0,15.0,167.0,1599.0,4.0,16.0,4.0,0.0,0.0,4.0,3.0,4.0,11.0,11.0,0.0,0.0,0.0,0.12437810945273631,1.3681592039800994,13.059701492537313,1.243781094527363,1.517412935323383,0.5472636815920398,0.8208955223880596,1.4427860696517412,0.34825870646766166,0.19444444444444445,0.09090909090909091,0.2909090909090909,0.0,0.18181818181818182,0.18181818181818182,0.5409836065573771,9.545454545454545,2.6363636363636362,0.03627267041901188
snackpack,35.7,6,3,3,0.5,3,3,1,2,0.3333333333333333,0.6666666666666666,7.0,44.0,211.0,37.0,52.0,53.0,57.0,266.0,7.0,60.0,374.0,35.0,153.0,1214.0,0.0,16.0,7.0,4.0,1.0,20.0,2.0,23.0,15.0,4.0,0.0,0.0,0.0,0.19607843137254902,1.2324929971988794,5.910364145658263,1.0364145658263304,1.4565826330532212,1.4845938375350138,1.5966386554621848,7.450980392156862,0.19607843137254902,0.11666666666666667,0.1590909090909091,0.36363636363636365,0.09090909090909091,0.37735849056603776,0.4339622641509434,1.0961538461538463,4.795454545454546,5.018867924528302,0.21911037891268534
supergremlin,34.7,4,3,1,0.75,1,3,1,2,1.0,0.6666666666666666,2.0,29.0,345.0,26.0,39.0,39.0,39.0,223.0,3.0,62.0,253.0,5.0,101.0,1428.0,5.0,4.0,3.0,2.0,0.0,18.0,1.0,22.0,13.0,0.0,1.0,4.0,0.11527377521613832,0.05763688760806916,0.8357348703170028,9.94236311239193,0.7492795389048991,1.1239193083573487,1.1239193083573487,1.1239193083573487,6.426512968299711,0.08645533141210374,0.04838709677419355,0.06896551724137931,0.13793103448275862,0.06896551724137931,0.46153846153846156,0.5641025641025641,1.0,11.89655172413793,5.717948717948718,0.1561624649859944
Rascasse,33.7,4,2,2,0.5,4,0,2,0,0.5,0.0,2.0,12.0,53.0,10.0,39.0,44.0,45.0,301.0,2.0,60.0,133.0,55.0,63.0,1289.0,0.0,4.0,2.0,2.0,1.0,20.0,1.0,19.0,29.0,1.0,0.0,-1.0,-0.029673590504451036,0.05934718100890207,0.35608308605341243,1.572700296735905,0.29673590504451036,1.1572700296735905,1.3056379821958455,1.3353115727002967,8.931750741839762,0.05934718100890207,0.03333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.45454545454545453,0.4318181818181818,1.1538461538461537,4.416666666666667,6.840909090909091,0.2335143522110163
