Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,8376.09999999998,1199,660,539,0.5504587155963303,1199,0,660,0,0.5504587155963303,0.0,1053.0,10444.0,71315.0,9301.0,12234.0,9453.0,10808.0,56255.0,1831.0,14880.0,88038.0,1619.0,34809.0,288369.0,698.0,3306.0,1250.0,488.0,103.0,3418.0,486.0,3830.0,2933.0,1355.0,90.0,378.0,0.04512840104583289,0.1257148314848202,1.2468810066737532,8.514105610009452,1.110421317797068,1.460584281467512,1.1285681880588845,1.2903379854586294,6.716132806437379,0.2185981542722752,0.1230510752688172,0.10082343929528916,0.3165453849099962,0.04672539256989659,0.3615783349201312,0.4051623823124934,0.8834395945725029,6.828322481807737,5.951020839944991,0.19507991497005572
Blue,8366.399999999981,1198,539,659,0.44991652754590983,0,1198,0,539,0.0,0.44991652754590983,962.0,10847.0,72094.0,9795.0,12606.0,8989.0,10523.0,58569.0,1889.0,14880.0,90084.0,1598.0,35589.0,285136.0,660.0,3455.0,1351.0,496.0,107.0,3274.0,413.0,3421.0,2811.0,1534.0,90.0,-350.0,-0.04183400267737626,0.11498374450181705,1.296495505832858,8.617087397207898,1.1707544463568587,1.5067412507171576,1.0744167144769579,1.2577691719258013,7.000502008032144,0.22578408873589648,0.1269489247311828,0.08868811652991611,0.31852125011523924,0.04572692910482161,0.36422293914784737,0.38057625987317834,0.8347612248135808,6.646446021941551,6.515630214706864,0.20540724426238707
ez,284.8,37,18,19,0.4864864864864865,15,22,9,9,0.6,0.4090909090909091,36.0,368.0,2289.0,328.0,412.0,249.0,303.0,1271.0,72.0,508.0,3129.0,70.0,1240.0,9529.0,20.0,123.0,41.0,14.0,1.0,98.0,12.0,101.0,84.0,54.0,4.0,-4.0,-0.014044943820224719,0.12640449438202248,1.2921348314606742,8.037219101123595,1.151685393258427,1.446629213483146,0.8742977528089887,1.0639044943820224,4.462780898876404,0.25280898876404495,0.14173228346456693,0.09782608695652174,0.3342391304347826,0.03804347826086957,0.39357429718875503,0.40562248995983935,0.7354368932038835,6.220108695652174,5.104417670682731,0.13338230664287964
knight_,231.39999999999998,33,18,15,0.5454545454545454,16,17,11,7,0.6875,0.4117647058823529,23.0,266.0,2149.0,241.0,315.0,229.0,261.0,1305.0,49.0,412.0,2633.0,35.0,1043.0,7646.0,29.0,74.0,19.0,8.0,3.0,74.0,12.0,79.0,74.0,32.0,2.0,10.0,0.0432152117545376,0.09939498703543648,1.1495246326707003,9.286949006050131,1.0414866032843562,1.3612791702679345,0.9896283491789111,1.1279170267934313,5.639585133967157,0.21175453759723425,0.11893203883495146,0.08646616541353383,0.2781954887218045,0.03007518796992481,0.3231441048034934,0.34497816593886466,0.8285714285714286,8.078947368421053,5.698689956331878,0.17067747842008893
bubblez,220.4,28,11,17,0.39285714285714285,8,20,4,7,0.5,0.35,37.0,319.0,2256.0,278.0,346.0,186.0,199.0,1367.0,51.0,398.0,2403.0,25.0,943.0,7490.0,22.0,87.0,30.0,9.0,1.0,77.0,6.0,86.0,68.0,13.0,4.0,-11.0,-0.0499092558983666,0.16787658802177857,1.4473684210526316,10.235934664246823,1.2613430127041743,1.5698729582577131,0.8439201451905626,0.9029038112522686,6.202359346642468,0.23139745916515425,0.12814070351758794,0.11598746081504702,0.2727272727272727,0.02821316614420063,0.41397849462365593,0.46236559139784944,0.5751445086705202,7.072100313479623,7.349462365591398,0.18251001335113484
Toidi,204.70000000000002,29,9,20,0.3103448275862069,15,14,2,7,0.13333333333333333,0.5,11.0,189.0,944.0,174.0,268.0,309.0,332.0,2557.0,43.0,366.0,1977.0,40.0,778.0,6451.0,7.0,80.0,30.0,13.0,0.0,169.0,11.0,182.0,94.0,23.0,4.0,-30.0,-0.14655593551538837,0.0537371763556424,0.9233023937469467,4.611626770884221,0.8500244259892525,1.3092330239374694,1.5095261358085001,1.621885686370298,12.491450903761601,0.21006350757205666,0.11748633879781421,0.0582010582010582,0.42328042328042326,0.06878306878306878,0.5469255663430421,0.5889967637540453,1.2388059701492538,4.994708994708994,8.275080906148867,0.39637265540226324
LogisticMap,204.59999999999997,30,14,16,0.4666666666666667,19,11,10,4,0.5263157894736842,0.36363636363636365,26.0,259.0,1535.0,231.0,274.0,234.0,263.0,1531.0,41.0,363.0,2239.0,30.0,886.0,6724.0,6.0,78.0,28.0,9.0,3.0,76.0,16.0,95.0,43.0,29.0,2.0,-7.0,-0.034213098729227766,0.12707722385141743,1.2658846529814274,7.502443792766375,1.1290322580645162,1.3391984359726297,1.1436950146627567,1.2854349951124147,7.4828934506353875,0.2003910068426198,0.11294765840220386,0.10038610038610038,0.30115830115830117,0.03474903474903475,0.3247863247863248,0.405982905982906,0.9598540145985401,5.926640926640927,6.542735042735043,0.2276918500892326
BallsToYou.,193.7,27,10,17,0.37037037037037035,16,11,5,5,0.3125,0.45454545454545453,43.0,339.0,2343.0,294.0,373.0,140.0,172.0,581.0,46.0,346.0,2240.0,55.0,889.0,6604.0,21.0,122.0,45.0,24.0,5.0,45.0,6.0,46.0,79.0,32.0,2.0,-11.0,-0.056788848735157466,0.2219927723283428,1.7501290655653072,12.09602478058854,1.5178110480123903,1.9256582343830666,0.7227671657201858,0.8879710893133712,2.9994837377387715,0.23748064016520393,0.1329479768786127,0.12684365781710916,0.35988200589970504,0.07079646017699115,0.32142857142857145,0.32857142857142857,0.46112600536193027,6.911504424778761,4.15,0.08797698364627499
danp,193.6,29,14,15,0.4827586206896552,11,18,7,7,0.6363636363636364,0.3888888888888889,40.0,309.0,1934.0,265.0,321.0,187.0,233.0,918.0,59.0,344.0,2098.0,40.0,828.0,5815.0,20.0,107.0,36.0,12.0,5.0,67.0,11.0,69.0,56.0,46.0,4.0,-6.0,-0.030991735537190084,0.2066115702479339,1.5960743801652892,9.989669421487603,1.368801652892562,1.6580578512396695,0.9659090909090909,1.203512396694215,4.741735537190083,0.3047520661157025,0.17151162790697674,0.12944983818770225,0.34627831715210355,0.038834951456310676,0.3582887700534759,0.3689839572192513,0.7258566978193146,6.258899676375404,4.909090909090909,0.1578675838349097
Russ,185.10000000000002,28,19,9,0.6785714285714286,15,13,11,8,0.7333333333333333,0.6153846153846154,21.0,191.0,1298.0,168.0,227.0,268.0,316.0,1960.0,62.0,325.0,1864.0,30.0,736.0,5839.0,12.0,57.0,20.0,5.0,3.0,106.0,15.0,114.0,59.0,48.0,2.0,14.0,0.07563479200432198,0.11345218800648296,1.0318746623446784,7.012425715829281,0.9076175040518637,1.2263641274986492,1.4478660183684493,1.7071853052404105,10.588870880605077,0.33495407887628303,0.19076923076923077,0.1099476439790576,0.29842931937172773,0.02617801047120419,0.39552238805970147,0.4253731343283582,1.3920704845814977,6.795811518324608,7.313432835820896,0.3356739167665696
