Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Blue,5083.500000000005,684,368,316,0.5380116959064327,0,684,0,368,0.0,0.5380116959064327,504.0,5763.0,44443.0,5211.0,6677.0,5427.0,6362.0,32350.0,1178.0,9120.0,48551.0,5630.0,20105.0,179640.0,481.0,1503.0,615.0,255.0,52.0,1523.0,238.0,1869.0,1466.0,935.0,48.0,143.0,0.028130225238516746,0.09914429035113594,1.1336677485984057,8.742598603324474,1.0250811448804948,1.3134651322907434,1.0675715550309817,1.2514999508212834,6.3637257794826345,0.23173010720959947,0.12916666666666668,0.08745445080687142,0.260801665799063,0.04424778761061947,0.2806338676985443,0.34438916528468766,0.9528231241575558,7.711782057955926,5.960936060438548,0.18008238699621465
Red,5080.200000000005,684,316,368,0.4619883040935672,684,0,316,0,0.4619883040935672,0.0,469.0,6045.0,44910.0,5524.0,6899.0,5132.0,6102.0,33051.0,1102.0,9120.0,50175.0,5586.0,20704.0,177772.0,461.0,1555.0,625.0,247.0,47.0,1481.0,217.0,1840.0,1375.0,970.0,52.0,-129.0,-0.02539270107476081,0.09231920003149473,1.189913782921931,8.840203141608589,1.0873587654029357,1.3580174008897274,1.0101964489587014,1.2011338136293834,6.505846226526508,0.21692059367741404,0.12083333333333333,0.07758478081058726,0.2572373862696443,0.04086021505376344,0.28858144972720184,0.35853468433359315,0.8844760110160893,7.429280397022333,6.440179267342167,0.1859179173323133
LiddiLidd,232.10000000000002,30,15,15,0.5,12,18,5,10,0.4166666666666667,0.5555555555555556,19.0,182.0,1209.0,161.0,237.0,293.0,325.0,2543.0,40.0,417.0,1844.0,363.0,788.0,7810.0,11.0,52.0,26.0,10.0,1.0,111.0,10.0,131.0,76.0,32.0,2.0,-13.0,-0.05601034037052994,0.08186126669538991,0.7841447651874192,5.2089616544592845,0.6936665230504092,1.021111589831969,1.2623869021973286,1.4002585092632485,10.956484274019818,0.17233950883239982,0.09592326139088729,0.1043956043956044,0.2857142857142857,0.054945054945054944,0.378839590443686,0.447098976109215,1.371308016877637,6.642857142857143,8.679180887372013,0.32560819462227913
Madoka,154.2,20,17,3,0.85,10,10,8,9,0.8,0.9,18.0,144.0,970.0,125.0,170.0,250.0,293.0,1607.0,51.0,275.0,1466.0,180.0,608.0,4597.0,7.0,31.0,13.0,4.0,1.0,85.0,15.0,99.0,45.0,43.0,1.0,45.0,0.2918287937743191,0.11673151750972764,0.9338521400778211,6.290531776913101,0.8106355382619974,1.1024643320363166,1.6212710765239948,1.900129701686122,10.421530479896239,0.330739299610895,0.18545454545454546,0.125,0.2152777777777778,0.027777777777777776,0.34,0.396,1.723529411764706,6.736111111111111,6.428,0.34957581031107243
ez,147.5,19,10,9,0.5263157894736842,10,9,6,4,0.6,0.4444444444444444,13.0,158.0,1364.0,142.0,177.0,136.0,152.0,925.0,28.0,265.0,1382.0,95.0,559.0,4947.0,14.0,40.0,14.0,3.0,2.0,35.0,3.0,44.0,35.0,16.0,3.0,-3.0,-0.020338983050847456,0.08813559322033898,1.071186440677966,9.247457627118644,0.9627118644067797,1.2,0.9220338983050848,1.0305084745762711,6.271186440677966,0.18983050847457628,0.10566037735849057,0.08227848101265822,0.25316455696202533,0.0189873417721519,0.25735294117647056,0.3235294117647059,0.8587570621468926,8.632911392405063,6.801470588235294,0.1869820092985648
rc,146.70000000000002,18,10,8,0.5555555555555556,7,11,6,4,0.8571428571428571,0.36363636363636365,11.0,187.0,1204.0,171.0,205.0,130.0,191.0,827.0,49.0,262.0,1591.0,145.0,653.0,4857.0,15.0,62.0,16.0,3.0,0.0,35.0,9.0,46.0,34.0,61.0,5.0,-2.0,-0.013633265167007497,0.07498295841854123,1.274710293115201,8.207225630538513,1.165644171779141,1.3974096796182685,0.8861622358554873,1.301976823449216,5.6373551465576,0.33401499659168365,0.18702290076335878,0.058823529411764705,0.3315508021390374,0.016042780748663103,0.2692307692307692,0.35384615384615387,0.9317073170731708,6.438502673796791,6.361538461538461,0.17026971381511222
xcv,136.4,19,9,10,0.47368421052631576,10,9,3,6,0.3,0.6666666666666666,15.0,142.0,1335.0,126.0,152.0,130.0,171.0,1003.0,44.0,246.0,1147.0,121.0,467.0,4657.0,15.0,23.0,8.0,3.0,2.0,41.0,4.0,55.0,26.0,41.0,1.0,-3.0,-0.0219941348973607,0.10997067448680352,1.0410557184750733,9.787390029325513,0.9237536656891495,1.1143695014662756,0.9530791788856304,1.2536656891495601,7.353372434017595,0.3225806451612903,0.17886178861788618,0.1056338028169014,0.1619718309859155,0.02112676056338028,0.3153846153846154,0.4230769230769231,1.125,9.401408450704226,7.7153846153846155,0.21537470474554435
bubblez,118.30000000000001,16,7,9,0.4375,9,7,2,5,0.2222222222222222,0.7142857142857143,20.0,173.0,1391.0,152.0,171.0,95.0,121.0,697.0,30.0,214.0,1266.0,95.0,519.0,4098.0,15.0,50.0,13.0,6.0,2.0,31.0,3.0,38.0,19.0,26.0,1.0,2.0,0.016906170752324597,0.16906170752324598,1.4623837700760776,11.758241758241757,1.2848689771766693,1.445477599323753,0.8030431107354183,1.022823330515638,5.891800507185122,0.25359256128486896,0.14018691588785046,0.11560693641618497,0.28901734104046245,0.03468208092485549,0.3263157894736842,0.4,0.7076023391812866,8.040462427745664,7.336842105263158,0.1700829673011225
Russ,111.8,16,8,8,0.5,6,10,1,7,0.16666666666666666,0.7,5.0,89.0,501.0,83.0,112.0,169.0,188.0,1384.0,27.0,200.0,924.0,195.0,397.0,3219.0,7.0,42.0,11.0,3.0,0.0,81.0,11.0,93.0,29.0,19.0,1.0,-5.0,-0.044722719141323794,0.044722719141323794,0.7960644007155635,4.481216457960644,0.7423971377459749,1.001788908765653,1.5116279069767442,1.6815742397137747,12.379248658318426,0.24150268336314848,0.135,0.056179775280898875,0.47191011235955055,0.033707865168539325,0.47928994082840237,0.5502958579881657,1.6785714285714286,5.629213483146067,8.189349112426035,0.4299471885678782
BallsToYou.,111.60000000000001,14,7,7,0.5,8,6,4,3,0.5,0.5,18.0,204.0,1331.0,182.0,207.0,75.0,88.0,286.0,18.0,198.0,1222.0,45.0,489.0,3424.0,12.0,57.0,27.0,10.0,1.0,16.0,7.0,23.0,25.0,13.0,4.0,-9.0,-0.08064516129032258,0.16129032258064516,1.8279569892473118,11.92652329749104,1.6308243727598566,1.8548387096774193,0.6720430107526881,0.7885304659498207,2.562724014336917,0.16129032258064516,0.09090909090909091,0.08823529411764706,0.27941176470588236,0.049019607843137254,0.21333333333333335,0.30666666666666664,0.4251207729468599,6.5245098039215685,3.8133333333333335,0.08352803738317757
