Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Red,8901.300000000005,1216,576,640,0.47368421052631576,1216,0,576,0,0.47368421052631576,0.0,931.0,11875.0,82656.0,10855.0,12481.0,11056.0,12523.0,52060.0,1896.0,15880.0,101776.0,0.0,39916.0,335784.0,768.0,3173.0,1381.0,520.0,92.0,3022.0,488.0,3810.0,1626.0,1467.0,89.0,-257.0,-0.028872187208609963,0.10459146416815515,1.3340747980632035,9.285834653365233,1.21948479435588,1.4021547414422606,1.242065765674676,1.4068731533596208,5.848583914709084,0.21300259512655442,0.11939546599496222,0.0784,0.2672,0.043789473684210524,0.2733357452966715,0.34460926193921854,1.0033651149747616,6.960505263157895,4.708755426917511,0.15504014485502585
Blue,8899.900000000001,1216,640,576,0.5263157894736842,0,1216,0,640,0.0,0.5263157894736842,1000.0,12155.0,83946.0,11054.0,12523.0,10855.0,12481.0,55462.0,2074.0,15880.0,102757.0,0.0,40288.0,330624.0,718.0,3052.0,1379.0,545.0,101.0,3146.0,497.0,3775.0,1469.0,1626.0,101.0,291.0,0.03269699659546736,0.11236081304284316,1.3657456825357586,9.432240811694513,1.2420364273755884,1.407094461735525,1.2196766255800624,1.4023753075877254,6.231755412982167,0.2330363262508567,0.13060453400503777,0.08227067050596462,0.25109008638420405,0.04483751542575072,0.2898203592814371,0.3477660064486412,0.9966461710452766,6.906293706293706,5.109350529709811,0.16774946767324816
metalhead,248.6,35,21,14,0.6,18,17,11,10,0.6111111111111112,0.5882352941176471,23.0,345.0,1918.0,317.0,374.0,311.0,376.0,1674.0,77.0,436.0,2685.0,0.0,1056.0,9859.0,10.0,116.0,42.0,17.0,3.0,78.0,16.0,99.0,57.0,65.0,5.0,16.0,0.06436041834271923,0.0925181013676589,1.3877715205148833,7.715205148833467,1.2751407884151247,1.504424778761062,1.251005631536605,1.512469831053902,6.7337087691069994,0.30973451327433627,0.17660550458715596,0.06666666666666667,0.336231884057971,0.04927536231884058,0.2508038585209003,0.3183279742765273,1.0053475935828877,5.559420289855073,5.382636655948553,0.16979409676437773
LiddiLidd,227.4,31,14,17,0.45161290322580644,17,14,7,7,0.4117647058823529,0.5,14.0,254.0,1643.0,239.0,296.0,251.0,266.0,2074.0,48.0,404.0,2422.0,0.0,944.0,8327.0,15.0,74.0,39.0,15.0,2.0,83.0,14.0,100.0,57.0,15.0,1.0,-17.0,-0.07475813544415127,0.06156552330694811,1.1169744942832014,7.225153913808267,1.0510114335971856,1.3016710642040457,1.1037818821459981,1.1697449428320141,9.120492524186455,0.21108179419525067,0.1188118811881188,0.05511811023622047,0.29133858267716534,0.05905511811023622,0.33067729083665337,0.398406374501992,0.8986486486486487,6.468503937007874,8.262948207171315,0.24906929266242345
ez,220.1,28,15,13,0.5357142857142857,13,15,7,8,0.5384615384615384,0.5333333333333333,24.0,257.0,1901.0,231.0,243.0,220.0,267.0,1290.0,76.0,394.0,2407.0,0.0,948.0,7589.0,12.0,41.0,23.0,11.0,3.0,67.0,8.0,88.0,12.0,47.0,2.0,5.0,0.02271694684234439,0.10904134484325306,1.1676510676965015,8.636983189459336,1.0495229441163108,1.1040436165379373,0.9995456610631531,1.2130849613811905,5.860972285324853,0.34529759200363475,0.19289340101522842,0.0933852140077821,0.15953307392996108,0.042801556420233464,0.30454545454545456,0.4,1.0987654320987654,7.396887159533074,5.863636363636363,0.16998286994333905
knight_,216.1,27,15,12,0.5555555555555556,14,13,8,7,0.5714285714285714,0.5384615384615384,24.0,270.0,2074.0,244.0,273.0,244.0,286.0,1023.0,49.0,390.0,2606.0,0.0,1020.0,8123.0,24.0,73.0,21.0,10.0,3.0,66.0,12.0,74.0,29.0,42.0,2.0,14.0,0.06478482184173993,0.11105969458583989,1.2494215640906987,9.597408607126331,1.129106894956039,1.2633040259139288,1.129106894956039,1.3234613604812586,4.733919481721426,0.2267468764460898,0.12564102564102564,0.08888888888888889,0.27037037037037037,0.037037037037037035,0.27049180327868855,0.30327868852459017,1.0476190476190477,7.681481481481481,4.192622950819672,0.1259386926012557
xcv,207.39999999999998,30,13,17,0.43333333333333335,15,15,6,7,0.4,0.4666666666666667,22.0,274.0,1802.0,247.0,267.0,194.0,277.0,1357.0,82.0,371.0,2348.0,0.0,920.0,7527.0,14.0,66.0,32.0,15.0,1.0,50.0,7.0,63.0,20.0,83.0,5.0,-6.0,-0.028929604628736744,0.10607521697203473,1.321118611378978,8.688524590163935,1.1909353905496627,1.2873674059787852,0.935390549662488,1.3355834136933464,6.54291224686596,0.39537126325940214,0.2210242587601078,0.08029197080291971,0.24087591240875914,0.05474452554744526,0.25773195876288657,0.3247422680412371,1.0374531835205993,6.576642335766423,6.994845360824742,0.18028430981798857
BallsToYou.,162.9,21,13,8,0.6190476190476191,10,11,5,8,0.5,0.7272727272727273,31.0,299.0,2098.0,266.0,286.0,169.0,190.0,594.0,41.0,293.0,2157.0,0.0,848.0,5414.0,21.0,64.0,34.0,14.0,0.0,40.0,7.0,57.0,20.0,21.0,2.0,9.0,0.055248618784530384,0.19030079803560465,1.8354818907305095,12.879066912216084,1.6329036218538981,1.7556783302639656,1.0374462860650706,1.1663597298956414,3.6464088397790055,0.2516881522406384,0.13993174061433447,0.10367892976588629,0.2140468227424749,0.046822742474916385,0.23668639053254437,0.33727810650887574,0.6643356643356644,7.016722408026756,3.514792899408284,0.1097155522718877
Toidi,157.7,20,10,10,0.5,10,10,6,4,0.6,0.4,7.0,130.0,608.0,123.0,165.0,263.0,293.0,1866.0,33.0,284.0,1512.0,0.0,588.0,5470.0,0.0,47.0,22.0,8.0,1.0,107.0,9.0,128.0,42.0,30.0,0.0,-2.0,-0.012682308180088777,0.04438807863031072,0.8243500317057705,3.8554216867469884,0.7799619530754598,1.0462904248573242,1.6677235256816743,1.8579581483830059,11.832593532022829,0.2092580849714648,0.11619718309859155,0.05384615384615385,0.36153846153846153,0.06153846153846154,0.4068441064638783,0.4866920152091255,1.7757575757575759,4.676923076923077,7.095057034220532,0.34113345521023763
danp,149.7,20,10,10,0.5,10,10,6,4,0.6,0.4,16.0,209.0,1435.0,191.0,210.0,189.0,238.0,733.0,55.0,264.0,1767.0,0.0,690.0,5123.0,13.0,51.0,28.0,10.0,1.0,39.0,7.0,56.0,19.0,49.0,2.0,-11.0,-0.0734802939211757,0.10688042752171009,1.3961255845023381,9.585838343353375,1.2758851035404142,1.402805611222445,1.2625250501002006,1.5898463593854377,4.896459585838343,0.36740146960587844,0.20833333333333334,0.07655502392344497,0.24401913875598086,0.04784688995215311,0.20634920634920634,0.2962962962962963,1.1333333333333333,6.866028708133971,3.878306878306878,0.14308022642982626
