Player        Team  Minutes  CD  Captures  Grabs  Hold  Drops  Pops  Returns  Tags  Prevent  Pups  Pups Available  Block  Button  Support  Hold Against  K/D   Pup %  Score %  NDPops  NRTags  KF  Hold/Grab  Prevent/Return  Prevent/Hold Against  Long Holds  Flaccids  Handoffs  Good Handoffs  Captures off Handoffs  Quick Returns  Key Returns  Returns in Base  Flaccid %  Chain %  QR %   RIB %  matchId  mapName           
Ritual        Red       9.3   1         0      7    42      7    11       15    17      159     1              18     83       0       32           222  1.55   5.56      0.0       4       2   0        6.0            10.6                  0.72           0         1         0              0                      0              5            0                6      14.29      0.0  33.33   40.0  3964626  A Flaccid Type Map
jmu           Red       9.3   1         0      6    27      6    10        9    11      133     2              18     88       0       34           222   1.1  11.11      0.0       4       2   0        4.5           14.78                   0.6           0         3         1              1                      0              4            0                3       50.0    100.0  44.44  33.33  3964626  A Flaccid Type Map
waterlemon    Red       9.3   1         0     18    97     18    21       10    18       36     5              18    118       0       46           222  0.86  27.78      0.0       3       8   0       5.39             3.6                  0.16           0         7         0              0                      0              3            1                3      38.89      0.0   30.0   30.0  3964626  A Flaccid Type Map
Irony         Blue      9.3  -1         0     17    61     17    21        6    10       36     2              18    109       0       42           229  0.48  11.11      0.0       4       4   0       3.59             6.0                  0.16           0         8         4              0                      0              1            1                2      47.06      0.0  16.67  33.33  3964626  A Flaccid Type Map
Homie         Blue      9.3  -1         1      8    35      7    13       12    18       93     2              18     60       0       24           229  1.38  11.11     12.5       6       6   0       4.38            7.75                  0.41           0         2         2              1                      0              6            0                5       25.0     50.0   50.0  41.67  3964626  A Flaccid Type Map
realtea       Blue      9.3  -1         1      6    27      5    10       14    14      141     2              18     66       0       26           229   1.4  11.11    16.67       5       0   0        4.5           10.07                  0.62           0         2         2              0                      0              7            1                6      33.33      0.0   50.0  42.86  3964626  A Flaccid Type Map
Madoka        Red       9.3   1         3     12    63      9    13       12    16       50     2              18     96       0       38           222  1.23  11.11     25.0       4       4   0       5.25            4.17                  0.23           1         4         2              1                      0              3            0                4      33.33     50.0   25.0  33.33  3964626  A Flaccid Type Map
CT Crunch     Blue      9.3  -1         0     17    99     17    18        8     8       35     2              18    109       0       42           229  0.44  11.11      0.0       1       0   0       5.82            4.38                  0.15           1         3         0              0                      0              1            0                3      17.65      0.0   12.5   37.5  3964626  A Flaccid Type Map
State Champ   Blue      6.0  -5         0     10    61     10    12        5     5        8     1              10     57      10       24           298  0.42   10.0      0.0       2       0   0        6.1             1.6                  0.03           0         0         1              1                      0              0            0                0        0.0    100.0    0.0    0.0  3964629  Willow 2          
@pro          Red       6.0   5         0      5    50      5     6       10    11       37     1              10     42       0       16           257  1.83   10.0      0.0       1       1   0       10.0             3.7                  0.14           0         0         0              0                      0              0            2                4        0.0      0.0    0.0   40.0  3964629  Willow 2          
greenfish     Red       6.0   5         4      9   121      5     8        1     3       12     1              10     35       0       14           257  0.38   10.0    44.44       3       2   0      13.44            12.0                  0.05           1         0         1              1                      0              0            0                0        0.0    100.0    0.0    0.0  3964629  Willow 2          
JukeOfEarl    Blue      6.0  -5         0      9    67      9    12        6     8        1     1              10     39      10       16           298  0.67   10.0      0.0       3       2   0       7.44            0.17                   0.0           0         2         0              0                      0              0            0                1      22.22      0.0    0.0  16.67  3964629  Willow 2          
twelvefive    Blue      6.0  -5         0      5    72      5     9        3     3        5     2              10     52       0       20           298  0.33   20.0      0.0       4       0   0       14.4            1.67                  0.02           1         1         1              0                      0              1            0                1       20.0      0.0  33.33  33.33  3964629  Willow 2          
rolf          Red       6.0   5         0      6    79      6    10        7     7       35     2              10     85      10       36           257   0.7   20.0      0.0       4       0   0      13.17             5.0                  0.14           1         0         0              0                      0              1            0                2        0.0      0.0  14.29  28.57  3964629  Willow 2          
Goofy Goober  Blue      6.0  -5         0      5    57      5     9        5     5        5     0              10     45       5       19           298  0.56    0.0      0.0       4       0   0       11.4             1.0                  0.02           0         1         0              0                      0              0            0                2       20.0      0.0    0.0   40.0  3964629  Willow 2          
Player X      Red       6.0   5         1      6    48      5     7       10    15       20     2              10     80       0       32           257  2.14   20.0    16.67       2       5   0        8.0             2.0                  0.08           0         1         0              0                      0              3            0                2      16.67      0.0   30.0   20.0  3964629  Willow 2          
