Player,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,CD/Min,Captures/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min
#4 Meerkat,29.7,2,1,47,472,45,56,35,55,82,10,59,316,10,126,1262,0.98,16.95,2.13,11,20,1,10.04,2.34,0.06,5,10,4,4,0,4,0,7,21.28,100.0,11.43,20.0,0.07,0.03,1.58,15.89,1.52,1.89,1.18,1.85,2.76,0.34
1 Pixel Juke,20.0,-1,5,30,309,25,26,25,26,52,4,36,193,5,75,809,1.0,11.11,16.67,1,1,0,10.3,2.08,0.06,2,4,1,0,0,3,2,11,13.33,0.0,12.0,44.0,-0.05,0.25,1.5,15.45,1.25,1.3,1.25,1.3,2.6,0.2
11th Cmndmnt,78.1,6,8,91,635,81,118,97,110,492,22,151,746,60,304,2869,0.93,14.57,8.79,37,13,2,6.98,5.07,0.17,3,27,14,7,2,26,5,32,29.67,50.0,26.8,32.99,0.08,0.1,1.17,8.13,1.04,1.51,1.24,1.41,6.3,0.28
12384,178.2,31,24,200,1953,172,218,272,311,1283,53,320,1789,83,718,6823,1.43,16.56,12.0,46,39,4,9.76,4.72,0.19,24,33,11,3,4,93,21,117,16.5,27.27,34.19,43.01,0.17,0.13,1.12,10.96,0.97,1.22,1.53,1.75,7.2,0.3
13.5 inches,100.0,-16,1,37,189,35,77,148,171,1159,18,178,670,125,285,3550,2.22,10.11,2.7,42,23,1,5.11,7.83,0.33,1,18,10,4,0,51,6,59,48.65,40.0,34.46,39.86,-0.16,0.01,0.37,1.89,0.35,0.77,1.48,1.71,11.59,0.18
1deag,146.3,2,9,116,904,107,170,217,267,1107,49,270,1117,142,466,4926,1.57,18.15,7.76,63,50,0,7.79,5.1,0.22,9,26,7,5,0,66,6,70,22.41,71.43,30.41,32.26,0.01,0.06,0.79,6.18,0.73,1.16,1.48,1.83,7.57,0.33
1Reds9,4.0,-5,0,4,23,4,5,7,7,16,0,6,40,0,16,181,1.4,0.0,0.0,1,0,0,5.75,2.29,0.09,0,1,1,1,0,4,0,4,25.0,100.0,57.14,57.14,-1.25,0.0,1.0,5.75,1.0,1.25,1.75,1.75,4.0,0.0
256,1.4,3,0,2,9,2,2,1,1,11,0,0,10,0,4,51,0.5,0.0,0.0,0,0,0,4.5,11.0,0.22,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.14,0.0,1.43,6.43,1.43,1.43,0.71,0.71,7.86,0.0
2P1S,324.4,17,49,469,4331,413,502,424,489,1320,69,604,3643,275,1481,12393,0.97,11.42,10.45,89,65,7,9.23,3.11,0.11,61,121,56,21,7,100,22,130,25.8,37.5,23.58,30.66,0.05,0.15,1.45,13.35,1.27,1.55,1.31,1.51,4.07,0.21
3.1 Thor,8.0,-2,0,8,68,7,11,12,12,75,0,14,61,0,24,318,1.09,0.0,0.0,4,0,1,8.5,6.25,0.24,1,1,0,0,0,5,1,6,12.5,0.0,41.67,50.0,-0.25,0.0,1.0,8.5,0.88,1.38,1.5,1.5,9.38,0.0
555555555555,48.699999999999996,6,4,42,345,38,67,69,72,358,6,95,398,20,160,1843,1.07,6.32,9.52,29,3,0,8.21,5.19,0.19,3,5,2,1,1,14,3,25,11.9,50.0,20.29,36.23,0.12,0.08,0.86,7.08,0.78,1.38,1.42,1.48,7.35,0.12
8-),192.7,-28,18,256,1480,238,299,223,272,1139,38,351,2319,165,945,6640,0.91,10.83,7.03,61,49,0,5.78,5.11,0.17,9,81,33,13,2,54,6,64,31.64,39.39,24.22,28.7,-0.15,0.09,1.33,7.68,1.24,1.55,1.16,1.41,5.91,0.2
><><><><><><,108.6,12,19,176,1389,156,201,125,137,267,23,196,1265,95,517,4360,0.68,11.73,10.8,45,12,1,7.89,2.14,0.06,14,45,16,6,3,21,1,34,25.57,37.5,16.8,27.2,0.11,0.17,1.62,12.79,1.44,1.85,1.15,1.26,2.46,0.21
@pro,210.5,-16,17,265,1550,246,323,286,332,1208,43,367,2305,140,930,7775,1.03,11.72,6.42,77,46,2,5.85,4.22,0.16,10,77,27,6,2,93,13,116,29.06,22.22,32.52,40.56,-0.08,0.08,1.26,7.36,1.17,1.53,1.36,1.58,5.74,0.2
\m\=^_^=/m/,100.1,-26,10,100,819,90,112,130,154,875,39,187,1012,135,423,3701,1.38,20.86,10.0,22,24,0,8.19,6.73,0.24,8,20,2,1,2,47,7,56,20.0,50.0,36.15,43.08,-0.26,0.1,1.0,8.18,0.9,1.12,1.3,1.54,8.74,0.39
`ArryKane,107.5,3,8,99,622,91,126,118,136,807,21,192,1069,133,444,3671,1.08,10.94,8.08,35,18,0,6.28,6.84,0.22,3,28,12,5,1,41,3,49,28.28,41.67,34.75,41.53,0.03,0.07,0.92,5.79,0.85,1.17,1.1,1.27,7.51,0.2
`~`,63.2,-5,7,85,478,78,106,65,78,385,17,110,677,110,288,2562,0.74,15.45,8.24,28,13,0,5.62,5.92,0.15,5,26,10,4,1,17,3,26,30.59,40.0,26.15,40.0,-0.08,0.11,1.34,7.56,1.23,1.68,1.03,1.23,6.09,0.27
a frog,0.9,2,1,2,26,0,0,1,1,3,0,0,0,0,0,24,0.0,0.0,50.0,0,0,1,13.0,3.0,0.12,1,0,0,0,0,1,0,0,0.0,0.0,100.0,0.0,2.22,1.11,2.22,28.89,0.0,0.0,1.11,1.11,3.33,0.0
A Straw Hat,78.1,12,5,77,589,72,107,121,137,542,14,149,815,99,337,2899,1.28,9.4,6.49,35,16,0,7.65,4.48,0.19,7,23,11,5,0,43,7,52,29.87,45.45,35.54,42.98,0.15,0.06,0.99,7.54,0.92,1.37,1.55,1.75,6.94,0.18
aardvark,24.2,-4,1,22,170,21,34,29,35,221,4,42,220,45,95,912,1.03,9.52,4.55,13,6,0,7.73,7.62,0.24,2,6,2,0,0,9,2,14,27.27,0.0,31.03,48.28,-0.17,0.04,0.91,7.02,0.87,1.4,1.2,1.45,9.13,0.17
aaron,398.2,17,48,502,3054,452,558,437,553,3017,100,726,4593,350,1868,12621,0.99,13.77,9.56,106,116,2,6.08,6.9,0.24,20,154,69,24,8,153,21,180,30.68,34.78,35.01,41.19,0.04,0.12,1.26,7.67,1.14,1.4,1.1,1.39,7.58,0.25
Able,187.9,2,14,219,1349,204,282,267,299,1905,21,332,1802,160,742,5770,1.06,6.33,6.39,78,32,1,6.16,7.13,0.33,11,71,34,10,1,78,13,109,32.42,29.41,29.21,40.82,0.01,0.07,1.17,7.18,1.09,1.5,1.42,1.59,10.14,0.11
Acuraun,168.3,17,17,163,1291,146,192,237,289,1662,61,303,1588,102,640,5679,1.51,20.13,10.43,46,52,0,7.92,7.01,0.29,13,44,17,5,1,93,13,107,26.99,29.41,39.24,45.15,0.1,0.1,0.97,7.67,0.87,1.14,1.41,1.72,9.88,0.36
Adamn,82.6,13,10,92,608,82,103,102,125,653,22,154,862,105,357,2741,1.21,14.29,10.87,21,23,0,6.61,6.4,0.24,4,24,9,2,1,22,3,27,26.09,22.22,21.57,26.47,0.16,0.12,1.11,7.36,0.99,1.25,1.23,1.51,7.91,0.27
aeps002,14.9,0,0,10,37,9,17,27,27,195,1,31,121,5,47,492,1.59,3.23,0.0,8,0,1,3.7,7.22,0.4,0,6,2,1,0,9,1,10,60.0,50.0,33.33,37.04,0.0,0.0,0.67,2.48,0.6,1.14,1.81,1.81,13.09,0.07
AJ.,65.2,-2,9,96,667,87,106,96,116,198,23,116,738,20,294,2509,1.09,19.83,9.38,19,20,0,6.95,2.06,0.08,4,22,11,5,0,24,4,29,22.92,45.45,25.0,30.21,-0.03,0.14,1.47,10.23,1.33,1.63,1.47,1.78,3.04,0.35
ALCAEUS,87.8,4,11,131,1197,120,140,58,79,179,26,167,886,80,362,3695,0.56,15.57,8.4,20,21,0,9.14,3.09,0.05,13,25,13,3,0,10,1,11,19.08,23.08,17.24,18.97,0.05,0.13,1.49,13.63,1.37,1.59,0.66,0.9,2.04,0.3
ALEXJONES,8.2,-1,1,10,92,9,15,8,8,64,0,14,61,8,25,358,0.53,0.0,10.0,6,0,0,9.2,8.0,0.18,1,1,0,0,0,4,0,5,10.0,0.0,50.0,62.5,-0.12,0.12,1.22,11.22,1.1,1.83,0.98,0.98,7.8,0.0
AmishVacuum,118.8,-13,14,184,1342,169,225,122,157,307,30,208,1365,134,560,4503,0.7,14.42,7.61,56,35,1,7.29,2.52,0.07,15,53,22,11,0,33,6,37,28.8,50.0,27.05,30.33,-0.11,0.12,1.55,11.3,1.42,1.89,1.03,1.32,2.58,0.25
an,33.1,-1,1,52,251,51,61,43,45,198,3,57,370,5,147,962,0.74,5.26,1.92,10,2,0,4.83,4.6,0.21,2,18,5,1,0,17,2,21,34.62,20.0,39.53,48.84,-0.03,0.03,1.57,7.58,1.54,1.84,1.3,1.36,5.98,0.09
anduin,33.5,-4,6,49,182,43,56,41,45,275,8,62,361,10,142,910,0.8,12.9,12.24,13,4,0,3.71,6.71,0.3,0,20,7,0,0,18,1,15,40.82,0.0,43.9,36.59,-0.12,0.18,1.46,5.43,1.28,1.67,1.22,1.34,8.21,0.24
ANDYKANSAS,72.2,4,7,79,589,71,100,99,113,462,14,128,708,205,317,2828,1.13,10.94,8.86,29,14,1,7.46,4.67,0.16,2,16,7,4,0,28,4,30,20.25,57.14,28.28,30.3,0.06,0.1,1.09,8.16,0.98,1.39,1.37,1.57,6.4,0.19
Ann with a E,220.9,-14,19,233,1256,212,315,265,340,1623,73,393,2047,182,838,8295,1.08,18.58,8.15,103,75,2,5.39,6.12,0.2,7,77,38,10,2,82,14,89,33.05,26.32,30.94,33.58,-0.06,0.09,1.05,5.69,0.96,1.43,1.2,1.54,7.35,0.33
anti-re,364.7,23,42,471,3532,424,517,383,438,2034,111,682,4011,254,1618,11522,0.85,16.28,8.92,93,55,5,7.5,5.31,0.18,40,131,54,17,4,116,17,132,27.81,31.48,30.29,34.46,0.06,0.12,1.29,9.68,1.16,1.42,1.05,1.2,5.58,0.3
Anti_Social,719.9,-30,57,749,4304,689,940,881,965,8439,97,1318,7628,420,3058,22509,1.03,7.36,7.61,251,84,3,5.75,9.58,0.37,20,214,74,21,10,333,37,383,28.57,28.38,37.8,43.47,-0.04,0.08,1.04,5.98,0.96,1.31,1.22,1.34,11.72,0.13
armed walrus,0.9,0,0,0,0,0,1,0,0,6,0,0,10,0,4,39,0.0,0.0,0.0,1,0,0,0.0,0.0,0.15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,6.67,0.0
ARoseOTGrey,8.6,-1,0,6,85,6,6,9,10,9,4,16,59,0,22,427,1.67,25.0,0.0,0,1,0,14.17,1.0,0.02,1,1,0,0,0,1,0,0,16.67,0.0,11.11,0.0,-0.12,0.0,0.7,9.88,0.7,0.7,1.05,1.16,1.05,0.47
asap,45.4,-2,3,58,372,54,69,71,76,364,11,80,574,25,229,1604,1.1,13.75,5.17,15,5,1,6.41,5.13,0.23,3,14,7,4,1,19,2,27,24.14,57.14,26.76,38.03,-0.04,0.07,1.28,8.19,1.19,1.52,1.56,1.67,8.02,0.24
Atticus,163.1,15,25,247,1941,219,274,172,211,420,39,302,1845,100,742,6852,0.77,12.91,10.12,55,39,3,7.86,2.44,0.06,18,54,29,11,6,27,12,40,21.86,37.93,15.7,23.26,0.09,0.15,1.51,11.9,1.34,1.68,1.05,1.29,2.58,0.24
AVP,282.0,0,33,384,2568,350,458,222,256,806,45,509,2759,240,1130,10958,0.56,8.84,8.59,108,34,1,6.69,3.63,0.07,15,97,44,22,2,42,10,52,25.26,50.0,18.92,23.42,0.0,0.12,1.36,9.11,1.24,1.62,0.79,0.91,2.86,0.16
babyTron,24.5,-1,3,50,269,46,51,30,33,63,4,42,308,39,129,996,0.65,9.52,6.0,5,3,1,5.38,2.1,0.06,1,14,7,5,1,2,2,6,28.0,71.43,6.67,20.0,-0.04,0.12,2.04,10.98,1.88,2.08,1.22,1.35,2.57,0.16
BadTrash,18.0,-1,1,25,152,24,33,23,27,89,5,37,196,0,76,658,0.82,13.51,4.0,9,4,0,6.08,3.87,0.14,1,7,3,0,0,5,2,8,28.0,0.0,21.74,34.78,-0.06,0.06,1.39,8.44,1.33,1.83,1.28,1.5,4.94,0.28
BaII,38.2,-6,1,45,206,44,56,51,57,278,10,68,539,20,214,1311,1.02,14.71,2.22,12,6,0,4.58,5.45,0.21,1,15,10,6,0,12,2,14,33.33,60.0,23.53,27.45,-0.16,0.03,1.18,5.39,1.15,1.47,1.34,1.49,7.28,0.26
BalIgod,24.4,0,1,43,394,42,44,27,30,32,8,44,336,15,135,996,0.68,18.18,2.33,2,3,0,9.16,1.19,0.03,7,4,2,1,1,4,2,5,9.3,50.0,14.81,18.52,0.0,0.04,1.76,16.15,1.72,1.8,1.11,1.23,1.31,0.33
BallAnka,68.0,7,12,98,786,85,110,66,79,243,19,118,782,35,311,2283,0.72,16.1,12.24,25,13,1,8.02,3.68,0.11,7,18,5,1,0,13,5,19,18.37,20.0,19.7,28.79,0.1,0.18,1.44,11.56,1.25,1.62,0.97,1.16,3.57,0.28
