Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,matchId,mapName
G.O.A.T.,Blue,5.7,5,2,5,73,3,5,10,10,33,2,10,67,0,26,200,2.0,20.0,40.0,2,0,0,14.6,3.3,0.16,1,0,0,0,0,2,0,3,0.0,0.0,20.0,30.0,3998918,A Flaccid Type Map
FlyingV,Blue,5.7,5,0,7,83,7,8,8,8,28,1,10,90,0,36,200,1.0,10.0,0.0,1,0,0,11.86,3.5,0.14,2,1,0,0,0,2,1,3,14.29,0.0,25.0,37.5,3998918,A Flaccid Type Map
cantstop,Red,5.7,-5,0,5,36,5,8,5,8,31,1,10,15,0,6,250,1.0,10.0,0.0,3,3,0,7.2,6.2,0.12,0,1,0,0,0,2,0,2,20.0,0.0,40.0,40.0,3998918,A Flaccid Type Map
umad,Red,5.7,-5,0,12,78,12,14,7,7,0,0,10,78,0,30,250,0.5,0.0,0.0,2,0,0,6.5,0.0,0.0,0,3,1,1,0,1,0,1,25.0,100.0,14.29,14.29,3998918,A Flaccid Type Map
FL,Red,5.7,-5,0,8,54,8,10,7,7,14,0,10,80,0,32,250,0.7,0.0,0.0,2,0,0,6.75,2.0,0.06,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3998918,A Flaccid Type Map
Gvendolino,Blue,5.7,5,2,6,45,4,4,4,10,61,3,10,41,0,16,200,2.5,30.0,33.33,0,6,0,7.5,15.25,0.3,0,1,0,0,0,2,0,2,16.67,0.0,50.0,50.0,3998918,A Flaccid Type Map
JBaay,Blue,5.7,5,1,9,49,8,10,11,11,18,1,10,52,0,20,200,1.1,10.0,11.11,2,0,0,5.44,1.64,0.09,0,2,2,1,0,2,0,3,22.22,50.0,18.18,27.27,3998918,A Flaccid Type Map
praopraoprao,Red,5.7,-5,0,8,32,8,11,2,2,18,2,10,56,0,22,250,0.18,20.0,0.0,3,0,0,4.0,9.0,0.07,0,4,2,0,0,1,0,1,50.0,0.0,50.0,50.0,3998918,A Flaccid Type Map
G.O.A.T.,Red,7.4,5,1,10,33,9,10,16,21,55,3,14,68,5,27,293,2.1,21.43,10.0,1,5,0,3.3,3.44,0.19,0,5,4,1,0,7,1,9,50.0,25.0,43.75,56.25,3998924,Sardonica
FlyingV,Red,7.4,5,0,15,101,15,16,9,9,35,0,14,98,15,41,293,0.56,0.0,0.0,1,0,0,6.73,3.89,0.12,1,5,0,0,0,4,2,4,33.33,0.0,44.44,44.44,3998924,Sardonica
