Time,Event,Player,Team
68.25,Drop Opponent flag,cantstop,Blue
81.3,Return,LogisticMap,Blue
3.12,Grab Opponent flag,danp,Red
19.33,Drop Opponent flag,danp,Red
144.52,Drop Opponent flag,LogisticMap,Blue
92.47,Grab Opponent flag,cantstop,Blue
135.72,Drop Opponent flag,cantstop,Blue
178.08,Return,LogisticMap,Blue
144.03,Return,keithstoned1,Blue
27.17,Grab Opponent flag,Jarek,Red
21.18,Grab Opponent flag,JimBobCooter,Blue
74.12,Drop Opponent flag,JimBobCooter,Blue
102.0,Drop Opponent flag,CreedBratton,Red
139.67,Grab Opponent flag,LogisticMap,Blue
5.58,Drop Opponent flag,danp,Red
119.08,Return,danp,Red
144.03,Drop Opponent flag,danp,Red
161.93,Grab Opponent flag,LogisticMap,Blue
5.58,Return,cantstop,Blue
27.42,Return,cantstop,Blue
78.53,Grab Opponent flag,cantstop,Blue
92.85,Drop Opponent flag,cantstop,Blue
154.73,Grab Opponent flag,cantstop,Blue
209.85,Return,cantstop,Blue
224.3,Drop Opponent flag,cantstop,Blue
234.95,Drop Opponent flag,cantstop,Blue
172.32,Drop Opponent flag,keithstoned1,Blue
34.0,Drop Opponent flag,LogisticMap,Blue
42.85,Drop Opponent flag,JimBobCooter,Blue
81.28,Grab Opponent flag,JimBobCooter,Blue
90.65,Drop Opponent flag,JimBobCooter,Blue
162.7,Grab Opponent flag,Jarek,Red
81.55,Grab Opponent flag,CreedBratton,Red
200.97,Drop Opponent flag,Jarek,Red
158.57,Grab Opponent flag,CreedBratton,Red
162.45,Drop Opponent flag,CreedBratton,Red
28.02,Return,danp,Red
44.45,Grab Opponent flag,danp,Red
76.03,Grab Opponent flag,danp,Red
81.3,Drop Opponent flag,danp,Red
135.72,Return,danp,Red
205.52,Drop Opponent flag,danp,Red
234.95,Return,CreedBratton,Red
263.13,Grab Opponent flag,CreedBratton,Red
43.1,Grab Opponent flag,cantstop,Blue
78.8,Drop Opponent flag,cantstop,Blue
171.65,Return,LogisticMap,Blue
119.33,Grab Opponent flag,cantstop,Blue
154.98,Drop Opponent flag,cantstop,Blue
172.57,Grab Opponent flag,cantstop,Blue
191.22,Capture Opponent flag,cantstop,Blue
220.53,Grab Opponent flag,cantstop,Blue
234.23,Grab Opponent flag,cantstop,Blue
244.28,Grab Opponent flag,cantstop,Blue
244.53,Drop Opponent flag,cantstop,Blue
70.55,Return,keithstoned1,Blue
119.08,Drop Opponent flag,keithstoned1,Blue
200.97,Return,keithstoned1,Blue
241.62,Drop Opponent flag,keithstoned1,Blue
202.08,Drop Opponent flag,LogisticMap,Blue
205.52,Return,LogisticMap,Blue
335.72,Grab Opponent flag,keithstoned1,Blue
28.8,Grab Opponent flag,LogisticMap,Blue
28.02,Drop Opponent flag,JimBobCooter,Blue
70.55,Drop Opponent flag,Jarek,Red
68.5,Grab Opponent flag,JimBobCooter,Blue
109.15,Grab Opponent flag,JimBobCooter,Blue
132.57,Grab Opponent flag,Jarek,Red
138.17,Return,Jarek,Red
138.17,Drop Opponent flag,Jarek,Red
144.52,Return,Jarek,Red
171.65,Drop Opponent flag,Jarek,Red
246.45,Drop Opponent flag,LogisticMap,Blue
197.75,Grab Opponent flag,Jarek,Red
276.78,Return,LogisticMap,Blue
162.45,Return,CreedBratton,Red
178.08,Drop Opponent flag,CreedBratton,Red
42.85,Return,danp,Red
44.68,Drop Opponent flag,danp,Red
90.65,Return,danp,Red
140.02,Grab Opponent flag,danp,Red
209.85,Drop Opponent flag,CreedBratton,Red
219.53,Return,CreedBratton,Red
165.0,Return,danp,Red
204.97,Grab Opponent flag,danp,Red
237.58,Return,danp,Red
237.58,Drop Opponent flag,danp,Red
244.53,Return,danp,Red
265.43,Return,danp,Red
277.72,Return,danp,Red
343.82,Grab Opponent flag,danp,Red
350.05,Drop Opponent flag,danp,Red
378.07,Return,danp,Red
385.78,Drop Opponent flag,danp,Red
394.97,Grab Opponent flag,danp,Red
396.35,Drop Opponent flag,danp,Red
417.87,Grab Opponent flag,danp,Red
436.88,Drop Opponent flag,danp,Red
342.7,Return,LogisticMap,Blue
